ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
X60_X84_Y87.0,2000_2005,2006_2010,5,Census_Region_1_EQI+SM+PA+OB,0.00,"0.46(-2.22,3.19)","0.41(-1.97,3.13)","-0.59(-2.88,2.04)","-1.26(-3.62,1.40)",0.7526,0.7961,0.6336,0.3217,1.0015,1.0016,1.0011,1.0015,1687,1466,1521,1498,2049,2046,1913,2004
"X60_X84_Y87.0","2000_2005","2006_2010",5,"Census_Region_1_EQI_Air+SM+PA+OB","0.00","-0.71(-5.65,4.05)","-2.26(-7.15,2.44)","-3.08(-7.88,1.58)","-4.90(-9.59,-0.34)","0.7861","0.3382","0.1862","0.0392","1.0015","1.0017","1.0016","1.0019",2286,2209,2221,2183,2193,2229,2193,2274
"X60_X84_Y87.0","2000_2005","2006_2010",5,"Census_Region_1_EQI_Water+SM+PA+OB","0.00","0.86(-0.20,1.89)","0.65(-0.55,1.89)","0.67(-0.26,1.59)","0.84(-0.18,1.85)","0.1152","0.3062","0.1642","0.1047","0.9997","1.0009","0.9997","1.0004",4283,3552,3470,3571,2843,3014,3276,2871
"X60_X84_Y87.0","2000_2005","2006_2010",5,"Census_Region_1_EQI_Land+SM+PA+OB","0.00","0.56(-1.22,2.26)","0.19(-1.55,1.87)","0.62(-1.13,2.32)","0.32(-1.50,2.07)","0.5221","0.8230","0.4811","0.7111","1.0035","1.0048","1.0044","1.0037",2566,2378,2363,2495,2534,2326,2230,2322
"X60_X84_Y87.0","2000_2005","2006_2010",5,"Census_Region_1_EQI_Built+SM+PA+OB","0.00","2.28(-0.22,5.06)","1.97(-0.25,4.62)","2.08(-0.28,4.84)","2.20(-0.10,4.90)","0.0777","0.0947","0.0837","0.0677","1.0021","1.0003","1.0006","1.0008",2530,2386,2437,2357,2411,2188,2373,2071
"X60_X84_Y87.0","2000_2005","2006_2010",5,"Census_Region_1_EQI_Social+SM+PA+OB","0.00","1.05(-0.48,2.50)","1.18(-0.07,2.37)","1.39(0.11,2.65)","1.11(-0.14,2.37)","0.1802","0.0617","0.0337","0.0877","1.0000","1.0000","1.0004","1.0028",2868,2759,2565,2610,2905,2964,2643,2839
"X60_X84_Y87.0","2000_2005","2011_2015",10,"Census_Region_1_EQI+SM+PA+OB","0.00","-2.54(-5.73,0.92)","-0.07(-3.01,3.28)","-0.97(-3.79,2.25)","-1.56(-4.49,1.67)","0.1352","0.9360","0.4856","0.3107","1.0010","1.0009","1.0009","1.0013",1703,1524,1464,1472,2127,1943,1972,2056
"X60_X84_Y87.0","2000_2005","2011_2015",10,"Census_Region_1_EQI_Air+SM+PA+OB","0.00","-0.33(-4.18,3.74)","-0.30(-3.88,3.63)","-1.23(-5.01,2.80)","-3.15(-6.99,0.84)","0.8545","0.8445","0.5551","0.1177","1.0013","1.0005","1.0002","1.0013",2056,2218,2044,2016,2497,2564,2507,2593
"X60_X84_Y87.0","2000_2005","2011_2015",10,"Census_Region_1_EQI_Water+SM+PA+OB","0.00","0.35(-1.01,1.74)","0.14(-1.29,1.61)","1.01(-0.18,2.21)","1.02(-0.28,2.37)","0.6166","0.8555","0.0962","0.1377","1.0004","1.0003","1.0005","0.9999",4183,3727,3538,3557,2966,3391,3051,2861
"X60_X84_Y87.0","2000_2005","2011_2015",10,"Census_Region_1_EQI_Land+SM+PA+OB","0.00","-0.64(-3.06,1.69)","-0.53(-2.77,1.64)","-0.17(-2.50,1.99)","-0.45(-2.82,1.77)","0.6051","0.6566","0.8900","0.6976","1.0019","1.0021","1.0022","1.0021",2470,2345,2359,2356,2954,2749,2656,2803
