ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
X60_X84_Y87.0,2000_2005,2006_2010,5,Census_Region_1_EQI+SM+PA+OB,"1.00(1.00,1.00)","1.04(0.84,1.33)","1.04(0.86,1.31)","0.96(0.79,1.21)","0.90(0.74,1.14)",0.7917,0.8109,0.5980,0.3101,1.0006,1.0009,1.0007,1.0008,1909,1776,1727,1739,2208,2311,2125,2165
"X60_X84_Y87.0","2000_2005","2006_2010",5,"Census_Region_1_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","0.89(0.63,1.62)","0.76(0.51,1.34)","0.68(0.45,1.22)","0.54(0.30,0.93)","0.7542","0.3293","0.1931","0.0277","1.0013","1.0008","1.0007","1.0012",2804,2733,2788,2739,3325,3301,3353,3233
"X60_X84_Y87.0","2000_2005","2006_2010",5,"Census_Region_1_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","1.07(0.98,1.23)","1.06(0.94,1.22)","1.05(0.98,1.20)","1.07(0.98,1.23)","0.1089","0.2985","0.1660","0.1135","0.9999","1.0014","1.0013","0.9994",4911,3714,3816,4016,3833,3445,3725,3475
"X60_X84_Y87.0","2000_2005","2006_2010",5,"Census_Region_1_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","1.03(0.89,1.28)","1.00(0.86,1.22)","1.03(0.90,1.28)","1.01(0.87,1.24)","0.5372","0.8554","0.5072","0.7446","1.0018","1.0010","1.0011","1.0010",2735,2354,2366,2340,3356,3024,3087,3177
"X60_X84_Y87.0","2000_2005","2006_2010",5,"Census_Region_1_EQI_Built+SM+PA+OB","1.00(1.00,1.00)","1.20(0.98,1.66)","1.17(0.98,1.62)","1.17(0.97,1.64)","1.18(0.99,1.66)","0.0760","0.0885","0.0848","0.0710","1.0021","1.0014","1.0011","1.0012",2944,2783,2819,2826,2948,2658,2688,2611
"X60_X84_Y87.0","2000_2005","2006_2010",5,"Census_Region_1_EQI_Social+SM+PA+OB","1.00(1.00,1.00)","1.08(0.96,1.31)","1.10(0.99,1.31)","1.11(1.01,1.36)","1.09(0.98,1.31)","0.1718","0.0635","0.0344","0.0952","1.0011","1.0002","0.9997","1.0001",3380,3424,3441,3225,3504,3450,3371,3083
"X60_X84_Y87.0","2000_2005","2011_2015",10,"Census_Region_1_EQI+SM+PA+OB","1.00(1.00,1.00)","0.84(0.66,1.08)","1.01(0.82,1.28)","0.95(0.78,1.20)","0.90(0.75,1.15)","0.1468","0.9354","0.5139","0.3147","1.0030","1.0040","1.0037","1.0037",2175,1982,1982,1968,2424,2413,2383,2164
"X60_X84_Y87.0","2000_2005","2011_2015",10,"Census_Region_1_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","0.99(0.76,1.38)","1.00(0.76,1.37)","0.93(0.70,1.29)","0.78(0.57,1.09)","0.8205","0.8454","0.5184","0.1231","1.0018","1.0021","1.0019","1.0018",2724,2631,2649,2646,3253,3312,3192,3120
"X60_X84_Y87.0","2000_2005","2011_2015",10,"Census_Region_1_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","1.03(0.93,1.14)","1.01(0.90,1.12)","1.08(0.99,1.20)","1.08(0.98,1.21)","0.6080","0.8821","0.0931","0.1235","1.0005","0.9999","0.9996","1.0002",4917,4255,4218,4231,3850,4074,3835,3573
"X60_X84_Y87.0","2000_2005","2011_2015",10,"Census_Region_1_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","0.96(0.80,1.16)","0.97(0.82,1.15)","1.00(0.85,1.19)","0.97(0.82,1.17)","0.5980","0.6322","0.8846","0.6921","1.0017","1.0004","1.0014","1.0014",3132,2898,2861,2888,3343,3047,3033,3013
"X60_X84_Y87.0","2000_2005","2011_2015",10,"Census_Region_1_EQI_Built+SM+PA+OB","1.00(1.00,1.00)","0.92(0.73,1.13)","0.89(0.71,1.08)","0.98(0.81,1.18)","0.96(0.78,1.15)","0.3980","0.2289","0.7892","0.6038","1.0015","1.0009","1.0011","1.0014",3009,2747,2712,2698,3403,3209,3259,3168
"X60_X84_Y87.0","2000_2005","2011_2015",10,"Census_Region_1_EQI_Social+SM+PA+OB","1.00(1.00,1.00)","1.00(0.87,1.16)","1.14(1.00,1.32)","1.18(1.04,1.38)","1.15(1.01,1.35)","0.9888","0.0452","0.0065","0.0352","1.0006","1.0012","1.0017","1.0017",3060,3008,2888,2810,3786,3730,3523,3325
"X60_X84_Y87.0","2000_2005","2016_2020",15,"Census_Region_1_EQI+SM+PA+OB","1.00(1.00,1.00)","0.94(0.73,1.21)","1.00(0.82,1.27)","0.95(0.79,1.20)","0.90(0.74,1.14)","0.5447","0.8996","0.5447","0.2656","1.0009","1.0008","1.0011","1.0009",2236,1762,1804,1684,2704,1954,2124,2250
"X60_X84_Y87.0","2000_2005","2016_2020",15,"Census_Region_1_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","0.97(0.70,1.47)","0.93(0.66,1.36)","0.81(0.56,1.19)","0.68(0.44,0.99)","0.7775","0.5947","0.2339","0.0431","1.0028","1.0028","1.0048","1.0040",2361,2515,2385,2359,2701,2921,2722,2965
"X60_X84_Y87.0","2000_2005","2016_2020",15,"Census_Region_1_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","1.04(0.91,1.19)","0.97(0.81,1.13)","1.07(0.96,1.23)","1.11(0.99,1.29)","0.5405","0.7021","0.2381","0.0702","0.9999","1.0010","1.0001","1.0004",5102,4172,4131,4201,3594,3397,3558,3993
"X60_X84_Y87.0","2000_2005","2016_2020",15,"Census_Region_1_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","0.93(0.74,1.16)","0.95(0.77,1.18)","0.98(0.80,1.21)","0.94(0.76,1.18)","0.4293","0.5601","0.7605","0.5151","1.0014","1.0011","1.0014","1.0017",3084,2728,2904,2759,3317,3057,3335,3091
"X60_X84_Y87.0","2000_2005","2016_2020",15,"Census_Region_1_EQI_Built+SM+PA+OB","1.00(1.00,1.00)","1.07(0.86,1.33)","1.09(0.91,1.32)","1.14(0.96,1.39)","1.11(0.94,1.35)","0.5601","0.3406","0.1273","0.2085","1.0010","1.0011","1.0017","1.0013",3853,3040,2991,3088,3601,3097,2886,2931
"X60_X84_Y87.0","2000_2005","2016_2020",15,"Census_Region_1_EQI_Social+SM+PA+OB","1.00(1.00,1.00)","1.07(0.91,1.30)","1.20(1.03,1.49)","1.20(1.02,1.48)","1.16(0.99,1.44)","0.4505","0.0119","0.0181","0.0673","1.0021","1.0021","1.0029","1.0020",2969,2583,2489,2497,3094,3248,3038,3289
"X60_X84_Y87.0","2000_2005","2021_2024",20,"Census_Region_1_EQI+SM+PA+OB","1.00(1.00,1.00)","0.81(0.63,1.04)","0.91(0.75,1.16)","0.90(0.74,1.13)","0.81(0.66,1.02)","0.0939","0.3826","0.3318","0.0748","1.0014","1.0019","1.0020","1.0024",2173,1916,1890,1908,2398,1994,1854,2210
"X60_X84_Y87.0","2000_2005","2021_2024",20,"Census_Region_1_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","0.98(0.69,1.38)","0.95(0.66,1.33)","0.80(0.52,1.14)","0.67(0.39,0.95)","0.8055","0.6709","0.1839","0.0277","1.0013","1.0023","1.0006","1.0009",3248,3148,3018,3101,2881,3141,3055,2723
"X60_X84_Y87.0","2000_2005","2021_2024",20,"Census_Region_1_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","1.02(0.90,1.17)","1.11(0.97,1.30)","1.13(1.01,1.32)","1.17(1.03,1.38)","0.7371","0.1343","0.0269","0.0190","1.0003","1.0008","1.0008","1.0026",4995,5225,4363,4563,3826,3567,3760,3581
"X60_X84_Y87.0","2000_2005","2021_2024",20,"Census_Region_1_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","0.96(0.77,1.18)","0.91(0.72,1.10)","0.95(0.76,1.15)","0.91(0.72,1.11)","0.6259","0.2901","0.5280","0.3268","1.0010","1.0013","1.0008","1.0008",3065,2846,2852,2774,3265,2859,3089,2909
"X60_X84_Y87.0","2000_2005","2021_2024",20,"Census_Region_1_EQI_Built+SM+PA+OB","1.00(1.00,1.00)","1.17(0.92,1.50)","1.04(0.83,1.30)","1.16(0.94,1.47)","1.13(0.91,1.42)","0.2177","0.7784","0.1643","0.2868","1.0007","1.0008","1.0009","1.0008",3110,2812,2769,2830,3499,2700,2427,2544
"X60_X84_Y87.0","2000_2005","2021_2024",20,"Census_Region_1_EQI_Social+SM+PA+OB","1.00(1.00,1.00)","1.11(0.93,1.36)","1.15(0.98,1.41)","1.15(0.99,1.41)","1.13(0.96,1.38)","0.2839","0.0777","0.0744","0.1618","1.0000","1.0006","1.0014","1.0008",3502,3020,3031,3110,3563,3101,3245,3062
"X60_X84_Y87.0","2000_2005","2006_2010",5,"Census_Region_2_EQI+SM+PA+OB","1.00(1.00,1.00)","1.26(1.05,1.52)","1.86(1.56,2.27)","2.17(1.82,2.66)","2.20(1.82,2.72)","0.0106","0.0002","0.0002","0.0002","1.0026","1.0016","1.0026","1.0021",2514,2130,1753,1822,2854,2847,2597,2625
"X60_X84_Y87.0","2000_2005","2006_2010",5,"Census_Region_2_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","1.64(1.41,1.99)","1.87(1.58,2.34)","1.98(1.65,2.50)","1.87(1.56,2.37)","0.0002","0.0002","0.0002","0.0002","1.0006","1.0015","1.0016","1.0021",3099,2853,2639,2593,2949,3316,3028,2956
"X60_X84_Y87.0","2000_2005","2006_2010",5,"Census_Region_2_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","1.02(0.87,1.23)","1.09(0.91,1.33)","1.05(0.90,1.26)","1.07(0.87,1.33)","0.8588","0.3876","0.5622","0.5359","1.0023","1.0035","1.0021","1.0014",2636,2576,2782,2576,3162,3225,3226,3187
"X60_X84_Y87.0","2000_2005","2006_2010",5,"Census_Region_2_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","0.98(0.77,1.25)","1.00(0.80,1.27)","1.08(0.86,1.38)","0.97(0.76,1.23)","0.7900","0.9308","0.5834","0.7259","1.0007","1.0015","1.0017","1.0013",2762,2478,2410,2411,3251,3176,2714,3012
"X60_X84_Y87.0","2000_2005","2006_2010",5,"Census_Region_2_EQI_Built+SM+PA+OB","1.00(1.00,1.00)","1.06(0.93,1.22)","1.16(1.02,1.35)","1.20(1.04,1.41)","1.34(1.15,1.61)","0.3989","0.0240","0.0085","0.0002","1.0006","1.0010","1.0001","1.0001",3626,3367,3102,3202,3572,3663,3509,3708
"X60_X84_Y87.0","2000_2005","2006_2010",5,"Census_Region_2_EQI_Social+SM+PA+OB","1.00(1.00,1.00)","0.62(0.40,0.82)","0.61(0.42,0.79)","0.68(0.49,0.88)","0.71(0.48,0.95)","0.0006","0.0006","0.0048","0.0210","1.0020","1.0023","1.0032","1.0034",2679,2446,2258,2268,3389,3071,2968,2937
