ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
N00_N29_C64_C65,2000_2005,2006_2010,5,RUCC1_EQI+SM+PA+OB,0.00,"1.28(0.29,2.29)","2.47(1.40,3.57)","2.41(1.24,3.53)","2.50(1.23,3.78)",0.0127,0.0002,0.0002,0.0002,1.0045,1.0043,1.0043,1.0040,2674,2173,1929,1797,3385,3188,2625,2799
"N00_N29_C64_C65","2000_2005","2006_2010",5,"RUCC1_EQI_Air+SM+PA+OB","0.00","1.06(0.06,2.08)","1.03(-0.04,2.09)","1.93(0.81,3.03)","2.57(1.39,3.74)","0.0402","0.0606","0.0010","0.0002","1.0011","1.0013","1.0027","1.0012",3233,2674,2400,2347,3515,3389,3470,3273
"N00_N29_C64_C65","2000_2005","2006_2010",5,"RUCC1_EQI_Water+SM+PA+OB","0.00","-0.49(-1.76,0.83)","0.43(-0.90,1.80)","0.93(-0.29,2.25)","-0.45(-1.84,0.98)","0.4564","0.5159","0.1448","0.5247","1.0032","1.0018","1.0027","1.0018",2092,2045,1884,1926,2742,2791,2981,2807
"N00_N29_C64_C65","2000_2005","2006_2010",5,"RUCC1_EQI_Land+SM+PA+OB","0.00","-0.63(-1.56,0.27)","-0.70(-1.71,0.32)","-0.72(-1.88,0.43)","-0.74(-1.95,0.50)","0.1793","0.1735","0.2222","0.2418","1.0008","1.0018","1.0020","1.0017",3482,2715,2412,2541,3641,3322,3034,3018
"N00_N29_C64_C65","2000_2005","2006_2010",5,"RUCC1_EQI_Built+SM+PA+OB","0.00","-0.17(-1.23,0.89)","-0.08(-1.15,1.00)","0.40(-0.75,1.56)","1.11(-0.15,2.36)","0.7476","0.8884","0.4943","0.0885","0.9998","1.0013","1.0015","1.0012",3437,2609,2358,2375,3503,3327,3242,3177
"N00_N29_C64_C65","2000_2005","2006_2010",5,"RUCC1_EQI_Social+SM+PA+OB","0.00","0.73(-0.11,1.57)","0.77(-0.18,1.67)","0.90(-0.12,1.92)","1.62(0.45,2.76)","0.0881","0.1127","0.0877","0.0040","1.0001","1.0015","1.0001","1.0010",3749,3013,2807,2629,3684,3783,3582,3297
"N00_N29_C64_C65","2000_2005","2011_2015",10,"RUCC1_EQI+SM+PA+OB","0.00","0.18(-0.72,1.06)","0.82(-0.18,1.77)","1.43(0.40,2.50)","1.65(0.44,2.80)","0.6934","0.1094","0.0073","0.0044","1.0008","1.0012","1.0008","1.0017",2839,2177,2053,1953,3113,3283,2808,2617
"N00_N29_C64_C65","2000_2005","2011_2015",10,"RUCC1_EQI_Air+SM+PA+OB","0.00","0.93(0.02,1.84)","1.12(0.19,2.04)","1.76(0.78,2.73)","2.41(1.39,3.41)","0.0464","0.0194","0.0010","0.0002","1.0013","1.0025","1.0031","1.0019",3064,2284,2161,2142,3498,2892,3057,2917
"N00_N29_C64_C65","2000_2005","2011_2015",10,"RUCC1_EQI_Water+SM+PA+OB","0.00","-0.22(-1.36,0.93)","-0.00(-1.15,1.14)","0.53(-0.59,1.64)","-0.69(-1.92,0.56)","0.7109","0.9942","0.3655","0.2926","1.0028","1.0032","1.0034","1.0022",2240,2180,2069,2164,3397,2954,3461,2901
"N00_N29_C64_C65","2000_2005","2011_2015",10,"RUCC1_EQI_Land+SM+PA+OB","0.00","-0.82(-1.67,0.02)","-0.85(-1.74,0.08)","-0.40(-1.43,0.66)","-0.84(-1.96,0.28)","0.0589","0.0714","0.4580","0.1381","1.0021","1.0038","1.0035","1.0035",3178,2520,2192,2241,3349,3404,3446,3186
"N00_N29_C64_C65","2000_2005","2011_2015",10,"RUCC1_EQI_Built+SM+PA+OB","0.00","-0.22(-1.15,0.71)","-0.23(-1.21,0.74)","-0.03(-1.10,1.02)","0.51(-0.60,1.66)","0.6442","0.6305","0.9471","0.3826","1.0003","1.0020","1.0015","1.0021",2937,2261,2175,2128,3759,2751,2805,2729
"N00_N29_C64_C65","2000_2005","2011_2015",10,"RUCC1_EQI_Social+SM+PA+OB","0.00","0.44(-0.33,1.18)","0.49(-0.32,1.31)","0.71(-0.19,1.60)","0.93(-0.08,1.97)","0.2493","0.2568","0.1318","0.0773","1.0010","1.0028","1.0031","1.0032",3333,2506,2556,2287,3638,3659,3260,3344
"N00_N29_C64_C65","2000_2005","2016_2020",15,"RUCC1_EQI+SM+PA+OB","0.00","1.18(0.25,2.14)","2.06(1.03,3.04)","2.69(1.58,3.76)","3.23(2.01,4.47)","0.0110","0.0002","0.0002","0.0002","1.0018","1.0010","1.0020","1.0008",3018,2397,2222,2216,3451,3213,3287,3110
"N00_N29_C64_C65","2000_2005","2016_2020",15,"RUCC1_EQI_Air+SM+PA+OB","0.00","0.79(-0.12,1.70)","0.90(-0.07,1.90)","1.85(0.84,2.86)","2.43(1.36,3.47)","0.0935","0.0673","0.0002","0.0002","0.9999","1.0014","1.0010","1.0017",2926,2467,2386,2280,3269,3285,3124,2901
"N00_N29_C64_C65","2000_2005","2016_2020",15,"RUCC1_EQI_Water+SM+PA+OB","0.00","-1.12(-2.28,0.08)","-0.38(-1.59,0.83)","-0.27(-1.46,0.91)","-0.96(-2.28,0.34)","0.0627","0.5255","0.6667","0.1427","1.0024","1.0019","1.0022","1.0023",2508,2207,2246,2175,3083,2623,2880,2658
"N00_N29_C64_C65","2000_2005","2016_2020",15,"RUCC1_EQI_Land+SM+PA+OB","0.00","-0.36(-1.20,0.53)","-0.51(-1.44,0.45)","-0.06(-1.12,1.00)","-0.74(-1.87,0.37)","0.4093","0.2893","0.8979","0.1977","1.0003","1.0003","1.0012","1.0011",3037,2749,2261,2400,3735,3466,2988,3181
