ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
K70_K76_C22,2000_2005,2006_2010,5,RUCC1_EQI+SM+PA+OB,0.00,"1.58(0.70,2.45)","1.63(0.67,2.58)","2.06(1.01,3.09)","1.97(0.80,3.09)",0.0002,0.0002,0.0002,0.0012,1.0014,1.0014,1.0018,1.0016,2362,1806,1652,1694,2639,2258,2010,2201
"K70_K76_C22","2000_2005","2006_2010",5,"RUCC1_EQI_Air+SM+PA+OB","0.00","1.36(0.48,2.21)","0.81(-0.11,1.71)","1.36(0.40,2.33)","1.62(0.60,2.60)","0.0032","0.0917","0.0047","0.0012","1.0001","1.0005","1.0002","0.9998",2203,1611,1619,1607,2796,2150,2368,2547
"K70_K76_C22","2000_2005","2006_2010",5,"RUCC1_EQI_Water+SM+PA+OB","0.00","-0.66(-1.66,0.33)","0.15(-0.85,1.17)","-0.03(-1.04,0.93)","0.22(-0.85,1.31)","0.2162","0.7811","0.9480","0.6986","1.0012","1.0008","1.0002","1.0008",2057,1852,1865,1736,2907,2765,2595,2949
"K70_K76_C22","2000_2005","2006_2010",5,"RUCC1_EQI_Land+SM+PA+OB","0.00","0.59(-0.18,1.36)","-0.00(-0.83,0.83)","-0.07(-0.96,0.86)","-0.14(-1.10,0.83)","0.1332","0.9935","0.8835","0.7756","1.0004","1.0002","1.0007","1.0005",3090,2404,2122,2091,2934,2937,2907,2463
"K70_K76_C22","2000_2005","2006_2010",5,"RUCC1_EQI_Built+SM+PA+OB","0.00","1.48(0.64,2.34)","1.95(1.03,2.89)","1.81(0.85,2.82)","2.70(1.66,3.79)","0.0002","0.0002","0.0002","0.0002","0.9997","1.0001","0.9999","1.0002",2401,1762,1706,1696,3249,2755,2748,2296
"K70_K76_C22","2000_2005","2006_2010",5,"RUCC1_EQI_Social+SM+PA+OB","0.00","0.88(0.21,1.57)","1.48(0.71,2.25)","2.80(1.95,3.65)","3.85(2.88,4.84)","0.0157","0.0002","0.0002","0.0002","0.9998","1.0015","1.0010","1.0005",2750,2318,2130,2022,3031,3002,2647,2697
"K70_K76_C22","2000_2005","2011_2015",10,"RUCC1_EQI+SM+PA+OB","0.00","1.49(0.59,2.36)","1.86(0.91,2.81)","2.36(1.30,3.41)","2.66(1.47,3.83)","0.0007","0.0007","0.0002","0.0002","1.0005","1.0003","1.0008","1.0018",2107,1581,1523,1603,2895,1976,2027,2455
"K70_K76_C22","2000_2005","2011_2015",10,"RUCC1_EQI_Air+SM+PA+OB","0.00","2.09(1.21,2.98)","1.66(0.75,2.55)","2.43(1.50,3.38)","2.53(1.55,3.53)","0.0002","0.0002","0.0002","0.0002","1.0009","1.0013","1.0009","1.0008",2174,1749,1689,1658,2617,2672,2456,2393
"K70_K76_C22","2000_2005","2011_2015",10,"RUCC1_EQI_Water+SM+PA+OB","0.00","0.58(-0.51,1.62)","-0.01(-1.10,1.07)","0.76(-0.27,1.82)","0.81(-0.29,1.92)","0.2877","0.9920","0.1512","0.1702","1.0039","1.0045","1.0040","1.0034",1797,1714,1638,1583,2319,2251,2312,2273
"K70_K76_C22","2000_2005","2011_2015",10,"RUCC1_EQI_Land+SM+PA+OB","0.00","0.97(0.19,1.74)","0.57(-0.28,1.42)","0.38(-0.61,1.32)","0.76(-0.28,1.79)","0.0132","0.1832","0.4291","0.1387","1.0005","1.0004","1.0000","1.0004",2557,2079,1721,1822,3191,2878,2337,2519
"K70_K76_C22","2000_2005","2011_2015",10,"RUCC1_EQI_Built+SM+PA+OB","0.00","0.54(-0.30,1.40)","1.17(0.28,2.10)","1.22(0.27,2.19)","1.87(0.83,2.95)","0.2152","0.0102","0.0147","0.0012","1.0014","1.0023","1.0020","1.0018",2087,1607,1531,1533,2451,2112,2055,2179
