ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
J40_J47_J60_J70_J84_D86_C34,2000_2005,2006_2010,5,RUCC1_EQI+SM+PA+OB,"1.00(1.00,1.00)","1.00(0.98,1.03)","1.01(0.98,1.03)","0.99(0.97,1.02)","1.01(0.98,1.04)",0.7684,0.6163,0.6363,0.4647,1.0016,1.0014,1.0027,1.0022,4379,3353,2941,3082,3968,3812,3157,3589
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"RUCC1_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","1.01(0.98,1.03)","1.01(0.98,1.03)","1.04(1.02,1.07)","1.01(0.98,1.04)","0.5897","0.5743","0.0010","0.6626","1.0007","1.0009","1.0009","1.0002",3601,3035,2900,2724,3682,3657,3526,3544
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"RUCC1_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","1.01(0.98,1.05)","1.00(0.97,1.03)","1.02(0.99,1.05)","1.01(0.98,1.04)","0.3356","0.8942","0.1752","0.5155","0.9997","1.0004","1.0004","1.0007",3261,2880,2877,2827,3948,3440,3530,3118
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"RUCC1_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","1.00(0.98,1.03)","0.98(0.95,1.00)","0.99(0.96,1.02)","1.00(0.97,1.03)","0.8688","0.0877","0.5680","0.8180","1.0001","1.0002","1.0002","1.0003",4170,3347,2979,2961,3820,3795,3651,3709
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"RUCC1_EQI_Built+SM+PA+OB","1.00(1.00,1.00)","0.99(0.96,1.01)","0.98(0.96,1.01)","0.98(0.95,1.01)","0.99(0.96,1.02)","0.3235","0.1781","0.1623","0.3914","1.0000","0.9998","0.9999","1.0005",4005,2851,2568,2613,3950,3592,3283,3313
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"RUCC1_EQI_Social+SM+PA+OB","1.00(1.00,1.00)","1.01(0.98,1.03)","1.00(0.97,1.02)","1.00(0.97,1.03)","0.98(0.95,1.01)","0.5380","0.9454","0.9492","0.2277","1.0012","1.0013","1.0009","1.0010",3809,2902,2874,2636,3054,3663,3290,3423
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2011_2015",10,"RUCC1_EQI+SM+PA+OB","1.00(1.00,1.00)","1.01(0.99,1.04)","1.02(0.99,1.05)","1.00(0.97,1.03)","1.01(0.98,1.04)","0.3701","0.1318","0.8584","0.4797","1.0004","1.0019","1.0022","1.0037",4362,3410,2809,2603,4039,3842,3471,3391
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2011_2015",10,"RUCC1_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","1.02(0.99,1.04)","1.02(1.00,1.05)","1.04(1.01,1.07)","1.00(0.97,1.03)","0.2043","0.0773","0.0060","0.8080","1.0007","1.0011","1.0001","1.0006",3610,3112,2924,2849,3377,3404,3448,3606
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2011_2015",10,"RUCC1_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","1.04(1.01,1.07)","1.01(0.98,1.04)","1.04(1.01,1.07)","1.03(1.00,1.06)","0.0198","0.4705","0.0202","0.0698","1.0016","1.0013","1.0003","1.0007",2962,3017,3139,2921,3916,3844,3640,3333
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2011_2015",10,"RUCC1_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","0.99(0.97,1.02)","0.97(0.94,1.00)","0.99(0.96,1.02)","1.01(0.98,1.04)","0.6117","0.0315","0.6097","0.6896","1.0007","1.0013","1.0020","1.0023",4183,3445,2905,3047,3865,3832,3623,3684
