ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
I00_I99,2000_2005,2006_2010,5,RUCC1_EQI+SM+PA+OB,0.00,"4.20(0.60,7.69)","1.41(-2.27,5.09)","4.53(0.50,8.37)","5.34(0.88,9.77)",0.0237,0.4721,0.0272,0.0247,1.0006,1.0002,1.0000,1.0009,3107,2576,2077,1870,2744,3019,2561,2368
"I00_I99","2000_2005","2006_2010",5,"RUCC1_EQI_Air+SM+PA+OB","0.00","-0.31(-3.89,3.38)","3.16(-0.49,6.91)","4.16(0.30,7.96)","8.62(4.60,12.66)","0.8545","0.0997","0.0287","0.0002","1.0012","1.0021","1.0018","1.0013",2805,2260,2179,2171,2612,2714,2701,2574
"I00_I99","2000_2005","2006_2010",5,"RUCC1_EQI_Water+SM+PA+OB","0.00","-2.88(-7.14,1.46)","-4.39(-8.77,0.04)","-6.27(-10.59,-1.89)","-6.59(-11.29,-1.74)","0.2067","0.0547","0.0027","0.0072","1.0013","1.0004","1.0007","1.0003",2561,2339,2179,2445,3015,2656,2674,2644
"I00_I99","2000_2005","2006_2010",5,"RUCC1_EQI_Land+SM+PA+OB","0.00","1.78(-1.81,5.29)","-1.79(-5.44,1.75)","0.55(-3.54,4.62)","-2.96(-7.52,1.28)","0.3242","0.3402","0.7871","0.1822","1.0009","1.0023","1.0015","1.0021",2992,2500,2093,2194,2743,2581,2689,3022
"I00_I99","2000_2005","2006_2010",5,"RUCC1_EQI_Built+SM+PA+OB","0.00","2.33(-1.00,5.67)","1.43(-2.05,5.03)","4.12(0.38,8.02)","5.13(0.96,9.32)","0.1877","0.4291","0.0317","0.0167","1.0005","1.0008","1.0003","1.0002",3095,2271,2264,2220,3286,2721,2572,2370
"I00_I99","2000_2005","2006_2010",5,"RUCC1_EQI_Social+SM+PA+OB","0.00","3.22(-0.05,6.42)","2.69(-0.64,6.26)","9.16(5.39,12.83)","19.07(14.94,22.99)","0.0527","0.1232","0.0002","0.0002","1.0012","1.0006","0.9996","0.9998",2819,2669,2452,2405,2783,2995,2948,2866
"I00_I99","2000_2005","2011_2015",10,"RUCC1_EQI+SM+PA+OB","0.00","3.87(0.57,7.20)","2.46(-1.00,6.02)","4.38(0.63,8.20)","4.32(-0.05,8.73)","0.0217","0.1647","0.0262","0.0522","1.0007","1.0016","1.0013","1.0025",3324,2482,2473,2150,3265,2968,2864,2233
"I00_I99","2000_2005","2011_2015",10,"RUCC1_EQI_Air+SM+PA+OB","0.00","-0.12(-3.55,3.24)","2.86(-0.63,6.28)","3.98(0.33,7.68)","5.37(1.51,9.31)","0.9355","0.1117","0.0317","0.0062","1.0011","1.0008","1.0012","1.0010",3905,3014,2909,2821,3131,2793,2992,3247
"I00_I99","2000_2005","2011_2015",10,"RUCC1_EQI_Water+SM+PA+OB","0.00","-3.55(-7.68,0.62)","-2.44(-6.83,1.81)","-2.70(-6.93,1.56)","-3.72(-8.39,1.06)","0.0937","0.2537","0.2077","0.1247","1.0010","1.0010","1.0015","1.0019",2795,2708,2551,2712,3162,3064,2673,3160
"I00_I99","2000_2005","2011_2015",10,"RUCC1_EQI_Land+SM+PA+OB","0.00","1.14(-2.16,4.56)","-2.20(-5.68,1.40)","3.36(-0.58,7.31)","-1.43(-5.81,2.91)","0.5156","0.2192","0.0972","0.5051","1.0021","1.0000","1.0004","1.0012",3588,3071,2783,2658,2941,3037,3167,2899
