ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
I00_I99,2000_2005,2006_2010,5,RUCC1_EQI+SM+PA+OB,"1.00(1.00,1.00)","1.02(1.00,1.03)","1.01(0.99,1.02)","1.02(1.00,1.03)","1.02(1.00,1.04)",0.0235,0.4701,0.0269,0.0202,1.0015,1.0006,1.0019,1.0017,3888,3132,2504,2274,3934,3780,2796,2905
"I00_I99","2000_2005","2006_2010",5,"RUCC1_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","1.00(0.98,1.01)","1.01(1.00,1.03)","1.02(1.00,1.03)","1.04(1.02,1.05)","0.8471","0.1010","0.0331","0.0002","1.0010","1.0011","1.0020","1.0015",3832,2949,2866,2790,3525,3188,3239,2969
"I00_I99","2000_2005","2006_2010",5,"RUCC1_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","0.99(0.97,1.01)","0.98(0.96,1.00)","0.97(0.96,0.99)","0.97(0.95,0.99)","0.2072","0.0544","0.0031","0.0085","1.0015","1.0004","1.0005","1.0011",3294,2876,2593,3095,3610,3585,3191,3216
"I00_I99","2000_2005","2006_2010",5,"RUCC1_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","1.01(0.99,1.02)","0.99(0.98,1.01)","1.00(0.99,1.02)","0.99(0.97,1.00)","0.3239","0.3406","0.7913","0.1785","1.0002","1.0022","1.0014","1.0015",3960,3414,2698,2962,3622,3366,3361,3711
"I00_I99","2000_2005","2006_2010",5,"RUCC1_EQI_Built+SM+PA+OB","1.00(1.00,1.00)","1.01(1.00,1.02)","1.01(0.99,1.02)","1.02(1.00,1.03)","1.02(1.00,1.04)","0.1789","0.4409","0.0319","0.0131","1.0007","1.0014","1.0002","1.0010",3816,2803,2799,2858,3755,3050,3320,3018
"I00_I99","2000_2005","2006_2010",5,"RUCC1_EQI_Social+SM+PA+OB","1.00(1.00,1.00)","1.01(1.00,1.03)","1.01(1.00,1.03)","1.04(1.02,1.05)","1.08(1.06,1.09)","0.0531","0.1277","0.0002","0.0002","1.0000","1.0000","0.9999","1.0001",3897,3498,3154,3220,3739,3784,3747,3654
"I00_I99","2000_2005","2011_2015",10,"RUCC1_EQI+SM+PA+OB","1.00(1.00,1.00)","1.02(1.00,1.03)","1.01(1.00,1.03)","1.02(1.00,1.04)","1.02(1.00,1.04)","0.0240","0.1677","0.0306","0.0552","1.0002","1.0007","1.0006","1.0022",4316,3273,3030,2691,3947,3669,3350,3038
"I00_I99","2000_2005","2011_2015",10,"RUCC1_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","1.00(0.98,1.01)","1.01(1.00,1.03)","1.02(1.00,1.03)","1.02(1.01,1.04)","0.9492","0.1039","0.0327","0.0077","1.0010","1.0011","1.0001","1.0006",4225,3343,3342,3088,4063,3262,3541,3754
"I00_I99","2000_2005","2011_2015",10,"RUCC1_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","0.98(0.97,1.00)","0.99(0.97,1.01)","0.99(0.97,1.01)","0.98(0.96,1.00)","0.0923","0.2568","0.2152","0.1169","1.0002","1.0005","1.0010","1.0015",3690,3380,3200,3278,3805,3793,3555,3807
"I00_I99","2000_2005","2011_2015",10,"RUCC1_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","1.01(0.99,1.02)","0.99(0.97,1.01)","1.02(1.00,1.03)","0.99(0.97,1.01)","0.5243","0.2177","0.0910","0.5005","1.0014","1.0005","1.0005","1.0010",4508,3716,3384,3153,3685,3631,3614,3383
"I00_I99","2000_2005","2011_2015",10,"RUCC1_EQI_Built+SM+PA+OB","1.00(1.00,1.00)","0.99(0.98,1.01)","0.99(0.98,1.01)","1.01(0.99,1.03)","1.02(1.00,1.04)","0.4976","0.3168","0.2743","0.0190","1.0008","1.0008","1.0015","1.0003",4459,3327,3452,3087,3283,3712,3428,3392
"I00_I99","2000_2005","2011_2015",10,"RUCC1_EQI_Social+SM+PA+OB","1.00(1.00,1.00)","1.02(1.00,1.03)","1.02(1.00,1.04)","1.05(1.03,1.07)","1.09(1.07,1.11)","0.0140","0.0165","0.0002","0.0002","1.0003","1.0006","1.0002","1.0001",4093,3499,3370,3085,3565,3460,4189,3586
