ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
C00_C97,2000_2005,2006_2010,5,RUCC1_EQI+SM+PA+OB,0.00,"1.23(-1.50,3.89)","2.11(-0.91,5.05)","4.27(1.27,7.25)","7.51(4.09,10.97)",0.3757,0.1542,0.0082,0.0002,1.0002,1.0010,1.0019,1.0006,3980,2982,2586,2525,3441,2972,2994,2657
"C00_C97","2000_2005","2006_2010",5,"RUCC1_EQI_Air+SM+PA+OB","0.00","0.19(-2.64,2.99)","0.06(-2.87,2.91)","4.23(1.26,7.23)","6.46(3.33,9.56)","0.8935","0.9640","0.0062","0.0002","1.0004","1.0006","0.9998","1.0010",2845,2369,2085,2002,3033,2878,2603,2845
"C00_C97","2000_2005","2006_2010",5,"RUCC1_EQI_Water+SM+PA+OB","0.00","-2.62(-5.96,0.55)","-2.79(-6.17,0.44)","-4.14(-7.33,-0.89)","-3.86(-7.41,-0.44)","0.1057","0.0962","0.0147","0.0262","1.0002","1.0008","1.0015","1.0035",2158,1972,1874,1961,2859,2648,2534,2599
"C00_C97","2000_2005","2006_2010",5,"RUCC1_EQI_Land+SM+PA+OB","0.00","1.40(-1.22,4.03)","-2.58(-5.32,0.16)","-1.25(-4.27,1.75)","-1.39(-4.67,1.91)","0.2932","0.0637","0.4266","0.4031","1.0005","1.0008","1.0005","1.0002",3058,2653,2303,2288,2972,3041,3089,2634
"C00_C97","2000_2005","2006_2010",5,"RUCC1_EQI_Built+SM+PA+OB","0.00","-0.26(-2.98,2.43)","-0.16(-3.07,2.76)","0.57(-2.38,3.59)","4.23(0.93,7.54)","0.8450","0.9185","0.7141","0.0142","1.0000","1.0004","1.0005","1.0009",2858,2361,2144,1960,3042,2947,2974,2798
"C00_C97","2000_2005","2006_2010",5,"RUCC1_EQI_Social+SM+PA+OB","0.00","1.65(-0.81,4.07)","0.61(-2.07,3.26)","2.58(-0.25,5.44)","4.14(1.14,7.13)","0.1912","0.6491","0.0762","0.0092","0.9997","1.0009","1.0004","1.0003",3096,2573,2338,2090,2935,2762,2667,3056
"C00_C97","2000_2005","2011_2015",10,"RUCC1_EQI+SM+PA+OB","0.00","4.40(1.77,7.03)","5.28(2.59,8.07)","6.52(3.74,9.42)","9.69(6.48,12.91)","0.0017","0.0002","0.0002","0.0002","1.0010","1.0014","1.0005","1.0025",3608,2960,2795,2691,2951,2992,2899,2423
"C00_C97","2000_2005","2011_2015",10,"RUCC1_EQI_Air+SM+PA+OB","0.00","2.21(-0.51,4.94)","3.36(0.46,6.17)","5.50(2.62,8.40)","7.55(4.58,10.53)","0.1167","0.0232","0.0007","0.0002","1.0011","1.0023","1.0021","1.0027",3365,2676,2339,2271,3300,2940,2814,2711
"C00_C97","2000_2005","2011_2015",10,"RUCC1_EQI_Water+SM+PA+OB","0.00","0.32(-2.90,3.52)","-1.32(-4.61,1.87)","-1.03(-4.21,2.09)","-0.39(-3.92,2.89)","0.8575","0.4231","0.5096","0.8375","1.0010","1.0003","1.0009","1.0009",2752,2305,2145,2309,2964,2723,2506,2590
"C00_C97","2000_2005","2011_2015",10,"RUCC1_EQI_Land+SM+PA+OB","0.00","0.54(-2.03,3.17)","-2.62(-5.36,0.07)","-1.28(-4.22,1.77)","-0.61(-3.74,2.55)","0.6786","0.0557","0.3867","0.6951","1.0017","1.0027","1.0025","1.0025",3092,2709,2289,2383,2925,2702,2918,2844
"C00_C97","2000_2005","2011_2015",10,"RUCC1_EQI_Built+SM+PA+OB","0.00","2.17(-0.58,4.88)","1.35(-1.49,4.13)","3.13(0.13,6.14)","5.84(2.68,9.04)","0.1222","0.3412","0.0407","0.0012","1.0007","1.0015","1.0009","1.0007",3278,2769,2498,2242,2837,2906,2755,2765
"C00_C97","2000_2005","2011_2015",10,"RUCC1_EQI_Social+SM+PA+OB","0.00","2.71(0.29,5.13)","1.38(-1.21,3.96)","2.45(-0.39,5.33)","4.74(1.66,7.85)","0.0242","0.2967","0.0837","0.0027","1.0009","1.0013","1.0024","1.0015",3444,2822,2753,2412,3156,3041,3077,2866
"C00_C97","2000_2005","2016_2020",15,"RUCC1_EQI+SM+PA+OB","0.00","3.89(1.21,6.55)","4.33(1.66,7.01)","4.61(1.78,7.31)","5.87(2.79,8.94)","0.0037","0.0007","0.0012","0.0007","1.0026","1.0010","1.0011","1.0012",3628,3181,2776,2737,3050,3177,3108,3144
"C00_C97","2000_2005","2016_2020",15,"RUCC1_EQI_Air+SM+PA+OB","0.00","2.11(-0.62,4.70)","1.43(-1.31,4.09)","4.36(1.55,7.06)","3.60(0.57,6.44)","0.1187","0.2942","0.0022","0.0222","1.0009","1.0005","1.0002","1.0014",2748,2311,2257,2070,3014,2910,2854,2697
"C00_C97","2000_2005","2016_2020",15,"RUCC1_EQI_Water+SM+PA+OB","0.00","0.41(-2.60,3.36)","-0.67(-3.61,2.30)","-0.46(-3.40,2.47)","-0.57(-3.55,2.52)","0.7781","0.6536","0.7521","0.7156","1.0014","1.0012","1.0029","1.0016",2284,2269,2160,2227,3028,3171,3092,2978
"C00_C97","2000_2005","2016_2020",15,"RUCC1_EQI_Land+SM+PA+OB","0.00","1.43(-1.06,3.88)","-2.93(-5.48,-0.44)","-1.94(-4.76,0.86)","0.16(-2.79,3.04)","0.2687","0.0257","0.1707","0.9135","1.0006","1.0012","0.9999","1.0009",3139,2759,2536,2402,3219,2848,2877,3038
"C00_C97","2000_2005","2016_2020",15,"RUCC1_EQI_Built+SM+PA+OB","0.00","1.21(-1.41,3.81)","1.64(-1.09,4.32)","2.81(-0.09,5.73)","4.53(1.44,7.67)","0.3577","0.2322","0.0642","0.0052","0.9999","1.0000","1.0002","1.0002",3893,2633,2351,2334,3562,3216,3145,2589
"C00_C97","2000_2005","2016_2020",15,"RUCC1_EQI_Social+SM+PA+OB","0.00","3.15(0.71,5.58)","1.27(-1.34,3.84)","1.43(-1.36,4.19)","2.38(-0.65,5.37)","0.0182","0.3192","0.2912","0.1162","0.9996","1.0009","1.0002","1.0006",3022,2282,2136,2131,2574,2687,2655,2847
"C00_C97","2000_2005","2021_2024",20,"RUCC1_EQI+SM+PA+OB","0.00","0.19(-2.95,3.35)","-0.53(-3.94,2.90)","-1.65(-5.36,1.89)","-1.88(-5.84,2.10)","0.9050","0.7466","0.3752","0.3642","1.0003","1.0008","1.0014","1.0019",2974,2281,2084,2025,3277,2828,2488,2457
"C00_C97","2000_2005","2021_2024",20,"RUCC1_EQI_Air+SM+PA+OB","0.00","-0.44(-3.66,2.97)","-1.58(-4.83,1.88)","-2.21(-5.68,1.39)","-3.85(-7.43,-0.13)","0.7791","0.3497","0.2152","0.0412","1.0014","1.0021","1.0017","1.0016",2749,2127,2008,1978,3100,2774,2750,2594
"C00_C97","2000_2005","2021_2024",20,"RUCC1_EQI_Water+SM+PA+OB","0.00","-0.64(-4.66,3.38)","-1.63(-5.80,2.55)","-1.48(-5.43,2.64)","-1.91(-6.23,2.59)","0.7521","0.4391","0.4816","0.3992","1.0014","1.0018","1.0018","1.0032",1958,2019,1882,1919,2619,2695,2606,2582
"C00_C97","2000_2005","2021_2024",20,"RUCC1_EQI_Land+SM+PA+OB","0.00","-2.01(-5.11,1.17)","-5.57(-8.98,-2.08)","-2.34(-6.13,1.40)","-1.35(-5.31,2.70)","0.2117","0.0012","0.2202","0.5056","1.0009","1.0009","1.0007","1.0007",3053,2423,2168,2105,2756,2745,2864,2622
"C00_C97","2000_2005","2021_2024",20,"RUCC1_EQI_Built+SM+PA+OB","0.00","-0.82(-4.04,2.55)","0.07(-3.34,3.46)","2.19(-1.37,5.80)","4.23(0.35,8.14)","0.6216","0.9670","0.2442","0.0337","1.0024","1.0017","1.0008","1.0014",2425,1951,1914,1722,2472,2581,2919,2416
