ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
C00_C97,2000_2005,2006_2010,5,RUCC1_EQI+SM+PA+OB,0.00,"1.23(-1.55,3.92)","2.15(-0.68,5.00)","4.32(1.21,7.43)","7.56(4.11,10.92)",0.3847,0.1423,0.0065,0.0002,1.0002,1.0005,1.0004,1.0006,3975,2974,2834,2632,3710,3624,3453,3252
"C00_C97","2000_2005","2006_2010",5,"RUCC1_EQI_Air+SM+PA+OB","0.00","0.13(-2.67,2.83)","0.02(-2.77,2.79)","4.17(1.25,7.04)","6.39(3.38,9.43)","0.9054","0.9875","0.0052","0.0002","1.0013","1.0032","1.0023","1.0019",3645,2652,2561,2444,3706,3626,3387,3742
"C00_C97","2000_2005","2006_2010",5,"RUCC1_EQI_Water+SM+PA+OB","0.00","-2.62(-5.88,0.47)","-2.82(-6.08,0.46)","-4.12(-7.20,-0.98)","-3.86(-7.18,-0.46)","0.1010","0.0864","0.0140","0.0235","1.0008","1.0021","1.0005","1.0008",2823,2395,2647,2870,3749,3243,3533,3847
"C00_C97","2000_2005","2006_2010",5,"RUCC1_EQI_Land+SM+PA+OB","0.00","1.40(-1.26,4.01)","-2.56(-5.37,0.18)","-1.24(-4.32,1.83)","-1.33(-4.54,1.96)","0.2939","0.0714","0.4276","0.4172","1.0009","1.0005","1.0005","1.0007",3011,2853,2458,2490,3545,2723,3075,3028
"C00_C97","2000_2005","2006_2010",5,"RUCC1_EQI_Built+SM+PA+OB","0.00","-0.20(-3.05,2.55)","-0.09(-2.96,2.75)","0.65(-2.33,3.66)","4.31(1.12,7.59)","0.9004","0.9604","0.6692","0.0119","1.0000","1.0007","1.0016","1.0016",3669,2699,2572,2334,3759,3296,3209,3271
"C00_C97","2000_2005","2006_2010",5,"RUCC1_EQI_Social+SM+PA+OB","0.00","1.63(-0.81,4.09)","0.58(-2.10,3.23)","2.52(-0.42,5.36)","4.10(0.93,7.21)","0.1848","0.6605","0.0885","0.0131","0.9999","1.0004","1.0017","1.0011",3892,3180,3080,2779,3679,3425,3435,3545
"C00_C97","2000_2005","2011_2015",10,"RUCC1_EQI+SM+PA+OB","0.00","4.38(1.81,7.03)","5.28(2.60,8.03)","6.50(3.61,9.41)","9.67(6.43,12.92)","0.0010","0.0002","0.0002","0.0002","1.0007","1.0000","1.0009","1.0005",4244,3131,2933,2933,3930,3418,3659,3639
"C00_C97","2000_2005","2011_2015",10,"RUCC1_EQI_Air+SM+PA+OB","0.00","2.20(-0.50,4.84)","3.42(0.56,6.15)","5.55(2.70,8.35)","7.59(4.51,10.56)","0.1060","0.0190","0.0002","0.0002","1.0002","1.0017","1.0036","1.0028",3976,3160,2870,2685,3970,3780,3703,3558
"C00_C97","2000_2005","2011_2015",10,"RUCC1_EQI_Water+SM+PA+OB","0.00","0.42(-2.83,3.59)","-1.21(-4.44,1.95)","-0.94(-4.03,2.10)","-0.30(-3.66,3.00)","0.8025","0.4518","0.5559","0.8704","1.0003","1.0004","1.0008","1.0009",2952,2667,2553,2605,3327,3419,3258,3458
"C00_C97","2000_2005","2011_2015",10,"RUCC1_EQI_Land+SM+PA+OB","0.00","0.52(-2.04,3.10)","-2.62(-5.34,0.13)","-1.27(-4.17,1.68)","-0.58(-3.59,2.40)","0.7021","0.0644","0.3918","0.7234","1.0004","1.0002","1.0000","1.0012",4110,3292,2719,2737,4082,3625,3683,3287
"C00_C97","2000_2005","2011_2015",10,"RUCC1_EQI_Built+SM+PA+OB","0.00","2.16(-0.49,4.78)","1.32(-1.41,4.11)","3.12(0.19,6.05)","5.82(2.68,9.05)","0.1164","0.3481","0.0360","0.0006","1.0010","1.0017","1.0019","1.0020",3691,2899,2551,2471,3729,4110,3563,3528
"C00_C97","2000_2005","2011_2015",10,"RUCC1_EQI_Social+SM+PA+OB","0.00","2.75(0.44,5.13)","1.39(-1.26,3.97)","2.46(-0.31,5.29)","4.77(1.87,7.80)","0.0194","0.2831","0.0877","0.0019","1.0003","1.0002","1.0014","1.0009",4050,3241,3245,2921,4114,3940,3901,3645
"C00_C97","2000_2005","2016_2020",15,"RUCC1_EQI+SM+PA+OB","0.00","3.91(1.27,6.44)","4.35(1.73,6.86)","4.60(1.83,7.36)","5.85(2.71,8.95)","0.0031","0.0019","0.0019","0.0006","1.0012","1.0037","1.0045","1.0049",3979,3291,2930,2775,3754,3497,3439,3443
"C00_C97","2000_2005","2016_2020",15,"RUCC1_EQI_Air+SM+PA+OB","0.00","2.17(-0.52,4.85)","1.46(-1.25,4.10)","4.38(1.54,7.14)","3.65(0.74,6.51)","0.1069","0.2972","0.0027","0.0131","1.0002","1.0008","1.0006","1.0003",4109,3188,2963,2648,4030,3966,3737,3840
"C00_C97","2000_2005","2016_2020",15,"RUCC1_EQI_Water+SM+PA+OB","0.00","0.34(-2.60,3.37)","-0.78(-3.68,2.10)","-0.53(-3.40,2.28)","-0.65(-3.73,2.49)","0.8230","0.6017","0.7121","0.6701","1.0019","1.0017","1.0009","1.0007",3274,2875,3348,3085,3533,3539,3811,3784
"C00_C97","2000_2005","2016_2020",15,"RUCC1_EQI_Land+SM+PA+OB","0.00","1.47(-1.08,3.96)","-2.88(-5.57,-0.31)","-1.89(-4.74,0.90)","0.19(-2.75,3.13)","0.2477","0.0294","0.1843","0.8846","1.0009","1.0018","1.0010","1.0019",3902,3223,2916,3010,3657,3083,3581,3582
"C00_C97","2000_2005","2016_2020",15,"RUCC1_EQI_Built+SM+PA+OB","0.00","1.15(-1.61,3.83)","1.58(-1.17,4.28)","2.76(-0.17,5.59)","4.50(1.36,7.64)","0.4030","0.2672","0.0639","0.0044","1.0014","1.0008","1.0012","1.0023",3790,2716,2491,2380,3913,3431,3785,3296
"C00_C97","2000_2005","2016_2020",15,"RUCC1_EQI_Social+SM+PA+OB","0.00","3.14(0.79,5.49)","1.28(-1.28,3.92)","1.38(-1.31,4.21)","2.37(-0.60,5.41)","0.0110","0.3426","0.3285","0.1148","1.0007","1.0008","1.0013","1.0016",4039,2988,2923,2601,4116,3605,3814,3153
