ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,RUCC1_EQI+SM+PA+OB,0.00,"2.15(-0.45,4.85)","4.00(1.29,6.82)","4.74(1.83,7.70)","4.44(1.14,7.79)",0.1185,0.0044,0.0019,0.0119,1.0017,1.0020,1.0026,1.0010,4072,3277,2881,2765,3664,3654,3209,3283
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"RUCC1_EQI_Air+SM+PA+OB","0.00","2.31(-0.29,4.94)","2.13(-0.63,4.94)","4.19(1.22,7.27)","3.08(-0.02,6.12)","0.0844","0.1377","0.0048","0.0514","1.0002","1.0009","1.0010","1.0008",3075,2403,2274,2219,3271,3323,3077,3041
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"RUCC1_EQI_Water+SM+PA+OB","0.00","3.81(0.52,7.07)","1.06(-2.24,4.37)","1.14(-2.09,4.47)","0.94(-2.64,4.45)","0.0269","0.5418","0.4939","0.6038","1.0022","1.0012","1.0033","1.0013",2847,2504,2507,2428,3727,3444,3448,3607
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"RUCC1_EQI_Land+SM+PA+OB","0.00","2.21(-0.46,4.88)","0.12(-2.70,2.89)","-1.08(-4.34,2.06)","1.30(-2.10,4.54)","0.1031","0.9292","0.4909","0.4422","1.0006","1.0018","1.0003","1.0012",3617,2913,2591,2688,3510,3404,2955,3325
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"RUCC1_EQI_Built+SM+PA+OB","0.00","0.34(-2.26,3.10)","3.14(0.37,5.90)","1.01(-1.98,4.09)","2.42(-0.91,5.72)","0.7959","0.0273","0.5030","0.1548","1.0037","1.0052","1.0061","1.0069",3384,2293,2146,2008,3312,3160,3023,2917
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"RUCC1_EQI_Social+SM+PA+OB","0.00","-0.34(-2.91,2.28)","-3.36(-6.06,-0.60)","-4.46(-7.37,-1.56)","-6.58(-9.80,-3.38)","0.7888","0.0173","0.0027","0.0002","1.0005","1.0013","1.0016","1.0026",3143,2598,2304,2227,3543,3179,3413,3257
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"RUCC1_EQI+SM+PA+OB","0.00","4.47(1.88,7.14)","5.73(2.95,8.52)","5.74(2.70,8.73)","5.49(2.12,8.97)","0.0010","0.0002","0.0002","0.0010","1.0004","1.0020","1.0010","1.0008",3697,2939,2618,2751,3623,3675,3591,3374
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"RUCC1_EQI_Air+SM+PA+OB","0.00","2.14(-0.47,4.76)","3.32(0.56,6.12)","5.90(3.01,8.82)","3.76(0.72,6.91)","0.1085","0.0210","0.0002","0.0127","1.0018","1.0010","1.0020","1.0018",3864,2792,2675,2535,3553,3585,3709,3632
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"RUCC1_EQI_Water+SM+PA+OB","0.00","2.57(-0.81,5.95)","-0.37(-3.78,3.11)","1.16(-2.15,4.60)","-0.36(-4.05,3.38)","0.1352","0.8275","0.5238","0.8296","1.0003","1.0006","1.0000","1.0001",2579,2464,2279,2448,3467,3784,3406,3293
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"RUCC1_EQI_Land+SM+PA+OB","0.00","2.64(0.02,5.29)","1.84(-0.94,4.63)","0.33(-2.71,3.44)","2.17(-1.13,5.51)","0.0464","0.1943","0.8488","0.1952","1.0005","1.0020","1.0024","1.0019",4154,3283,2553,2786,4119,3553,3029,3264
