ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
X60_X84_Y87.0,2000_2005,2006_2010,5,RUCC1_EQI+SM+PA+OB,0.00,"0.72(0.07,1.33)","1.30(0.57,2.01)","0.93(0.17,1.70)","0.46(-0.42,1.33)",0.0312,0.0002,0.0177,0.3127,1.0015,1.0012,1.0022,1.0010,2123,1719,1508,1459,2864,2619,2514,2606
"X60_X84_Y87.0","2000_2005","2006_2010",5,"RUCC1_EQI_Air+SM+PA+OB","0.00","1.04(0.34,1.71)","0.40(-0.33,1.12)","0.02(-0.70,0.79)","-0.62(-1.39,0.15)","0.0027","0.2652","0.9635","0.1132","1.0036","1.0047","1.0047","1.0039",1711,1313,1207,1170,2543,2281,2268,2223
"X60_X84_Y87.0","2000_2005","2006_2010",5,"RUCC1_EQI_Water+SM+PA+OB","0.00","0.26(-0.59,1.12)","0.53(-0.30,1.34)","0.89(0.07,1.71)","0.95(-0.00,1.84)","0.5211","0.2122","0.0367","0.0512","1.0003","1.0003","1.0007","1.0000",1468,1390,1278,1303,2178,1883,1885,1855
"X60_X84_Y87.0","2000_2005","2006_2010",5,"RUCC1_EQI_Land+SM+PA+OB","0.00","0.05(-0.56,0.64)","0.35(-0.31,1.00)","0.59(-0.16,1.35)","0.43(-0.39,1.22)","0.8650","0.2912","0.1252","0.2887","0.9999","1.0001","1.0009","1.0003",2203,1737,1553,1602,2875,2652,2353,2094
"X60_X84_Y87.0","2000_2005","2006_2010",5,"RUCC1_EQI_Built+SM+PA+OB","0.00","1.15(0.45,1.84)","1.26(0.54,1.95)","1.65(0.89,2.41)","1.49(0.63,2.32)","0.0007","0.0017","0.0002","0.0012","1.0011","1.0033","1.0026","1.0039",2255,1601,1528,1472,2865,2610,2559,2294
"X60_X84_Y87.0","2000_2005","2006_2010",5,"RUCC1_EQI_Social+SM+PA+OB","0.00","0.23(-0.35,0.81)","0.26(-0.37,0.88)","0.54(-0.16,1.24)","-0.44(-1.21,0.30)","0.4236","0.4291","0.1277","0.2762","1.0010","1.0029","1.0046","1.0012",2411,2013,1847,1823,2842,2116,2235,1975
"X60_X84_Y87.0","2000_2005","2011_2015",10,"RUCC1_EQI+SM+PA+OB","0.00","-0.21(-0.92,0.51)","-0.00(-0.76,0.81)","-0.75(-1.57,0.08)","-1.23(-2.15,-0.26)","0.5956","0.9855","0.0802","0.0117","1.0003","1.0013","1.0008","1.0012",2748,2248,1891,2062,2753,2372,2631,2527
"X60_X84_Y87.0","2000_2005","2011_2015",10,"RUCC1_EQI_Air+SM+PA+OB","0.00","0.65(-0.12,1.45)","-0.30(-1.12,0.52)","-1.20(-2.07,-0.34)","-2.01(-2.90,-1.13)","0.1062","0.4761","0.0027","0.0002","1.0004","1.0005","1.0007","1.0002",2188,1695,1534,1542,2727,2324,1980,2310
"X60_X84_Y87.0","2000_2005","2011_2015",10,"RUCC1_EQI_Water+SM+PA+OB","0.00","-0.36(-1.31,0.57)","0.35(-0.54,1.24)","0.85(-0.03,1.75)","1.15(0.15,2.16)","0.4371","0.4416","0.0597","0.0227","1.0020","1.0011","1.0018","1.0020",1554,1363,1321,1348,2705,2190,2497,2466
"X60_X84_Y87.0","2000_2005","2011_2015",10,"RUCC1_EQI_Land+SM+PA+OB","0.00","0.09(-0.55,0.74)","0.07(-0.65,0.79)","0.23(-0.60,1.06)","0.13(-0.71,1.01)","0.7966","0.8555","0.5826","0.7751","1.0024","1.0014","1.0027","1.0030",2121,1526,1279,1332,2692,2558,2035,2086
"X60_X84_Y87.0","2000_2005","2011_2015",10,"RUCC1_EQI_Built+SM+PA+OB","0.00","0.46(-0.32,1.22)","0.77(-0.03,1.53)","1.17(0.35,1.99)","0.56(-0.34,1.49)","0.2472","0.0562","0.0062","0.2382","1.0003","1.0003","1.0015","1.0000",1928,1535,1467,1390,2926,2741,2458,2537
"X60_X84_Y87.0","2000_2005","2011_2015",10,"RUCC1_EQI_Social+SM+PA+OB","0.00","0.07(-0.55,0.66)","0.38(-0.30,1.04)","0.58(-0.15,1.31)","-0.62(-1.44,0.21)","0.8105","0.2727","0.1247","0.1487","0.9998","1.0007","1.0005","1.0003",2492,1819,1738,1605,2459,2384,2855,2199
"X60_X84_Y87.0","2000_2005","2016_2020",15,"RUCC1_EQI+SM+PA+OB","0.00","0.68(-0.11,1.42)","1.45(0.65,2.24)","0.50(-0.37,1.36)","-0.01(-0.99,0.94)","0.0817","0.0007","0.2552","0.9825","1.0013","1.0044","1.0020","1.0031",2687,2365,2062,1999,2999,2736,2515,2669
