ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
X60_X84_Y87.0,2000_2005,2006_2010,5,RUCC1_EQI+SM+PA+OB,"1.00(1.00,1.00)","1.06(1.01,1.12)","1.11(1.05,1.17)","1.08(1.01,1.14)","1.04(0.97,1.11)",0.0298,0.0010,0.0156,0.2926,1.0025,1.0027,1.0028,1.0034,2285,1799,1724,1730,2773,2593,2818,2642
"X60_X84_Y87.0","2000_2005","2006_2010",5,"RUCC1_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","1.10(1.03,1.17)","1.04(0.97,1.11)","1.00(0.93,1.08)","0.94(0.87,1.02)","0.0048","0.2718","0.9438","0.1293","1.0000","1.0019","1.0011","1.0023",2239,1734,1624,1635,3000,2815,2393,2394
"X60_X84_Y87.0","2000_2005","2006_2010",5,"RUCC1_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","1.03(0.94,1.11)","1.05(0.97,1.14)","1.09(1.01,1.18)","1.10(1.01,1.19)","0.5651","0.2189","0.0340","0.0323","1.0037","1.0030","1.0032","1.0038",2016,2057,1831,1812,2932,2978,2787,2920
"X60_X84_Y87.0","2000_2005","2006_2010",5,"RUCC1_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","1.01(0.95,1.07)","1.04(0.97,1.10)","1.06(0.98,1.14)","1.04(0.96,1.12)","0.8804","0.3014","0.1352","0.2860","1.0000","1.0023","1.0020","1.0016",2613,2228,1827,1868,3445,3580,3115,3151
"X60_X84_Y87.0","2000_2005","2006_2010",5,"RUCC1_EQI_Built+SM+PA+OB","1.00(1.00,1.00)","1.11(1.04,1.18)","1.12(1.05,1.20)","1.16(1.08,1.25)","1.14(1.06,1.23)","0.0019","0.0006","0.0002","0.0006","1.0018","1.0017","1.0022","1.0016",1826,1402,1304,1318,3142,2480,2511,2540
"X60_X84_Y87.0","2000_2005","2006_2010",5,"RUCC1_EQI_Social+SM+PA+OB","1.00(1.00,1.00)","1.02(0.97,1.08)","1.02(0.96,1.09)","1.05(0.99,1.13)","0.96(0.89,1.03)","0.4401","0.4351","0.1185","0.2468","1.0013","1.0009","1.0018","1.0013",2560,1964,1896,1714,3530,2787,2982,2510
"X60_X84_Y87.0","2000_2005","2011_2015",10,"RUCC1_EQI+SM+PA+OB","1.00(1.00,1.00)","0.99(0.94,1.04)","1.00(0.95,1.05)","0.95(0.90,1.01)","0.92(0.86,0.98)","0.6163","0.9833","0.0960","0.0123","1.0002","0.9999","1.0006","1.0003",2561,2267,2092,1949,2955,2915,2782,2561
"X60_X84_Y87.0","2000_2005","2011_2015",10,"RUCC1_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","1.05(0.99,1.11)","0.98(0.92,1.04)","0.91(0.86,0.97)","0.85(0.79,0.92)","0.1106","0.4380","0.0035","0.0002","0.9998","1.0003","0.9999","1.0003",2196,1797,1723,1712,2877,2970,2557,2589
"X60_X84_Y87.0","2000_2005","2011_2015",10,"RUCC1_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","0.97(0.91,1.04)","1.02(0.96,1.09)","1.06(0.99,1.13)","1.08(1.01,1.16)","0.3810","0.5109","0.0844","0.0348","1.0014","1.0008","1.0013","1.0027",2126,2090,1861,1862,3284,2971,2437,2495
"X60_X84_Y87.0","2000_2005","2011_2015",10,"RUCC1_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","1.01(0.96,1.06)","1.00(0.95,1.06)","1.02(0.96,1.08)","1.01(0.95,1.08)","0.8309","0.8988","0.6301","0.8055","1.0003","1.0008","1.0012","1.0016",2847,2451,1980,2187,3641,3539,2870,3148
"X60_X84_Y87.0","2000_2005","2011_2015",10,"RUCC1_EQI_Built+SM+PA+OB","1.00(1.00,1.00)","1.03(0.98,1.09)","1.05(1.00,1.11)","1.08(1.02,1.15)","1.04(0.97,1.11)","0.2493","0.0569","0.0031","0.2393","1.0003","1.0013","1.0002","1.0016",2479,1895,1794,1697,3403,2837,2749,2629
"X60_X84_Y87.0","2000_2005","2011_2015",10,"RUCC1_EQI_Social+SM+PA+OB","1.00(1.00,1.00)","1.01(0.96,1.05)","1.03(0.98,1.08)","1.04(0.99,1.10)","0.96(0.90,1.02)","0.8159","0.2672","0.1273","0.1360","1.0008","1.0013","1.0019","1.0013",2867,2328,2115,1962,3311,3293,3083,2794
"X60_X84_Y87.0","2000_2005","2016_2020",15,"RUCC1_EQI+SM+PA+OB","1.00(1.00,1.00)","1.04(0.99,1.10)","1.09(1.04,1.15)","1.03(0.98,1.10)","1.00(0.94,1.07)","0.0902","0.0010","0.2710","0.9842","1.0014","1.0017","1.0024","1.0023",2499,1850,1620,1426,2605,2817,2677,2527
"X60_X84_Y87.0","2000_2005","2016_2020",15,"RUCC1_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","1.14(1.08,1.21)","1.04(0.97,1.11)","0.99(0.92,1.06)","0.89(0.82,0.96)","0.0002","0.2581","0.7338","0.0031","1.0018","1.0043","1.0043","1.0033",2134,1751,1681,1602,3373,2586,2718,2540
"X60_X84_Y87.0","2000_2005","2016_2020",15,"RUCC1_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","1.03(0.96,1.12)","1.08(1.00,1.17)","1.10(1.02,1.19)","1.10(1.01,1.19)","0.4005","0.0502","0.0156","0.0256","1.0027","1.0032","1.0037","1.0032",2274,2166,2088,2040,3197,3333,3175,2897
"X60_X84_Y87.0","2000_2005","2016_2020",15,"RUCC1_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","0.96(0.90,1.02)","0.99(0.93,1.06)","1.00(0.93,1.07)","0.99(0.92,1.07)","0.1589","0.7875","0.9888","0.8642","1.0018","1.0027","1.0029","1.0026",2807,2318,2091,2055,3049,3066,3009,2771
"X60_X84_Y87.0","2000_2005","2016_2020",15,"RUCC1_EQI_Built+SM+PA+OB","1.00(1.00,1.00)","1.13(1.07,1.21)","1.17(1.10,1.25)","1.19(1.12,1.27)","1.18(1.10,1.26)","0.0002","0.0002","0.0002","0.0002","1.0015","1.0020","1.0025","1.0022",2343,1782,1689,1650,3402,2738,2869,2743
"X60_X84_Y87.0","2000_2005","2016_2020",15,"RUCC1_EQI_Social+SM+PA+OB","1.00(1.00,1.00)","1.04(0.99,1.10)","1.06(1.00,1.12)","1.03(0.97,1.10)","0.96(0.90,1.04)","0.1139","0.0560","0.3043","0.3176","1.0003","1.0007","1.0006","1.0008",2883,2525,2188,2059,3571,3265,2941,3042
"X60_X84_Y87.0","2000_2005","2021_2024",20,"RUCC1_EQI+SM+PA+OB","1.00(1.00,1.00)","1.07(1.02,1.13)","1.12(1.06,1.18)","1.02(0.96,1.09)","0.97(0.90,1.05)","0.0081","0.0010","0.5438","0.4905","1.0013","1.0012","1.0011","1.0012",2203,1602,1400,1373,2944,2510,2101,2063
"X60_X84_Y87.0","2000_2005","2021_2024",20,"RUCC1_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","1.12(1.05,1.19)","1.00(0.94,1.08)","0.95(0.88,1.03)","0.87(0.79,0.94)","0.0002","0.9379","0.1985","0.0006","1.0016","1.0010","1.0023","1.0019",2437,2062,1982,1919,3186,3044,3011,2932
