ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
C00_C97,2000_2005,2006_2010,5,LandUse_Natural,Q1,1,1,1,0,NA
C00_C97,2000_2005,2006_2010,5,LandUse_Natural,Q2,1.0809,1.0551,1.107,8.0918,0.0002
C00_C97,2000_2005,2006_2010,5,LandUse_Natural,Q3,1.0985,1.0717,1.1251,9.847,0.0002
C00_C97,2000_2005,2006_2010,5,LandUse_Natural,Q4,1.1176,1.0884,1.1478,11.7632,0.0002
C00_C97,2000_2005,2006_2010,5,LandUse_Natural,Q5,1.1674,1.1378,1.1982,16.7446,0.0002
"C00_C97","2000_2005","2011_2015",10,"LandUse_Natural","Q1",0.9491,0.9028,0.995,-5.0898,"0.0322"
"C00_C97","2000_2005","2011_2015",10,"LandUse_Natural","Q2",1.0225,0.9737,1.0705,2.2455,"0.3672"
"C00_C97","2000_2005","2011_2015",10,"LandUse_Natural","Q3",1.0416,0.9921,1.0896,4.1571,"0.0982"
"C00_C97","2000_2005","2011_2015",10,"LandUse_Natural","Q4",1.0663,1.0171,1.1155,6.6304,"0.0127"
"C00_C97","2000_2005","2011_2015",10,"LandUse_Natural","Q5",1.1005,1.0484,1.152,10.0515,"0.0007"
"C00_C97","2000_2005","2016_2020",15,"LandUse_Natural","Q1",0.8956,0.8554,0.9361,-10.4375,"0.0002"
"C00_C97","2000_2005","2016_2020",15,"LandUse_Natural","Q2",0.977,0.9339,1.0215,-2.2993,"0.3097"
"C00_C97","2000_2005","2016_2020",15,"LandUse_Natural","Q3",0.9762,0.9345,1.0219,-2.3787,"0.2932"
"C00_C97","2000_2005","2016_2020",15,"LandUse_Natural","Q4",0.9984,0.9545,1.0448,-0.1635,"0.9305"
"C00_C97","2000_2005","2016_2020",15,"LandUse_Natural","Q5",1.0219,0.9739,1.0695,2.1862,"0.3657"
"C00_C97","2006_2010","2011_2015",5,"LandUse_Natural","Q1",1,1,1,0,NA
"C00_C97","2006_2010","2011_2015",5,"LandUse_Natural","Q2",1.029,1.0028,1.0563,2.9039,"0.0292"
"C00_C97","2006_2010","2011_2015",5,"LandUse_Natural","Q3",1.0583,1.0314,1.0849,5.8326,"0.0002"
"C00_C97","2006_2010","2011_2015",5,"LandUse_Natural","Q4",1.055,1.027,1.0829,5.498,"0.0007"
"C00_C97","2006_2010","2011_2015",5,"LandUse_Natural","Q5",1.0375,1.0068,1.0679,3.7512,"0.0162"
"C00_C97","2006_2010","2016_2020",10,"LandUse_Natural","Q1",0.9501,0.904,0.9983,-4.9851,"0.0457"
"C00_C97","2006_2010","2016_2020",10,"LandUse_Natural","Q2",0.9812,0.9331,1.031,-1.8761,"0.4366"
