ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
C00_C97,2000_2005,2006_2010,5,Typology_Farming,Q1,1,1,1,0,NA
C00_C97,2000_2005,2006_2010,5,Typology_Farming,Q2,1.0711,1.0225,1.1229,7.1093,0.0057
C00_C97,2000_2005,2006_2010,5,Typology_Farming,Q3,1.0896,1.0329,1.1455,8.9586,0.0022
C00_C97,2000_2005,2006_2010,5,Typology_Farming,Q4,1.0514,0.991,1.113,5.1398,0.0982
C00_C97,2000_2005,2006_2010,5,Typology_Farming,Q5,1.0062,0.941,1.0708,0.6156,0.8485
"C00_C97","2000_2005","2011_2015",10,"Typology_Farming","Q1",0.9366,0.8737,1.0019,-6.3437,"0.0592"
"C00_C97","2000_2005","2011_2015",10,"Typology_Farming","Q2",1.0159,0.9416,1.0914,1.5853,"0.6836"
"C00_C97","2000_2005","2011_2015",10,"Typology_Farming","Q3",1.0271,0.9479,1.1127,2.7056,"0.5271"
"C00_C97","2000_2005","2011_2015",10,"Typology_Farming","Q4",0.9909,0.9055,1.0774,-0.9116,"0.8295"
"C00_C97","2000_2005","2011_2015",10,"Typology_Farming","Q5",0.9426,0.851,1.0386,-5.7369,"0.2282"
"C00_C97","2000_2005","2016_2020",15,"Typology_Farming","Q1",0.9233,0.8608,0.9869,-7.6661,"0.0207"
"C00_C97","2000_2005","2016_2020",15,"Typology_Farming","Q2",0.9973,0.9245,1.0709,-0.2722,"0.9430"
"C00_C97","2000_2005","2016_2020",15,"Typology_Farming","Q3",1.0124,0.934,1.0927,1.2401,"0.7666"
"C00_C97","2000_2005","2016_2020",15,"Typology_Farming","Q4",0.9784,0.8955,1.0625,-2.1603,"0.6276"
"C00_C97","2000_2005","2016_2020",15,"Typology_Farming","Q5",0.9326,0.8426,1.0287,-6.7449,"0.1607"
"C00_C97","2006_2010","2011_2015",5,"Typology_Farming","Q1",1,1,1,0,NA
"C00_C97","2006_2010","2011_2015",5,"Typology_Farming","Q2",1.0113,0.9604,1.0629,1.1338,"0.6756"
"C00_C97","2006_2010","2011_2015",5,"Typology_Farming","Q3",1.0312,0.9743,1.0902,3.1212,"0.2742"
"C00_C97","2006_2010","2011_2015",5,"Typology_Farming","Q4",1.0159,0.9596,1.0733,1.5919,"0.5961"
"C00_C97","2006_2010","2011_2015",5,"Typology_Farming","Q5",1.0101,0.9479,1.0729,1.0083,"0.7526"
"C00_C97","2006_2010","2016_2020",10,"Typology_Farming","Q1",0.985,0.9192,1.0538,-1.501,"0.6641"
"C00_C97","2006_2010","2016_2020",10,"Typology_Farming","Q2",1.0064,0.9324,1.0802,0.6378,"0.8740"
"C00_C97","2006_2010","2016_2020",10,"Typology_Farming","Q3",1,0.9228,1.0825,0.0024,"0.9775"
