ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
C50,2000_2005,2006_2010,5,LandUse_Natural,Q1,1,1,1,0,NA
C50,2000_2005,2006_2010,5,LandUse_Natural,Q2,1.4064,1.3064,1.518,40.6394,0.0002
C50,2000_2005,2006_2010,5,LandUse_Natural,Q3,1.4701,1.3625,1.5901,47.0102,0.0002
C50,2000_2005,2006_2010,5,LandUse_Natural,Q4,1.6236,1.5028,1.7643,62.357,0.0002
C50,2000_2005,2006_2010,5,LandUse_Natural,Q5,1.7643,1.6245,1.9171,76.4336,0.0002
"C50","2000_2005","2011_2015",10,"LandUse_Natural","Q1",0.8776,0.7589,1.0061,-12.2358,"0.0612"
"C50","2000_2005","2011_2015",10,"LandUse_Natural","Q2",1.3013,1.151,1.466,30.1309,"0.0002"
"C50","2000_2005","2011_2015",10,"LandUse_Natural","Q3",1.3897,1.2349,1.5613,38.9697,"0.0002"
"C50","2000_2005","2011_2015",10,"LandUse_Natural","Q4",1.4761,1.3131,1.6565,47.6056,"0.0002"
"C50","2000_2005","2011_2015",10,"LandUse_Natural","Q5",1.6447,1.4718,1.8406,64.4674,"0.0002"
"C50","2000_2005","2016_2020",15,"LandUse_Natural","Q1",0.8942,0.7806,1.0178,-10.5806,"0.0867"
"C50","2000_2005","2016_2020",15,"LandUse_Natural","Q2",1.2556,1.1161,1.412,25.5558,"0.0007"
"C50","2000_2005","2016_2020",15,"LandUse_Natural","Q3",1.3251,1.1825,1.4878,32.5074,"0.0002"
"C50","2000_2005","2016_2020",15,"LandUse_Natural","Q4",1.4137,1.2615,1.5849,41.3656,"0.0002"
"C50","2000_2005","2016_2020",15,"LandUse_Natural","Q5",1.5376,1.3772,1.7186,53.7572,"0.0002"
"C50","2006_2010","2011_2015",5,"LandUse_Natural","Q1",1,1,1,0,NA
"C50","2006_2010","2011_2015",5,"LandUse_Natural","Q2",1.1297,1.046,1.222,12.9688,"0.0042"
"C50","2006_2010","2011_2015",5,"LandUse_Natural","Q3",1.1881,1.0932,1.29,18.8096,"0.0002"
"C50","2006_2010","2011_2015",5,"LandUse_Natural","Q4",1.1759,1.0799,1.2806,17.5897,"0.0002"
"C50","2006_2010","2011_2015",5,"LandUse_Natural","Q5",1.1235,1.0238,1.2263,12.3506,"0.0122"
"C50","2006_2010","2016_2020",10,"LandUse_Natural","Q1",0.9339,0.8332,1.0441,-6.608,"0.2357"
"C50","2006_2010","2016_2020",10,"LandUse_Natural","Q2",1.0886,0.9786,1.2027,8.8591,"0.1122"
"C50","2006_2010","2016_2020",10,"LandUse_Natural","Q3",1.1273,1.0156,1.244,12.7293,"0.0232"
"C50","2006_2010","2016_2020",10,"LandUse_Natural","Q4",1.1475,1.028,1.2671,14.7542,"0.0137"
"C50","2006_2010","2016_2020",10,"LandUse_Natural","Q5",1.1137,0.9992,1.2327,11.3687,"0.0522"
"C50","2000_2005","2006_2010",5,"LandUse_Water_Sensitive","Q1",1,1,1,0,NA
"C50","2000_2005","2006_2010",5,"LandUse_Water_Sensitive","Q2",1.3092,1.157,1.4916,30.9232,"0.0002"
"C50","2000_2005","2006_2010",5,"LandUse_Water_Sensitive","Q3",1.3368,1.1783,1.5085,33.6755,"0.0002"
"C50","2000_2005","2006_2010",5,"LandUse_Water_Sensitive","Q4",1.3838,1.2071,1.5882,38.3843,"0.0002"
"C50","2000_2005","2006_2010",5,"LandUse_Water_Sensitive","Q5",1.4373,1.2463,1.6626,43.7301,"0.0002"
"C50","2000_2005","2011_2015",10,"LandUse_Water_Sensitive","Q1",0.9499,0.7863,1.1436,-5.0134,"0.5456"
"C50","2000_2005","2011_2015",10,"LandUse_Water_Sensitive","Q2",1.189,1.0018,1.4074,18.9003,"0.0482"
"C50","2000_2005","2011_2015",10,"LandUse_Water_Sensitive","Q3",1.2502,1.063,1.4689,25.0185,"0.0047"
"C50","2000_2005","2011_2015",10,"LandUse_Water_Sensitive","Q4",1.2508,1.0659,1.4647,25.0796,"0.0062"
"C50","2000_2005","2011_2015",10,"LandUse_Water_Sensitive","Q5",1.2852,1.0979,1.4946,28.5214,"0.0007"
"C50","2000_2005","2016_2020",15,"LandUse_Water_Sensitive","Q1",0.9584,0.7897,1.144,-4.1595,"0.6086"
"C50","2000_2005","2016_2020",15,"LandUse_Water_Sensitive","Q2",1.1425,0.9628,1.3437,14.2525,"0.1232"
"C50","2000_2005","2016_2020",15,"LandUse_Water_Sensitive","Q3",1.1597,0.9821,1.3585,15.9709,"0.0807"
"C50","2000_2005","2016_2020",15,"LandUse_Water_Sensitive","Q4",1.2059,1.0264,1.4125,20.5878,"0.0307"
"C50","2000_2005","2016_2020",15,"LandUse_Water_Sensitive","Q5",1.2007,1.0231,1.4046,20.0658,"0.0287"
"C50","2006_2010","2011_2015",5,"LandUse_Water_Sensitive","Q1",1,1,1,0,NA
"C50","2006_2010","2011_2015",5,"LandUse_Water_Sensitive","Q2",1.0881,0.9457,1.2436,8.8067,"0.2462"
"C50","2006_2010","2011_2015",5,"LandUse_Water_Sensitive","Q3",1.0557,0.9139,1.2185,5.5667,"0.4846"
"C50","2006_2010","2011_2015",5,"LandUse_Water_Sensitive","Q4",1.0673,0.9209,1.2335,6.7287,"0.3997"
"C50","2006_2010","2011_2015",5,"LandUse_Water_Sensitive","Q5",1.0395,0.888,1.2107,3.9511,"0.6661"
"C50","2006_2010","2016_2020",10,"LandUse_Water_Sensitive","Q1",0.9748,0.8053,1.1707,-2.5193,"0.7421"
"C50","2006_2010","2016_2020",10,"LandUse_Water_Sensitive","Q2",0.9945,0.8344,1.1784,-0.5485,"0.9245"
"C50","2006_2010","2016_2020",10,"LandUse_Water_Sensitive","Q3",1.0054,0.844,1.1882,0.5411,"0.9745"
"C50","2006_2010","2016_2020",10,"LandUse_Water_Sensitive","Q4",0.9971,0.8375,1.1782,-0.2859,"0.9230"
"C50","2006_2010","2016_2020",10,"LandUse_Water_Sensitive","Q5",1.0195,0.858,1.2061,1.9479,"0.8645"
"C50","2000_2005","2006_2010",5,"LandUse_Agricultural","Q1",1,1,1,0,NA
"C50","2000_2005","2006_2010",5,"LandUse_Agricultural","Q2",1.2574,1.119,1.411,25.7442,"0.0002"
"C50","2000_2005","2006_2010",5,"LandUse_Agricultural","Q3",1.4224,1.2693,1.5899,42.2359,"0.0002"
"C50","2000_2005","2006_2010",5,"LandUse_Agricultural","Q4",1.478,1.3278,1.6514,47.7951,"0.0002"
"C50","2000_2005","2006_2010",5,"LandUse_Agricultural","Q5",1.5161,1.3577,1.7018,51.6079,"0.0002"
"C50","2000_2005","2011_2015",10,"LandUse_Agricultural","Q1",0.8358,0.6993,0.9885,-16.4206,"0.0327"
"C50","2000_2005","2011_2015",10,"LandUse_Agricultural","Q2",1.3344,1.165,1.5341,33.4424,"0.0002"
"C50","2000_2005","2011_2015",10,"LandUse_Agricultural","Q3",1.2904,1.1306,1.4725,29.0442,"0.0002"
"C50","2000_2005","2011_2015",10,"LandUse_Agricultural","Q4",1.3457,1.1827,1.5279,34.5659,"0.0002"
"C50","2000_2005","2011_2015",10,"LandUse_Agricultural","Q5",1.41,1.2465,1.604,40.9955,"0.0002"
"C50","2000_2005","2016_2020",15,"LandUse_Agricultural","Q1",0.8762,0.7278,1.0352,-12.3845,"0.1277"
"C50","2000_2005","2016_2020",15,"LandUse_Agricultural","Q2",1.1019,0.9443,1.2772,10.1864,"0.2192"
"C50","2000_2005","2016_2020",15,"LandUse_Agricultural","Q3",1.1564,0.998,1.3321,15.6413,"0.0522"
"C50","2000_2005","2016_2020",15,"LandUse_Agricultural","Q4",1.297,1.1326,1.484,29.6978,"0.0002"
"C50","2000_2005","2016_2020",15,"LandUse_Agricultural","Q5",1.3487,1.1787,1.5416,34.8746,"0.0002"
"C50","2006_2010","2011_2015",5,"LandUse_Agricultural","Q1",1,1,1,0,NA
"C50","2006_2010","2011_2015",5,"LandUse_Agricultural","Q2",1.1458,1.0304,1.2696,14.5832,"0.0132"
"C50","2006_2010","2011_2015",5,"LandUse_Agricultural","Q3",1.2006,1.0731,1.3341,20.0583,"0.0007"
"C50","2006_2010","2011_2015",5,"LandUse_Agricultural","Q4",1.1603,1.0275,1.2924,16.0342,"0.0157"
"C50","2006_2010","2011_2015",5,"LandUse_Agricultural","Q5",1.1792,1.0441,1.3184,17.9244,"0.0057"
"C50","2006_2010","2016_2020",10,"LandUse_Agricultural","Q1",0.8089,0.6852,0.9358,-19.1057,"0.0057"
"C50","2006_2010","2016_2020",10,"LandUse_Agricultural","Q2",1.1339,0.9993,1.2749,13.3898,"0.0512"
"C50","2006_2010","2016_2020",10,"LandUse_Agricultural","Q3",1.1412,1.0085,1.283,14.1236,"0.0382"
"C50","2006_2010","2016_2020",10,"LandUse_Agricultural","Q4",1.1309,1.0032,1.2699,13.0884,"0.0452"
"C50","2006_2010","2016_2020",10,"LandUse_Agricultural","Q5",1.0945,0.9695,1.2298,9.4503,"0.1447"
"C50","2000_2005","2006_2010",5,"LandUse_Urban","Q1",1,1,1,0,NA
"C50","2000_2005","2006_2010",5,"LandUse_Urban","Q2",1.2385,0.8948,1.8255,23.8467,"0.2627"
"C50","2000_2005","2006_2010",5,"LandUse_Urban","Q3",1.2202,0.9088,1.7742,22.0202,"0.2712"
