ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
C56,2000_2005,2006_2010,5,Typology_Farming,Q1,1,1,1,0,NA
C56,2000_2005,2006_2010,5,Typology_Farming,Q2,1.7754,1.3766,2.3696,77.5385,0.0002
C56,2000_2005,2006_2010,5,Typology_Farming,Q3,2.1787,1.5812,3.0552,117.8671,0.0002
C56,2000_2005,2006_2010,5,Typology_Farming,Q4,2.9434,2.0355,4.2806,194.345,0.0002
C56,2000_2005,2006_2010,5,Typology_Farming,Q5,4.2536,2.2963,6.8175,325.3606,0.0012
"C56","2000_2005","2011_2015",10,"Typology_Farming","Q1",1.019,0.624,1.6129,1.8976,"0.9420"
"C56","2000_2005","2011_2015",10,"Typology_Farming","Q2",1.5409,0.9985,2.3503,54.0887,"0.0517"
"C56","2000_2005","2011_2015",10,"Typology_Farming","Q3",1.8817,1.2075,2.8578,88.1657,"0.0037"
"C56","2000_2005","2011_2015",10,"Typology_Farming","Q4",3.0493,1.9334,4.724,204.9347,"0.0002"
"C56","2000_2005","2011_2015",10,"Typology_Farming","Q5",2.3245,0.5213,4.7142,132.4465,"0.1772"
"C56","2000_2005","2016_2020",15,"Typology_Farming","Q1",0.6424,0.3751,1.0326,-35.7603,"0.0707"
"C56","2000_2005","2016_2020",15,"Typology_Farming","Q2",0.923,0.5844,1.445,-7.7005,"0.6301"
"C56","2000_2005","2016_2020",15,"Typology_Farming","Q3",1.3638,0.8844,2.0923,36.3759,"0.1822"
"C56","2000_2005","2016_2020",15,"Typology_Farming","Q4",1.3381,0.8148,2.1213,33.8082,"0.2652"
"C56","2000_2005","2016_2020",15,"Typology_Farming","Q5",1.9102,0.4544,3.8264,91.0167,"0.2762"
"C56","2006_2010","2011_2015",5,"Typology_Farming","Q1",1,1,1,0,NA
"C56","2006_2010","2011_2015",5,"Typology_Farming","Q2",1.0233,0.788,1.3054,2.3292,"0.9045"
"C56","2006_2010","2011_2015",5,"Typology_Farming","Q3",1.336,0.974,1.7935,33.6015,"0.0712"
"C56","2006_2010","2011_2015",5,"Typology_Farming","Q4",1.4042,1.0035,1.904,40.4158,"0.0502"
"C56","2006_2010","2011_2015",5,"Typology_Farming","Q5",1.2152,0.7954,1.7195,21.5218,"0.3487"
"C56","2006_2010","2016_2020",10,"Typology_Farming","Q1",0.451,0.2764,0.6798,-54.9031,"0.0002"
"C56","2006_2010","2016_2020",10,"Typology_Farming","Q2",0.5937,0.3891,0.8561,-40.6253,"0.0047"
"C56","2006_2010","2016_2020",10,"Typology_Farming","Q3",0.8835,0.5873,1.2564,-11.6548,"0.4556"
"C56","2006_2010","2016_2020",10,"Typology_Farming","Q4",0.8868,0.5911,1.2585,-11.3247,"0.4716"
"C56","2006_2010","2016_2020",10,"Typology_Farming","Q5",1.2502,0.8227,1.7976,25.0196,"0.2902"
"C56","2000_2005","2006_2010",5,"Typology_Mining","Q1",1,1,1,0,NA
"C56","2000_2005","2006_2010",5,"Typology_Mining","Q2",1.5799,1.1251,2.2726,57.9924,"0.0047"
"C56","2000_2005","2006_2010",5,"Typology_Mining","Q3",1.7962,1.1481,2.7535,79.6156,"0.0102"
"C56","2000_2005","2006_2010",5,"Typology_Mining","Q4",1.7326,1.046,2.7467,73.2571,"0.0317"
"C56","2000_2005","2006_2010",5,"Typology_Mining","Q5",1.422,0.3166,2.7976,42.2038,"0.5121"
"C56","2000_2005","2011_2015",10,"Typology_Mining","Q1",0.7432,0.3544,1.3551,-25.6792,"0.2632"
"C56","2000_2005","2011_2015",10,"Typology_Mining","Q2",1.4033,0.8488,2.2802,40.3253,"0.2042"
"C56","2000_2005","2011_2015",10,"Typology_Mining","Q3",1.452,0.8566,2.3709,45.2028,"0.1807"
"C56","2000_2005","2011_2015",10,"Typology_Mining","Q4",2.0392,1.2039,3.3144,103.9247,"0.0092"
"C56","2000_2005","2011_2015",10,"Typology_Mining","Q5",1.6509,0.5011,3.1736,65.0903,"0.3072"
"C56","2000_2005","2016_2020",15,"Typology_Mining","Q1",0.7705,0.4035,1.3057,-22.9477,"0.2777"
"C56","2000_2005","2016_2020",15,"Typology_Mining","Q2",1.2284,0.7556,1.9575,22.8393,"0.4666"
"C56","2000_2005","2016_2020",15,"Typology_Mining","Q3",1.2698,0.7509,2.0652,26.9772,"0.4266"
"C56","2000_2005","2016_2020",15,"Typology_Mining","Q4",1.4144,0.7968,2.3602,41.4394,"0.2452"
"C56","2000_2005","2016_2020",15,"Typology_Mining","Q5",1.8075,0.7629,3.2527,80.7469,"0.1427"
"C56","2006_2010","2011_2015",5,"Typology_Mining","Q1",1,1,1,0,NA
"C56","2006_2010","2011_2015",5,"Typology_Mining","Q2",1.5336,1.0136,2.3202,53.3583,"0.0392"
"C56","2006_2010","2011_2015",5,"Typology_Mining","Q3",1.6233,1.0521,2.4955,62.3276,"0.0282"
"C56","2006_2010","2011_2015",5,"Typology_Mining","Q4",1.6256,0.984,2.5332,62.5644,"0.0542"
"C56","2006_2010","2011_2015",5,"Typology_Mining","Q5",1.5631,0.8209,2.6,56.305,"0.1552"
"C56","2006_2010","2016_2020",10,"Typology_Mining","Q1",1.0833,0.6409,1.7879,8.3291,"0.8735"
