ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
F01,2000_2005,2006_2010,5,LandUse_Natural,Q1,1,1,1,0,NA
F01,2000_2005,2006_2010,5,LandUse_Natural,Q2,1.9193,1.5012,2.6374,91.9291,0.0002
F01,2000_2005,2006_2010,5,LandUse_Natural,Q3,2.6723,2.0245,3.8138,167.2331,0.0002
F01,2000_2005,2006_2010,5,LandUse_Natural,Q4,3.287,2.4553,4.7823,228.7009,0.0002
F01,2000_2005,2006_2010,5,LandUse_Natural,Q5,3.8063,2.7949,5.6356,280.6293,0.0002
"F01","2000_2005","2011_2015",10,"LandUse_Natural","Q1",1.7682,1.0884,2.8599,76.8212,"0.0247"
"F01","2000_2005","2011_2015",10,"LandUse_Natural","Q2",2.8339,1.876,4.4488,183.3905,"0.0002"
"F01","2000_2005","2011_2015",10,"LandUse_Natural","Q3",3.5987,2.4245,5.6546,259.8723,"0.0002"
"F01","2000_2005","2011_2015",10,"LandUse_Natural","Q4",3.9503,2.6628,6.2649,295.0286,"0.0002"
"F01","2000_2005","2011_2015",10,"LandUse_Natural","Q5",4.589,3.0963,7.2379,358.8998,"0.0002"
"F01","2000_2005","2016_2020",15,"LandUse_Natural","Q1",2.5149,1.6361,4.0708,151.4892,"0.0002"
"F01","2000_2005","2016_2020",15,"LandUse_Natural","Q2",3.5721,2.4007,5.6461,257.2058,"0.0002"
"F01","2000_2005","2016_2020",15,"LandUse_Natural","Q3",4.3879,3.0133,6.8806,338.7903,"0.0002"
"F01","2000_2005","2016_2020",15,"LandUse_Natural","Q4",4.6681,3.1853,7.3635,366.8068,"0.0002"
"F01","2000_2005","2016_2020",15,"LandUse_Natural","Q5",5.8784,4.0936,9.1255,487.8385,"0.0002"
"F01","2006_2010","2011_2015",5,"LandUse_Natural","Q1",1,1,1,0,NA
"F01","2006_2010","2011_2015",5,"LandUse_Natural","Q2",1.4953,1.2508,1.8114,49.5259,"0.0002"
"F01","2006_2010","2011_2015",5,"LandUse_Natural","Q3",1.7002,1.4102,2.0948,70.0168,"0.0002"
"F01","2006_2010","2011_2015",5,"LandUse_Natural","Q4",1.7379,1.4394,2.1537,73.7922,"0.0002"
"F01","2006_2010","2011_2015",5,"LandUse_Natural","Q5",1.7087,1.3958,2.131,70.8713,"0.0002"
"F01","2006_2010","2016_2020",10,"LandUse_Natural","Q1",1.3832,1.0093,1.9015,38.3191,"0.0447"
"F01","2006_2010","2016_2020",10,"LandUse_Natural","Q2",2.0193,1.5426,2.7023,101.9299,"0.0002"
"F01","2006_2010","2016_2020",10,"LandUse_Natural","Q3",2.0928,1.6,2.7892,109.2844,"0.0002"
"F01","2006_2010","2016_2020",10,"LandUse_Natural","Q4",2.0666,1.5869,2.7531,106.6643,"0.0002"
"F01","2006_2010","2016_2020",10,"LandUse_Natural","Q5",2.1097,1.6073,2.8179,110.966,"0.0002"
"F01","2000_2005","2006_2010",5,"LandUse_Water_Sensitive","Q1",1,1,1,0,NA
"F01","2000_2005","2006_2010",5,"LandUse_Water_Sensitive","Q2",1.324,0.9228,1.9148,32.3988,"0.1302"
"F01","2000_2005","2006_2010",5,"LandUse_Water_Sensitive","Q3",1.8298,1.303,2.6968,82.9784,"0.0002"
"F01","2000_2005","2006_2010",5,"LandUse_Water_Sensitive","Q4",1.7025,1.1602,2.5587,70.248,"0.0052"
"F01","2000_2005","2006_2010",5,"LandUse_Water_Sensitive","Q5",2.0564,1.3999,3.1557,105.6378,"0.0002"
"F01","2000_2005","2011_2015",10,"LandUse_Water_Sensitive","Q1",1.7502,1.0239,2.901,75.0171,"0.0357"
"F01","2000_2005","2011_2015",10,"LandUse_Water_Sensitive","Q2",1.9165,1.1597,3.165,91.6516,"0.0112"
"F01","2000_2005","2011_2015",10,"LandUse_Water_Sensitive","Q3",2.2379,1.4009,3.6899,123.7894,"0.0007"
"F01","2000_2005","2011_2015",10,"LandUse_Water_Sensitive","Q4",2.5481,1.6175,4.1262,154.815,"0.0002"
"F01","2000_2005","2011_2015",10,"LandUse_Water_Sensitive","Q5",2.345,1.4811,3.851,134.4989,"0.0007"
"F01","2000_2005","2016_2020",15,"LandUse_Water_Sensitive","Q1",2.0952,1.231,3.4871,109.5216,"0.0062"
"F01","2000_2005","2016_2020",15,"LandUse_Water_Sensitive","Q2",2.3342,1.4212,3.8216,133.4152,"0.0012"
"F01","2000_2005","2016_2020",15,"LandUse_Water_Sensitive","Q3",2.7693,1.7543,4.533,176.9348,"0.0002"
"F01","2000_2005","2016_2020",15,"LandUse_Water_Sensitive","Q4",2.7896,1.7734,4.5792,178.9609,"0.0002"
"F01","2000_2005","2016_2020",15,"LandUse_Water_Sensitive","Q5",2.9117,1.861,4.76,191.1713,"0.0002"
"F01","2006_2010","2011_2015",5,"LandUse_Water_Sensitive","Q1",1,1,1,0,NA
"F01","2006_2010","2011_2015",5,"LandUse_Water_Sensitive","Q2",1.0824,0.814,1.441,8.2414,"0.6341"
"F01","2006_2010","2011_2015",5,"LandUse_Water_Sensitive","Q3",1.0963,0.8299,1.4668,9.6309,"0.5711"
"F01","2006_2010","2011_2015",5,"LandUse_Water_Sensitive","Q4",1.0359,0.7672,1.3861,3.5927,"0.8935"
"F01","2006_2010","2011_2015",5,"LandUse_Water_Sensitive","Q5",1.0355,0.7639,1.3976,3.5527,"0.8945"
"F01","2006_2010","2016_2020",10,"LandUse_Water_Sensitive","Q1",1.2467,0.8267,1.8174,24.674,"0.3047"
"F01","2006_2010","2016_2020",10,"LandUse_Water_Sensitive","Q2",1.3979,0.9867,1.9597,39.7946,"0.0617"
"F01","2006_2010","2016_2020",10,"LandUse_Water_Sensitive","Q3",1.2384,0.8659,1.7523,23.8434,"0.2497"
"F01","2006_2010","2016_2020",10,"LandUse_Water_Sensitive","Q4",1.2478,0.868,1.7657,24.7786,"0.2507"
"F01","2006_2010","2016_2020",10,"LandUse_Water_Sensitive","Q5",1.2514,0.8711,1.7662,25.1426,"0.2262"
"F01","2000_2005","2006_2010",5,"LandUse_Agricultural","Q1",1,1,1,0,NA
"F01","2000_2005","2006_2010",5,"LandUse_Agricultural","Q2",1.5243,1.1192,2.1718,52.4309,"0.0082"
