ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
F01,2000_2005,2006_2010,5,Typology_Farming,Q1,1,1,1,0,NA
F01,2000_2005,2006_2010,5,Typology_Farming,Q2,2.1367,1.482,3.2125,113.6683,0.0002
F01,2000_2005,2006_2010,5,Typology_Farming,Q3,2.5584,1.6736,3.8839,155.8416,0.0002
F01,2000_2005,2006_2010,5,Typology_Farming,Q4,2.4647,1.3674,4.0415,146.4684,0.0067
F01,2000_2005,2006_2010,5,Typology_Farming,Q5,1.8995,-0.7982,5.1089,89.9518,0.5746
"F01","2000_2005","2011_2015",10,"Typology_Farming","Q1",1.5334,0.8082,2.6102,53.3434,"0.1862"
"F01","2000_2005","2011_2015",10,"Typology_Farming","Q2",3.3569,2.0794,5.4133,235.6937,"0.0002"
"F01","2000_2005","2011_2015",10,"Typology_Farming","Q3",4.1438,2.5267,6.7233,314.3818,"0.0002"
"F01","2000_2005","2011_2015",10,"Typology_Farming","Q4",3.4619,1.8109,5.8539,246.1935,"0.0007"
"F01","2000_2005","2011_2015",10,"Typology_Farming","Q5",6.3681,1.5735,12.7518,536.8064,"0.0262"
"F01","2000_2005","2016_2020",15,"Typology_Farming","Q1",2.2199,1.3391,3.6022,121.9933,"0.0027"
"F01","2000_2005","2016_2020",15,"Typology_Farming","Q2",4.2933,2.7537,6.9122,329.3298,"0.0002"
"F01","2000_2005","2016_2020",15,"Typology_Farming","Q3",5.8233,3.738,9.3643,482.3255,"0.0002"
"F01","2000_2005","2016_2020",15,"Typology_Farming","Q4",8.4808,5.2874,13.678,748.0753,"0.0002"
"F01","2000_2005","2016_2020",15,"Typology_Farming","Q5",14.3301,6.0155,26.8563,1333.0148,"0.0002"
"F01","2006_2010","2011_2015",5,"Typology_Farming","Q1",1,1,1,0,NA
"F01","2006_2010","2011_2015",5,"Typology_Farming","Q2",1.0386,0.71,1.446,3.8555,"0.8705"
"F01","2006_2010","2011_2015",5,"Typology_Farming","Q3",0.9291,0.5196,1.4183,-7.0858,"0.7026"
"F01","2006_2010","2011_2015",5,"Typology_Farming","Q4",1.6057,1.0476,2.3778,60.5732,"0.0292"
"F01","2006_2010","2011_2015",5,"Typology_Farming","Q5",1.2504,0.6578,1.9908,25.0389,"0.4691"
"F01","2006_2010","2016_2020",10,"Typology_Farming","Q1",1.2706,0.7569,2.0186,27.0604,"0.3732"
"F01","2006_2010","2016_2020",10,"Typology_Farming","Q2",2.0014,1.2882,3.0188,100.1392,"0.0017"
"F01","2006_2010","2016_2020",10,"Typology_Farming","Q3",1.7586,1.0218,2.8165,75.8552,"0.0417"
"F01","2006_2010","2016_2020",10,"Typology_Farming","Q4",1.9937,1.1966,3.1491,99.3692,"0.0077"
"F01","2006_2010","2016_2020",10,"Typology_Farming","Q5",2.0292,1.147,3.237,102.9158,"0.0207"
"F01","2000_2005","2006_2010",5,"Typology_Mining","Q1",1,1,1,0,NA
"F01","2000_2005","2006_2010",5,"Typology_Mining","Q2",1.5252,1.0563,5.9758,52.5212,"0.0357"
"F01","2000_2005","2006_2010",5,"Typology_Mining","Q3",2.5589,1.374,8.5691,155.8929,"0.0117"
"F01","2000_2005","2006_2010",5,"Typology_Mining","Q4",1.7146,0.9887,8.0546,71.4579,"0.0557"
"F01","2000_2005","2006_2010",5,"Typology_Mining","Q5",1.7569,0.7015,11.8061,75.6882,"0.0767"
"F01","2000_2005","2011_2015",10,"Typology_Mining","Q1",1.3855,0.712,6.2192,38.546,"0.1877"
"F01","2000_2005","2011_2015",10,"Typology_Mining","Q2",1.8782,1.513,10.3224,87.8241,"0.0107"
"F01","2000_2005","2011_2015",10,"Typology_Mining","Q3",3.0901,1.5764,11.5999,209.0105,"0.0102"
"F01","2000_2005","2011_2015",10,"Typology_Mining","Q4",2.2596,1.0014,9.2306,125.9598,"0.0502"
"F01","2000_2005","2011_2015",10,"Typology_Mining","Q5",1.9404,1.1483,14.2131,94.0439,"0.0397"
"F01","2000_2005","2016_2020",15,"Typology_Mining","Q1",1.6462,0.7268,6.4099,64.6204,"0.1832"
"F01","2000_2005","2016_2020",15,"Typology_Mining","Q2",2.4571,1.3692,9.5921,145.7077,"0.0112"
"F01","2000_2005","2016_2020",15,"Typology_Mining","Q3",3.3536,1.8511,12.4138,235.3575,"0.0097"
"F01","2000_2005","2016_2020",15,"Typology_Mining","Q4",3.9696,1.748,13.4446,296.9614,"0.0112"
"F01","2000_2005","2016_2020",15,"Typology_Mining","Q5",5.3241,2.2822,19.4958,432.4094,"0.0117"
"F01","2006_2010","2011_2015",5,"Typology_Mining","Q1",1,1,1,0,NA
"F01","2006_2010","2011_2015",5,"Typology_Mining","Q2",1.5927,0.951,2.5799,59.2664,"0.0747"
"F01","2006_2010","2011_2015",5,"Typology_Mining","Q3",1.1134,0.5499,1.9645,11.343,"0.8290"
"F01","2006_2010","2011_2015",5,"Typology_Mining","Q4",1.2721,0.5229,2.3639,27.2059,"0.5996"
"F01","2006_2010","2011_2015",5,"Typology_Mining","Q5",1.5322,0.7197,2.7856,53.2216,"0.2542"
"F01","2006_2010","2016_2020",10,"Typology_Mining","Q1",1.1619,0.5622,2.0891,16.1859,"0.7381"
"F01","2006_2010","2016_2020",10,"Typology_Mining","Q2",1.833,1.0166,3.1561,83.3022,"0.0427"
"F01","2006_2010","2016_2020",10,"Typology_Mining","Q3",1.256,0.6239,2.2583,25.5962,"0.5861"
"F01","2006_2010","2016_2020",10,"Typology_Mining","Q4",1.7807,0.8213,3.276,78.0733,"0.1337"
"F01","2006_2010","2016_2020",10,"Typology_Mining","Q5",1.8151,0.81,3.3459,81.5139,"0.1297"
"F01","2000_2005","2006_2010",5,"Typology_Manufacturing","Q1",1,1,1,0,NA
"F01","2000_2005","2006_2010",5,"Typology_Manufacturing","Q2",1.3459,1.0179,1.7999,34.5905,"0.0347"
"F01","2000_2005","2006_2010",5,"Typology_Manufacturing","Q3",1.58,1.1995,2.1348,57.9975,"0.0002"
"F01","2000_2005","2006_2010",5,"Typology_Manufacturing","Q4",1.7075,1.2989,2.2962,70.748,"0.0002"
"F01","2000_2005","2006_2010",5,"Typology_Manufacturing","Q5",1.8167,1.3484,2.5022,81.6696,"0.0002"
"F01","2000_2005","2011_2015",10,"Typology_Manufacturing","Q1",1.6114,1.0626,2.3894,61.1381,"0.0232"
"F01","2000_2005","2011_2015",10,"Typology_Manufacturing","Q2",1.929,1.3343,2.7666,92.9017,"0.0002"
"F01","2000_2005","2011_2015",10,"Typology_Manufacturing","Q3",1.8886,1.3114,2.7317,88.8581,"0.0007"
"F01","2000_2005","2011_2015",10,"Typology_Manufacturing","Q4",2.2139,1.5802,3.1414,121.3885,"0.0002"
"F01","2000_2005","2011_2015",10,"Typology_Manufacturing","Q5",2.3201,1.6479,3.3156,132.0115,"0.0002"
"F01","2000_2005","2016_2020",15,"Typology_Manufacturing","Q1",2.1735,1.5176,3.1624,117.3466,"0.0002"
"F01","2000_2005","2016_2020",15,"Typology_Manufacturing","Q2",2.3479,1.64,3.3771,134.7876,"0.0002"
"F01","2000_2005","2016_2020",15,"Typology_Manufacturing","Q3",2.414,1.7062,3.4712,141.4035,"0.0002"
"F01","2000_2005","2016_2020",15,"Typology_Manufacturing","Q4",2.6178,1.8678,3.7674,161.7813,"0.0002"
"F01","2000_2005","2016_2020",15,"Typology_Manufacturing","Q5",2.811,1.9914,4.0188,181.1021,"0.0002"
"F01","2006_2010","2011_2015",5,"Typology_Manufacturing","Q1",1,1,1,0,NA
"F01","2006_2010","2011_2015",5,"Typology_Manufacturing","Q2",1.1976,0.9116,1.5662,19.7608,"0.2122"
"F01","2006_2010","2011_2015",5,"Typology_Manufacturing","Q3",1.2599,0.975,1.663,25.9874,"0.0842"
"F01","2006_2010","2011_2015",5,"Typology_Manufacturing","Q4",1.2624,0.9754,1.6468,26.2381,"0.0832"
"F01","2006_2010","2011_2015",5,"Typology_Manufacturing","Q5",1.2536,0.9697,1.6597,25.3578,"0.0922"
"F01","2006_2010","2016_2020",10,"Typology_Manufacturing","Q1",1.4783,1.0392,2.0606,47.8278,"0.0287"
"F01","2006_2010","2016_2020",10,"Typology_Manufacturing","Q2",1.4939,1.0911,2.0801,49.3878,"0.0137"
"F01","2006_2010","2016_2020",10,"Typology_Manufacturing","Q3",1.4656,1.0783,2.0207,46.5569,"0.0132"
"F01","2006_2010","2016_2020",10,"Typology_Manufacturing","Q4",1.4923,1.1046,2.0323,49.2336,"0.0082"
"F01","2006_2010","2016_2020",10,"Typology_Manufacturing","Q5",1.5387,1.1337,2.0927,53.8716,"0.0047"
"F01","2000_2005","2006_2010",5,"Typology_Government","Q1",1,1,1,0,NA
"F01","2000_2005","2006_2010",5,"Typology_Government","Q2",3.0534,1.5492,6.7128,205.3395,"0.0027"
"F01","2000_2005","2006_2010",5,"Typology_Government","Q3",4.2384,2.1669,9.2978,323.8381,"0.0022"
"F01","2000_2005","2006_2010",5,"Typology_Government","Q4",4.9351,2.4745,10.735,393.5133,"0.0022"
"F01","2000_2005","2006_2010",5,"Typology_Government","Q5",5.6677,2.724,12.9908,466.7653,"0.0022"
"F01","2000_2005","2011_2015",10,"Typology_Government","Q1",2.758,1.1276,6.6739,175.8032,"0.0227"
"F01","2000_2005","2011_2015",10,"Typology_Government","Q2",3.9436,1.7778,9.2812,294.3617,"0.0022"
"F01","2000_2005","2011_2015",10,"Typology_Government","Q3",5.7896,2.7629,13.3033,478.9623,"0.0022"
"F01","2000_2005","2011_2015",10,"Typology_Government","Q4",5.8434,2.7649,13.7518,484.3361,"0.0022"
"F01","2000_2005","2011_2015",10,"Typology_Government","Q5",6.9673,3.3109,16.529,596.729,"0.0022"
