ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
G12.2,2000_2005,2006_2010,5,LandUse_Natural,Q1,1,1,1,0,NA
G12.2,2000_2005,2006_2010,5,LandUse_Natural,Q2,2.0959,1.6987,2.6684,109.5897,0.0002
G12.2,2000_2005,2006_2010,5,LandUse_Natural,Q3,3.0734,2.4613,3.9502,207.3379,0.0002
G12.2,2000_2005,2006_2010,5,LandUse_Natural,Q4,4.2316,3.3384,5.4917,323.1595,0.0002
G12.2,2000_2005,2006_2010,5,LandUse_Natural,Q5,4.9612,3.898,6.4384,396.122,0.0002
"G12.2","2000_2005","2011_2015",10,"LandUse_Natural","Q1",1.1965,0.8296,1.6643,19.6481,"0.3432"
"G12.2","2000_2005","2011_2015",10,"LandUse_Natural","Q2",2.4997,1.894,3.3479,149.9719,"0.0002"
"G12.2","2000_2005","2011_2015",10,"LandUse_Natural","Q3",3.616,2.7475,4.8311,261.6037,"0.0002"
"G12.2","2000_2005","2011_2015",10,"LandUse_Natural","Q4",4.5183,3.4715,5.998,351.8297,"0.0002"
"G12.2","2000_2005","2011_2015",10,"LandUse_Natural","Q5",5.0546,3.9073,6.7161,405.4595,"0.0002"
"G12.2","2000_2005","2016_2020",15,"LandUse_Natural","Q1",0.9833,0.6724,1.3876,-1.6707,"0.8415"
"G12.2","2000_2005","2016_2020",15,"LandUse_Natural","Q2",2.07,1.5581,2.7933,107.0037,"0.0002"
"G12.2","2000_2005","2016_2020",15,"LandUse_Natural","Q3",3.1157,2.3868,4.154,211.5656,"0.0002"
"G12.2","2000_2005","2016_2020",15,"LandUse_Natural","Q4",3.5805,2.748,4.7865,258.0521,"0.0002"
"G12.2","2000_2005","2016_2020",15,"LandUse_Natural","Q5",4.3579,3.3797,5.7697,335.7918,"0.0002"
"G12.2","2006_2010","2011_2015",5,"LandUse_Natural","Q1",1,1,1,0,NA
"G12.2","2006_2010","2011_2015",5,"LandUse_Natural","Q2",1.3643,1.1773,1.5859,36.4256,"0.0002"
"G12.2","2006_2010","2011_2015",5,"LandUse_Natural","Q3",1.5022,1.2892,1.7484,50.2215,"0.0002"
"G12.2","2006_2010","2011_2015",5,"LandUse_Natural","Q4",1.5061,1.2808,1.7701,50.611,"0.0002"
"G12.2","2006_2010","2011_2015",5,"LandUse_Natural","Q5",1.543,1.2976,1.8174,54.2996,"0.0002"
"G12.2","2006_2010","2016_2020",10,"LandUse_Natural","Q1",0.7756,0.5947,0.9822,-22.4355,"0.0352"
"G12.2","2006_2010","2016_2020",10,"LandUse_Natural","Q2",1.0876,0.8782,1.3303,8.7594,"0.4641"
"G12.2","2006_2010","2016_2020",10,"LandUse_Natural","Q3",1.3515,1.1079,1.6401,35.1511,"0.0017"
"G12.2","2006_2010","2016_2020",10,"LandUse_Natural","Q4",1.2482,1.0169,1.5192,24.8228,"0.0307"
"G12.2","2006_2010","2016_2020",10,"LandUse_Natural","Q5",1.3462,1.0931,1.6293,34.6184,"0.0037"
"G12.2","2000_2005","2006_2010",5,"LandUse_Water_Sensitive","Q1",1,1,1,0,NA
"G12.2","2000_2005","2006_2010",5,"LandUse_Water_Sensitive","Q2",1.8959,1.3239,2.7553,89.5915,"0.0007"
"G12.2","2000_2005","2006_2010",5,"LandUse_Water_Sensitive","Q3",2.8156,2.0022,4.0193,181.5558,"0.0002"
"G12.2","2000_2005","2006_2010",5,"LandUse_Water_Sensitive","Q4",3.4956,2.4322,5.0205,249.5635,"0.0002"
"G12.2","2000_2005","2006_2010",5,"LandUse_Water_Sensitive","Q5",3.5176,2.4699,5.0766,251.7588,"0.0002"
"G12.2","2000_2005","2011_2015",10,"LandUse_Water_Sensitive","Q1",1.3563,0.8424,2.0967,35.6325,"0.2317"
"G12.2","2000_2005","2011_2015",10,"LandUse_Water_Sensitive","Q2",2.4695,1.6826,3.668,146.9487,"0.0002"
"G12.2","2000_2005","2011_2015",10,"LandUse_Water_Sensitive","Q3",3.183,2.1958,4.6444,218.3038,"0.0002"
"G12.2","2000_2005","2011_2015",10,"LandUse_Water_Sensitive","Q4",3.1884,2.1753,4.6542,218.8428,"0.0002"
"G12.2","2000_2005","2011_2015",10,"LandUse_Water_Sensitive","Q5",3.4341,2.3894,5.0116,243.4139,"0.0002"
"G12.2","2000_2005","2016_2020",15,"LandUse_Water_Sensitive","Q1",0.8931,0.5211,1.4102,-10.6898,"0.5666"
"G12.2","2000_2005","2016_2020",15,"LandUse_Water_Sensitive","Q2",2.2277,1.5183,3.2466,122.7693,"0.0002"
"G12.2","2000_2005","2016_2020",15,"LandUse_Water_Sensitive","Q3",2.7792,1.932,4.0611,177.9229,"0.0002"
"G12.2","2000_2005","2016_2020",15,"LandUse_Water_Sensitive","Q4",2.9907,2.065,4.3369,199.07,"0.0002"
"G12.2","2000_2005","2016_2020",15,"LandUse_Water_Sensitive","Q5",2.9763,2.0764,4.3689,197.6294,"0.0002"
"G12.2","2006_2010","2011_2015",5,"LandUse_Water_Sensitive","Q1",1,1,1,0,NA
"G12.2","2006_2010","2011_2015",5,"LandUse_Water_Sensitive","Q2",1.1502,0.8748,1.4887,15.0205,"0.3197"
"G12.2","2006_2010","2011_2015",5,"LandUse_Water_Sensitive","Q3",1.0607,0.7998,1.3723,6.0686,"0.7191"
"G12.2","2006_2010","2011_2015",5,"LandUse_Water_Sensitive","Q4",1.2426,0.9541,1.6092,24.2643,"0.1172"
