ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
G12.2,2000_2005,2006_2010,5,Typology_Farming,Q1,1,1,1,0,NA
G12.2,2000_2005,2006_2010,5,Typology_Farming,Q2,1.7772,1.2495,2.6275,77.7168,0.0002
G12.2,2000_2005,2006_2010,5,Typology_Farming,Q3,2.5311,1.7017,3.8275,153.1123,0.0002
G12.2,2000_2005,2006_2010,5,Typology_Farming,Q4,3.6475,2.2876,5.8204,264.7546,0.0002
G12.2,2000_2005,2006_2010,5,Typology_Farming,Q5,10.8415,5.3239,18.972,984.1505,0.0002
"G12.2","2000_2005","2011_2015",10,"Typology_Farming","Q1",0.9346,0.5015,1.5881,-6.5447,"0.6941"
"G12.2","2000_2005","2011_2015",10,"Typology_Farming","Q2",1.8693,1.1427,3.0135,86.9291,"0.0092"
"G12.2","2000_2005","2011_2015",10,"Typology_Farming","Q3",3.1251,1.918,4.9687,212.5078,"0.0002"
"G12.2","2000_2005","2011_2015",10,"Typology_Farming","Q4",2.7525,1.5119,4.57,175.2453,"0.0002"
"G12.2","2000_2005","2011_2015",10,"Typology_Farming","Q5",2.2901,-0.2806,5.6893,129.0133,"0.3902"
"G12.2","2000_2005","2016_2020",15,"Typology_Farming","Q1",0.7236,0.3417,1.2877,-27.6442,"0.2422"
"G12.2","2000_2005","2016_2020",15,"Typology_Farming","Q2",1.4076,0.8288,2.3033,40.7591,"0.2192"
"G12.2","2000_2005","2016_2020",15,"Typology_Farming","Q3",1.9164,1.1582,3.1246,91.6362,"0.0172"
"G12.2","2000_2005","2016_2020",15,"Typology_Farming","Q4",3.166,1.9151,5.1275,216.6045,"0.0002"
"G12.2","2000_2005","2016_2020",15,"Typology_Farming","Q5",8.2702,2.0039,17.4558,727.0182,"0.0037"
"G12.2","2006_2010","2011_2015",5,"Typology_Farming","Q1",1,1,1,0,NA
"G12.2","2006_2010","2011_2015",5,"Typology_Farming","Q2",1.2905,0.8631,1.8679,29.0519,"0.2262"
"G12.2","2006_2010","2011_2015",5,"Typology_Farming","Q3",1.3052,0.7213,2.0221,30.5162,"0.3467"
"G12.2","2006_2010","2011_2015",5,"Typology_Farming","Q4",1.7298,1.047,2.6294,72.9765,"0.0367"
"G12.2","2006_2010","2011_2015",5,"Typology_Farming","Q5",1.808,1.0593,2.7882,80.7966,"0.0312"
"G12.2","2006_2010","2016_2020",10,"Typology_Farming","Q1",0.7035,0.3889,1.1509,-29.6514,"0.1412"
"G12.2","2006_2010","2016_2020",10,"Typology_Farming","Q2",0.7451,0.4065,1.1874,-25.4944,"0.2142"
"G12.2","2006_2010","2016_2020",10,"Typology_Farming","Q3",1.2629,0.7566,1.9573,26.2859,"0.3892"
"G12.2","2006_2010","2016_2020",10,"Typology_Farming","Q4",1.7027,1.077,2.5553,70.2662,"0.0197"
"G12.2","2006_2010","2016_2020",10,"Typology_Farming","Q5",1.3248,0.77,2.0707,32.4803,"0.3227"
"G12.2","2000_2005","2006_2010",5,"Typology_Mining","Q1",1,1,1,0,NA
"G12.2","2000_2005","2006_2010",5,"Typology_Mining","Q2",1.5725,0.8283,3.0744,57.2529,"0.1982"
"G12.2","2000_2005","2006_2010",5,"Typology_Mining","Q3",2.3313,1.1381,4.6806,133.1297,"0.0142"
"G12.2","2000_2005","2006_2010",5,"Typology_Mining","Q4",2.9566,1.3504,6.1152,195.6585,"0.0092"
"G12.2","2000_2005","2006_2010",5,"Typology_Mining","Q5",2.6745,0.6182,6.1459,167.4531,"0.1307"
"G12.2","2000_2005","2011_2015",10,"Typology_Mining","Q1",0.9634,0.2356,2.2894,-3.6558,"0.7506"
"G12.2","2000_2005","2011_2015",10,"Typology_Mining","Q2",2.7664,1.3695,5.5829,176.636,"0.0022"
"G12.2","2000_2005","2011_2015",10,"Typology_Mining","Q3",3.4247,1.6417,7.1183,242.4697,"0.0012"
"G12.2","2000_2005","2011_2015",10,"Typology_Mining","Q4",2.6446,1.0916,5.7227,164.4615,"0.0302"
"G12.2","2000_2005","2011_2015",10,"Typology_Mining","Q5",4.6509,1.654,10.4264,365.0923,"0.0077"
"G12.2","2000_2005","2016_2020",15,"Typology_Mining","Q1",0.72,0.1236,1.748,-27.9961,"0.3767"
"G12.2","2000_2005","2016_2020",15,"Typology_Mining","Q2",2.0196,0.9596,4.2459,101.9562,"0.0657"
"G12.2","2000_2005","2016_2020",15,"Typology_Mining","Q3",2.1003,0.9768,4.4201,110.026,"0.0597"
"G12.2","2000_2005","2016_2020",15,"Typology_Mining","Q4",2.1033,0.8564,4.5679,110.3269,"0.1122"
"G12.2","2000_2005","2016_2020",15,"Typology_Mining","Q5",4.4043,1.3375,9.8231,340.4298,"0.0167"
"G12.2","2006_2010","2011_2015",5,"Typology_Mining","Q1",1,1,1,0,NA
"G12.2","2006_2010","2011_2015",5,"Typology_Mining","Q2",1.437,0.8194,2.3963,43.6981,"0.2132"
"G12.2","2006_2010","2011_2015",5,"Typology_Mining","Q3",1.7451,0.9987,2.9185,74.5092,"0.0512"
"G12.2","2006_2010","2011_2015",5,"Typology_Mining","Q4",1.2437,0.4922,2.3462,24.3737,"0.6496"
"G12.2","2006_2010","2011_2015",5,"Typology_Mining","Q5",1.4272,0.5509,2.7151,42.719,"0.4246"
"G12.2","2006_2010","2016_2020",10,"Typology_Mining","Q1",0.7928,0.3742,1.4614,-20.723,"0.3872"
"G12.2","2006_2010","2016_2020",10,"Typology_Mining","Q2",1.0635,0.5396,1.8985,6.35,"0.9710"
"G12.2","2006_2010","2016_2020",10,"Typology_Mining","Q3",1.359,0.7382,2.3369,35.8953,"0.3717"
"G12.2","2006_2010","2016_2020",10,"Typology_Mining","Q4",0.7436,0.2043,1.5687,-25.6431,"0.3792"
"G12.2","2006_2010","2016_2020",10,"Typology_Mining","Q5",0.7912,0.1846,1.6401,-20.8836,"0.4876"
"G12.2","2000_2005","2006_2010",5,"Typology_Manufacturing","Q1",1,1,1,0,NA
"G12.2","2000_2005","2006_2010",5,"Typology_Manufacturing","Q2",1.7518,1.3036,2.3715,75.1845,"0.0002"
"G12.2","2000_2005","2006_2010",5,"Typology_Manufacturing","Q3",2.299,1.7241,3.1159,129.9001,"0.0002"
"G12.2","2000_2005","2006_2010",5,"Typology_Manufacturing","Q4",2.8991,2.1955,3.9539,189.9096,"0.0002"
"G12.2","2000_2005","2006_2010",5,"Typology_Manufacturing","Q5",3.3305,2.485,4.5742,233.0514,"0.0002"
"G12.2","2000_2005","2011_2015",10,"Typology_Manufacturing","Q1",1.2958,0.8826,1.8551,29.5754,"0.1947"
"G12.2","2000_2005","2011_2015",10,"Typology_Manufacturing","Q2",2.109,1.5377,2.9141,110.8967,"0.0002"
"G12.2","2000_2005","2011_2015",10,"Typology_Manufacturing","Q3",2.8044,2.0783,3.8567,180.4441,"0.0002"
"G12.2","2000_2005","2011_2015",10,"Typology_Manufacturing","Q4",2.8604,2.1415,3.9483,186.0448,"0.0002"
"G12.2","2000_2005","2011_2015",10,"Typology_Manufacturing","Q5",3.2889,2.4656,4.4838,228.895,"0.0002"
"G12.2","2000_2005","2016_2020",15,"Typology_Manufacturing","Q1",1.1665,0.7857,1.6847,16.654,"0.4941"
"G12.2","2000_2005","2016_2020",15,"Typology_Manufacturing","Q2",1.5633,1.1133,2.1986,56.3325,"0.0102"
"G12.2","2000_2005","2016_2020",15,"Typology_Manufacturing","Q3",2.2236,1.639,3.0788,122.3584,"0.0002"
"G12.2","2000_2005","2016_2020",15,"Typology_Manufacturing","Q4",2.4715,1.8374,3.4111,147.1521,"0.0002"
"G12.2","2000_2005","2016_2020",15,"Typology_Manufacturing","Q5",2.9902,2.2502,4.0815,199.0219,"0.0002"
"G12.2","2006_2010","2011_2015",5,"Typology_Manufacturing","Q1",1,1,1,0,NA
"G12.2","2006_2010","2011_2015",5,"Typology_Manufacturing","Q2",1.2241,0.9437,1.5907,22.4115,"0.1402"
"G12.2","2006_2010","2011_2015",5,"Typology_Manufacturing","Q3",1.2902,1.0075,1.6554,29.0164,"0.0467"
"G12.2","2006_2010","2011_2015",5,"Typology_Manufacturing","Q4",1.4707,1.1591,1.8858,47.0706,"0.0007"
"G12.2","2006_2010","2011_2015",5,"Typology_Manufacturing","Q5",1.4811,1.1561,1.9014,48.1103,"0.0017"
"G12.2","2006_2010","2016_2020",10,"Typology_Manufacturing","Q1",0.706,0.4811,0.9981,-29.399,"0.0497"
"G12.2","2006_2010","2016_2020",10,"Typology_Manufacturing","Q2",1.0541,0.7828,1.3961,5.4051,"0.7856"
"G12.2","2006_2010","2016_2020",10,"Typology_Manufacturing","Q3",1.189,0.914,1.5559,18.9002,"0.2332"
"G12.2","2006_2010","2016_2020",10,"Typology_Manufacturing","Q4",1.1838,0.9159,1.5487,18.377,"0.2302"
"G12.2","2006_2010","2016_2020",10,"Typology_Manufacturing","Q5",1.3109,1.0136,1.7031,31.0887,"0.0377"
"G12.2","2000_2005","2006_2010",5,"Typology_Government","Q1",1,1,1,0,NA
"G12.2","2000_2005","2006_2010",5,"Typology_Government","Q2",2.1471,1.4691,3.16,114.7121,"0.0002"
"G12.2","2000_2005","2006_2010",5,"Typology_Government","Q3",2.8743,1.9976,4.305,187.4332,"0.0002"
"G12.2","2000_2005","2006_2010",5,"Typology_Government","Q4",3.5105,2.3829,5.3175,251.0519,"0.0002"
"G12.2","2000_2005","2006_2010",5,"Typology_Government","Q5",4.2945,2.8994,6.5958,329.4459,"0.0002"
"G12.2","2000_2005","2011_2015",10,"Typology_Government","Q1",1.2085,0.6814,2.0195,20.8478,"0.5896"
"G12.2","2000_2005","2011_2015",10,"Typology_Government","Q2",2.123,1.3571,3.3431,112.3031,"0.0007"
"G12.2","2000_2005","2011_2015",10,"Typology_Government","Q3",2.9871,1.9816,4.5762,198.7061,"0.0002"
"G12.2","2000_2005","2011_2015",10,"Typology_Government","Q4",3.8965,2.6109,6.0497,289.6472,"0.0002"
"G12.2","2000_2005","2011_2015",10,"Typology_Government","Q5",4.006,2.7082,6.1897,300.6021,"0.0002"
"G12.2","2000_2005","2016_2020",15,"Typology_Government","Q1",1.011,0.5537,1.7167,1.0995,"0.9030"
"G12.2","2000_2005","2016_2020",15,"Typology_Government","Q2",1.9627,1.2328,3.0976,96.27,"0.0012"
"G12.2","2000_2005","2016_2020",15,"Typology_Government","Q3",2.5805,1.7324,3.9874,158.0544,"0.0002"
"G12.2","2000_2005","2016_2020",15,"Typology_Government","Q4",3.0704,2.0655,4.7143,207.0363,"0.0002"
"G12.2","2000_2005","2016_2020",15,"Typology_Government","Q5",3.3031,2.2316,5.0645,230.3121,"0.0002"
"G12.2","2006_2010","2011_2015",5,"Typology_Government","Q1",1,1,1,0,NA
"G12.2","2006_2010","2011_2015",5,"Typology_Government","Q2",1.3911,1.0693,1.7985,39.1125,"0.0112"
"G12.2","2006_2010","2011_2015",5,"Typology_Government","Q3",1.3197,1.0035,1.7276,31.9687,"0.0467"
"G12.2","2006_2010","2011_2015",5,"Typology_Government","Q4",1.5839,1.1915,2.0741,58.3934,"0.0012"
"G12.2","2006_2010","2011_2015",5,"Typology_Government","Q5",1.5388,1.1633,2.0281,53.8785,"0.0032"
"G12.2","2006_2010","2016_2020",10,"Typology_Government","Q1",0.8083,0.5691,1.1101,-19.1742,"0.1927"
"G12.2","2006_2010","2016_2020",10,"Typology_Government","Q2",1.1895,0.8958,1.5705,18.9496,"0.2497"
"G12.2","2006_2010","2016_2020",10,"Typology_Government","Q3",1.2643,0.9506,1.6756,26.4346,"0.1132"
"G12.2","2006_2010","2016_2020",10,"Typology_Government","Q4",1.174,0.8674,1.5671,17.3973,"0.3172"
"G12.2","2006_2010","2016_2020",10,"Typology_Government","Q5",1.2696,0.9444,1.6774,26.956,"0.1157"
"G12.2","2000_2005","2006_2010",5,"Typology_Services","Q1",1,1,1,0,NA
"G12.2","2000_2005","2006_2010",5,"Typology_Services","Q2",1.6065,0.7093,4.809,60.646,"0.3832"
"G12.2","2000_2005","2006_2010",5,"Typology_Services","Q3",2.1299,0.9986,6.1827,112.9902,"0.0512"
"G12.2","2000_2005","2006_2010",5,"Typology_Services","Q4",3.0524,1.4341,9.2366,205.2408,"0.0057"
"G12.2","2000_2005","2006_2010",5,"Typology_Services","Q5",3.4316,1.6023,10.2685,243.1552,"0.0052"
"G12.2","2000_2005","2011_2015",10,"Typology_Services","Q1",1.5144,0.4693,4.9674,51.4433,"0.5906"
"G12.2","2000_2005","2011_2015",10,"Typology_Services","Q2",2.0317,0.9007,6.312,103.171,"0.1077"
"G12.2","2000_2005","2011_2015",10,"Typology_Services","Q3",2.333,1.0637,7.0735,133.2989,"0.0277"
"G12.2","2000_2005","2011_2015",10,"Typology_Services","Q4",3.0763,1.4312,9.1252,207.6347,"0.0052"
"G12.2","2000_2005","2011_2015",10,"Typology_Services","Q5",3.4624,1.6142,10.3428,246.2426,"0.0052"
"G12.2","2000_2005","2016_2020",15,"Typology_Services","Q1",1.2025,0.3865,3.7831,20.2546,"0.9915"
"G12.2","2000_2005","2016_2020",15,"Typology_Services","Q2",1.9184,0.8575,5.6361,91.8407,"0.1522"
"G12.2","2000_2005","2016_2020",15,"Typology_Services","Q3",2.0675,0.917,6.1637,106.7513,"0.0892"
"G12.2","2000_2005","2016_2020",15,"Typology_Services","Q4",2.6265,1.2028,8.1855,162.6459,"0.0107"
"G12.2","2000_2005","2016_2020",15,"Typology_Services","Q5",3.0357,1.4206,9.0974,203.5728,"0.0052"
"G12.2","2006_2010","2011_2015",5,"Typology_Services","Q1",1,1,1,0,NA
"G12.2","2006_2010","2011_2015",5,"Typology_Services","Q2",1.2397,1.0304,1.4819,23.971,"0.0237"
"G12.2","2006_2010","2011_2015",5,"Typology_Services","Q3",1.2185,1.0094,1.4629,21.8452,"0.0367"
"G12.2","2006_2010","2011_2015",5,"Typology_Services","Q4",1.1366,0.9423,1.3659,13.6582,"0.1922"
"G12.2","2006_2010","2011_2015",5,"Typology_Services","Q5",1.227,1.0099,1.4824,22.7044,"0.0412"
"G12.2","2006_2010","2016_2020",10,"Typology_Services","Q1",0.8784,0.6945,1.0899,-12.16,"0.2517"
