ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,LandUse_Natural,Q1,1,1,1,0,NA
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,LandUse_Natural,Q2,1.224,1.1599,1.2924,22.3995,0.0002
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,LandUse_Natural,Q3,1.3422,1.2727,1.4167,34.2226,0.0002
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,LandUse_Natural,Q4,1.4631,1.3802,1.5518,46.3081,0.0002
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,LandUse_Natural,Q5,1.6314,1.5368,1.7303,63.1397,0.0002
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"LandUse_Natural","Q1",1.2008,1.0879,1.325,20.0786,"0.0007"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"LandUse_Natural","Q2",1.4282,1.301,1.5652,42.8195,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"LandUse_Natural","Q3",1.5157,1.38,1.6612,51.5727,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"LandUse_Natural","Q4",1.6606,1.5196,1.8173,66.0595,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"LandUse_Natural","Q5",1.8405,1.688,2.0108,84.0503,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"LandUse_Natural","Q1",1.2659,1.1527,1.3916,26.586,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"LandUse_Natural","Q2",1.4925,1.3614,1.6358,49.2547,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"LandUse_Natural","Q3",1.5386,1.4072,1.6906,53.8633,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"LandUse_Natural","Q4",1.6589,1.5229,1.8182,65.8864,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"LandUse_Natural","Q5",1.8394,1.6868,2.0184,83.9407,"0.0002"
"G20_G30_G12.2_F01_F03","2006_2010","2011_2015",5,"LandUse_Natural","Q1",1,1,1,0,NA
"G20_G30_G12.2_F01_F03","2006_2010","2011_2015",5,"LandUse_Natural","Q2",1.1106,1.0565,1.1666,11.0633,"0.0002"
"G20_G30_G12.2_F01_F03","2006_2010","2011_2015",5,"LandUse_Natural","Q3",1.1847,1.1241,1.2458,18.4721,"0.0002"
"G20_G30_G12.2_F01_F03","2006_2010","2011_2015",5,"LandUse_Natural","Q4",1.182,1.1191,1.2475,18.2043,"0.0002"
"G20_G30_G12.2_F01_F03","2006_2010","2011_2015",5,"LandUse_Natural","Q5",1.1838,1.119,1.2528,18.3799,"0.0002"
"G20_G30_G12.2_F01_F03","2006_2010","2016_2020",10,"LandUse_Natural","Q1",1.0432,0.9438,1.151,4.316,"0.4131"
"G20_G30_G12.2_F01_F03","2006_2010","2016_2020",10,"LandUse_Natural","Q2",1.1299,1.0219,1.2444,12.9934,"0.0182"
"G20_G30_G12.2_F01_F03","2006_2010","2016_2020",10,"LandUse_Natural","Q3",1.1924,1.0819,1.3118,19.2358,"0.0022"
"G20_G30_G12.2_F01_F03","2006_2010","2016_2020",10,"LandUse_Natural","Q4",1.1766,1.0661,1.2938,17.6578,"0.0037"
"G20_G30_G12.2_F01_F03","2006_2010","2016_2020",10,"LandUse_Natural","Q5",1.1603,1.0501,1.2775,16.0329,"0.0087"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"LandUse_Water_Sensitive","Q1",1,1,1,0,NA
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"LandUse_Water_Sensitive","Q2",1.0386,0.9545,1.1268,3.8614,"0.3782"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"LandUse_Water_Sensitive","Q3",1.1293,1.0445,1.219,12.9344,"0.0017"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"LandUse_Water_Sensitive","Q4",1.1935,1.1011,1.2962,19.3534,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"LandUse_Water_Sensitive","Q5",1.2427,1.1454,1.3494,24.2653,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"LandUse_Water_Sensitive","Q1",1.1647,1.0327,1.3165,16.4743,"0.0097"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"LandUse_Water_Sensitive","Q2",1.1999,1.0587,1.3564,19.9887,"0.0042"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"LandUse_Water_Sensitive","Q3",1.3122,1.1695,1.4718,31.2208,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"LandUse_Water_Sensitive","Q4",1.3771,1.2286,1.5443,37.7105,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"LandUse_Water_Sensitive","Q5",1.4342,1.2812,1.6077,43.4239,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"LandUse_Water_Sensitive","Q1",1.2327,1.095,1.3818,23.2653,"0.0012"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"LandUse_Water_Sensitive","Q2",1.2343,1.092,1.3909,23.4289,"0.0012"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"LandUse_Water_Sensitive","Q3",1.3256,1.1814,1.4856,32.5594,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"LandUse_Water_Sensitive","Q4",1.3575,1.2108,1.5223,35.7466,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"LandUse_Water_Sensitive","Q5",1.4831,1.3203,1.656,48.3087,"0.0002"
"G20_G30_G12.2_F01_F03","2006_2010","2011_2015",5,"LandUse_Water_Sensitive","Q1",1,1,1,0,NA
"G20_G30_G12.2_F01_F03","2006_2010","2011_2015",5,"LandUse_Water_Sensitive","Q2",1.0757,0.9988,1.1589,7.5741,"0.0532"
"G20_G30_G12.2_F01_F03","2006_2010","2011_2015",5,"LandUse_Water_Sensitive","Q3",1.0791,1.0036,1.1595,7.9148,"0.0417"
"G20_G30_G12.2_F01_F03","2006_2010","2011_2015",5,"LandUse_Water_Sensitive","Q4",1.0861,1.0063,1.1709,8.6109,"0.0357"
"G20_G30_G12.2_F01_F03","2006_2010","2011_2015",5,"LandUse_Water_Sensitive","Q5",1.107,1.0231,1.1977,10.6983,"0.0122"
"G20_G30_G12.2_F01_F03","2006_2010","2016_2020",10,"LandUse_Water_Sensitive","Q1",1.0527,0.9271,1.1978,5.2709,"0.4546"
"G20_G30_G12.2_F01_F03","2006_2010","2016_2020",10,"LandUse_Water_Sensitive","Q2",1.0939,0.9644,1.2419,9.3943,"0.1717"
"G20_G30_G12.2_F01_F03","2006_2010","2016_2020",10,"LandUse_Water_Sensitive","Q3",1.1343,1.0026,1.284,13.4323,"0.0427"
"G20_G30_G12.2_F01_F03","2006_2010","2016_2020",10,"LandUse_Water_Sensitive","Q4",1.1152,0.9793,1.2591,11.5215,"0.1022"
"G20_G30_G12.2_F01_F03","2006_2010","2016_2020",10,"LandUse_Water_Sensitive","Q5",1.1403,1.0038,1.2915,14.0251,"0.0432"
