ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
G20,2000_2005,2006_2010,5,LandUse_Natural,Q1,1,1,1,0,NA
G20,2000_2005,2006_2010,5,LandUse_Natural,Q2,1.8192,1.6023,2.0858,81.9247,0.0002
G20,2000_2005,2006_2010,5,LandUse_Natural,Q3,2.2396,1.9676,2.561,123.9643,0.0002
G20,2000_2005,2006_2010,5,LandUse_Natural,Q4,2.5342,2.2055,2.9423,153.4237,0.0002
G20,2000_2005,2006_2010,5,LandUse_Natural,Q5,2.8358,2.4496000000000002,3.2978,183.581,0.0002
"G20","2000_2005","2011_2015",10,"LandUse_Natural","Q1",1.1752,0.937,1.4464,17.5203,"0.1537"
"G20","2000_2005","2011_2015",10,"LandUse_Natural","Q2",2.0541,1.7068,2.4637,105.4112,"0.0002"
"G20","2000_2005","2011_2015",10,"LandUse_Natural","Q3",2.4033,2.021,2.8652,140.3309,"0.0002"
"G20","2000_2005","2011_2015",10,"LandUse_Natural","Q4",2.8026,2.367,3.3303,180.2623,"0.0002"
"G20","2000_2005","2011_2015",10,"LandUse_Natural","Q5",3.0832,2.6051,3.6674,208.3198,"0.0002"
"G20","2000_2005","2016_2020",15,"LandUse_Natural","Q1",1.6094,1.3086,1.9602,60.9398,"0.0002"
"G20","2000_2005","2016_2020",15,"LandUse_Natural","Q2",2.6835,2.2544,3.2084,168.3471,"0.0002"
"G20","2000_2005","2016_2020",15,"LandUse_Natural","Q3",2.9341,2.4842,3.495,193.4108,"0.0002"
"G20","2000_2005","2016_2020",15,"LandUse_Natural","Q4",3.2871,2.7926,3.9058,228.7053,"0.0002"
"G20","2000_2005","2016_2020",15,"LandUse_Natural","Q5",3.6687,3.1164,4.3569,266.8703,"0.0002"
"G20","2006_2010","2011_2015",5,"LandUse_Natural","Q1",1,1,1,0,NA
"G20","2006_2010","2011_2015",5,"LandUse_Natural","Q2",1.2574,1.1227,1.4096,25.7409,"0.0002"
"G20","2006_2010","2011_2015",5,"LandUse_Natural","Q3",1.42,1.267,1.5921,42.0026,"0.0002"
"G20","2006_2010","2011_2015",5,"LandUse_Natural","Q4",1.3895,1.2365,1.5617,38.9528,"0.0002"
"G20","2006_2010","2011_2015",5,"LandUse_Natural","Q5",1.3889,1.232,1.5669,38.8867,"0.0002"
"G20","2006_2010","2016_2020",10,"LandUse_Natural","Q1",1.264,1.091,1.4625,26.4046,"0.0007"
"G20","2006_2010","2016_2020",10,"LandUse_Natural","Q2",1.6116,1.4153,1.8321,61.1632,"0.0002"
"G20","2006_2010","2016_2020",10,"LandUse_Natural","Q3",1.7072,1.5006,1.9398,70.7172,"0.0002"
"G20","2006_2010","2016_2020",10,"LandUse_Natural","Q4",1.6822,1.477,1.9123,68.2187,"0.0002"
"G20","2006_2010","2016_2020",10,"LandUse_Natural","Q5",1.689,1.4757,1.9225,68.9036,"0.0002"
"G20","2000_2005","2006_2010",5,"LandUse_Water_Sensitive","Q1",1,1,1,0,NA
"G20","2000_2005","2006_2010",5,"LandUse_Water_Sensitive","Q2",1.9564,1.5949,2.3928,95.6368,"0.0002"
"G20","2000_2005","2006_2010",5,"LandUse_Water_Sensitive","Q3",2.1919,1.799,2.6816,119.1938,"0.0002"
"G20","2000_2005","2006_2010",5,"LandUse_Water_Sensitive","Q4",2.2981,1.8831,2.8275,129.8126,"0.0002"
"G20","2000_2005","2006_2010",5,"LandUse_Water_Sensitive","Q5",2.2382,1.8224,2.7693,123.8172,"0.0002"
"G20","2000_2005","2011_2015",10,"LandUse_Water_Sensitive","Q1",1.3562,1.0525,1.7306,35.6154,"0.0137"
"G20","2000_2005","2011_2015",10,"LandUse_Water_Sensitive","Q2",1.9869,1.5965,2.4847,98.687,"0.0002"
"G20","2000_2005","2011_2015",10,"LandUse_Water_Sensitive","Q3",2.2977,1.8678,2.8374,129.7679,"0.0002"
"G20","2000_2005","2011_2015",10,"LandUse_Water_Sensitive","Q4",2.45,1.9983,3.0268,144.997,"0.0002"
"G20","2000_2005","2011_2015",10,"LandUse_Water_Sensitive","Q5",2.5137,2.0562,3.09,151.3689,"0.0002"
"G20","2000_2005","2016_2020",15,"LandUse_Water_Sensitive","Q1",2.1564,1.7067,2.7529,115.641,"0.0002"
"G20","2000_2005","2016_2020",15,"LandUse_Water_Sensitive","Q2",2.5975,2.0891,3.2154,159.7482,"0.0002"
"G20","2000_2005","2016_2020",15,"LandUse_Water_Sensitive","Q3",2.7501,2.2515,3.4104,175.0101,"0.0002"
"G20","2000_2005","2016_2020",15,"LandUse_Water_Sensitive","Q4",2.7985,2.2879,3.4746,179.8469,"0.0002"
"G20","2000_2005","2016_2020",15,"LandUse_Water_Sensitive","Q5",2.9786,2.4341,3.6616,197.8626,"0.0002"
"G20","2006_2010","2011_2015",5,"LandUse_Water_Sensitive","Q1",1,1,1,0,NA
"G20","2006_2010","2011_2015",5,"LandUse_Water_Sensitive","Q2",1.0949,0.9136,1.314,9.4946,"0.3392"
"G20","2006_2010","2011_2015",5,"LandUse_Water_Sensitive","Q3",1.04,0.8646,1.246,3.9974,"0.7191"
"G20","2006_2010","2011_2015",5,"LandUse_Water_Sensitive","Q4",1.0795,0.8963,1.3,7.9534,"0.4601"
"G20","2006_2010","2011_2015",5,"LandUse_Water_Sensitive","Q5",1.0432,0.8599,1.2767,4.3232,"0.7286"
"G20","2006_2010","2016_2020",10,"LandUse_Water_Sensitive","Q1",1.1941,0.9399,1.4873,19.4128,"0.1367"
"G20","2006_2010","2016_2020",10,"LandUse_Water_Sensitive","Q2",1.3026,1.0557,1.6049,30.2635,"0.0122"
"G20","2006_2010","2016_2020",10,"LandUse_Water_Sensitive","Q3",1.3873,1.1347,1.7034,38.729,"0.0002"
"G20","2006_2010","2016_2020",10,"LandUse_Water_Sensitive","Q4",1.3906,1.1362,1.7094,39.0591,"0.0002"
"G20","2006_2010","2016_2020",10,"LandUse_Water_Sensitive","Q5",1.2854,1.0449,1.5714,28.5375,"0.0162"
"G20","2000_2005","2006_2010",5,"LandUse_Agricultural","Q1",1,1,1,0,NA
"G20","2000_2005","2006_2010",5,"LandUse_Agricultural","Q2",1.5121,1.2622,1.8105,51.2056,"0.0002"
"G20","2000_2005","2006_2010",5,"LandUse_Agricultural","Q3",1.8664,1.5766,2.2252,86.6443,"0.0002"
"G20","2000_2005","2006_2010",5,"LandUse_Agricultural","Q4",2.0056,1.6932,2.3932,100.5633,"0.0002"
