ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
G20,2000_2005,2006_2010,5,Typology_Farming,Q1,1,1,1,0,NA
G20,2000_2005,2006_2010,5,Typology_Farming,Q2,2.0908,1.6732,2.6034,109.0826,0.0002
G20,2000_2005,2006_2010,5,Typology_Farming,Q3,2.4897,1.9311,3.166,148.9719,0.0002
G20,2000_2005,2006_2010,5,Typology_Farming,Q4,2.7841,2.0174,3.6652,178.4129,0.0002
G20,2000_2005,2006_2010,5,Typology_Farming,Q5,3.1317,1.4022,5.1858,213.1673,0.0112
"G20","2000_2005","2011_2015",10,"Typology_Farming","Q1",1.096,0.7917,1.4573,9.5982,"0.5866"
"G20","2000_2005","2011_2015",10,"Typology_Farming","Q2",2.3659,1.8088,3.0395,136.5878,"0.0002"
"G20","2000_2005","2011_2015",10,"Typology_Farming","Q3",2.7988,2.1088,3.6189,179.8786,"0.0002"
"G20","2000_2005","2011_2015",10,"Typology_Farming","Q4",3.1448,2.2667,4.228,214.4755,"0.0002"
"G20","2000_2005","2011_2015",10,"Typology_Farming","Q5",2.5856,0.9919,4.4415,158.5632,"0.0512"
"G20","2000_2005","2016_2020",15,"Typology_Farming","Q1",1.4995,1.099,1.9817,49.9474,"0.0092"
"G20","2000_2005","2016_2020",15,"Typology_Farming","Q2",3.0672,2.3514,3.8937,206.7241,"0.0002"
"G20","2000_2005","2016_2020",15,"Typology_Farming","Q3",3.2624,2.4551,4.212,226.2388,"0.0002"
"G20","2000_2005","2016_2020",15,"Typology_Farming","Q4",3.6487,2.6925,4.8302,264.8703,"0.0002"
"G20","2000_2005","2016_2020",15,"Typology_Farming","Q5",2.8652,1.2106,4.8186,186.5234,"0.0297"
"G20","2006_2010","2011_2015",5,"Typology_Farming","Q1",1,1,1,0,NA
"G20","2006_2010","2011_2015",5,"Typology_Farming","Q2",1.3757,1.0762,1.7476,37.5701,"0.0132"
"G20","2006_2010","2011_2015",5,"Typology_Farming","Q3",1.3615,0.9836,1.8215,36.1513,"0.0662"
"G20","2006_2010","2011_2015",5,"Typology_Farming","Q4",1.3593,0.9935,1.7918,35.9309,"0.0552"
"G20","2006_2010","2011_2015",5,"Typology_Farming","Q5",1.2833,0.8682,1.7818,28.3257,"0.1962"
"G20","2006_2010","2016_2020",10,"Typology_Farming","Q1",1.325,1.0236,1.6918,32.4971,"0.0282"
"G20","2006_2010","2016_2020",10,"Typology_Farming","Q2",1.635,1.2487,2.1148,63.5027,"0.0007"
"G20","2006_2010","2016_2020",10,"Typology_Farming","Q3",1.7072,1.2372,2.2913,70.7164,"0.0017"
"G20","2006_2010","2016_2020",10,"Typology_Farming","Q4",1.7613,1.3053,2.3135,76.1252,"0.0007"
"G20","2006_2010","2016_2020",10,"Typology_Farming","Q5",1.6138,1.1102,2.2282,61.3765,"0.0117"
"G20","2000_2005","2006_2010",5,"Typology_Mining","Q1",1,1,1,0,NA
"G20","2000_2005","2006_2010",5,"Typology_Mining","Q2",1.7545,1.2198,2.5511,75.45,"0.0027"
"G20","2000_2005","2006_2010",5,"Typology_Mining","Q3",2.2802,1.4812,3.4782,128.0241,"0.0002"
"G20","2000_2005","2006_2010",5,"Typology_Mining","Q4",2.4987,1.5533,3.9345,149.8701,"0.0002"
"G20","2000_2005","2006_2010",5,"Typology_Mining","Q5",1.1348,0.152,2.4244,13.4824,"0.8660"
"G20","2000_2005","2011_2015",10,"Typology_Mining","Q1",1.7189,1.0228,2.8361,71.8921,"0.0427"
