ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
C22,2000_2005,2006_2010,5,Typology_Farming_EQI,0.00,"0.85(0.32,1.40)**","2.07(1.29,2.90)***","1.79(0.66,2.92)**","1.48(-1.77,4.95)",0.0017,0.0002,0.0022,0.3807,1.0002,0.9998,1.0010,1.0024,4913,4590,5333,5144,3158,3211,3262,3143
"C22","2000_2005","2006_2010",5,"Typology_Farming_EQI_Air","0.00","1.39(0.63,2.17)***","3.48(2.23,4.78)***","3.30(1.62,5.05)***","-0.01(-10.02,9.83)","0.0002","0.0002","0.0002","0.9980","1.0008","1.0015","1.0001","0.9999",2874,3060,3300,5243,2799,2659,2826,3263
"C22","2000_2005","2006_2010",5,"Typology_Farming_EQI_Water","0.00","-0.82(-1.55,-0.10)*","-0.12(-1.01,0.77)","-0.02(-0.89,0.85)","-0.24(-1.26,0.78)","0.0232","0.7971","0.9455","0.6416","1.0018","1.0012","1.0019","1.0016",1467,1420,1431,1642,2145,2188,2306,2509
"C22","2000_2005","2006_2010",5,"Typology_Farming_EQI_Land","0.00","-0.58(-1.49,0.32)","-0.36(-1.22,0.52)","-1.06(-1.96,-0.17)*","-0.50(-1.45,0.46)","0.2037","0.4261","0.0192","0.2992","1.0030","1.0035","1.0040","1.0033",2139,1753,1445,1492,2741,2520,2141,2097
"C22","2000_2005","2006_2010",5,"Typology_Farming_EQI_Built","0.00","0.65(0.10,1.19)*","0.26(-0.37,0.93)","0.71(-0.04,1.47)","1.42(0.18,2.86)*","0.0252","0.4281","0.0632","0.0247","1.0006","1.0024","1.0001","1.0009",3766,3167,4208,3904,2638,2655,3137,2382
"C22","2000_2005","2006_2010",5,"Typology_Farming_EQI_Social","0.00","-0.99(-1.62,-0.36)**","-0.74(-1.47,-0.02)*","-0.48(-1.28,0.32)","-0.47(-1.55,0.61)","0.0037","0.0412","0.2477","0.3632","1.0024","1.0035","1.0027","1.0021",2006,1452,1496,1911,2556,2172,2303,2262
"C22","2000_2005","2011_2015",10,"Typology_Farming_EQI","0.00","1.25(0.64,1.88)***","2.61(1.61,3.62)***","2.87(1.47,4.31)***","3.73(0.02,7.68)*","0.0002","0.0002","0.0002","0.0492","1.0004","1.0032","1.0021","1.0006",3956,5079,5054,5419,2890,3068,3109,3042
"C22","2000_2005","2011_2015",10,"Typology_Farming_EQI_Air","0.00","2.41(1.43,3.37)***","3.19(1.81,4.67)***","4.40(2.38,6.48)***","-0.08(-9.77,9.41)","0.0002","0.0002","0.0002","0.9890","1.0011","1.0011","1.0007","1.0002",2612,3398,3689,4902,2626,2982,2922,3068
"C22","2000_2005","2011_2015",10,"Typology_Farming_EQI_Water","0.00","-0.23(-1.07,0.61)","0.04(-1.02,1.09)","0.02(-0.97,0.99)","0.04(-1.10,1.20)","0.5801","0.9255","0.9480","0.9480","1.0003","1.0020","1.0012","1.0005",1990,1867,2029,2436,2656,2403,2358,2544
"C22","2000_2005","2011_2015",10,"Typology_Farming_EQI_Land","0.00","0.65(-0.43,1.79)","-0.04(-1.08,0.96)","-0.39(-1.44,0.71)","-0.05(-1.19,1.04)","0.2537","0.9450","0.4616","0.9335","1.0009","1.0006","1.0014","1.0013",1865,1750,1499,1673,2639,2353,2468,2463
