ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
C61,2000_2005,2006_2010,5,LandUse_Natural_EQI,0.00,"2.07(1.44,2.70)***","2.14(1.52,2.74)***","1.91(1.25,2.57)***","2.10(1.38,2.81)***",0.0002,0.0002,0.0002,0.0002,1.0006,1.0011,1.0034,1.0049,3564,2751,2397,1955,3186,2957,3067,2551
"C61","2000_2005","2006_2010",5,"LandUse_Natural_EQI_Air","0.00","3.05(2.32,3.78)***","2.59(1.88,3.30)***","2.02(1.30,2.74)***","1.37(0.53,2.23)**","0.0002","0.0002","0.0002","0.0012","1.0012","1.0009","1.0006","1.0006",2243,1757,1503,1457,2785,2560,2653,2408
"C61","2000_2005","2006_2010",5,"LandUse_Natural_EQI_Water","0.00","-0.44(-1.24,0.39)","0.07(-0.84,0.98)","0.62(-0.30,1.53)","0.62(-0.31,1.54)","0.2987","0.9135","0.1917","0.1992","1.0018","1.0020","1.0028","1.0030",1329,1232,1273,1135,2067,2356,2129,2246
"C61","2000_2005","2006_2010",5,"LandUse_Natural_EQI_Land","0.00","-0.36(-0.99,0.26)","0.11(-0.60,0.83)","0.01(-0.80,0.80)","0.40(-0.52,1.32)","0.2572","0.7606","0.9665","0.3902","1.0008","1.0006","1.0003","1.0004",2388,1744,1557,1686,2847,2653,2125,2540
"C61","2000_2005","2006_2010",5,"LandUse_Natural_EQI_Built","0.00","1.76(1.12,2.40)***","1.55(0.89,2.19)***","1.52(0.88,2.16)***","1.50(0.81,2.17)***","0.0002","0.0002","0.0002","0.0002","1.0010","1.0020","1.0032","1.0019",2608,2089,1954,2112,2858,2465,2542,2945
"C61","2000_2005","2006_2010",5,"LandUse_Natural_EQI_Social","0.00","-0.31(-0.89,0.24)","-0.62(-1.22,-0.01)*","-0.04(-0.74,0.64)","-0.31(-1.08,0.46)","0.2712","0.0492","0.8955","0.4421","1.0007","1.0003","1.0005","1.0009",2718,2137,2037,1756,3041,3169,2768,2736
"C61","2000_2005","2011_2015",10,"LandUse_Natural_EQI","0.00","2.52(1.97,3.08)***","2.77(2.26,3.29)***","2.80(2.25,3.34)***","3.26(2.66,3.86)***","0.0002","0.0002","0.0002","0.0002","0.9998","1.0000","1.0013","1.0009",4029,3415,3006,2447,2925,2983,3023,2915
"C61","2000_2005","2011_2015",10,"LandUse_Natural_EQI_Air","0.00","2.77(2.15,3.41)***","2.40(1.81,2.99)***","2.24(1.62,2.83)***","1.50(0.82,2.20)***","0.0002","0.0002","0.0002","0.0002","1.0013","1.0021","1.0033","1.0039",2255,1724,1690,1615,2702,2605,2958,2219
"C61","2000_2005","2011_2015",10,"LandUse_Natural_EQI_Water","0.00","-0.48(-1.18,0.19)","-0.01(-0.77,0.72)","0.62(-0.12,1.38)","0.57(-0.18,1.33)","0.1852","0.9680","0.1087","0.1432","1.0007","1.0023","1.0005","1.0004",1835,1573,1657,1678,2566,2043,2560,2429
"C61","2000_2005","2011_2015",10,"LandUse_Natural_EQI_Land","0.00","-0.01(-0.53,0.54)","-0.28(-0.84,0.30)","-0.14(-0.80,0.53)","0.49(-0.24,1.26)","0.9835","0.3407","0.6766","0.2007","1.0006","1.0008","1.0015","1.0009",2289,1760,1624,1752,2632,2461,2373,2305
