ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
C64_C65,2000_2005,2006_2010,5,LandUse_Natural_EQI,0.00,"1.27(0.96,1.57)***","2.09(1.76,2.42)***","2.27(1.93,2.62)***","2.52(2.16,2.89)***",0.0002,0.0002,0.0002,0.0002,1.0002,1.0004,0.9998,1.0005,5374,4511,3727,2785,3407,3069,3140,2824
"C64_C65","2000_2005","2006_2010",5,"LandUse_Natural_EQI_Air","0.00","1.87(1.52,2.21)***","2.19(1.84,2.52)***","2.36(2.02,2.70)***","2.23(1.83,2.63)***","0.0002","0.0002","0.0002","0.0002","0.9997","1.0007","1.0003","1.0014",3355,3097,2664,2504,3355,3234,3278,3012
"C64_C65","2000_2005","2006_2010",5,"LandUse_Natural_EQI_Water","0.00","0.04(-0.35,0.41)","0.57(0.15,1.00)**","0.51(0.10,0.92)*","0.24(-0.16,0.65)","0.8540","0.0072","0.0167","0.2462","1.0002","1.0002","1.0006","1.0006",2139,2145,2167,2024,2656,2714,2789,2360
"C64_C65","2000_2005","2006_2010",5,"LandUse_Natural_EQI_Land","0.00","-0.02(-0.34,0.29)","0.26(-0.10,0.61)","-0.09(-0.47,0.30)","0.04(-0.37,0.47)","0.8855","0.1412","0.6166","0.8735","1.0012","1.0018","1.0027","1.0008",3031,2693,2343,2540,3169,3218,2879,2782
"C64_C65","2000_2005","2006_2010",5,"LandUse_Natural_EQI_Built","0.00","0.84(0.54,1.15)***","0.97(0.63,1.28)***","1.11(0.78,1.43)***","1.05(0.71,1.39)***","0.0002","0.0002","0.0002","0.0002","1.0010","1.0016","1.0001","1.0003",4328,3608,3372,3424,2847,2789,2648,3039
"C64_C65","2000_2005","2006_2010",5,"LandUse_Natural_EQI_Social","0.00","-0.21(-0.51,0.09)","-0.30(-0.61,0.01)","-0.25(-0.62,0.12)","-0.17(-0.59,0.25)","0.1742","0.0657","0.1737","0.4346","1.0003","1.0004","1.0004","0.9998",3818,2754,2531,2315,3692,2999,2638,2974
"C64_C65","2000_2005","2011_2015",10,"LandUse_Natural_EQI","0.00","1.36(1.08,1.65)***","1.94(1.64,2.26)***","2.11(1.79,2.42)***","2.31(1.96,2.65)***","0.0002","0.0002","0.0002","0.0002","1.0003","1.0009","1.0017","1.0015",5437,4640,3891,3150,3051,3157,3075,2992
"C64_C65","2000_2005","2011_2015",10,"LandUse_Natural_EQI_Air","0.00","1.67(1.33,2.00)***","2.13(1.79,2.46)***","2.07(1.73,2.42)***","1.84(1.46,2.23)***","0.0002","0.0002","0.0002","0.0002","1.0004","1.0003","1.0020","1.0008",3216,2984,2639,2475,3077,2919,2942,3027
"C64_C65","2000_2005","2011_2015",10,"LandUse_Natural_EQI_Water","0.00","0.11(-0.27,0.50)","0.45(0.05,0.85)*","0.54(0.14,0.96)**","0.52(0.12,0.93)*","0.5611","0.0302","0.0077","0.0122","1.0024","1.0042","1.0029","1.0049",1967,1867,2054,1806,2694,2201,2967,2377
"C64_C65","2000_2005","2011_2015",10,"LandUse_Natural_EQI_Land","0.00","0.25(-0.07,0.57)","0.11(-0.24,0.46)","-0.07(-0.45,0.30)","-0.03(-0.46,0.40)","0.1232","0.5396","0.7456","0.8785","1.0009","1.0014","1.0004","1.0010",2815,2223,2163,2455,3241,3082,2952,3028
"C64_C65","2000_2005","2011_2015",10,"LandUse_Natural_EQI_Built","0.00","0.70(0.40,0.99)***","0.94(0.63,1.26)***","0.98(0.68,1.29)***","0.77(0.45,1.09)***","0.0002","0.0002","0.0002","0.0002","1.0006","1.0005","1.0011","1.0016",4383,3897,3558,3286,3354,3130,3419,3179
"C64_C65","2000_2005","2011_2015",10,"LandUse_Natural_EQI_Social","0.00","0.01(-0.29,0.30)","0.07(-0.25,0.37)","0.07(-0.28,0.43)","0.11(-0.29,0.52)","0.9820","0.6786","0.6951","0.5661","1.0013","1.0010","1.0013","1.0007",3283,2670,2590,2370,3218,2768,3145,2791
"C64_C65","2000_2005","2016_2020",15,"LandUse_Natural_EQI","0.00","1.39(1.10,1.68)***","1.80(1.49,2.10)***","1.85(1.54,2.15)***","1.95(1.62,2.28)***","0.0002","0.0002","0.0002","0.0002","1.0008","1.0004","1.0008","1.0013",4172,4043,3243,2599,3114,3377,3332,3034
"C64_C65","2000_2005","2016_2020",15,"LandUse_Natural_EQI_Air","0.00","1.64(1.31,1.98)***","2.02(1.69,2.37)***","2.01(1.68,2.34)***","1.73(1.36,2.10)***","0.0002","0.0002","0.0002","0.0002","1.0001","1.0024","1.0001","1.0007",3135,2781,2276,2268,2994,2984,2836,2743
"C64_C65","2000_2005","2016_2020",15,"LandUse_Natural_EQI_Water","0.00","0.03(-0.32,0.39)","0.17(-0.22,0.56)","0.44(0.05,0.83)*","0.24(-0.14,0.63)","0.8520","0.3797","0.0307","0.2002","1.0006","1.0003","1.0019","1.0010",1986,2197,2072,2206,2697,2684,2950,2734
"C64_C65","2000_2005","2016_2020",15,"LandUse_Natural_EQI_Land","0.00","-0.12(-0.44,0.19)","-0.12(-0.46,0.22)","-0.21(-0.57,0.16)","-0.04(-0.45,0.39)","0.4416","0.4836","0.2522","0.8590","0.9999","1.0006","1.0002","1.0003",2934,2615,2380,2525,2830,2703,2829,3004
"C64_C65","2000_2005","2016_2020",15,"LandUse_Natural_EQI_Built","0.00","0.84(0.54,1.13)***","0.92(0.61,1.24)***","0.93(0.63,1.23)***","0.88(0.56,1.20)***","0.0002","0.0002","0.0002","0.0002","1.0011","1.0011","1.0011","1.0003",3820,3265,3279,3283,3214,3170,3303,3392
"C64_C65","2000_2005","2016_2020",15,"LandUse_Natural_EQI_Social","0.00","0.28(-0.01,0.57)","-0.08(-0.36,0.22)","0.01(-0.33,0.34)","-0.11(-0.52,0.28)","0.0572","0.6106","0.9530","0.5951","1.0018","1.0017","1.0019","1.0009",3565,2791,2298,2336,3070,3011,2968,2947
