ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
C82_C85,2000_2005,2006_2010,5,Typology_Farming_EQI,0.00,"1.79(1.11,2.49)***","3.44(2.43,4.52)***","5.25(3.38,7.24)***","4.14(0.18,8.72)*",0.0002,0.0002,0.0002,0.0407,1.0001,1.0015,1.0019,1.0007,5075,3662,5865,5954,2898,3087,3181,3342
"C82_C85","2000_2005","2006_2010",5,"Typology_Farming_EQI_Air","0.00","2.93(1.82,4.04)***","3.20(1.73,4.75)***","3.12(1.16,5.02)**","0.05(-9.64,9.80)","0.0002","0.0002","0.0017","0.9975","1.0014","1.0035","0.9998","1.0013",3338,3326,3756,5265,3301,3316,3020,2933
"C82_C85","2000_2005","2006_2010",5,"Typology_Farming_EQI_Water","0.00","-0.11(-1.01,0.78)","0.44(-0.70,1.53)","0.91(-0.18,1.96)","0.97(-0.36,2.27)","0.8165","0.4271","0.1032","0.1372","1.0004","0.9997","1.0003","1.0000",1985,1752,1805,2284,2252,2030,2321,2460
"C82_C85","2000_2005","2006_2010",5,"Typology_Farming_EQI_Land","0.00","-0.31(-1.51,0.90)","-0.42(-1.52,0.67)","-0.01(-1.17,1.13)","0.96(-0.30,2.25)","0.6181","0.4456","0.9765","0.1357","1.0003","1.0011","1.0021","1.0019",2041,1901,1583,1564,2601,2519,2495,2605
"C82_C85","2000_2005","2006_2010",5,"Typology_Farming_EQI_Built","0.00","0.38(-0.38,1.13)","1.20(0.23,2.16)*","0.87(-0.14,1.89)","1.91(0.26,3.78)*","0.3142","0.0162","0.0892","0.0212","1.0018","1.0006","1.0005","1.0009",4385,3727,4062,4406,2996,2647,3148,2803
"C82_C85","2000_2005","2006_2010",5,"Typology_Farming_EQI_Social","0.00","0.67(-0.12,1.48)","0.22(-0.66,1.12)","1.72(0.70,2.76)**","1.98(0.41,3.58)*","0.1042","0.6431","0.0022","0.0127","0.9996","1.0020","1.0018","1.0010",3295,2451,2570,2915,3092,2619,3091,3144
"C82_C85","2000_2005","2011_2015",10,"Typology_Farming_EQI","0.00","1.66(0.99,2.38)***","2.83(1.84,3.85)***","4.85(3.06,6.79)***","4.07(0.36,8.04)*","0.0002","0.0002","0.0002","0.0302","1.0006","1.0006","1.0018","1.0019",5429,5053,5529,6886,2838,2874,3018,2949
"C82_C85","2000_2005","2011_2015",10,"Typology_Farming_EQI_Air","0.00","2.28(1.35,3.21)***","3.17(1.72,4.63)***","3.17(1.21,5.20)**","0.01(-9.70,9.97)","0.0002","0.0002","0.0027","0.9930","0.9994","1.0025","1.0026","1.0014",4956,5221,6232,8478,2979,2837,3265,3119
"C82_C85","2000_2005","2011_2015",10,"Typology_Farming_EQI_Water","0.00","-0.46(-1.26,0.33)","0.08(-0.92,1.05)","0.73(-0.22,1.68)","0.15(-0.98,1.28)","0.2472","0.8670","0.1422","0.8070","1.0011","1.0002","1.0005","1.0017",3143,2989,3291,3836,3089,2558,2910,3272
"C82_C85","2000_2005","2011_2015",10,"Typology_Farming_EQI_Land","0.00","-0.13(-1.25,0.96)","-0.41(-1.42,0.62)","-0.28(-1.32,0.77)","0.17(-0.92,1.28)","0.8175","0.4271","0.5996","0.7721","1.0003","1.0001","1.0005","1.0007",2885,2597,2292,2271,3422,3130,2604,2793
