ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
F01,2000_2005,2006_2010,5,Typology_Farming_EQI,0.00,"0.55(0.30,0.80)***","0.76(0.39,1.12)***","0.71(0.20,1.24)**","0.43(-0.90,1.91)",0.0002,0.0002,0.0067,0.5746,1.0011,1.0011,1.0050,1.0031,4509,4542,3664,5518,3295,3270,2665,2750
"F01","2000_2005","2006_2010",5,"Typology_Farming_EQI_Air","0.00","0.42(0.07,0.77)*","0.69(0.15,1.27)*","0.76(-0.10,1.66)","0.03(-9.73,9.57)","0.0237","0.0137","0.0922","0.9890","1.0022","1.0002","1.0002","1.0006",3416,4136,5806,6641,3304,2793,3234,3167
"F01","2000_2005","2006_2010",5,"Typology_Farming_EQI_Water","0.00","-0.07(-0.41,0.28)","-0.08(-0.49,0.33)","-0.21(-0.59,0.20)","-0.21(-0.66,0.24)","0.7071","0.6996","0.2982","0.3707","1.0005","1.0016","1.0004","0.9999",2263,2126,2181,2287,2928,2611,3145,2741
"F01","2000_2005","2006_2010",5,"Typology_Farming_EQI_Land","0.00","-0.11(-0.56,0.36)","-0.19(-0.63,0.23)","-0.00(-0.45,0.43)","0.19(-0.28,0.65)","0.6666","0.3717","0.9970","0.4196","1.0006","1.0011","1.0022","1.0019",2228,2053,1863,1638,2862,2672,2486,2247
"F01","2000_2005","2006_2010",5,"Typology_Farming_EQI_Built","0.00","0.35(0.04,0.65)*","0.65(0.26,1.03)**","0.33(-0.07,0.74)","-0.04(-0.68,0.59)","0.0282","0.0012","0.1052","0.8930","0.9998","1.0011","1.0015","1.0010",5213,4694,5005,5005,2930,2914,3108,3340
"F01","2000_2005","2006_2010",5,"Typology_Farming_EQI_Social","0.00","0.20(-0.13,0.52)","0.12(-0.23,0.49)","0.38(-0.02,0.79)","0.41(-0.19,1.01)","0.2357","0.5106","0.0632","0.1787","1.0006","1.0006","1.0003","0.9999",2918,2315,2277,2959,3102,2808,2605,2970
"F01","2000_2005","2011_2015",10,"Typology_Farming_EQI","0.00","0.90(0.50,1.30)***","1.28(0.77,1.84)***","0.95(0.27,1.68)**","2.38(0.06,4.75)*","0.0002","0.0002","0.0077","0.0422","1.0006","1.0002","1.0001","1.0010",2291,3970,4769,6469,3083,2942,2909,2925
"F01","2000_2005","2011_2015",10,"Typology_Farming_EQI_Air","0.00","0.59(0.10,1.09)*","1.37(0.54,2.22)**","0.84(-0.22,1.98)","0.08(-9.86,10.02)","0.0227","0.0012","0.1177","0.9975","1.0009","1.0005","1.0008","1.0003",2697,3570,3383,4946,2898,2822,2628,2871
"F01","2000_2005","2011_2015",10,"Typology_Farming_EQI_Water","0.00","0.24(-0.25,0.81)","0.30(-0.30,0.98)","0.28(-0.29,0.94)","0.51(-0.18,1.23)","0.3672","0.3372","0.3517","0.1397","1.0005","1.0006","1.0007","1.0010",1321,1489,1463,1574,2042,1998,2526,2435
"F01","2000_2005","2011_2015",10,"Typology_Farming_EQI_Land","0.00","-0.00(-0.63,0.60)","-0.11(-0.65,0.45)","0.11(-0.49,0.71)","0.62(-0.02,1.33)","0.9870","0.6851","0.7116","0.0587","1.0002","1.0004","1.0012","1.0021",2279,1983,1507,1407,2818,2482,1562,2064
"F01","2000_2005","2011_2015",10,"Typology_Farming_EQI_Built","0.00","0.30(-0.07,0.67)","0.48(0.01,0.95)*","-0.09(-0.63,0.43)","0.29(-0.59,1.17)","0.1152","0.0462","0.7356","0.5366","1.0010","1.0002","1.0002","1.0012",3305,3599,3297,4186,2499,2815,2767,3187
"F01","2000_2005","2011_2015",10,"Typology_Farming_EQI_Social","0.00","-0.05(-0.47,0.39)","-0.01(-0.51,0.50)","0.53(-0.05,1.09)","0.34(-0.44,1.11)","0.8425","0.9765","0.0662","0.3777","1.0005","1.0016","1.0002","1.0006",2755,2188,2295,2494,2499,2544,2912,2557
"F01","2000_2005","2016_2020",15,"Typology_Farming_EQI","0.00","1.02(0.54,1.50)***","1.77(1.11,2.44)***","3.08(2.04,4.15)***","5.96(2.15,10.52)***","0.0002","0.0002","0.0002","0.0007","1.0007","1.0006","1.0006","1.0028",6405,8061,7572,7302,3015,3151,3206,3281
"F01","2000_2005","2016_2020",15,"Typology_Farming_EQI_Air","0.00","1.40(0.72,2.08)***","0.84(-0.06,1.75)","2.42(0.95,3.85)**","0.10(-9.91,10.14)","0.0002","0.0642","0.0012","0.9885","1.0014","1.0008","1.0003","1.0015",2927,2982,3461,4721,2821,3187,2880,2882
"F01","2000_2005","2016_2020",15,"Typology_Farming_EQI_Water","0.00","0.03(-0.56,0.67)","0.64(-0.15,1.45)","0.35(-0.37,1.10)","0.57(-0.28,1.48)","0.9300","0.1237","0.3327","0.1882","1.0018","1.0016","1.0019","1.0010",1846,1456,1500,1842,2028,1797,2367,2080
"F01","2000_2005","2016_2020",15,"Typology_Farming_EQI_Land","0.00","0.11(-0.69,0.92)","-0.37(-1.12,0.37)","-0.07(-0.82,0.69)","0.47(-0.35,1.30)","0.7986","0.3092","0.8470","0.2727","1.0023","1.0013","1.0034","1.0046",1633,1608,1412,1274,2503,2382,2223,2408
"F01","2000_2005","2016_2020",15,"Typology_Farming_EQI_Built","0.00","0.54(0.03,1.06)*","0.60(-0.04,1.26)","0.35(-0.35,1.06)","0.45(-0.62,1.60)","0.0327","0.0702","0.3197","0.4456","1.0009","1.0000","1.0007","1.0033",2998,3472,4676,4256,2521,3150,2962,3087
