ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
G12.2,2000_2005,2006_2010,5,LandUse_Natural_EQI,0.00,"0.53(0.40,0.66)***","1.00(0.85,1.15)***","1.56(1.38,1.73)***","1.91(1.72,2.09)***",0.0002,0.0002,0.0002,0.0002,1.0012,0.9998,1.0023,1.0003,3873,3348,3317,2761,2794,3127,3021,3063
"G12.2","2000_2005","2006_2010",5,"LandUse_Natural_EQI_Air","0.00","0.45(0.31,0.60)***","0.85(0.69,1.02)***","1.15(0.99,1.33)***","1.15(0.95,1.35)***","0.0002","0.0002","0.0002","0.0002","1.0008","1.0002","1.0026","1.0003",3175,2953,2957,2811,2901,3217,3135,3192
"G12.2","2000_2005","2006_2010",5,"LandUse_Natural_EQI_Water","0.00","0.06(-0.10,0.23)","0.23(0.04,0.41)*","0.21(0.02,0.39)*","0.18(0.00,0.36)*","0.4701","0.0152","0.0317","0.0442","1.0019","1.0016","1.0019","1.0024",2523,2358,2470,2412,2690,2924,2955,2700
"G12.2","2000_2005","2006_2010",5,"LandUse_Natural_EQI_Land","0.00","0.03(-0.12,0.19)","0.09(-0.07,0.26)","0.02(-0.16,0.21)","0.09(-0.11,0.29)","0.6371","0.2822","0.8230","0.3957","1.0000","1.0007","1.0007","1.0007",3161,2697,2527,2543,3100,2954,3020,2976
"G12.2","2000_2005","2006_2010",5,"LandUse_Natural_EQI_Built","0.00","0.20(0.06,0.34)**","0.43(0.28,0.58)***","0.70(0.54,0.86)***","0.58(0.41,0.75)***","0.0047","0.0002","0.0002","0.0002","1.0007","1.0009","1.0002","1.0018",4367,3652,4164,3324,3135,3186,3373,2889
"G12.2","2000_2005","2006_2010",5,"LandUse_Natural_EQI_Social","0.00","0.17(0.03,0.31)*","0.24(0.09,0.40)**","0.34(0.16,0.52)***","0.59(0.37,0.82)***","0.0192","0.0017","0.0002","0.0002","1.0004","1.0007","1.0007","1.0003",3388,2799,2596,2037,2822,3030,3208,2923
"G12.2","2000_2005","2011_2015",10,"LandUse_Natural_EQI","0.00","0.63(0.50,0.76)***","1.17(1.01,1.33)***","1.60(1.43,1.79)***","1.86(1.67,2.05)***","0.0002","0.0002","0.0002","0.0002","1.0000","1.0010","1.0009","1.0008",3982,4278,3341,2345,3504,3256,3100,2743
"G12.2","2000_2005","2011_2015",10,"LandUse_Natural_EQI_Air","0.00","0.64(0.48,0.80)***","1.07(0.90,1.24)***","1.11(0.92,1.29)***","1.06(0.85,1.28)***","0.0002","0.0002","0.0002","0.0002","1.0003","1.0023","1.0000","1.0011",3038,2687,2454,2287,2698,2872,2824,2798
"G12.2","2000_2005","2011_2015",10,"LandUse_Natural_EQI_Water","0.00","0.05(-0.14,0.23)","0.20(-0.00,0.40)","0.29(0.08,0.50)**","0.32(0.12,0.53)**","0.6041","0.0512","0.0057","0.0017","1.0010","1.0019","1.0014","1.0016",1974,1996,1981,1582,2733,2691,2774,2237
"G12.2","2000_2005","2011_2015",10,"LandUse_Natural_EQI_Land","0.00","0.15(-0.00,0.31)","0.13(-0.04,0.30)","0.07(-0.12,0.27)","-0.03(-0.26,0.19)","0.0567","0.1562","0.4726","0.7746","1.0014","1.0013","1.0012","1.0009",2797,2338,2115,2146,3143,2752,2615,3274
"G12.2","2000_2005","2011_2015",10,"LandUse_Natural_EQI_Built","0.00","0.32(0.17,0.46)***","0.41(0.26,0.57)***","0.61(0.45,0.78)***","0.60(0.42,0.77)***","0.0002","0.0002","0.0002","0.0002","1.0021","1.0001","0.9999","0.9997",3790,3627,3580,3329,3342,2756,2920,3244
"G12.2","2000_2005","2011_2015",10,"LandUse_Natural_EQI_Social","0.00","0.31(0.17,0.45)***","0.27(0.12,0.43)***","0.42(0.24,0.61)***","0.75(0.52,0.98)***","0.0002","0.0007","0.0002","0.0002","1.0001","1.0016","1.0010","1.0007",3227,2347,2240,2382,2973,2999,2893,2540
"G12.2","2000_2005","2016_2020",15,"LandUse_Natural_EQI","0.00","0.52(0.41,0.64)***","1.03(0.90,1.16)***","1.25(1.11,1.40)***","1.63(1.47,1.79)***","0.0002","0.0002","0.0002","0.0002","1.0003","1.0005","1.0020","1.0009",4571,4554,4306,3056,3109,3336,2797,2700
"G12.2","2000_2005","2016_2020",15,"LandUse_Natural_EQI_Air","0.00","0.62(0.49,0.75)***","0.90(0.75,1.05)***","1.09(0.93,1.25)***","1.04(0.85,1.22)***","0.0002","0.0002","0.0002","0.0002","1.0019","1.0040","1.0015","1.0027",2361,2070,1739,1689,2695,2662,2308,2272
"G12.2","2000_2005","2016_2020",15,"LandUse_Natural_EQI_Water","0.00","-0.01(-0.17,0.15)","-0.01(-0.18,0.16)","0.06(-0.11,0.23)","0.17(-0.00,0.34)","0.9000","0.8785","0.4671","0.0522","1.0013","1.0021","1.0032","1.0007",1826,1665,1681,1536,2985,2516,2436,2560
"G12.2","2000_2005","2016_2020",15,"LandUse_Natural_EQI_Land","0.00","0.11(-0.02,0.24)","0.06(-0.08,0.21)","0.11(-0.06,0.27)","0.13(-0.06,0.31)","0.0982","0.4146","0.2227","0.1792","1.0012","1.0008","1.0008","1.0009",1720,1475,1404,1449,2926,2688,2478,2398
"G12.2","2000_2005","2016_2020",15,"LandUse_Natural_EQI_Built","0.00","0.25(0.13,0.37)***","0.34(0.20,0.47)***","0.52(0.39,0.66)***","0.47(0.33,0.62)***","0.0002","0.0002","0.0002","0.0002","1.0020","1.0010","1.0015","1.0022",3372,2486,2493,2298,3085,2809,2980,2530
"G12.2","2000_2005","2016_2020",15,"LandUse_Natural_EQI_Social","0.00","0.16(0.04,0.28)*","0.20(0.06,0.33)**","0.32(0.16,0.48)***","0.48(0.30,0.68)***","0.0102","0.0022","0.0002","0.0002","1.0015","1.0035","1.0015","1.0036",2254,1843,1898,1509,2993,2890,2607,2332
"G12.2","2006_2010","2011_2015",5,"LandUse_Natural_EQI","0.00","0.43(0.24,0.63)***","0.60(0.39,0.80)***","0.60(0.38,0.83)***","0.65(0.40,0.89)***","0.0002","0.0002","0.0002","0.0002","0.9995","1.0013","1.0006","1.0009",2734,2335,2171,2182,2931,3017,2732,2688
"G12.2","2006_2010","2011_2015",5,"LandUse_Natural_EQI_Air","0.00","0.23(0.06,0.40)**","0.13(-0.04,0.30)","0.01(-0.17,0.18)","0.16(-0.04,0.35)","0.0067","0.1447","0.9495","0.1152","1.0004","1.0008","1.0021","1.0008",2715,1878,1834,1794,3250,2776,2989,2637
"G12.2","2006_2010","2011_2015",5,"LandUse_Natural_EQI_Water","0.00","-0.10(-0.28,0.09)","0.16(-0.04,0.37)","0.19(-0.02,0.39)","0.24(0.03,0.46)*","0.3047","0.1207","0.0792","0.0237","1.0017","1.0018","1.0005","1.0013",2126,2269,2155,1965,2832,3083,2709,2698
"G12.2","2006_2010","2011_2015",5,"LandUse_Natural_EQI_Land","0.00","0.16(0.02,0.29)*","0.18(0.04,0.32)*","0.17(-0.01,0.34)","0.11(-0.19,0.40)","0.0242","0.0112","0.0597","0.4861","1.0015","1.0010","1.0000","1.0012",3976,4118,4649,5143,3113,3133,3185,2826
"G12.2","2006_2010","2011_2015",5,"LandUse_Natural_EQI_Built","0.00","0.26(0.10,0.43)**","0.25(0.08,0.43)**","0.30(0.13,0.48)***","0.11(-0.05,0.28)","0.0022","0.0042","0.0002","0.1897","1.0001","1.0006","1.0006","1.0008",3149,2935,2752,2655,3166,3059,2998,3135
"G12.2","2006_2010","2011_2015",5,"LandUse_Natural_EQI_Social","0.00","-0.62(-0.81,-0.42)***","-1.02(-1.23,-0.82)***","-1.41(-1.62,-1.21)***","-1.85(-2.06,-1.65)***","0.0002","0.0002","0.0002","0.0002","0.9993","0.9999","0.9999","1.0004",2682,2279,2271,1971,3226,2760,2998,2846
"G12.2","2006_2010","2016_2020",10,"LandUse_Natural_EQI","0.00","0.38(0.21,0.54)***","0.69(0.51,0.87)***","0.57(0.38,0.75)***","0.69(0.49,0.89)***","0.0002","0.0002","0.0002","0.0002","1.0013","1.0014","1.0012","1.0005",2653,2450,2102,2253,2412,2702,2696,2979
"G12.2","2006_2010","2016_2020",10,"LandUse_Natural_EQI_Air","0.00","0.21(0.07,0.35)**","0.26(0.11,0.41)***","0.20(0.04,0.36)*","0.22(0.06,0.38)*","0.0042","0.0002","0.0122","0.0112","1.0007","1.0015","1.0026","1.0010",2406,1827,1695,1837,2916,2657,2436,2406
"G12.2","2006_2010","2016_2020",10,"LandUse_Natural_EQI_Water","0.00","-0.05(-0.21,0.10)","0.03(-0.13,0.20)","0.10(-0.08,0.27)","0.16(-0.01,0.34)","0.5061","0.6831","0.2517","0.0737","1.0017","1.0022","1.0006","1.0008",2071,2184,2025,2029,2408,2541,2559,2477
"G12.2","2006_2010","2016_2020",10,"LandUse_Natural_EQI_Land","0.00","0.06(-0.04,0.18)","0.16(0.04,0.28)**","0.11(-0.03,0.27)","0.12(-0.13,0.38)","0.2682","0.0097","0.1317","0.3382","1.0007","1.0003","1.0001","1.0000",4081,4042,4491,5738,3231,3237,3333,3128
"G12.2","2006_2010","2016_2020",10,"LandUse_Natural_EQI_Built","0.00","0.20(0.07,0.35)**","0.24(0.09,0.38)***","0.30(0.15,0.45)***","0.16(0.02,0.30)*","0.0047","0.0002","0.0002","0.0232","1.0005","1.0008","1.0009","1.0019",3026,2690,2533,2081,3151,3284,3247,2951
"G12.2","2006_2010","2016_2020",10,"LandUse_Natural_EQI_Social","0.00","-0.50(-0.67,-0.33)***","-0.81(-0.97,-0.64)***","-1.22(-1.39,-1.05)***","-1.60(-1.76,-1.43)***","0.0002","0.0002","0.0002","0.0002","1.0005","1.0013","1.0022","1.0010",2730,2363,1944,1868,3181,3040,3006,2850
"G12.2","2000_2005","2006_2010",5,"LandUse_Water_Sensitive_EQI","0.00","0.55(0.26,0.83)***","1.13(0.83,1.45)***","1.56(1.21,1.90)***","1.57(1.24,1.89)***","0.0007","0.0002","0.0002","0.0002","1.0001","1.0003","1.0012","1.0018",2669,2328,2551,2191,3039,2841,2467,2647
"G12.2","2000_2005","2006_2010",5,"LandUse_Water_Sensitive_EQI_Air","0.00","-0.03(-0.40,0.33)","0.43(0.01,0.86)*","0.55(0.11,0.96)*","0.54(0.10,0.98)*","0.8960","0.0472","0.0152","0.0192","1.0021","1.0009","1.0019","1.0019",1228,1295,1203,1225,2185,1927,1938,1623
"G12.2","2000_2005","2006_2010",5,"LandUse_Water_Sensitive_EQI_Water","0.00","-0.02(-0.44,0.41)","0.13(-0.30,0.56)","0.37(-0.05,0.77)","0.25(-0.17,0.69)","0.9450","0.5671","0.0812","0.2492","0.9997","1.0011","1.0000","1.0009",1165,1190,1111,1199,2124,2127,1985,2161
"G12.2","2000_2005","2006_2010",5,"LandUse_Water_Sensitive_EQI_Land","0.00","0.20(-0.10,0.50)","-0.10(-0.42,0.23)","0.16(-0.21,0.55)","0.08(-0.43,0.60)","0.1792","0.5621","0.3762","0.7741","1.0033","1.0053","1.0009","1.0015",2573,1568,2782,2742,2892,2520,2897,3236
"G12.2","2000_2005","2006_2010",5,"LandUse_Water_Sensitive_EQI_Built","0.00","0.45(0.16,0.77)**","0.59(0.26,0.91)***","0.50(0.20,0.83)**","0.47(0.15,0.79)**","0.0022","0.0007","0.0012","0.0032","1.0019","1.0019","1.0025","1.0025",2975,2216,1923,1965,2593,2690,2859,2509
"G12.2","2000_2005","2006_2010",5,"LandUse_Water_Sensitive_EQI_Social","0.00","0.55(0.27,0.83)***","0.70(0.37,1.02)***","0.87(0.56,1.19)***","0.85(0.51,1.21)***","0.0002","0.0002","0.0002","0.0002","1.0001","1.0010","1.0004","1.0022",3000,2261,2055,1936,3209,2919,2718,2529
"G12.2","2000_2005","2011_2015",10,"LandUse_Water_Sensitive_EQI","0.00","0.70(0.39,1.02)***","1.15(0.84,1.46)***","1.16(0.79,1.51)***","1.31(0.93,1.66)***","0.0002","0.0002","0.0002","0.0002","0.9998","1.0004","0.9998","1.0008",2756,2894,2417,2140,3065,2748,2743,2772
"G12.2","2000_2005","2011_2015",10,"LandUse_Water_Sensitive_EQI_Air","0.00","-0.08(-0.48,0.30)","-0.01(-0.46,0.44)","0.33(-0.11,0.75)","0.17(-0.29,0.60)","0.6811","0.9735","0.1252","0.4346","1.0023","1.0023","1.0028","1.0020",1521,1657,1469,1408,2174,2295,1937,2058
"G12.2","2000_2005","2011_2015",10,"LandUse_Water_Sensitive_EQI_Water","0.00","-0.02(-0.46,0.46)","-0.00(-0.41,0.44)","0.35(-0.07,0.79)","0.42(-0.00,0.89)","0.9195","0.9660","0.0907","0.0527","1.0006","1.0003","1.0002","1.0010",1215,1151,1230,1231,1950,1836,2027,1984
"G12.2","2000_2005","2011_2015",10,"LandUse_Water_Sensitive_EQI_Land","0.00","0.17(-0.15,0.49)","0.07(-0.27,0.42)","0.35(-0.04,0.72)","-0.20(-0.67,0.28)","0.3022","0.6936","0.0812","0.4141","1.0006","1.0001","1.0001","1.0009",2364,1858,2793,2818,2793,2664,2925,2861
"G12.2","2000_2005","2011_2015",10,"LandUse_Water_Sensitive_EQI_Built","0.00","0.30(-0.01,0.62)","-0.02(-0.35,0.32)","0.28(-0.06,0.62)","0.03(-0.30,0.36)","0.0647","0.9035","0.1102","0.8605","1.0016","1.0022","1.0026","1.0023",3394,2278,2443,2277,3184,2737,3188,2935
"G12.2","2000_2005","2011_2015",10,"LandUse_Water_Sensitive_EQI_Social","0.00","0.67(0.40,0.95)***","0.88(0.57,1.23)***","0.99(0.66,1.33)***","1.22(0.86,1.60)***","0.0002","0.0002","0.0002","0.0002","1.0006","0.9999","1.0000","1.0010",3195,2275,2039,2077,3293,2930,2387,2385
"G12.2","2000_2005","2016_2020",15,"LandUse_Water_Sensitive_EQI","0.00","0.84(0.61,1.08)***","1.19(0.95,1.44)***","1.33(1.03,1.62)***","1.32(1.02,1.59)***","0.0002","0.0002","0.0002","0.0002","1.0002","1.0001","0.9997","1.0010",4469,4065,3090,2713,3592,3329,3517,3009
"G12.2","2000_2005","2016_2020",15,"LandUse_Water_Sensitive_EQI_Air","0.00","0.22(-0.06,0.50)","0.52(0.17,0.85)**","0.68(0.36,1.00)***","0.54(0.19,0.88)**","0.1307","0.0017","0.0002","0.0017","1.0019","1.0013","1.0026","1.0013",1522,1556,1169,1231,2502,2362,2243,2009
