ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,LandUse_Natural_EQI,0.00,"9.81(7.23,12.38)***","14.99(12.43,17.66)***","20.29(17.40,23.28)***","27.68(24.57,30.78)***",0.0002,0.0002,0.0002,0.0002,1.0000,1.0000,1.0016,1.0002,2540,2049,2015,2189,3042,2515,2214,3169
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"LandUse_Natural_EQI_Air","0.00","5.10(2.15,8.11)**","9.73(6.83,12.69)***","13.21(10.09,16.29)***","14.17(10.50,17.92)***","0.0012","0.0002","0.0002","0.0002","0.9999","1.0003","1.0008","1.0015",3069,2333,1943,2005,3146,2633,2473,2792
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"LandUse_Natural_EQI_Water","0.00","-1.94(-5.43,1.50)","1.04(-2.79,4.74)","3.37(-0.34,6.99)","3.56(-0.23,7.30)","0.2687","0.5741","0.0732","0.0712","1.0031","1.0006","1.0014","1.0002",2681,2549,2513,2340,3057,3074,2972,2847
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"LandUse_Natural_EQI_Land","0.00","2.27(-0.30,4.82)","3.09(0.27,5.95)*","1.15(-2.26,4.51)","3.03(-0.80,6.77)","0.0832","0.0357","0.5041","0.1347","1.0003","1.0012","1.0005","1.0004",4196,3474,3178,3287,3345,3126,3355,3249
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"LandUse_Natural_EQI_Built","0.00","3.17(0.56,5.75)*","5.42(2.82,8.01)***","7.49(4.74,10.20)***","6.72(3.84,9.60)***","0.0152","0.0002","0.0002","0.0002","1.0004","1.0018","1.0008","1.0013",3850,3312,3231,3296,3307,3059,3533,3497
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"LandUse_Natural_EQI_Social","0.00","4.86(2.43,7.35)***","6.17(3.51,8.91)***","7.60(4.51,10.64)***","14.19(10.62,17.79)***","0.0002","0.0002","0.0002","0.0002","0.9998","1.0011","1.0003","1.0005",4042,3330,2950,2976,3046,3064,3183,2925
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"LandUse_Natural_EQI","0.00","9.98(7.45,12.54)***","13.82(11.19,16.57)***","20.17(17.16,23.11)***","28.06(24.65,31.30)***","0.0002","0.0002","0.0002","0.0002","1.0004","1.0001","1.0022","1.0008",3164,2839,2621,2383,3078,3077,2915,2896
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"LandUse_Natural_EQI_Air","0.00","6.79(3.80,9.75)***","11.37(8.33,14.28)***","15.36(12.22,18.47)***","15.65(11.89,19.37)***","0.0002","0.0002","0.0002","0.0002","1.0005","1.0012","1.0003","1.0007",3409,2703,2568,2412,3135,3271,3050,3054
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"LandUse_Natural_EQI_Water","0.00","0.16(-3.52,3.69)","2.29(-1.53,6.11)","5.95(2.00,9.77)**","5.76(1.75,9.73)**","0.9200","0.2262","0.0012","0.0037","1.0009","1.0019","1.0017","1.0021",2446,2271,2369,2385,2921,2633,3010,2528
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"LandUse_Natural_EQI_Land","0.00","0.72(-1.87,3.35)","1.53(-1.61,4.41)","0.19(-3.34,3.62)","3.30(-0.76,7.28)","0.5901","0.3187","0.9145","0.1062","1.0013","1.0024","1.0015","1.0008",3679,3011,2697,2871,3165,2745,2780,2818
