ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
G20,2000_2005,2006_2010,5,Typology_Farming_EQI,0.00,"2.88(2.05,3.77)***","3.94(2.79,5.15)***","4.72(3.05,6.45)***","5.64(1.16,10.56)*",0.0002,0.0002,0.0002,0.0112,1.0003,1.0007,0.9998,1.0040,6623,6322,6665,7618,2697,3007,3164,3075
"G20","2000_2005","2006_2010",5,"Typology_Farming_EQI_Air","0.00","2.24(1.09,3.35)***","2.85(1.16,4.62)**","1.98(-0.33,4.31)","-0.11(-10.12,9.58)","0.0002","0.0012","0.0892","0.9885","1.0015","0.9999","1.0011","1.0006",2840,3182,4241,6661,2877,2858,2506,2746
"G20","2000_2005","2006_2010",5,"Typology_Farming_EQI_Water","0.00","0.15(-0.97,1.23)","1.47(0.07,2.90)*","1.88(0.61,3.19)**","1.06(-0.36,2.61)","0.7751","0.0377","0.0037","0.1632","1.0009","1.0017","1.0023","1.0009",2233,2208,1903,2269,2960,2613,2775,2606
"G20","2000_2005","2006_2010",5,"Typology_Farming_EQI_Land","0.00","0.26(-1.06,1.63)","0.75(-0.56,2.02)","0.73(-0.59,2.03)","1.61(0.16,3.04)*","0.7121","0.2472","0.2777","0.0272","1.0004","1.0009","1.0014","1.0016",2131,2035,1886,1789,2680,2536,2536,2630
"G20","2000_2005","2006_2010",5,"Typology_Farming_EQI_Built","0.00","0.99(0.11,1.86)*","1.85(0.66,3.04)**","1.03(-0.19,2.25)","-0.56(-2.24,1.16)","0.0267","0.0032","0.0972","0.5411","0.9996","1.0004","0.9999","0.9998",4582,4383,4905,5026,3124,2759,2913,3039
"G20","2000_2005","2006_2010",5,"Typology_Farming_EQI_Social","0.00","0.40(-0.51,1.32)","0.80(-0.30,1.88)","2.06(0.80,3.28)**","3.07(1.28,4.97)***","0.3982","0.1402","0.0022","0.0007","1.0006","1.0003","1.0006","1.0005",2973,2368,2475,2560,2897,2501,2977,2744
"G20","2000_2005","2011_2015",10,"Typology_Farming_EQI","0.00","3.38(2.41,4.35)***","4.53(3.33,5.74)***","5.45(3.52,7.34)***","3.96(-0.22,8.36)","0.0002","0.0002","0.0002","0.0687","1.0012","1.0012","1.0001","1.0031",6946,5954,5766,6700,3089,3072,3136,3071
"G20","2000_2005","2011_2015",10,"Typology_Farming_EQI_Air","0.00","2.25(1.02,3.48)***","3.25(1.53,5.07)***","1.45(-0.86,3.70)","-0.05(-10.26,10.42)","0.0002","0.0007","0.2202","0.9910","1.0001","1.0011","1.0012","1.0023",2751,3818,3159,4940,2598,2889,2796,2507
"G20","2000_2005","2011_2015",10,"Typology_Farming_EQI_Water","0.00","-0.54(-1.68,0.59)","-0.11(-1.59,1.28)","0.35(-1.04,1.69)","1.16(-0.41,2.79)","0.3517","0.8975","0.5926","0.1602","1.0010","1.0020","1.0023","1.0008",2241,2201,2112,2853,2688,2893,2538,2788
"G20","2000_2005","2011_2015",10,"Typology_Farming_EQI_Land","0.00","0.61(-0.77,2.01)","0.72(-0.63,2.04)","0.56(-0.92,2.11)","2.58(0.97,4.22)***","0.4011","0.2652","0.4561","0.0007","1.0014","1.0006","1.0018","1.0022",2464,1962,1345,1581,2791,2722,2111,2388
"G20","2000_2005","2011_2015",10,"Typology_Farming_EQI_Built","0.00","2.14(1.19,3.10)***","2.34(1.12,3.58)***","1.61(0.30,2.98)*","0.32(-1.71,2.42)","0.0002","0.0007","0.0142","0.7556","1.0031","1.0012","1.0020","1.0010",5013,3644,4978,3987,3158,3238,3108,2808
"G20","2000_2005","2011_2015",10,"Typology_Farming_EQI_Social","0.00","0.15(-0.86,1.18)","0.87(-0.33,2.09)","2.22(0.82,3.59)**","1.45(-0.37,3.38)","0.7826","0.1502","0.0012","0.1277","1.0004","1.0009","1.0012","1.0009",2776,2177,2356,2554,3163,2848,2837,2788
"G20","2000_2005","2016_2020",15,"Typology_Farming_EQI","0.00","4.17(3.09,5.32)***","4.69(3.26,6.18)***","5.72(3.73,7.69)***","3.63(-0.72,8.22)","0.0002","0.0002","0.0002","0.1107","1.0008","1.0016","0.9999","1.0011",4922,3804,4482,5358,2557,2339,2952,2825
"G20","2000_2005","2016_2020",15,"Typology_Farming_EQI_Air","0.00","2.44(1.08,3.79)***","3.36(1.42,5.34)**","2.14(-0.48,4.67)","-0.01(-9.74,9.45)","0.0007","0.0022","0.1077","0.9980","0.9998","1.0007","0.9998","1.0013",3970,4631,4744,7123,2970,3256,2686,3030
"G20","2000_2005","2016_2020",15,"Typology_Farming_EQI_Water","0.00","-0.60(-1.86,0.66)","0.48(-1.08,2.01)","0.91(-0.66,2.41)","0.52(-1.18,2.33)","0.3522","0.5356","0.2437","0.5816","1.0009","1.0022","1.0009","1.0020",2748,2734,2664,2655,2822,2913,3042,2937
"G20","2000_2005","2016_2020",15,"Typology_Farming_EQI_Land","0.00","0.29(-1.45,2.00)","-0.25(-1.83,1.31)","-0.08(-1.74,1.50)","0.38(-1.33,2.10)","0.7231","0.7556","0.9230","0.6521","1.0003","1.0016","1.0018","1.0039",2834,2644,2281,2306,2622,3191,2964,2985
"G20","2000_2005","2016_2020",15,"Typology_Farming_EQI_Built","0.00","1.78(0.69,2.86)**","3.10(1.63,4.59)***","1.79(0.30,3.34)*","2.50(-0.27,5.47)","0.0017","0.0002","0.0197","0.0757","1.0003","1.0005","1.0023","0.9999",5346,4764,5622,6202,3075,3271,2633,3231
"G20","2000_2005","2016_2020",15,"Typology_Farming_EQI_Social","0.00","0.19(-0.92,1.32)","0.98(-0.31,2.35)","2.02(0.54,3.52)**","3.73(1.59,5.94)***","0.7306","0.1507","0.0057","0.0007","1.0017","1.0000","1.0007","1.0003",3411,2650,2739,3935,2827,2661,2673,2863
"G20","2006_2010","2011_2015",5,"Typology_Farming_EQI","0.00","1.56(0.36,2.80)*","1.50(-0.07,3.10)","1.50(-0.03,3.02)","1.17(-0.61,3.04)","0.0132","0.0662","0.0552","0.1962","1.0002","1.0006","1.0003","1.0006",4204,4779,4516,4045,2853,3188,3041,2765
"G20","2006_2010","2011_2015",5,"Typology_Farming_EQI_Air","0.00","1.76(0.70,2.83)**","0.78(-0.42,1.96)","0.80(-0.61,2.29)","2.64(0.48,4.87)*","0.0022","0.1932","0.2782","0.0152","1.0008","0.9998","1.0007","1.0005",3473,3780,3838,5435,3514,3193,3358,3131
"G20","2006_2010","2011_2015",5,"Typology_Farming_EQI_Water","0.00","-0.87(-2.08,0.35)","-0.38(-1.80,1.07)","0.08(-1.36,1.56)","1.56(-0.09,3.26)","0.1642","0.5991","0.9205","0.0657","1.0007","1.0014","1.0001","1.0005",1862,1945,2184,2341,2533,2602,2732,3212
"G20","2006_2010","2011_2015",5,"Typology_Farming_EQI_Land","0.00","2.07(0.64,3.55)**","1.03(-0.24,2.36)","2.30(0.99,3.59)***","4.13(2.83,5.45)***","0.0067","0.1122","0.0007","0.0002","1.0013","1.0006","1.0011","1.0012",2399,2383,2174,2207,2911,2696,2734,2982
"G20","2006_2010","2011_2015",5,"Typology_Farming_EQI_Built","0.00","-0.73(-1.85,0.36)","-1.05(-2.40,0.28)","-0.84(-2.33,0.65)","-1.49(-2.65,-0.34)*","0.1722","0.1292","0.2597","0.0132","1.0008","1.0007","1.0003","1.0003",3572,3837,3693,3214,2799,3119,2787,3063
"G20","2006_2010","2011_2015",5,"Typology_Farming_EQI_Social","0.00","0.20(-3.25,3.68)","-0.12(-3.19,2.85)","-1.00(-4.06,1.96)","-2.29(-5.25,0.61)","0.9245","0.9600","0.5061","0.1172","1.0009","1.0016","1.0010","1.0013",1738,1514,1511,1522,2309,2248,2358,2306
"G20","2006_2010","2016_2020",10,"Typology_Farming_EQI","0.00","1.32(-0.01,2.61)","1.62(-0.14,3.38)","1.85(0.18,3.50)*","1.22(-0.73,3.16)","0.0512","0.0702","0.0292","0.2177","1.0015","1.0009","1.0008","1.0009",4250,4253,4361,4688,2925,2499,2845,3382
"G20","2006_2010","2016_2020",10,"Typology_Farming_EQI_Air","0.00","0.32(-0.96,1.56)","1.35(-0.19,2.88)","1.72(-0.05,3.61)","1.58(-0.71,3.85)","0.6151","0.0827","0.0582","0.1792","1.0020","1.0005","1.0004","1.0007",1908,2242,3079,3838,2700,2686,2737,3040
"G20","2006_2010","2016_2020",10,"Typology_Farming_EQI_Water","0.00","-1.24(-2.84,0.30)","0.34(-1.53,2.21)","-0.27(-2.15,1.53)","0.33(-1.58,2.27)","0.1167","0.7216","0.7831","0.7286","1.0013","1.0012","1.0004","1.0006",1499,1459,1496,2005,2379,2406,2298,2851
"G20","2006_2010","2016_2020",10,"Typology_Farming_EQI_Land","0.00","1.73(0.22,3.31)*","1.22(-0.25,2.69)","3.25(1.71,4.81)***","3.76(2.33,5.18)***","0.0227","0.1027","0.0002","0.0002","1.0001","1.0002","1.0013","1.0007",3013,2724,2336,2398,3022,2750,3058,2768
"G20","2006_2010","2016_2020",10,"Typology_Farming_EQI_Built","0.00","-0.49(-1.69,0.76)","-0.54(-2.06,1.02)","-1.68(-3.30,-0.07)*","-1.18(-2.58,0.17)","0.4291","0.4826","0.0362","0.0982","0.9997","0.9999","1.0004","1.0011",2839,3585,3179,1966,2892,3013,3250,3051
"G20","2006_2010","2016_2020",10,"Typology_Farming_EQI_Social","0.00","0.53(-2.91,3.86)","0.66(-2.42,3.63)","-1.14(-4.12,1.76)","-2.71(-5.71,0.27)","0.7506","0.6541","0.4541","0.0702","1.0010","1.0014","1.0020","1.0015",1476,1270,1228,1336,2314,1971,1835,1943
"G20","2000_2005","2006_2010",5,"Typology_Mining_EQI","0.00","2.04(0.81,3.26)**","3.47(1.81,5.15)***","4.08(2.03,6.16)***","0.27(-2.69,3.39)","0.0027","0.0002","0.0002","0.8660","1.0000","1.0003","1.0012","1.0006",4032,3006,4268,4151,3252,3244,3070,3173
"G20","2000_2005","2006_2010",5,"Typology_Mining_EQI_Air","0.00","2.29(0.73,3.93)**","3.11(1.34,4.88)**","4.03(2.09,5.92)***","3.72(0.61,6.69)*","0.0067","0.0017","0.0002","0.0187","1.0006","1.0008","1.0004","1.0004",4374,3249,3187,3520,2944,3247,3035,2953
"G20","2000_2005","2006_2010",5,"Typology_Mining_EQI_Water","0.00","0.00(-1.85,1.91)","-0.66(-2.75,1.48)","0.74(-1.27,2.79)","1.33(-0.78,3.46)","0.9760","0.5301","0.4691","0.2347","0.9999","1.0002","1.0006","0.9997",2340,2129,2327,2367,2771,2770,2883,2641
"G20","2000_2005","2006_2010",5,"Typology_Mining_EQI_Land","0.00","0.03(-1.56,1.56)","0.53(-1.37,2.32)","0.00(-1.94,2.03)","-1.79(-4.09,0.48)","0.9540","0.5671","0.9975","0.1337","1.0010","1.0010","1.0005","1.0006",2829,2778,3106,2836,3387,2857,3027,3191
"G20","2000_2005","2006_2010",5,"Typology_Mining_EQI_Built","0.00","-0.08(-1.69,1.51)","0.73(-1.10,2.58)","0.42(-1.21,2.18)","0.50(-1.40,2.52)","0.9055","0.4381","0.6436","0.6131","1.0005","1.0000","1.0002","1.0000",2708,2678,2565,2818,3217,3048,2792,2712
"G20","2000_2005","2006_2010",5,"Typology_Mining_EQI_Social","0.00","1.37(-0.05,2.81)","0.70(-0.82,2.24)","0.73(-1.67,3.23)","-1.72(-4.99,1.49)","0.0612","0.3627","0.5636","0.2942","0.9999","0.9999","1.0011","0.9997",3849,3720,4791,3558,3190,2987,2936,3105
"G20","2000_2005","2011_2015",10,"Typology_Mining_EQI","0.00","1.85(0.07,3.59)*","3.48(1.23,5.62)**","2.14(-0.59,4.79)","1.65(-2.59,5.90)","0.0427","0.0017","0.1162","0.4521","1.0004","1.0005","1.0007","1.0000",4245,3812,3915,4538,3253,3407,2897,3465
"G20","2000_2005","2011_2015",10,"Typology_Mining_EQI_Air","0.00","0.91(-1.33,3.24)","2.37(-0.07,4.77)","2.34(-0.33,4.81)","1.36(-3.20,5.87)","0.4391","0.0582","0.0792","0.5721","1.0010","1.0013","1.0009","1.0011",4973,4317,4347,5418,3308,3282,3193,2872
"G20","2000_2005","2011_2015",10,"Typology_Mining_EQI_Water","0.00","2.10(-0.48,4.67)","0.33(-2.62,3.24)","2.09(-0.62,4.80)","1.72(-1.10,4.50)","0.1022","0.8285","0.1337","0.2277","1.0008","1.0004","1.0017","1.0004",3271,3657,3380,3257,3079,2323,3332,3006
"G20","2000_2005","2011_2015",10,"Typology_Mining_EQI_Land","0.00","0.65(-1.53,2.87)","1.01(-1.71,3.65)","1.29(-1.44,4.17)","-1.17(-4.46,2.26)","0.5521","0.4571","0.3552","0.4886","1.0002","1.0008","1.0007","0.9999",4864,4303,4400,4023,3383,3334,3445,3191
"G20","2000_2005","2011_2015",10,"Typology_Mining_EQI_Built","0.00","-0.05(-2.34,2.40)","-0.29(-2.76,2.11)","0.70(-1.80,3.13)","0.44(-2.36,3.24)","0.9490","0.8225","0.5871","0.7561","1.0032","1.0006","1.0009","0.9997",4390,3989,3590,4004,3295,3702,2969,3329
"G20","2000_2005","2011_2015",10,"Typology_Mining_EQI_Social","0.00","0.97(-1.20,3.22)","0.97(-1.44,3.46)","1.78(-1.48,5.07)","-0.14(-5.08,4.74)","0.3802","0.4316","0.2877","0.9520","0.9993","1.0030","1.0006","1.0018",5172,5059,6507,6318,3381,3384,3248,3036
"G20","2000_2005","2016_2020",15,"Typology_Mining_EQI","0.00","2.53(0.85,4.16)**","4.05(1.98,6.13)***","3.85(1.27,6.37)**","3.09(-0.58,6.93)","0.0052","0.0007","0.0017","0.1002","1.0000","1.0000","1.0017","1.0004",3827,3767,2753,3750,2881,3089,2921,3149
"G20","2000_2005","2016_2020",15,"Typology_Mining_EQI_Air","0.00","4.29(2.07,6.47)***","2.61(0.68,4.48)*","4.49(2.06,6.58)***","4.77(0.99,8.36)*","0.0002","0.0122","0.0002","0.0127","0.9999","1.0004","1.0010","1.0005",2731,2273,1726,3128,2623,2076,2081,2926
"G20","2000_2005","2016_2020",15,"Typology_Mining_EQI_Water","0.00","0.26(-1.77,2.22)","1.91(-0.76,4.58)","3.22(0.70,5.75)*","2.66(0.24,5.04)*","0.7911","0.1537","0.0107","0.0292","1.0008","1.0004","1.0007","1.0011",2209,1687,1772,2166,2687,2567,2489,3013
"G20","2000_2005","2016_2020",15,"Typology_Mining_EQI_Land","0.00","-1.13(-2.74,0.52)","-0.59(-2.74,1.62)","-0.29(-2.44,2.03)","-1.90(-4.52,1.10)","0.1927","0.5796","0.7711","0.1792","1.0017","1.0025","1.0021","1.0010",2747,2415,2022,2283,2930,3028,2701,2866
"G20","2000_2005","2016_2020",15,"Typology_Mining_EQI_Built","0.00","-0.26(-2.08,1.65)","1.64(-0.29,3.61)","2.05(0.05,3.96)*","1.00(-1.19,3.23)","0.7851","0.0907","0.0457","0.3707","1.0006","0.9999","1.0011","1.0005",2730,2523,2564,2790,3053,2666,2460,2833
"G20","2000_2005","2016_2020",15,"Typology_Mining_EQI_Social","0.00","0.39(-1.31,2.09)","-0.12(-1.88,1.69)","0.76(-1.90,3.49)","0.83(-3.03,4.88)","0.6581","0.8880","0.5746","0.6946","0.9999","1.0006","1.0010","1.0007",3434,3175,3577,3943,3146,2837,3017,3186
"G20","2006_2010","2011_2015",5,"Typology_Mining_EQI","0.00","0.99(-1.09,3.03)","2.57(0.41,4.69)*","2.64(-0.18,5.39)","0.77(-1.85,3.43)","0.3427","0.0242","0.0707","0.5591","1.0002","1.0002","1.0002","1.0003",2942,3209,3600,3287,2773,3243,2638,2889
"G20","2006_2010","2011_2015",5,"Typology_Mining_EQI_Air","0.00","2.21(-0.13,4.53)","0.05(-2.43,2.60)","1.28(-0.93,3.61)","0.92(-1.58,3.49)","0.0642","0.9715","0.2932","0.4906","1.0004","1.0014","1.0012","1.0010",3870,3777,3950,3858,3393,2702,3424,3520
"G20","2006_2010","2011_2015",5,"Typology_Mining_EQI_Water","0.00","1.11(-1.42,3.66)","-0.75(-3.87,2.36)","1.77(-1.06,4.67)","2.18(-0.54,4.91)","0.3877","0.6321","0.2272","0.1137","1.0010","1.0011","1.0006","1.0004",2943,2899,2444,3029,3080,2863,3091,3166
"G20","2006_2010","2011_2015",5,"Typology_Mining_EQI_Land","0.00","1.98(-0.02,3.94)","3.50(0.98,6.09)**","2.85(-0.30,6.10)","2.97(-1.55,7.92)","0.0517","0.0087","0.0802","0.2372","1.0021","1.0005","1.0007","1.0007",5751,4855,5327,6259,3348,2794,3013,3016
"G20","2006_2010","2011_2015",5,"Typology_Mining_EQI_Built","0.00","1.16(-1.56,3.94)","0.47(-2.15,3.07)","0.15(-2.28,2.59)","-0.08(-2.60,2.50)","0.4116","0.7346","0.8795","0.9465","1.0003","1.0011","1.0005","1.0005",3537,3496,3348,3408,3382,3204,3241,2625
"G20","2006_2010","2011_2015",5,"Typology_Mining_EQI_Social","0.00","1.35(-2.26,4.85)","0.65(-2.65,3.89)","0.69(-2.61,3.96)","0.18(-3.14,3.45)","0.4776","0.6776","0.6776","0.9250","1.0018","1.0023","1.0020","1.0020",3666,2638,2571,2448,3282,2893,3187,3274
"G20","2006_2010","2016_2020",10,"Typology_Mining_EQI","0.00","2.43(0.30,4.59)*","2.19(-0.00,4.22)","2.77(0.03,5.54)*","1.74(-1.03,4.32)","0.0287","0.0507","0.0487","0.2077","1.0021","1.0007","1.0013","1.0001",2823,2578,2827,3034,3187,2563,3094,2980
"G20","2006_2010","2016_2020",10,"Typology_Mining_EQI_Air","0.00","-0.17(-2.37,2.04)","0.16(-2.27,2.63)","1.87(-0.70,4.32)","1.74(-1.43,4.65)","0.8715","0.9055","0.1622","0.2732","1.0011","1.0010","1.0008","1.0005",1825,1528,1829,1475,2912,2272,2552,2286
"G20","2006_2010","2016_2020",10,"Typology_Mining_EQI_Water","0.00","-0.85(-3.27,1.50)","1.37(-1.92,4.52)","2.68(-0.14,5.56)","1.61(-1.08,4.48)","0.4996","0.3967","0.0627","0.2662","1.0016","1.0003","1.0015","1.0036",2168,1941,2084,2144,2380,2523,2796,2740
"G20","2006_2010","2016_2020",10,"Typology_Mining_EQI_Land","0.00","0.64(-1.24,2.47)","2.63(0.21,5.04)*","2.57(-0.36,5.64)","2.64(-2.05,7.64)","0.5056","0.0342","0.0887","0.3117","0.9999","1.0005","1.0008","1.0010",4269,4191,3472,6426,2985,3409,2904,3106
"G20","2006_2010","2016_2020",10,"Typology_Mining_EQI_Built","0.00","1.59(-0.89,4.02)","1.58(-0.97,4.22)","0.79(-1.38,2.95)","0.73(-1.52,2.90)","0.2022","0.2327","0.4586","0.5151","1.0010","1.0000","1.0011","1.0010",2656,2967,2473,2786,3068,3028,3032,2928
"G20","2006_2010","2016_2020",10,"Typology_Mining_EQI_Social","0.00","1.56(-1.48,4.56)","1.96(-1.20,4.97)","0.41(-2.53,3.27)","-0.48(-3.53,2.52)","0.2907","0.1952","0.7786","0.7456","1.0005","1.0013","1.0009","1.0010",2501,1580,1839,1742,2775,1991,2630,2455
"G20","2000_2005","2006_2010",5,"Typology_Manufacturing_EQI","0.00","1.65(0.91,2.37)***","2.03(1.34,2.72)***","2.37(1.67,3.05)***","2.91(2.12,3.64)***","0.0002","0.0002","0.0002","0.0002","1.0001","1.0016","1.0015","1.0021",2235,1633,1469,1385,2638,2322,1797,1599
"G20","2000_2005","2006_2010",5,"Typology_Manufacturing_EQI_Air","0.00","0.93(-0.34,2.06)","1.62(0.34,2.76)*","1.58(0.33,2.71)*","1.50(0.27,2.69)*","0.1397","0.0127","0.0117","0.0187","1.0009","1.0021","1.0017","1.0020",1519,1548,1547,1551,1842,1680,1853,1815
"G20","2000_2005","2006_2010",5,"Typology_Manufacturing_EQI_Water","0.00","-0.32(-1.00,0.36)","0.13(-0.54,0.81)","-0.18(-0.89,0.50)","0.16(-0.54,0.92)","0.3607","0.7186","0.5701","0.6991","1.0011","1.0037","1.0019","1.0014",2285,1879,1915,1906,2522,2157,2204,2449
"G20","2000_2005","2006_2010",5,"Typology_Manufacturing_EQI_Land","0.00","0.45(-0.14,1.06)","0.16(-0.47,0.77)","0.51(-0.17,1.21)","0.32(-0.44,1.04)","0.1402","0.6176","0.1442","0.3937","0.9999","1.0005","1.0005","1.0000",2702,2471,2285,2226,3171,2864,2882,2994
