ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
G30,2000_2005,2006_2010,5,LandUse_Natural_EQI,0.00,"5.14(3.53,6.75)***","6.51(4.87,8.21)***","9.29(7.44,11.05)***","11.07(9.06,13.06)***",0.0002,0.0002,0.0002,0.0002,1.0004,1.0008,0.9999,1.0015,3676,3519,3284,2868,2968,3327,3212,3300
"G30","2000_2005","2006_2010",5,"LandUse_Natural_EQI_Air","0.00","3.59(1.71,5.52)***","5.83(3.85,7.71)***","6.34(4.28,8.41)***","6.05(3.63,8.39)***","0.0002","0.0002","0.0002","0.0002","1.0004","1.0008","1.0012","1.0016",2262,1727,1521,1508,2643,2514,2635,2314
"G30","2000_2005","2006_2010",5,"LandUse_Natural_EQI_Water","0.00","-0.97(-3.43,1.51)","-0.68(-3.21,1.91)","2.73(0.19,5.29)*","-0.20(-2.87,2.39)","0.4316","0.6051","0.0327","0.8765","1.0024","1.0019","1.0022","1.0017",1476,1345,1274,1325,2430,2298,2363,2006
"G30","2000_2005","2006_2010",5,"LandUse_Natural_EQI_Land","0.00","0.12(-1.56,1.78)","0.09(-1.80,2.05)","0.80(-1.51,3.07)","2.25(-0.29,4.83)","0.8960","0.9375","0.4956","0.0872","1.0002","1.0012","1.0025","1.0027",2230,1704,1417,1580,2686,2697,2300,2132
"G30","2000_2005","2006_2010",5,"LandUse_Natural_EQI_Built","0.00","1.68(0.03,3.30)*","3.01(1.26,4.75)**","2.96(1.20,4.69)**","3.30(1.38,5.11)***","0.0452","0.0017","0.0012","0.0002","1.0015","1.0012","1.0018","1.0015",2957,2718,2731,2528,3394,3021,2925,3014
"G30","2000_2005","2006_2010",5,"LandUse_Natural_EQI_Social","0.00","2.07(0.56,3.54)*","1.91(0.15,3.62)*","2.22(0.27,4.15)*","3.85(1.55,6.17)***","0.0107","0.0392","0.0272","0.0002","1.0012","0.9999","0.9999","1.0001",2412,2115,1783,1800,2658,2938,2543,2448
"G30","2000_2005","2011_2015",10,"LandUse_Natural_EQI","0.00","3.95(2.22,5.62)***","5.26(3.57,6.98)***","7.36(5.45,9.27)***","9.32(7.21,11.38)***","0.0002","0.0002","0.0002","0.0002","0.9995","0.9999","0.9995","1.0000",3644,3196,3097,2657,2756,2967,2968,2718
"G30","2000_2005","2011_2015",10,"LandUse_Natural_EQI_Air","0.00","4.32(2.39,6.24)***","6.93(4.95,8.99)***","7.24(5.12,9.32)***","6.73(4.17,9.23)***","0.0002","0.0002","0.0002","0.0002","1.0003","1.0011","1.0019","1.0025",2428,1964,1642,1652,2422,2690,2491,2441
"G30","2000_2005","2011_2015",10,"LandUse_Natural_EQI_Water","0.00","0.95(-1.44,3.36)","0.44(-2.15,2.98)","3.29(0.64,5.78)*","1.01(-1.72,3.66)","0.4496","0.7186","0.0142","0.4581","1.0008","1.0017","1.0016","1.0011",1636,1557,1609,1499,2275,2137,2552,2463
"G30","2000_2005","2011_2015",10,"LandUse_Natural_EQI_Land","0.00","-1.59(-3.27,0.10)","-1.32(-3.25,0.63)","-1.61(-3.87,0.74)","1.08(-1.52,3.69)","0.0697","0.1902","0.1627","0.4206","1.0006","1.0002","1.0011","1.0025",3041,2268,1835,1932,3569,2889,2811,2903
