ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
C18_C21,2000_2005,2006_2010,5,Cluster0_EQI,0.00,"3.89(2.76,5.03)***","4.94(2.77,7.21)***","-0.06(-9.44,9.51)","0.05(-9.62,9.33)",0.0002,0.0002,0.9955,0.9825,1.0003,1.0008,1.0015,1.0024,6581,6735,8655,8075,3225,3108,2933,3301
"C18_C21","2000_2005","2006_2010",5,"Cluster0_EQI_Air","0.00","4.32(2.80,5.80)***","4.14(2.47,5.84)***","4.51(2.17,6.77)***","0.61(-5.96,6.96)","0.0002","0.0002","0.0002","0.8530","1.0004","1.0010","1.0002","1.0008",2659,1903,3348,7313,3110,3259,3059,3217
"C18_C21","2000_2005","2006_2010",5,"Cluster0_EQI_Water","0.00","-1.21(-2.98,0.51)","0.85(-1.09,2.79)","2.17(0.11,4.22)*","-1.01(-3.15,1.12)","0.1707","0.4021","0.0367","0.3607","1.0010","1.0020","1.0025","1.0010",1918,1904,1732,2267,2067,2501,2089,3239
"C18_C21","2000_2005","2006_2010",5,"Cluster0_EQI_Land","0.00","0.19(-1.17,1.49)","0.37(-1.17,1.88)","0.41(-1.41,2.31)","1.58(-0.75,3.95)","0.7886","0.6261","0.6716","0.1637","1.0003","1.0010","1.0012","1.0002",3934,3912,2696,2751,2986,3181,3014,3298
"C18_C21","2000_2005","2006_2010",5,"Cluster0_EQI_Built","0.00","1.84(0.65,3.10)**","2.93(1.43,4.44)**","2.55(0.45,4.72)*","2.04(-0.79,4.99)","0.0017","0.0012","0.0162","0.1482","1.0006","1.0008","1.0012","1.0014",4299,4369,4830,4638,3163,3211,2973,3009
"C18_C21","2000_2005","2006_2010",5,"Cluster0_EQI_Social","0.00","-0.44(-1.58,0.73)","0.25(-1.35,1.81)","2.05(-0.34,4.50)","4.55(0.68,8.66)*","0.4556","0.7576","0.0967","0.0247","1.0024","1.0001","1.0008","1.0028",3974,4075,4136,5706,3027,3106,2939,3143
"C18_C21","2000_2005","2011_2015",10,"Cluster0_EQI","0.00","2.73(1.70,3.75)***","3.10(1.13,5.09)**","-0.08(-10.08,9.90)","-0.05(-10.04,9.98)","0.0002","0.0042","0.9855","0.9915","1.0008","0.9999","1.0015","1.0005",6360,6789,8778,8577,3195,3248,2786,1827
"C18_C21","2000_2005","2011_2015",10,"Cluster0_EQI_Air","0.00","3.21(1.94,4.48)***","3.68(2.22,5.12)***","3.94(2.01,5.91)***","-0.27(-6.41,5.61)","0.0002","0.0002","0.0002","0.9380","1.0003","1.0002","1.0004","1.0012",3337,2895,4749,6609,2726,3069,3303,2995
"C18_C21","2000_2005","2011_2015",10,"Cluster0_EQI_Water","0.00","-1.14(-2.81,0.64)","0.14(-1.68,2.12)","1.23(-0.65,3.26)","0.43(-1.62,2.62)","0.2047","0.9105","0.2042","0.7256","1.0021","1.0031","1.0044","1.0036",2073,1874,1771,1954,2576,2501,2465,2842
"C18_C21","2000_2005","2011_2015",10,"Cluster0_EQI_Land","0.00","0.26(-0.87,1.43)","0.36(-0.95,1.66)","0.27(-1.40,1.92)","2.11(-0.09,4.39)","0.6576","0.5976","0.7471","0.0587","1.0004","1.0008","1.0003","0.9999",3842,3791,3669,4198,3553,3323,3088,3300
