ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C30_C39,2000_2005,2006_2010,5,Cluster0_EQI,0.00,"2.80(-2.61,8.24)","0.04(-9.86,9.96)","-0.06(-10.17,9.78)","0.02(-9.56,9.81)"
"C30_C39","2000_2005","2006_2010",5,"Cluster0_EQI_Air","0.00","6.37(2.07,10.50)**","7.71(3.04,12.33)***","6.01(0.63,11.33)*","2.39(-5.75,10.77)"
"C30_C39","2000_2005","2006_2010",5,"Cluster0_EQI_Water","0.00","0.77(-2.84,4.46)","-2.19(-7.47,3.52)","-2.86(-9.55,3.86)","2.82(-5.84,11.22)"
"C30_C39","2000_2005","2006_2010",5,"Cluster0_EQI_Land","0.00","-3.35(-7.34,0.69)","0.16(-5.44,5.99)","-6.15(-12.00,-0.39)*","-2.15(-10.24,5.63)"
"C30_C39","2000_2005","2006_2010",5,"Cluster0_EQI_Built","0.00","-0.03(-3.94,3.87)","0.20(-5.39,5.84)","1.32(-5.65,8.05)","1.76(-5.37,9.14)"
"C30_C39","2000_2005","2006_2010",5,"Cluster0_EQI_Social","0.00","-0.23(-3.65,3.26)","2.00(-2.66,6.75)","3.01(-3.57,9.43)","-1.66(-8.98,5.58)"
"C30_C39","2000_2005","2011_2015",10,"Cluster0_EQI","0.00","2.76(-2.88,8.37)","-0.02(-10.02,9.76)","0.00(-9.69,9.78)","-0.06(-9.89,9.40)"
"C30_C39","2000_2005","2011_2015",10,"Cluster0_EQI_Air","0.00","7.33(2.89,12.02)**","8.11(2.98,12.99)**","7.40(1.72,12.85)*","0.37(-7.70,8.45)"
"C30_C39","2000_2005","2011_2015",10,"Cluster0_EQI_Water","0.00","0.34(-3.58,4.41)","-1.27(-6.72,4.35)","-2.43(-8.53,4.07)","3.45(-4.79,11.59)"
"C30_C39","2000_2005","2011_2015",10,"Cluster0_EQI_Land","0.00","-1.13(-5.26,2.98)","-6.09(-11.05,-1.11)*","1.20(-5.23,7.64)","0.71(-7.22,9.09)"
"C30_C39","2000_2005","2011_2015",10,"Cluster0_EQI_Built","0.00","1.31(-2.32,4.78)","-0.89(-6.46,4.69)","0.81(-5.69,7.40)","2.62(-4.34,9.55)"
"C30_C39","2000_2005","2011_2015",10,"Cluster0_EQI_Social","0.00","2.13(-1.16,5.48)","4.12(-0.40,8.72)","2.33(-3.76,8.23)","4.01(-3.16,11.41)"
"C30_C39","2006_2010","2011_2015",5,"Cluster0_EQI","0.00","1.32(-3.14,5.70)","3.31(-1.17,7.80)","0.57(-4.29,5.26)","1.16(-4.29,6.40)"
"C30_C39","2006_2010","2011_2015",5,"Cluster0_EQI_Air","0.00","0.00(-4.64,4.55)","3.19(-1.44,7.85)","4.22(-0.84,9.08)","6.60(1.52,11.70)*"
"C30_C39","2006_2010","2011_2015",5,"Cluster0_EQI_Water","0.00","-3.48(-7.66,0.69)","-3.09(-8.64,2.43)","-1.46(-7.67,4.60)","0.56(-7.21,7.98)"
"C30_C39","2006_2010","2011_2015",5,"Cluster0_EQI_Land","0.00","2.09(-1.74,6.03)","-0.31(-4.18,3.63)","3.38(-1.59,8.68)","-2.28(-7.43,2.87)"
"C30_C39","2006_2010","2011_2015",5,"Cluster0_EQI_Built","0.00","1.54(-3.77,6.74)","1.07(-3.77,6.21)","2.25(-2.60,7.18)","-1.63(-6.27,2.95)"
"C30_C39","2006_2010","2011_2015",5,"Cluster0_EQI_Social","0.00","2.60(-3.75,9.06)","4.80(-1.07,10.82)","1.29(-4.00,6.82)","-1.40(-6.66,4.04)"
"C30_C39","2006_2010","2016_2020",10,"Cluster0_EQI","0.00","4.20(0.31,8.30)*","5.31(1.34,9.07)*","4.18(-0.08,8.36)","1.66(-3.17,6.05)"
"C30_C39","2006_2010","2016_2020",10,"Cluster0_EQI_Air","0.00","1.10(-2.95,4.90)","3.35(-0.85,7.42)","3.53(-1.14,7.83)","3.14(-1.51,7.97)"
"C30_C39","2006_2010","2016_2020",10,"Cluster0_EQI_Water","0.00","-3.40(-7.07,0.23)","-4.04(-9.21,1.03)","-3.65(-9.18,1.81)","-1.26(-8.15,5.57)"
"C30_C39","2006_2010","2016_2020",10,"Cluster0_EQI_Land","0.00","0.81(-2.74,4.32)","1.18(-2.37,4.76)","0.36(-4.22,4.81)","0.36(-4.31,5.09)"
"C30_C39","2006_2010","2016_2020",10,"Cluster0_EQI_Built","0.00","2.62(-2.22,7.56)","3.98(-0.67,8.58)","2.82(-1.64,7.28)","0.26(-3.99,4.55)"
"C30_C39","2006_2010","2016_2020",10,"Cluster0_EQI_Social","0.00","1.44(-4.58,7.35)","4.08(-1.64,9.74)","1.27(-3.71,6.32)","-0.10(-5.09,4.84)"
"C30_C39","2000_2005","2006_2010",5,"Cluster1_EQI","0.00","4.12(1.76,6.56)***","3.49(1.08,5.91)**","1.66(-1.93,5.08)","-0.13(-9.47,9.43)"
"C30_C39","2000_2005","2006_2010",5,"Cluster1_EQI_Air","0.00","1.67(-0.59,3.90)","3.80(1.36,6.30)**","4.52(1.72,7.28)**","3.86(-1.22,9.00)"
"C30_C39","2000_2005","2006_2010",5,"Cluster1_EQI_Water","0.00","-2.47(-7.37,2.37)","-1.11(-6.00,3.69)","-1.11(-5.89,3.63)","-2.46(-7.36,2.46)"
"C30_C39","2000_2005","2006_2010",5,"Cluster1_EQI_Land","0.00","-2.42(-4.51,-0.34)*","-3.50(-5.83,-1.17)**","-3.01(-6.06,0.03)","-3.39(-6.88,0.08)"
"C30_C39","2000_2005","2006_2010",5,"Cluster1_EQI_Built","0.00","-0.97(-3.15,1.26)","0.23(-2.04,2.48)","0.73(-1.75,3.25)","1.65(-1.36,4.61)"
"C30_C39","2000_2005","2006_2010",5,"Cluster1_EQI_Social","0.00","-0.42(-2.30,1.42)","-1.46(-3.71,0.76)","0.64(-2.48,3.75)","1.39(-6.16,9.07)"
"C30_C39","2000_2005","2011_2015",10,"Cluster1_EQI","0.00","2.32(0.30,4.29)*","0.88(-1.14,2.90)","0.90(-2.19,4.00)","-0.06(-9.70,9.47)"
"C30_C39","2000_2005","2011_2015",10,"Cluster1_EQI_Air","0.00","3.02(1.12,4.92)**","4.54(2.35,6.62)***","5.15(2.72,7.60)***","0.67(-3.76,5.10)"
"C30_C39","2000_2005","2011_2015",10,"Cluster1_EQI_Water","0.00","0.86(-3.94,5.49)","-0.02(-4.69,4.55)","-1.10(-5.75,3.52)","-1.99(-6.74,2.56)"
"C30_C39","2000_2005","2011_2015",10,"Cluster1_EQI_Land","0.00","-2.15(-3.90,-0.33)*","-2.89(-4.92,-0.89)**","-2.78(-5.55,-0.02)*","-3.78(-6.82,-0.67)*"
"C30_C39","2000_2005","2011_2015",10,"Cluster1_EQI_Built","0.00","0.11(-1.78,2.03)","0.66(-1.35,2.74)","-0.82(-3.01,1.31)","0.99(-1.59,3.52)"
"C30_C39","2000_2005","2011_2015",10,"Cluster1_EQI_Social","0.00","-0.63(-2.13,0.91)","-1.33(-3.27,0.57)","-2.12(-4.83,0.58)","-1.35(-6.95,4.48)"
"C30_C39","2006_2010","2011_2015",5,"Cluster1_EQI","0.00","2.58(0.45,4.75)*","1.03(-1.24,3.30)","1.71(-0.68,4.10)","0.49(-2.11,3.11)"
"C30_C39","2006_2010","2011_2015",5,"Cluster1_EQI_Air","0.00","2.19(0.10,4.32)*","2.42(0.24,4.63)*","2.47(0.25,4.80)*","2.13(-0.35,4.57)"
"C30_C39","2006_2010","2011_2015",5,"Cluster1_EQI_Water","0.00","-0.25(-4.35,3.73)","-1.17(-5.13,2.87)","-2.52(-6.48,1.40)","-2.31(-6.35,1.64)"
"C30_C39","2006_2010","2011_2015",5,"Cluster1_EQI_Land","0.00","0.83(-1.06,2.78)","0.01(-1.94,2.04)","-0.13(-2.22,2.04)","0.76(-1.58,3.02)"
"C30_C39","2006_2010","2011_2015",5,"Cluster1_EQI_Built","0.00","-0.21(-2.38,1.87)","-1.39(-3.65,0.83)","-0.66(-3.10,1.64)","-2.71(-5.11,-0.28)*"
"C30_C39","2006_2010","2011_2015",5,"Cluster1_EQI_Social","0.00","-0.49(-3.90,2.98)","0.22(-3.08,3.55)","-1.07(-4.43,2.38)","-0.68(-4.24,2.95)"
"C30_C39","2006_2010","2016_2020",10,"Cluster1_EQI","0.00","0.41(-1.64,2.36)","-0.42(-2.56,1.64)","-1.20(-3.47,1.05)","-0.60(-3.10,1.80)"
"C30_C39","2006_2010","2016_2020",10,"Cluster1_EQI_Air","0.00","-0.23(-2.26,1.77)","-1.08(-3.21,1.05)","-0.49(-2.71,1.70)","-0.61(-2.95,1.69)"
"C30_C39","2006_2010","2016_2020",10,"Cluster1_EQI_Water","0.00","-2.59(-6.45,1.18)","-1.59(-5.30,2.04)","-3.79(-7.47,-0.26)*","-3.86(-7.60,-0.21)*"
"C30_C39","2006_2010","2016_2020",10,"Cluster1_EQI_Land","0.00","0.04(-1.85,1.85)","-0.01(-1.86,1.83)","-0.65(-2.71,1.39)","0.85(-1.33,3.03)"
"C30_C39","2006_2010","2016_2020",10,"Cluster1_EQI_Built","0.00","-0.81(-2.78,1.21)","-0.08(-2.13,2.05)","-0.51(-2.81,1.74)","-1.69(-3.91,0.52)"
"C30_C39","2006_2010","2016_2020",10,"Cluster1_EQI_Social","0.00","0.48(-2.68,3.63)","0.30(-2.77,3.43)","-0.93(-4.13,2.29)","-0.24(-3.57,3.16)"
"C30_C39","2000_2005","2006_2010",5,"Cluster2_EQI","0.00","3.87(0.50,7.15)*","4.41(1.27,7.59)**","5.06(1.76,8.32)**","8.15(4.63,11.72)***"
"C30_C39","2000_2005","2006_2010",5,"Cluster2_EQI_Air","0.00","0.90(-2.13,3.95)","4.10(1.06,7.08)**","7.04(4.12,9.96)***","7.20(4.14,10.14)***"
"C30_C39","2000_2005","2006_2010",5,"Cluster2_EQI_Water","0.00","-1.37(-3.64,0.91)","-0.01(-10.05,9.63)","-0.01(-9.11,9.44)","0.00(-10.10,9.57)"
"C30_C39","2000_2005","2006_2010",5,"Cluster2_EQI_Land","0.00","2.03(-0.30,4.33)","0.78(-1.61,3.24)","1.51(-0.94,4.10)","2.33(-0.56,5.34)"
"C30_C39","2000_2005","2006_2010",5,"Cluster2_EQI_Built","0.00","2.82(-0.16,5.68)","-0.73(-3.57,2.13)","0.47(-2.42,3.25)","-0.64(-3.65,2.23)"
"C30_C39","2000_2005","2006_2010",5,"Cluster2_EQI_Social","0.00","1.72(-0.90,4.39)","-0.67(-3.21,1.91)","-0.65(-3.23,2.01)","-0.26(-2.91,2.49)"
"C30_C39","2000_2005","2011_2015",10,"Cluster2_EQI","0.00","2.14(-1.00,5.29)","2.34(-0.71,5.45)","2.49(-0.59,5.67)","4.12(0.59,7.73)*"
"C30_C39","2000_2005","2011_2015",10,"Cluster2_EQI_Air","0.00","1.55(-1.27,4.44)","3.83(1.07,6.55)**","4.23(1.39,6.94)**","4.39(1.44,7.16)**"
"C30_C39","2000_2005","2011_2015",10,"Cluster2_EQI_Water","0.00","-2.23(-4.24,-0.27)*","-0.07(-9.70,9.35)","-0.06(-10.18,9.89)","-0.03(-9.80,9.51)"
"C30_C39","2000_2005","2011_2015",10,"Cluster2_EQI_Land","0.00","1.96(-0.07,3.96)","0.80(-1.55,3.02)","0.91(-1.54,3.22)","0.68(-1.91,3.21)"
"C30_C39","2000_2005","2011_2015",10,"Cluster2_EQI_Built","0.00","3.06(0.44,5.66)*","3.50(0.92,6.11)**","3.82(1.26,6.35)**","2.73(0.04,5.35)*"
"C30_C39","2000_2005","2011_2015",10,"Cluster2_EQI_Social","0.00","-0.71(-3.14,1.72)","-3.48(-5.86,-1.13)**","-3.04(-5.44,-0.68)**","-2.13(-4.63,0.26)"
"C30_C39","2006_2010","2011_2015",5,"Cluster2_EQI","0.00","1.47(-0.62,3.55)","0.93(-1.31,3.12)","2.37(-0.11,4.80)","2.54(-0.20,5.21)"
"C30_C39","2006_2010","2011_2015",5,"Cluster2_EQI_Air","0.00","1.39(-0.87,3.68)","0.93(-1.31,3.22)","2.42(0.08,4.77)*","1.59(-0.90,4.15)"
"C30_C39","2006_2010","2011_2015",5,"Cluster2_EQI_Water","0.00","-1.39(-3.08,0.33)","-0.02(-5.82,5.97)","-1.24(-6.19,3.75)","-0.04(-9.87,9.64)"
"C30_C39","2006_2010","2011_2015",5,"Cluster2_EQI_Land","0.00","1.22(-0.79,3.27)","3.07(1.03,5.21)**","1.98(-0.09,4.05)","1.42(-0.71,3.62)"
"C30_C39","2006_2010","2011_2015",5,"Cluster2_EQI_Built","0.00","0.62(-1.54,2.73)","1.50(-0.90,3.82)","0.68(-1.65,2.99)","1.51(-1.14,4.06)"
"C30_C39","2006_2010","2011_2015",5,"Cluster2_EQI_Social","0.00","-0.32(-2.09,1.52)","-0.39(-2.27,1.60)","-0.04(-2.51,2.39)","1.21(-2.08,4.71)"
"C30_C39","2006_2010","2016_2020",10,"Cluster2_EQI","0.00","0.98(-0.84,2.82)","1.03(-0.86,2.96)","1.56(-0.46,3.61)","2.29(-0.02,4.56)"
