ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C50,2000_2005,2006_2010,5,Cluster1_EQI,0.00,"1.40(0.33,2.46)**","2.41(1.42,3.41)***","2.96(1.85,4.03)***","3.92(2.51,5.29)***"
"C50","2000_2005","2006_2010",5,"Cluster1_EQI_Air","0.00","1.55(0.12,2.95)*","1.26(-0.08,2.66)","1.93(0.61,3.27)**","2.74(1.38,4.02)***"
"C50","2000_2005","2006_2010",5,"Cluster1_EQI_Water","0.00","0.65(-0.21,1.57)","0.07(-4.38,4.42)","-0.00(-9.67,9.25)","-0.09(-10.05,10.00)"
"C50","2000_2005","2006_2010",5,"Cluster1_EQI_Land","0.00","0.51(-0.60,1.60)","0.24(-0.86,1.35)","0.58(-0.52,1.66)","-0.05(-1.23,1.11)"
"C50","2000_2005","2006_2010",5,"Cluster1_EQI_Built","0.00","0.67(-0.51,1.85)","2.09(0.83,3.29)**","1.92(0.74,3.09)**","2.67(1.39,3.96)***"
"C50","2000_2005","2006_2010",5,"Cluster1_EQI_Social","0.00","-0.56(-1.71,0.61)","-1.22(-2.38,-0.03)*","-1.42(-2.64,-0.24)*","-0.75(-2.10,0.62)"
"C50","2000_2005","2011_2015",10,"Cluster1_EQI","0.00","0.53(-0.44,1.49)","0.40(-0.56,1.35)","1.00(-0.00,2.07)","1.21(-0.09,2.52)"
"C50","2000_2005","2011_2015",10,"Cluster1_EQI_Air","0.00","-0.39(-1.73,0.92)","0.19(-1.12,1.50)","0.38(-0.93,1.65)","0.94(-0.41,2.25)"
"C50","2000_2005","2011_2015",10,"Cluster1_EQI_Water","0.00","0.04(-0.80,0.89)","-0.88(-4.87,3.25)","-0.09(-9.75,9.33)","-0.05(-9.79,9.75)"
"C50","2000_2005","2011_2015",10,"Cluster1_EQI_Land","0.00","0.53(-0.51,1.52)","-0.07(-1.12,0.97)","0.22(-0.81,1.32)","0.45(-0.74,1.74)"
"C50","2000_2005","2011_2015",10,"Cluster1_EQI_Built","0.00","-0.91(-2.07,0.25)","0.44(-0.74,1.64)","0.35(-0.82,1.50)","0.77(-0.45,2.01)"
"C50","2000_2005","2011_2015",10,"Cluster1_EQI_Social","0.00","-1.17(-2.26,-0.10)*","-0.86(-2.00,0.27)","-1.31(-2.47,-0.11)*","-1.07(-2.30,0.21)"
"C50","2006_2010","2011_2015",5,"Cluster1_EQI","0.00","-0.41(-1.42,0.62)","-0.33(-1.43,0.73)","-0.30(-1.55,0.90)","-0.85(-2.23,0.45)"
"C50","2006_2010","2011_2015",5,"Cluster1_EQI_Air","0.00","0.43(-0.71,1.59)","0.08(-1.08,1.26)","0.82(-0.42,2.04)","-0.01(-1.21,1.22)"
"C50","2006_2010","2011_2015",5,"Cluster1_EQI_Water","0.00","-0.56(-1.31,0.21)","-0.35(-3.31,2.61)","0.36(-2.37,3.20)","0.06(-9.72,9.96)"
"C50","2006_2010","2011_2015",5,"Cluster1_EQI_Land","0.00","0.31(-0.71,1.30)","0.70(-0.29,1.68)","-0.01(-1.02,1.00)","0.72(-0.39,1.79)"
"C50","2006_2010","2011_2015",5,"Cluster1_EQI_Built","0.00","0.28(-0.77,1.33)","0.20(-0.98,1.38)","-0.14(-1.24,1.00)","-0.99(-2.25,0.30)"
"C50","2006_2010","2011_2015",5,"Cluster1_EQI_Social","0.00","-0.52(-1.51,0.46)","0.38(-0.74,1.49)","0.07(-1.12,1.29)","-0.59(-1.86,0.70)"
"C50","2006_2010","2016_2020",10,"Cluster1_EQI","0.00","0.06(-0.94,1.12)","-0.32(-1.41,0.79)","-0.24(-1.45,0.97)","-0.23(-1.58,1.11)"
"C50","2006_2010","2016_2020",10,"Cluster1_EQI_Air","0.00","-0.68(-1.83,0.47)","-0.41(-1.58,0.78)","-0.04(-1.32,1.17)","0.06(-1.21,1.34)"
"C50","2006_2010","2016_2020",10,"Cluster1_EQI_Water","0.00","-1.00(-1.83,-0.13)*","-2.41(-5.25,0.49)","1.16(-1.66,4.04)","-0.02(-9.92,9.85)"
"C50","2006_2010","2016_2020",10,"Cluster1_EQI_Land","0.00","-0.08(-1.19,0.95)","0.23(-0.87,1.30)","-1.03(-2.08,0.07)","-0.45(-1.59,0.72)"
"C50","2006_2010","2016_2020",10,"Cluster1_EQI_Built","0.00","-0.04(-1.18,1.11)","-1.23(-2.45,-0.00)*","-1.45(-2.61,-0.26)*","-1.45(-2.78,-0.10)*"
"C50","2006_2010","2016_2020",10,"Cluster1_EQI_Social","0.00","-0.17(-1.15,0.84)","0.32(-0.78,1.41)","-0.36(-1.55,0.85)","-0.18(-1.48,1.18)"
