ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
C50,2000_2005,2006_2010,5,Cluster0_EQI,0.00,"3.30(-0.86,7.38)","2.68(-4.56,10.17)","-0.13(-10.05,9.71)","0.02(-9.66,9.54)",0.1187,0.4531,0.9695,0.9985,0.9997,1.0021,1.0002,1.0025,4464,5301,6265,5240,2932,2981,3241,3126
"C50","2000_2005","2006_2010",5,"Cluster0_EQI_Air","0.00","2.31(-1.07,5.62)","0.67(-4.32,5.49)","0.37(-3.58,4.39)","3.74(-0.39,7.57)","0.1732","0.7841","0.8505","0.0717","1.0015","1.0002","1.0002","0.9998",4107,4646,4121,3500,3073,2733,3335,3190
"C50","2000_2005","2006_2010",5,"Cluster0_EQI_Water","0.00","-4.34(-7.70,-1.08)*","0.82(-2.26,3.89)","2.84(-2.27,8.13)","-0.13(-9.92,9.57)","0.0112","0.6066","0.2942","0.9745","1.0003","1.0001","1.0000","1.0024",3241,3284,4508,6348,3152,2843,3057,3213
"C50","2000_2005","2006_2010",5,"Cluster0_EQI_Land","0.00","0.06(-9.79,10.01)","-0.05(-10.03,9.71)","-0.10(-9.82,9.48)","-0.01(-9.88,9.76)","0.9705","0.9870","0.9815","0.9775","1.0002","1.0012","1.0010","0.9996",6313,7228,7224,7604,2680,2756,3111,2998
"C50","2000_2005","2006_2010",5,"Cluster0_EQI_Built","0.00","1.51(-1.97,4.74)","3.00(-1.10,7.03)","4.96(0.94,8.94)*","1.77(-1.42,4.80)","0.3592","0.1462","0.0162","0.2702","1.0012","0.9998","0.9998","1.0011",3508,4090,4221,3340,3020,3362,3189,2986
"C50","2000_2005","2006_2010",5,"Cluster0_EQI_Social","0.00","0.20(-2.72,3.01)","2.24(-0.93,5.26)","1.33(-3.35,6.01)","5.26(1.41,9.05)*","0.8805","0.1462","0.5776","0.0117","1.0012","1.0008","1.0009","1.0005",4062,4496,3869,3366,3060,3112,3106,2758
"C50","2000_2005","2011_2015",10,"Cluster0_EQI","0.00","2.29(-1.54,6.06)","2.74(-3.93,9.33)","0.02(-9.70,9.66)","0.06(-10.11,9.91)","0.2192","0.4216","0.9950","0.9855","1.0006","1.0013","1.0007","1.0032",4697,4985,5496,5022,2695,2715,3024,2613
"C50","2000_2005","2011_2015",10,"Cluster0_EQI_Air","0.00","4.45(1.12,7.64)**","1.10(-3.41,5.65)","3.24(-0.59,7.07)","1.71(-2.38,5.49)","0.0067","0.6366","0.1012","0.3797","1.0003","1.0012","1.0010","1.0007",3238,3625,2875,2307,2813,3067,2831,2851
"C50","2000_2005","2011_2015",10,"Cluster0_EQI_Water","0.00","-0.72(-3.78,2.41)","2.23(-0.69,5.27)","2.38(-2.66,7.71)","0.01(-9.93,9.94)","0.6411","0.1372","0.3712","0.9995","1.0015","1.0017","1.0001","1.0008",2403,1919,4205,4781,2489,2769,3265,2395
"C50","2000_2005","2011_2015",10,"Cluster0_EQI_Land","0.00","0.03(-9.82,10.05)","-0.04(-9.78,9.62)","-0.08(-9.58,9.48)","0.00(-9.71,9.64)","0.9825","0.9920","0.9830","0.9960","1.0004","1.0007","0.9999","1.0012",5342,5215,5310,6161,2599,2925,2807,2816
"C50","2000_2005","2011_2015",10,"Cluster0_EQI_Built","0.00","2.77(-0.58,6.12)","2.03(-1.31,5.46)","4.34(0.53,8.06)*","3.04(0.10,6.13)*","0.1012","0.2437","0.0227","0.0412","1.0001","1.0002","1.0033","1.0009",3295,3474,3707,3010,2916,2583,2805,3035
"C50","2000_2005","2011_2015",10,"Cluster0_EQI_Social","0.00","-0.01(-2.68,2.53)","0.54(-2.28,3.39)","1.22(-3.11,5.76)","1.69(-1.79,5.14)","0.9940","0.7156","0.5936","0.3442","1.0006","1.0002","1.0001","1.0006",3452,3770,2761,2867,2859,3110,2874,3005
"C50","2000_2005","2016_2020",15,"Cluster0_EQI","0.00","2.28(-1.37,5.91)","2.64(-4.20,9.45)","0.01(-10.19,10.23)","0.03(-9.83,9.81)","0.2172","0.4416","0.9845","0.9995","1.0015","1.0015","0.9999","1.0001",3639,4351,4682,4948,3082,2599,2917,2997
"C50","2000_2005","2016_2020",15,"Cluster0_EQI_Air","0.00","1.29(-1.88,4.65)","3.88(-0.72,8.35)","1.84(-2.21,5.74)","2.82(-1.02,6.43)","0.4561","0.0942","0.3517","0.1477","1.0015","1.0012","1.0000","1.0014",1890,3626,2692,3008,2577,2675,2976,3090
"C50","2000_2005","2016_2020",15,"Cluster0_EQI_Water","0.00","-0.52(-4.24,3.40)","2.51(-1.00,6.27)","2.01(-3.35,7.58)","0.03(-10.10,10.13)","0.7661","0.1797","0.4726","0.9885","1.0023","1.0020","1.0027","1.0008",1241,1114,3043,7174,1496,1529,3031,2828
"C50","2000_2005","2016_2020",15,"Cluster0_EQI_Land","0.00","-0.10(-10.10,10.05)","0.03(-9.61,9.43)","0.11(-9.62,9.53)","0.05(-10.14,10.36)","0.9900","0.9925","0.9870","0.9845","1.0010","1.0005","1.0022","1.0003",6014,6554,5076,5567,2750,3221,2967,2742
"C50","2000_2005","2016_2020",15,"Cluster0_EQI_Built","0.00","3.76(0.63,6.96)*","3.97(0.06,7.83)*","2.77(-0.64,6.33)","2.09(-0.96,5.22)","0.0212","0.0477","0.1327","0.1767","1.0034","1.0015","1.0000","1.0044",4123,2828,3329,2627,3254,2908,2717,2882
"C50","2000_2005","2016_2020",15,"Cluster0_EQI_Social","0.00","-0.11(-2.87,2.53)","2.93(-0.02,5.67)","1.54(-3.57,6.37)","2.85(-0.76,6.39)","0.9620","0.0517","0.5361","0.1252","1.0025","1.0002","1.0008","1.0006",3281,3449,2417,2260,2794,3151,2864,2807
"C50","2006_2010","2011_2015",5,"Cluster0_EQI","0.00","3.26(-0.82,7.11)","2.08(-1.55,5.76)","4.16(-0.91,9.19)","-2.89(-7.14,1.25)","0.1182","0.2532","0.1047","0.1802","1.0019","1.0015","1.0001","1.0011",2543,2472,3557,2683,2592,2576,2891,2774
"C50","2006_2010","2011_2015",5,"Cluster0_EQI_Air","0.00","-0.14(-3.79,3.60)","1.86(-3.54,7.61)","2.84(-2.35,8.29)","-0.01(-4.25,4.26)","0.9360","0.5066","0.2862","0.9825","0.9996","1.0001","1.0002","1.0001",3430,4001,4021,3613,3121,3172,2951,2973
"C50","2006_2010","2011_2015",5,"Cluster0_EQI_Water","0.00","-2.08(-6.18,2.24)","0.23(-3.59,4.08)","1.62(-3.89,7.22)","0.49(-6.17,7.58)","0.3217","0.9225","0.5866","0.8925","1.0005","1.0012","1.0004","1.0016",3365,2739,4139,4197,2915,2639,3211,3067
"C50","2006_2010","2011_2015",5,"Cluster0_EQI_Land","0.00","1.98(-2.70,6.61)","1.95(-2.30,6.21)","1.04(-6.63,8.76)","3.30(-3.93,10.60)","0.4021","0.3662","0.7991","0.3727","1.0006","1.0006","0.9994","1.0015",3239,2954,4641,4753,3139,3012,3119,3142
"C50","2006_2010","2011_2015",5,"Cluster0_EQI_Built","0.00","0.77(-3.72,5.36)","0.53(-3.75,4.95)","0.64(-3.43,4.62)","-0.93(-5.17,2.99)","0.7506","0.8080","0.7456","0.6616","1.0010","1.0011","1.0008","1.0017",3192,3309,3445,3774,3009,3185,2994,2761
"C50","2006_2010","2011_2015",5,"Cluster0_EQI_Social","0.00","-1.65(-5.74,2.64)","-1.84(-6.66,3.07)","-0.16(-4.31,4.09)","-2.16(-6.15,2.10)","0.4201","0.4266","0.9380","0.2972","1.0009","1.0008","1.0015","1.0016",3011,3416,3270,2617,3044,2816,3163,2604
"C50","2006_2010","2016_2020",10,"Cluster0_EQI","0.00","3.74(-0.33,7.66)","2.77(-1.27,6.88)","2.98(-2.24,8.20)","-0.13(-4.44,4.17)","0.0697","0.1817","0.2362","0.9600","1.0016","1.0016","1.0031","1.0016",2768,2574,4074,3156,3043,2635,2877,2803
"C50","2006_2010","2016_2020",10,"Cluster0_EQI_Air","0.00","-1.12(-4.14,2.02)","-2.57(-7.12,2.14)","2.47(-2.20,7.12)","2.66(-1.72,7.03)","0.4661","0.2697","0.2967","0.2342","1.0013","1.0012","1.0012","1.0012",3443,4022,4233,2621,2991,3158,3228,2991
"C50","2006_2010","2016_2020",10,"Cluster0_EQI_Water","0.00","-0.60(-4.38,3.38)","2.53(-1.17,6.40)","2.58(-2.49,7.59)","1.20(-5.33,7.62)","0.7526","0.1792","0.3247","0.6971","1.0012","0.9999","1.0003","1.0013",2916,2477,4029,5011,2777,2807,3096,2874
"C50","2006_2010","2016_2020",10,"Cluster0_EQI_Land","0.00","1.25(-3.38,5.79)","0.17(-4.30,4.32)","4.87(-2.54,12.36)","0.33(-6.19,7.06)","0.5991","0.9225","0.2027","0.9405","1.0001","1.0002","0.9999","1.0025",2075,2066,4318,4828,2688,2497,3165,2848
"C50","2006_2010","2016_2020",10,"Cluster0_EQI_Built","0.00","3.14(-0.90,7.16)","-1.18(-4.90,2.67)","2.48(-1.08,5.94)","-2.20(-6.00,1.56)","0.1222","0.5351","0.1747","0.2402","1.0001","1.0008","1.0021","1.0000",2567,2847,3252,2370,3154,3161,2854,2684
"C50","2006_2010","2016_2020",10,"Cluster0_EQI_Social","0.00","-1.55(-5.15,2.16)","-0.30(-4.76,4.40)","0.27(-3.79,4.53)","-2.67(-6.58,1.49)","0.3897","0.8895","0.9080","0.1947","1.0010","1.0005","1.0009","1.0007",2647,2785,2520,2243,2834,2742,2669,2966
"C50","2000_2005","2006_2010",5,"Cluster1_EQI","0.00","1.71(0.11,3.39)*","3.61(-1.58,9.32)","0.00(-9.90,9.99)","0.09(-9.95,9.96)","0.0342","0.1847","0.9915","0.9820","1.0007","0.9997","1.0004","1.0007",5703,6310,6676,6779,2966,2378,2560,2663
"C50","2000_2005","2006_2010",5,"Cluster1_EQI_Air","0.00","5.77(3.87,7.61)***","6.54(4.28,8.64)***","6.12(3.14,9.21)***","0.10(-9.51,9.74)","0.0002","0.0002","0.0002","0.9665","1.0009","1.0013","1.0006","1.0016",2134,2507,3623,7234,3093,3167,2749,3284
"C50","2000_2005","2006_2010",5,"Cluster1_EQI_Water","0.00","0.17(-1.26,1.57)","1.04(-1.03,3.18)","2.47(0.39,4.60)*","-0.80(-3.95,2.48)","0.8125","0.3322","0.0222","0.6046","1.0014","1.0022","1.0011","1.0021",2412,2735,3142,4417,3076,3167,2967,3162
"C50","2000_2005","2006_2010",5,"Cluster1_EQI_Land","0.00","-0.19(-1.72,1.42)","-0.97(-2.60,0.69)","-1.37(-3.15,0.41)","0.38(-1.78,2.57)","0.8005","0.2552","0.1257","0.7346","1.0001","1.0003","1.0012","1.0007",2865,3036,2349,2627,3234,3123,2897,3149
