ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C50,2000_2005,2006_2010,5,Cluster0_EQI,0.00,"2.82(-1.68,7.26)","0.01(-9.70,9.60)","0.04(-9.65,9.72)","-0.03(-9.55,9.82)"
"C50","2000_2005","2006_2010",5,"Cluster0_EQI_Air","0.00","2.71(-2.98,8.54)","-0.70(-6.63,5.32)","1.29(-3.97,6.53)","3.17(-2.17,8.35)"
"C50","2000_2005","2006_2010",5,"Cluster0_EQI_Water","0.00","-1.59(-6.91,3.52)","2.31(-2.24,6.96)","2.54(-3.91,9.02)","-0.07(-9.96,9.95)"
"C50","2000_2005","2006_2010",5,"Cluster0_EQI_Land","0.00","0.04(-9.94,9.81)","0.05(-9.64,9.17)","0.08(-9.85,10.11)","-0.06(-9.78,10.00)"
"C50","2000_2005","2006_2010",5,"Cluster0_EQI_Built","0.00","0.99(-5.07,6.77)","-0.10(-5.94,5.91)","3.62(-1.71,8.70)","1.80(-3.07,6.63)"
"C50","2000_2005","2006_2010",5,"Cluster0_EQI_Social","0.00","1.84(-2.85,6.20)","1.28(-2.90,5.61)","0.48(-6.36,7.53)","-0.57(-6.84,5.51)"
"C50","2000_2005","2011_2015",10,"Cluster0_EQI","0.00","0.05(-3.61,3.68)","0.06(-9.64,9.67)","0.03(-9.73,9.99)","0.03(-9.72,9.82)"
"C50","2000_2005","2011_2015",10,"Cluster0_EQI_Air","0.00","1.93(-2.66,6.34)","-0.18(-5.07,4.77)","2.51(-1.97,6.75)","0.69(-3.74,4.96)"
"C50","2000_2005","2011_2015",10,"Cluster0_EQI_Water","0.00","2.19(-2.48,6.69)","2.23(-1.48,6.09)","1.88(-3.82,7.64)","0.02(-9.70,9.85)"
"C50","2000_2005","2011_2015",10,"Cluster0_EQI_Land","0.00","-0.09(-9.91,9.60)","-0.02(-9.67,9.70)","-0.03(-9.84,9.39)","0.07(-9.97,9.87)"
"C50","2000_2005","2011_2015",10,"Cluster0_EQI_Built","0.00","2.86(-2.64,8.01)","1.84(-3.53,6.98)","2.41(-2.12,6.86)","3.58(-1.19,8.03)"
"C50","2000_2005","2011_2015",10,"Cluster0_EQI_Social","0.00","-1.63(-5.48,2.55)","-3.39(-6.90,0.43)","-3.45(-9.76,3.13)","-4.82(-10.47,0.98)"
"C50","2006_2010","2011_2015",5,"Cluster0_EQI","0.00","1.81(-2.28,5.71)","2.45(-0.91,5.90)","3.20(-1.63,7.74)","-2.79(-7.08,1.75)"
"C50","2006_2010","2011_2015",5,"Cluster0_EQI_Air","0.00","-0.55(-4.40,3.48)","1.03(-4.49,6.83)","2.24(-3.13,7.65)","1.18(-4.27,6.36)"
