ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C60_C63,2000_2005,2006_2010,5,Cluster0_EQI,0.00,"0.13(-0.92,1.16)","0.14(-1.01,1.27)","0.36(-2.05,2.66)","0.02(-10.07,10.09)"
"C60_C63","2000_2005","2006_2010",5,"Cluster0_EQI_Air","0.00","-0.30(-1.69,1.04)","-0.28(-1.72,1.11)","0.05(-1.63,1.65)","0.40(-1.87,2.59)"
"C60_C63","2000_2005","2006_2010",5,"Cluster0_EQI_Water","0.00","0.75(-0.92,2.38)","-0.45(-2.14,1.41)","1.29(-0.50,3.14)","0.87(-1.08,2.80)"
"C60_C63","2000_2005","2006_2010",5,"Cluster0_EQI_Land","0.00","0.41(-0.70,1.51)","-0.03(-1.39,1.28)","0.68(-1.17,2.50)","0.59(-1.79,2.97)"
"C60_C63","2000_2005","2006_2010",5,"Cluster0_EQI_Built","0.00","0.31(-0.80,1.41)","0.50(-0.88,1.85)","0.48(-1.17,2.19)","0.17(-2.35,2.77)"
"C60_C63","2000_2005","2006_2010",5,"Cluster0_EQI_Social","0.00","-0.36(-1.46,0.73)","-0.58(-1.96,0.80)","-0.18(-1.90,1.57)","-0.47(-2.73,1.74)"
"C60_C63","2000_2005","2011_2015",10,"Cluster0_EQI","0.00","0.01(-0.95,0.96)","-0.74(-1.77,0.30)","-0.20(-2.29,1.99)","-0.02(-10.17,10.19)"
"C60_C63","2000_2005","2011_2015",10,"Cluster0_EQI_Air","0.00","-0.16(-1.40,1.13)","-0.56(-1.89,0.76)","-0.39(-1.84,1.05)","-0.35(-2.47,1.71)"
"C60_C63","2000_2005","2011_2015",10,"Cluster0_EQI_Water","0.00","0.15(-1.40,1.62)","-1.07(-2.67,0.52)","-0.09(-1.76,1.53)","-0.07(-1.79,1.65)"
"C60_C63","2000_2005","2011_2015",10,"Cluster0_EQI_Land","0.00","-0.26(-1.29,0.79)","0.17(-0.99,1.33)","0.25(-1.43,1.94)","1.30(-0.93,3.59)"
"C60_C63","2000_2005","2011_2015",10,"Cluster0_EQI_Built","0.00","0.53(-0.53,1.57)","0.41(-0.91,1.70)","0.54(-0.95,2.01)","0.36(-2.09,2.81)"
"C60_C63","2000_2005","2011_2015",10,"Cluster0_EQI_Social","0.00","-0.01(-1.05,1.01)","-1.26(-2.49,-0.04)*","-0.31(-1.91,1.29)","-1.81(-3.85,0.19)"
"C60_C63","2006_2010","2011_2015",5,"Cluster0_EQI","0.00","0.56(-0.74,1.83)","0.51(-0.76,1.79)","-0.35(-1.60,0.99)","-0.58(-1.90,0.73)"
"C60_C63","2006_2010","2011_2015",5,"Cluster0_EQI_Air","0.00","0.41(-0.79,1.58)","0.22(-1.05,1.43)","0.15(-1.11,1.41)","-0.09(-1.54,1.34)"
"C60_C63","2006_2010","2011_2015",5,"Cluster0_EQI_Water","0.00","-0.79(-2.11,0.55)","-2.01(-3.38,-0.63)**","-0.59(-1.95,0.77)","-0.21(-1.74,1.36)"
"C60_C63","2006_2010","2011_2015",5,"Cluster0_EQI_Land","0.00","-0.51(-1.62,0.56)","0.52(-0.62,1.69)","0.59(-0.74,1.89)","0.41(-1.07,1.83)"
"C60_C63","2006_2010","2011_2015",5,"Cluster0_EQI_Built","0.00","0.81(-0.84,2.50)","0.73(-0.76,2.33)","-0.38(-1.96,1.12)","-0.74(-2.20,0.77)"
"C60_C63","2006_2010","2011_2015",5,"Cluster0_EQI_Social","0.00","1.15(-0.96,3.26)","1.37(-0.69,3.43)","2.37(0.35,4.42)*","1.28(-0.71,3.33)"
"C60_C63","2006_2010","2016_2020",10,"Cluster0_EQI","0.00","0.55(-0.87,1.90)","-0.70(-2.04,0.61)","-0.88(-2.26,0.43)","-1.30(-2.69,0.09)"
"C60_C63","2006_2010","2016_2020",10,"Cluster0_EQI_Air","0.00","0.66(-0.63,1.94)","0.51(-0.87,1.87)","0.71(-0.78,2.13)","0.02(-1.64,1.65)"
"C60_C63","2006_2010","2016_2020",10,"Cluster0_EQI_Water","0.00","0.92(-0.67,2.53)","-0.04(-1.66,1.72)","0.10(-1.50,1.77)","-0.74(-2.50,1.08)"
"C60_C63","2006_2010","2016_2020",10,"Cluster0_EQI_Land","0.00","-0.43(-1.62,0.76)","-0.67(-1.95,0.63)","-0.90(-2.38,0.54)","-1.09(-2.68,0.45)"
"C60_C63","2006_2010","2016_2020",10,"Cluster0_EQI_Built","0.00","-1.12(-2.94,0.75)","-0.76(-2.51,0.99)","-1.40(-3.16,0.40)","-1.72(-3.36,-0.11)*"
"C60_C63","2006_2010","2016_2020",10,"Cluster0_EQI_Social","0.00","2.37(0.13,4.63)*","2.64(0.44,4.88)*","3.27(1.10,5.44)**","3.79(1.65,5.91)**"
