ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
F01,2000_2005,2006_2010,5,Cluster0_EQI,0.00,"1.45(0.22,2.64)*","5.35(2.26,8.52)***","-0.09(-10.00,9.68)","0.12(-9.67,9.95)",0.0177,0.0002,0.9905,0.9760,0.9994,1.0022,0.9996,0.9995,3834,4376,5257,4697,2711,3275,2711,2764
"F01","2000_2005","2006_2010",5,"Cluster0_EQI_Air","0.00","0.34(-0.62,1.34)","1.45(-0.72,3.64)","1.93(0.18,3.52)*","0.73(-0.72,2.15)","0.4776","0.2132","0.0322","0.3172","0.9998","1.0003","1.0011","0.9999",3370,4214,2833,3196,2783,3061,2665,3122
"F01","2000_2005","2006_2010",5,"Cluster0_EQI_Water","0.00","-0.13(-1.19,0.86)","0.71(-0.21,1.66)","3.22(0.24,6.75)*","-0.00(-9.84,9.64)","0.8150","0.1322","0.0287","0.9960","1.0016","1.0016","1.0003","1.0000",2751,2901,4855,7105,2914,2398,3174,3017
"F01","2000_2005","2006_2010",5,"Cluster0_EQI_Land","0.00","0.00(-9.58,9.72)","0.07(-9.44,9.69)","-0.07(-9.78,9.55)","-0.06(-9.52,9.72)","0.9745","0.9925","0.9885","0.9770","1.0003","1.0033","1.0024","1.0012",7643,8076,5658,7546,2288,3077,2890,2913
"F01","2000_2005","2006_2010",5,"Cluster0_EQI_Built","0.00","1.00(0.01,2.04)*","0.36(-0.78,1.47)","2.00(0.53,3.70)**","0.79(-0.33,1.98)","0.0497","0.5191","0.0057","0.1592","1.0001","1.0002","0.9998","1.0004",3877,3838,3527,2662,2880,3157,2871,2533
"F01","2000_2005","2006_2010",5,"Cluster0_EQI_Social","0.00","-0.09(-0.92,0.72)","1.11(0.04,2.21)*","1.54(-0.22,3.41)","1.08(-0.04,2.31)","0.8170","0.0397","0.0902","0.0597","0.9998","1.0002","1.0003","0.9994",3770,4001,3840,3742,3270,2841,2833,3059
"F01","2000_2005","2011_2015",10,"Cluster0_EQI","0.00","0.81(-0.95,2.54)","4.19(0.11,8.31)*","0.07(-9.70,9.82)","0.01(-9.81,9.91)","0.3457","0.0467","0.9825","0.9920","0.9996","1.0001","1.0010","1.0008",3374,3897,3669,3962,2798,2857,3041,2618
"F01","2000_2005","2011_2015",10,"Cluster0_EQI_Air","0.00","0.55(-0.65,1.77)","0.81(-1.57,3.17)","2.53(0.60,4.55)**","1.61(-0.14,3.31)","0.3602","0.4996","0.0087","0.0682","1.0004","1.0009","1.0022","1.0020",3606,5244,2850,3000,3024,3048,2946,3051
"F01","2000_2005","2011_2015",10,"Cluster0_EQI_Water","0.00","0.22(-1.11,1.55)","2.69(1.41,4.12)***","-0.52(-2.54,1.67)","0.07(-9.55,9.72)","0.7396","0.0002","0.6061","0.9820","1.0020","1.0016","0.9998","1.0004",2541,2194,3560,8201,3047,2529,3079,2900
"F01","2000_2005","2011_2015",10,"Cluster0_EQI_Land","0.00","0.02(-9.48,9.43)","-0.01(-10.06,9.85)","0.03(-9.61,9.42)","-0.04(-9.79,9.90)","0.9870","0.9975","0.9995","0.9810","1.0013","1.0008","1.0023","1.0011",6980,8987,7760,7846,2526,2323,3080,2816
"F01","2000_2005","2011_2015",10,"Cluster0_EQI_Built","0.00","1.48(0.01,2.90)*","1.81(0.18,3.53)*","0.59(-0.95,2.21)","-0.24(-1.67,1.22)","0.0487","0.0297","0.4586","0.7231","1.0005","1.0018","1.0012","1.0014",3606,3788,3664,2193,2677,2994,3043,2823
