ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
G10,2000_2005,2006_2010,5,Cluster0_EQI,0.00,"0.05(0.02,0.09)***","0.54(0.16,0.91)***","0.06(-9.80,10.03)","-0.10(-9.42,9.49)",0.0007,0.0002,0.9830,0.9865,1.0004,1.0005,1.0005,1.0015,4176,2660,4997,4163,3066,3762,2982,2835
"G10","2000_2005","2006_2010",5,"Cluster0_EQI_Air","0.00","-0.01(-0.04,0.02)","0.00(-0.04,0.06)","0.05(0.01,0.10)*","0.06(0.01,0.11)*","0.6281","0.8750","0.0202","0.0132","1.0006","1.0002","1.0015","1.0022",2509,3147,2724,3601,2623,2787,2823,2841
"G10","2000_2005","2006_2010",5,"Cluster0_EQI_Water","0.00","-0.01(-0.04,0.03)","0.00(-0.03,0.04)","0.01(-0.04,0.06)","0.08(-9.55,9.72)","0.7131","0.8605","0.6806","0.9825","1.0001","1.0004","1.0006","1.0001",2729,2528,3128,5869,2891,2614,2961,2750
"G10","2000_2005","2006_2010",5,"Cluster0_EQI_Land","0.00","-0.08(-10.02,9.77)","0.03(-9.87,10.17)","-0.03(-9.97,9.83)","0.03(-9.68,9.80)","0.9850","0.9865","0.9965","0.9825","1.0008","1.0002","1.0003","1.0020",5693,4571,5307,5687,2780,2812,2698,3302
"G10","2000_2005","2006_2010",5,"Cluster0_EQI_Built","0.00","-0.01(-0.04,0.02)","0.02(-0.02,0.06)","-0.00(-0.04,0.04)","0.03(-0.00,0.07)","0.6481","0.4021","0.8810","0.0692","1.0012","1.0012","1.0001","1.0022",2666,2628,3701,2764,2811,2543,3136,2944
"G10","2000_2005","2006_2010",5,"Cluster0_EQI_Social","0.00","0.01(-0.01,0.04)","0.02(-0.01,0.05)","-0.01(-0.06,0.05)","0.02(-0.02,0.06)","0.3317","0.2032","0.7071","0.4306","1.0014","0.9996","0.9995","1.0003",3176,3391,3168,2713,2801,3016,2903,2690
"G10","2000_2005","2011_2015",10,"Cluster0_EQI","0.00","0.08(-0.03,0.21)","0.48(0.04,0.91)*","-0.05(-9.79,9.61)","0.02(-9.52,9.43)","0.1527","0.0272","0.9920","0.9895","1.0000","1.0001","1.0003","1.0004",4747,4750,5671,5849,3042,3732,3020,2711
"G10","2000_2005","2011_2015",10,"Cluster0_EQI_Air","0.00","0.00(-0.09,0.10)","-0.03(-0.18,0.12)","0.10(-0.04,0.26)","0.14(0.00,0.31)*","0.9755","0.6641","0.1732","0.0497","1.0018","1.0030","1.0001","1.0006",3126,3123,2514,2919,3299,2640,2476,2830
"G10","2000_2005","2011_2015",10,"Cluster0_EQI_Water","0.00","0.01(-0.09,0.14)","0.03(-0.07,0.14)","-0.01(-0.18,0.16)","-0.01(-9.56,9.40)","0.8125","0.5551","0.8505","0.9935","1.0011","1.0007","1.0003","1.0041",1835,1790,3336,5000,1901,1949,2820,3135
"G10","2000_2005","2011_2015",10,"Cluster0_EQI_Land","0.00","0.05(-9.63,9.81)","0.02(-9.80,9.78)","-0.05(-9.71,9.80)","0.15(-9.70,10.54)","0.9975","0.9985","0.9935","0.9790","0.9999","1.0000","1.0005","1.0005",4925,5143,5136,4137,3164,3022,2856,2763
