ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
G12.2,2000_2005,2006_2010,5,Cluster0_EQI,0.00,"0.49(-0.26,1.23)","1.14(-0.68,2.87)","-0.06(-9.77,9.64)","-0.06(-10.09,9.58)",0.1907,0.2142,0.9995,0.9900,1.0013,1.0008,1.0006,1.0003,2929,3590,3900,4458,2877,2813,3309,2880
"G12.2","2000_2005","2006_2010",5,"Cluster0_EQI_Air","0.00","0.24(-0.26,0.74)","2.94(1.14,4.98)***","-0.03(-0.63,0.55)","0.50(-0.19,1.22)","0.3237","0.0002","0.9365","0.1607","1.0018","0.9996","1.0019","1.0022",2077,3117,1821,2315,2437,3720,2007,2272
"G12.2","2000_2005","2006_2010",5,"Cluster0_EQI_Water","0.00","0.35(-0.09,0.80)","0.58(0.18,1.02)**","0.06(-0.59,0.69)","-0.01(-9.99,9.52)","0.1132","0.0072","0.8190","0.9825","1.0017","1.0017","1.0003","1.0006",1843,1803,2189,4737,2409,2014,2581,3061
"G12.2","2000_2005","2006_2010",5,"Cluster0_EQI_Land","0.00","0.07(-9.66,9.65)","0.14(-9.36,9.92)","-0.09(-9.96,9.80)","-0.03(-9.93,9.87)","0.9890","0.9905","0.9875","0.9900","1.0002","1.0012","1.0023","1.0001",5419,4619,4496,4787,3099,2963,3011,2894
"G12.2","2000_2005","2006_2010",5,"Cluster0_EQI_Built","0.00","0.44(0.10,0.89)*","0.24(-0.24,0.71)","1.18(0.51,1.97)***","0.03(-0.38,0.42)","0.0122","0.2962","0.0002","0.8855","1.0040","1.0012","1.0011","1.0039",1758,2049,2124,1887,1854,1954,1984,2335
"G12.2","2000_2005","2006_2010",5,"Cluster0_EQI_Social","0.00","0.27(-0.06,0.62)","1.13(0.67,1.63)***","0.69(0.13,1.39)*","1.09(0.49,1.80)***","0.1007","0.0002","0.0172","0.0007","1.0011","1.0026","1.0017","1.0020",2436,2897,2268,1810,2436,2468,2270,1979
"G12.2","2000_2005","2011_2015",10,"Cluster0_EQI","0.00","1.00(0.39,1.59)**","1.34(-0.15,2.80)","-0.07(-10.03,9.77)","-0.00(-9.72,10.00)","0.0032","0.0832","0.9825","0.9935","1.0007","0.9999","1.0023","1.0014",3616,3454,4577,4132,3043,2900,2669,2852
"G12.2","2000_2005","2011_2015",10,"Cluster0_EQI_Air","0.00","0.64(0.04,1.36)*","0.41(-0.41,1.22)","0.35(-0.36,1.12)","0.87(0.03,1.65)*","0.0372","0.3107","0.3317","0.0442","1.0009","0.9998","1.0008","1.0007",1952,2599,2349,2953,2814,2255,2725,2635
"G12.2","2000_2005","2011_2015",10,"Cluster0_EQI_Water","0.00","-0.01(-0.60,0.58)","0.00(-0.54,0.53)","1.03(0.05,2.12)*","-0.09(-9.96,10.01)","0.9950","0.9840","0.0387","0.9895","1.0016","1.0019","1.0007","1.0006",2240,2233,3434,5907,2376,2188,3017,2914
"G12.2","2000_2005","2011_2015",10,"Cluster0_EQI_Land","0.00","0.04(-9.74,10.07)","-0.03(-9.73,9.61)","0.03(-9.73,10.37)","-0.02(-9.91,10.01)","0.9850","0.9810","0.9965","0.9980","1.0005","1.0024","1.0019","1.0031",7208,5593,6335,5829,2911,2850,2887,2378
