ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,Cluster0_EQI,0.00,"4.63(-3.75,13.07)","1.24(-8.36,10.88)","0.05(-9.87,9.89)","-0.04(-10.02,9.77)",0.2937,0.8100,0.9925,0.9980,1.0008,0.9997,1.0018,1.0022,8904,6819,9203,7398,2763,2678,2901,3048
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Cluster0_EQI_Air","0.00","3.24(-5.05,11.40)","3.28(-5.79,12.14)","4.76(-3.80,13.16)","4.18(-4.53,12.88)","0.4121","0.4746","0.2672","0.3572","1.0002","1.0000","1.0001","0.9998",4595,5814,5571,5137,2993,3097,2867,2833
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Cluster0_EQI_Water","0.00","-7.67(-15.93,1.03)","6.58(-1.46,14.12)","3.98(-5.21,13.08)","0.03(-9.50,9.59)","0.0767","0.1162","0.3782","1.0000","1.0014","1.0020","1.0011","0.9997",5076,5365,5956,6110,3181,3228,3211,3029
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Cluster0_EQI_Land","0.00","0.19(-9.29,10.06)","-0.03(-9.90,10.01)","-0.02(-10.18,9.86)","0.09(-9.83,10.06)","0.9685","0.9900","0.9990","0.9860","1.0012","1.0003","1.0014","1.0014",5933,5938,6896,5229,2940,2804,2981,2879
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Cluster0_EQI_Built","0.00","4.89(-3.31,13.10)","2.22(-6.19,10.45)","4.17(-4.41,12.99)","4.20(-3.93,11.86)","0.2427","0.6056","0.3592","0.3142","0.9999","1.0002","1.0014","1.0000",5767,5839,6112,5423,3115,3488,2739,3020
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Cluster0_EQI_Social","0.00","-0.93(-8.93,6.87)","4.58(-3.76,12.52)","1.59(-7.42,10.46)","5.44(-3.01,14.35)","0.8190","0.2752","0.7216","0.2202","1.0006","1.0008","1.0011","1.0027",5197,5718,6545,5370,3077,3311,3013,3139
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Cluster0_EQI","0.00","4.09(-4.75,12.88)","1.47(-8.01,10.91)","0.05(-9.71,9.74)","0.07(-9.96,10.05)","0.3742","0.7831","0.9880","0.9930","1.0003","1.0005","1.0015","1.0033",7097,6033,5099,6477,2546,2634,2505,2609
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Cluster0_EQI_Air","0.00","4.48(-3.72,12.89)","2.97(-6.07,11.85)","7.53(-1.54,16.51)","3.95(-4.68,12.71)","0.2932","0.5186","0.1017","0.3597","1.0041","0.9996","1.0007","1.0007",5300,5514,4076,4597,2642,2984,2718,2831
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Cluster0_EQI_Water","0.00","-7.03(-15.27,1.29)","10.25(1.88,18.13)*","3.54(-6.12,13.12)","0.05(-9.97,9.87)","0.0947","0.0192","0.4621","0.9950","1.0006","1.0000","1.0014","1.0010",5089,4142,4920,5251,3082,2891,2815,2777
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Cluster0_EQI_Land","0.00","0.14(-9.57,9.66)","0.01(-9.45,9.70)","0.04(-10.25,10.30)","0.10(-9.57,9.93)","0.9740","0.9965","0.9995","0.9955","1.0001","1.0018","1.0005","1.0008",5257,5443,4860,5358,2975,2391,2805,3198
