ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C25,2000_2005,2006_2010,5,Cluster0_EQI,0.00,"-0.02(-0.97,0.92)","-0.35(-2.36,1.63)","-0.07(-9.51,9.84)","0.09(-9.57,9.80)"
"C25","2000_2005","2006_2010",5,"Cluster0_EQI_Air","0.00","-0.06(-1.35,1.19)","-0.10(-1.53,1.37)","-0.41(-2.40,1.60)","-0.32(-6.81,6.35)"
"C25","2000_2005","2006_2010",5,"Cluster0_EQI_Water","0.00","-0.54(-2.35,1.19)","-1.77(-3.73,0.17)","-0.93(-2.89,1.01)","-1.53(-3.62,0.57)"
"C25","2000_2005","2006_2010",5,"Cluster0_EQI_Land","0.00","-0.71(-1.88,0.47)","0.56(-0.89,1.97)","0.34(-1.35,2.03)","1.43(-0.77,3.68)"
"C25","2000_2005","2006_2010",5,"Cluster0_EQI_Built","0.00","0.54(-0.53,1.58)","0.14(-1.23,1.51)","1.55(-0.36,3.46)","2.58(-0.41,5.70)"
"C25","2000_2005","2006_2010",5,"Cluster0_EQI_Social","0.00","0.48(-0.58,1.53)","-0.11(-1.59,1.33)","0.15(-2.01,2.30)","4.14(-0.12,8.44)"
"C25","2000_2005","2011_2015",10,"Cluster0_EQI","0.00","-0.06(-0.97,0.81)","-0.46(-2.40,1.48)","0.10(-9.10,9.68)","0.10(-10.10,10.28)"
"C25","2000_2005","2011_2015",10,"Cluster0_EQI_Air","0.00","0.02(-1.19,1.20)","0.62(-0.71,1.96)","-0.64(-2.49,1.24)","-0.69(-7.01,5.77)"
"C25","2000_2005","2011_2015",10,"Cluster0_EQI_Water","0.00","-0.87(-2.34,0.58)","-1.42(-3.05,0.20)","-1.05(-2.70,0.58)","-0.43(-2.23,1.38)"
"C25","2000_2005","2011_2015",10,"Cluster0_EQI_Land","0.00","0.60(-0.53,1.72)","0.91(-0.43,2.31)","0.88(-0.68,2.50)","3.04(0.88,5.19)**"
"C25","2000_2005","2011_2015",10,"Cluster0_EQI_Built","0.00","0.28(-0.76,1.32)","-0.03(-1.39,1.32)","0.13(-1.79,2.08)","0.23(-2.49,2.99)"
"C25","2000_2005","2011_2015",10,"Cluster0_EQI_Social","0.00","-0.14(-1.18,0.88)","-0.21(-1.63,1.27)","-0.86(-2.93,1.16)","-0.62(-4.42,3.43)"
"C25","2006_2010","2011_2015",5,"Cluster0_EQI","0.00","-1.45(-2.71,-0.20)*","-0.63(-1.96,0.70)","-1.69(-3.09,-0.31)*","-0.62(-2.09,0.91)"
"C25","2006_2010","2011_2015",5,"Cluster0_EQI_Air","0.00","0.45(-0.81,1.77)","1.31(-0.04,2.63)","1.32(-0.13,2.81)","1.07(-0.56,2.71)"
"C25","2006_2010","2011_2015",5,"Cluster0_EQI_Water","0.00","-0.60(-2.04,0.80)","-1.16(-2.67,0.32)","-0.55(-2.09,1.06)","-0.14(-1.90,1.55)"
"C25","2006_2010","2011_2015",5,"Cluster0_EQI_Land","0.00","0.58(-0.59,1.81)","1.29(0.06,2.55)*","1.55(0.15,2.97)*","1.06(-0.51,2.69)"
"C25","2006_2010","2011_2015",5,"Cluster0_EQI_Built","0.00","-1.83(-3.37,-0.24)*","-2.77(-4.29,-1.26)***","-2.88(-4.38,-1.33)***","-3.09(-4.54,-1.65)***"
"C25","2006_2010","2011_2015",5,"Cluster0_EQI_Social","0.00","1.15(-2.55,4.96)","1.80(-1.68,5.28)","2.38(-1.08,5.81)","2.13(-1.31,5.51)"
"C25","2006_2010","2016_2020",10,"Cluster0_EQI","0.00","0.18(-1.26,1.62)","0.17(-1.41,1.65)","-0.53(-2.14,1.01)","-1.00(-2.69,0.75)"
"C25","2006_2010","2016_2020",10,"Cluster0_EQI_Air","0.00","0.44(-0.98,1.90)","0.53(-0.98,2.09)","0.18(-1.40,1.75)","-0.34(-2.13,1.44)"
"C25","2006_2010","2016_2020",10,"Cluster0_EQI_Water","0.00","0.52(-1.20,2.16)","-0.68(-2.52,1.12)","-1.09(-2.94,0.77)","-0.24(-2.24,1.74)"
"C25","2006_2010","2016_2020",10,"Cluster0_EQI_Land","0.00","0.38(-0.94,1.78)","0.03(-1.38,1.45)","0.92(-0.72,2.56)","0.49(-1.24,2.26)"
"C25","2006_2010","2016_2020",10,"Cluster0_EQI_Built","0.00","0.46(-1.21,2.16)","0.31(-1.42,2.07)","-0.48(-2.18,1.17)","-0.63(-2.23,0.99)"
"C25","2006_2010","2016_2020",10,"Cluster0_EQI_Social","0.00","2.03(-1.74,5.88)","3.84(0.29,7.54)*","3.01(-0.40,6.53)","3.32(-0.09,6.98)"
"C25","2000_2005","2006_2010",5,"Cluster1_EQI","0.00","-0.06(-1.19,1.17)","-0.54(-1.64,0.66)","-0.03(-1.23,1.30)","0.14(-1.35,1.69)"
"C25","2000_2005","2006_2010",5,"Cluster1_EQI_Air","0.00","2.86(1.33,4.19)**","1.70(0.24,2.82)*","1.83(0.29,2.94)*","2.59(1.10,3.70)**"
"C25","2000_2005","2006_2010",5,"Cluster1_EQI_Water","0.00","-0.64(-1.34,0.08)","0.63(-1.78,3.06)","-0.03(-9.54,9.86)","-0.07(-10.07,9.88)"
"C25","2000_2005","2006_2010",5,"Cluster1_EQI_Land","0.00","1.02(0.22,1.81)*","0.74(-0.10,1.62)","0.48(-0.40,1.32)","-0.49(-1.39,0.42)"
"C25","2000_2005","2006_2010",5,"Cluster1_EQI_Built","0.00","0.40(-0.78,1.55)","0.23(-0.93,1.37)","0.43(-0.70,1.54)","0.19(-1.01,1.31)"
"C25","2000_2005","2006_2010",5,"Cluster1_EQI_Social","0.00","0.05(-0.88,1.03)","-0.45(-1.35,0.45)","-0.16(-1.09,0.79)","0.27(-0.71,1.26)"
"C25","2000_2005","2011_2015",10,"Cluster1_EQI","0.00","0.29(-0.63,1.19)","1.03(0.10,1.91)*","1.23(0.26,2.15)*","1.68(0.56,2.77)**"
"C25","2000_2005","2011_2015",10,"Cluster1_EQI_Air","0.00","2.22(1.07,3.33)***","2.08(1.00,3.12)***","2.35(1.28,3.36)***","2.77(1.67,3.81)***"
"C25","2000_2005","2011_2015",10,"Cluster1_EQI_Water","0.00","-0.65(-1.29,0.00)","1.09(-1.03,3.14)","0.02(-9.67,9.63)","0.05(-10.02,10.00)"
"C25","2000_2005","2011_2015",10,"Cluster1_EQI_Land","0.00","0.35(-0.40,1.04)","-0.06(-0.86,0.70)","0.08(-0.74,0.87)","0.01(-0.88,0.87)"
"C25","2000_2005","2011_2015",10,"Cluster1_EQI_Built","0.00","0.77(-0.32,1.82)","0.69(-0.39,1.74)","0.50(-0.53,1.54)","0.77(-0.31,1.84)"
"C25","2000_2005","2011_2015",10,"Cluster1_EQI_Social","0.00","-0.49(-1.32,0.33)","-0.28(-1.10,0.57)","-0.47(-1.30,0.40)","-0.27(-1.14,0.60)"
"C25","2006_2010","2011_2015",5,"Cluster1_EQI","0.00","1.15(0.37,1.94)**","1.35(0.52,2.14)**","1.32(0.41,2.22)**","0.93(-0.05,1.89)"
"C25","2006_2010","2011_2015",5,"Cluster1_EQI_Air","0.00","0.65(-0.17,1.45)","0.75(-0.10,1.56)","1.07(0.21,1.94)*","1.17(0.25,2.06)*"
"C25","2006_2010","2011_2015",5,"Cluster1_EQI_Water","0.00","-0.38(-0.94,0.19)","1.11(-0.61,2.79)","0.66(-1.31,2.67)","-0.02(-9.81,9.72)"
"C25","2006_2010","2011_2015",5,"Cluster1_EQI_Land","0.00","0.19(-0.50,0.90)","0.44(-0.27,1.14)","0.43(-0.33,1.19)","0.68(-0.11,1.43)"
"C25","2006_2010","2011_2015",5,"Cluster1_EQI_Built","0.00","0.67(-0.17,1.48)","0.49(-0.39,1.35)","0.15(-0.71,1.00)","0.38(-0.57,1.31)"
"C25","2006_2010","2011_2015",5,"Cluster1_EQI_Social","0.00","-0.67(-1.31,-0.03)*","-0.90(-1.59,-0.19)*","-0.53(-1.38,0.33)","-2.86(-3.84,-1.87)***"
"C25","2006_2010","2016_2020",10,"Cluster1_EQI","0.00","0.32(-0.48,1.10)","-0.15(-0.97,0.68)","0.26(-0.64,1.17)","0.09(-0.93,1.10)"
"C25","2006_2010","2016_2020",10,"Cluster1_EQI_Air","0.00","0.39(-0.42,1.21)","0.14(-0.68,0.99)","0.56(-0.31,1.46)","0.70(-0.23,1.66)"
"C25","2006_2010","2016_2020",10,"Cluster1_EQI_Water","0.00","-0.02(-0.61,0.56)","-0.15(-2.05,1.77)","2.06(0.30,3.77)*","0.05(-9.86,9.91)"
"C25","2006_2010","2016_2020",10,"Cluster1_EQI_Land","0.00","0.08(-0.59,0.74)","0.64(0.00,1.27)*","0.84(0.13,1.59)*","0.89(0.18,1.62)*"
"C25","2006_2010","2016_2020",10,"Cluster1_EQI_Built","0.00","0.04(-0.81,0.86)","-0.44(-1.33,0.40)","-0.48(-1.32,0.33)","-0.64(-1.55,0.23)"
"C25","2006_2010","2016_2020",10,"Cluster1_EQI_Social","0.00","-0.46(-1.06,0.13)","-0.13(-0.82,0.53)","-0.81(-1.62,-0.02)*","-1.01(-2.08,0.05)"
"C25","2000_2005","2006_2010",5,"Cluster2_EQI","0.00","-0.08(-10.26,9.75)","1.30(-3.67,6.24)","1.65(-3.32,6.62)","2.29(-2.62,7.18)"
"C25","2000_2005","2006_2010",5,"Cluster2_EQI_Air","0.00","1.27(0.48,2.04)**","1.86(1.10,2.61)***","1.99(1.27,2.70)***","2.34(1.62,3.03)***"
"C25","2000_2005","2006_2010",5,"Cluster2_EQI_Water","0.00","0.96(-3.35,5.43)","0.52(-3.79,4.96)","0.70(-3.59,5.15)","0.76(-3.55,5.27)"
"C25","2000_2005","2006_2010",5,"Cluster2_EQI_Land","0.00","0.37(-0.21,0.93)","0.44(-0.13,1.01)","0.47(-0.13,1.05)","0.21(-0.40,0.79)"
