ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C81_C96,2000_2005,2006_2010,5,Cluster0_EQI,0.00,"3.50(-1.15,8.27)","0.00(-9.66,9.45)","-0.03(-9.62,9.37)","-0.06(-10.11,9.87)"
"C81_C96","2000_2005","2006_2010",5,"Cluster0_EQI_Air","0.00","1.84(-2.64,6.39)","3.43(-2.85,9.14)","3.13(-1.91,8.10)","2.14(-2.87,6.92)"
"C81_C96","2000_2005","2006_2010",5,"Cluster0_EQI_Water","0.00","1.24(-3.70,6.24)","2.07(-2.18,5.89)","3.06(-3.41,9.69)","0.09(-9.96,10.05)"
"C81_C96","2000_2005","2006_2010",5,"Cluster0_EQI_Land","0.00","0.05(-9.77,9.93)","-0.01(-9.78,9.60)","-0.09(-9.46,9.55)","-0.05(-9.85,9.85)"
"C81_C96","2000_2005","2006_2010",5,"Cluster0_EQI_Built","0.00","3.69(-1.64,8.89)","0.97(-4.54,6.58)","5.01(0.19,9.57)*","5.38(0.52,9.88)*"
"C81_C96","2000_2005","2006_2010",5,"Cluster0_EQI_Social","0.00","-2.99(-6.99,1.13)","-0.82(-4.62,3.09)","-0.24(-7.12,6.86)","-3.53(-9.75,2.87)"
"C81_C96","2000_2005","2011_2015",10,"Cluster0_EQI","0.00","2.18(-2.21,6.36)","0.06(-9.64,9.36)","-0.03(-10.16,9.82)","-0.02(-9.53,9.71)"
"C81_C96","2000_2005","2011_2015",10,"Cluster0_EQI_Air","0.00","3.94(-0.66,8.29)","3.78(-1.90,9.41)","5.09(0.03,9.93)*","3.12(-1.59,7.70)"
"C81_C96","2000_2005","2011_2015",10,"Cluster0_EQI_Water","0.00","1.36(-3.53,5.99)","2.53(-1.20,6.39)","2.46(-3.43,8.42)","-0.14(-10.25,10.03)"
"C81_C96","2000_2005","2011_2015",10,"Cluster0_EQI_Land","0.00","-0.01(-9.31,9.55)","0.00(-9.43,9.88)","0.02(-9.71,10.16)","-0.05(-10.14,9.94)"
"C81_C96","2000_2005","2011_2015",10,"Cluster0_EQI_Built","0.00","3.12(-1.67,7.96)","1.44(-4.34,6.95)","4.46(0.01,8.54)*","3.70(-1.13,8.36)"
"C81_C96","2000_2005","2011_2015",10,"Cluster0_EQI_Social","0.00","-2.11(-6.03,2.02)","-2.18(-5.85,1.65)","-0.79(-7.19,5.87)","-5.14(-11.12,1.04)"
