ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C25,2000_2005,2006_2010,5,Cluster0_EQI,0.0,"0.75(-0.36,1.85)","0.58(-0.64,1.78)","1.00(-1.30,3.29)","-0.03(-9.76,9.41)"
C25,2000_2005,2006_2010,5,Cluster0_EQI_Air,0.0,"0.15(-1.24,1.66)","0.08(-1.41,1.56)","-0.09(-1.68,1.53)","0.65(-1.62,2.90)"
C25,2000_2005,2006_2010,5,Cluster0_EQI_Built,0.0,"0.79(-0.33,1.89)","0.63(-0.73,1.97)","1.18(-0.49,2.84)","0.61(-2.12,3.32)"
C25,2000_2005,2006_2010,5,Cluster0_EQI_Land,0.0,"-0.73(-1.83,0.38)","0.55(-0.81,1.93)","0.94(-0.98,2.84)","0.49(-2.11,3.12)"
C25,2000_2005,2006_2010,5,Cluster0_EQI_Social,0.0,"0.34(-0.70,1.41)","0.44(-0.94,1.83)","0.39(-1.40,2.15)","1.59(-0.67,3.83)"
C25,2000_2005,2006_2010,5,Cluster0_EQI_Water,0.0,"0.67(-1.33,2.61)","-0.17(-2.28,1.88)","-0.24(-2.30,1.86)","0.36(-1.90,2.57)"
C25,2000_2005,2006_2010,5,Cluster1_EQI,0.0,"0.33(-0.65,1.32)","0.32(-0.58,1.25)","0.72(-0.21,1.65)","1.16(-0.06,2.31)"
C25,2000_2005,2006_2010,5,Cluster1_EQI_Air,0.0,"0.93(-0.51,2.20)","0.10(-1.20,1.31)","-0.01(-1.34,1.21)","0.57(-0.76,1.75)"
C25,2000_2005,2006_2010,5,Cluster1_EQI_Built,0.0,"0.87(-0.25,2.01)","1.02(-0.10,2.19)","1.45(0.35,2.57)**","1.25(0.10,2.45)*"
C25,2000_2005,2006_2010,5,Cluster1_EQI_Land,0.0,"1.03(0.03,2.01)*","0.76(-0.24,1.76)","0.52(-0.43,1.46)","-0.29(-1.31,0.74)"
C25,2000_2005,2006_2010,5,Cluster1_EQI_Social,0.0,"0.69(-0.37,1.74)","-0.72(-1.74,0.31)","-0.34(-1.38,0.73)","0.54(-0.65,1.76)"
C25,2000_2005,2006_2010,5,Cluster1_EQI_Water,0.0,"-0.63(-1.32,0.06)","-0.42(-4.61,3.70)","-0.01(-9.92,9.33)","-0.06(-10.20,9.80)"
C25,2000_2005,2006_2010,5,Cluster2_EQI,0.0,"-0.42(-1.62,0.76)","0.58(-0.65,1.75)","1.18(0.03,2.31)*","1.78(0.61,2.94)**"
C25,2000_2005,2006_2010,5,Cluster2_EQI_Air,0.0,"2.16(1.46,2.84)***","2.52(1.86,3.19)***","2.65(2.00,3.27)***","2.94(2.28,3.56)***"
C25,2000_2005,2006_2010,5,Cluster2_EQI_Built,0.0,"0.17(-0.66,0.99)","-0.06(-0.85,0.72)","0.42(-0.36,1.18)","0.55(-0.25,1.32)"
C25,2000_2005,2006_2010,5,Cluster2_EQI_Land,0.0,"-0.00(-0.75,0.75)","0.22(-0.51,0.95)","0.03(-0.73,0.77)","0.05(-0.72,0.80)"
C25,2000_2005,2006_2010,5,Cluster2_EQI_Social,0.0,"-0.74(-1.62,0.12)","-0.88(-1.76,-0.03)*","-0.43(-1.33,0.43)","-0.41(-1.35,0.51)"
C25,2000_2005,2006_2010,5,Cluster2_EQI_Water,0.0,"1.12(-3.28,5.54)","0.71(-3.72,5.09)","1.25(-3.15,5.66)","0.82(-3.59,5.20)"
C25,2000_2005,2011_2015,10,Cluster0_EQI,0.0,"0.26(-0.73,1.29)","0.19(-0.87,1.27)","0.49(-1.65,2.69)","0.05(-9.83,9.83)"
C25,2000_2005,2011_2015,10,Cluster0_EQI_Air,0.0,"0.20(-1.14,1.53)","0.93(-0.42,2.31)","0.83(-0.72,2.32)","1.13(-1.01,3.21)"
C25,2000_2005,2011_2015,10,Cluster0_EQI_Built,0.0,"0.10(-1.01,1.24)","-0.26(-1.64,1.13)","0.50(-1.17,2.13)","-0.28(-2.84,2.21)"
C25,2000_2005,2011_2015,10,Cluster0_EQI_Land,0.0,"0.13(-0.98,1.21)","0.47(-0.78,1.74)","0.72(-1.08,2.53)","0.50(-1.86,2.89)"
C25,2000_2005,2011_2015,10,Cluster0_EQI_Social,0.0,"-0.12(-1.20,0.98)","-0.87(-2.21,0.43)","-0.49(-2.20,1.22)","-0.87(-3.01,1.20)"
C25,2000_2005,2011_2015,10,Cluster0_EQI_Water,0.0,"0.48(-1.12,2.05)","0.08(-1.65,1.75)","0.26(-1.45,1.92)","0.38(-1.48,2.28)"
C25,2000_2005,2011_2015,10,Cluster1_EQI,0.0,"-0.75(-1.77,0.32)","-0.02(-1.04,0.96)","-0.22(-1.23,0.85)","0.11(-1.21,1.48)"
C25,2000_2005,2011_2015,10,Cluster1_EQI_Air,0.0,"-0.71(-2.27,0.94)","-0.60(-2.05,0.98)","-0.23(-1.73,1.36)","0.11(-1.47,1.82)"
C25,2000_2005,2011_2015,10,Cluster1_EQI_Built,0.0,"-0.11(-1.42,1.19)","-0.44(-1.66,0.80)","-0.83(-2.01,0.35)","-0.26(-1.56,1.05)"
C25,2000_2005,2011_2015,10,Cluster1_EQI_Land,0.0,"0.55(-0.44,1.57)","-0.19(-1.27,0.90)","-0.09(-1.18,1.03)","0.72(-0.48,2.02)"
C25,2000_2005,2011_2015,10,Cluster1_EQI_Social,0.0,"-0.01(-1.07,1.07)","-0.06(-1.14,1.04)","-0.26(-1.41,0.89)","-0.35(-1.59,0.87)"
C25,2000_2005,2011_2015,10,Cluster1_EQI_Water,0.0,"-0.56(-1.50,0.46)","-0.40(-4.56,3.70)","-0.02(-10.27,10.22)","-0.11(-9.79,9.45)"
C25,2000_2005,2011_2015,10,Cluster2_EQI,0.0,"1.64(0.52,2.71)**","1.86(0.74,2.92)***","2.33(1.29,3.35)***","2.81(1.77,3.81)***"
C25,2000_2005,2011_2015,10,Cluster2_EQI_Air,0.0,"1.82(1.14,2.51)***","2.27(1.57,2.95)***","2.01(1.35,2.66)***","2.44(1.77,3.10)***"
C25,2000_2005,2011_2015,10,Cluster2_EQI_Built,0.0,"0.10(-0.72,0.93)","0.50(-0.31,1.31)","0.58(-0.20,1.37)","0.65(-0.16,1.41)"
C25,2000_2005,2011_2015,10,Cluster2_EQI_Land,0.0,"0.48(-0.20,1.15)","0.38(-0.27,1.04)","0.39(-0.32,1.09)","0.70(-0.02,1.42)"
C25,2000_2005,2011_2015,10,Cluster2_EQI_Social,0.0,"-0.81(-1.67,0.07)","-0.76(-1.59,0.09)","-1.24(-2.07,-0.39)**","-0.89(-1.78,0.03)"
C25,2000_2005,2011_2015,10,Cluster2_EQI_Water,0.0,"0.60(-3.67,4.99)","0.88(-3.42,5.23)","1.15(-3.18,5.54)","1.23(-3.04,5.62)"
C25,2006_2010,2011_2015,5,Cluster0_EQI,0.0,"-1.17(-2.52,0.20)","-0.02(-1.39,1.33)","-0.90(-2.29,0.44)","-0.15(-1.63,1.29)"
C25,2006_2010,2011_2015,5,Cluster0_EQI_Air,0.0,"-0.10(-1.36,1.17)","1.20(-0.15,2.59)","0.69(-0.68,2.11)","0.87(-0.72,2.48)"
C25,2006_2010,2011_2015,5,Cluster0_EQI_Built,0.0,"-1.02(-2.91,0.87)","-2.43(-4.19,-0.71)**","-2.19(-3.99,-0.48)*","-2.51(-4.16,-0.82)**"
C25,2006_2010,2011_2015,5,Cluster0_EQI_Land,0.0,"0.76(-0.38,1.91)","1.17(-0.06,2.45)","1.29(-0.17,2.69)","0.65(-0.97,2.22)"
C25,2006_2010,2011_2015,5,Cluster0_EQI_Social,0.0,"0.88(-1.41,3.14)","1.15(-1.03,3.33)","1.71(-0.44,3.89)","0.93(-1.13,3.12)"
C25,2006_2010,2011_2015,5,Cluster0_EQI_Water,0.0,"-0.73(-2.13,0.65)","-0.98(-2.48,0.49)","-0.18(-1.64,1.30)","-0.29(-1.93,1.37)"
C25,2006_2010,2011_2015,5,Cluster1_EQI,0.0,"-0.42(-1.43,0.61)","-0.22(-1.29,0.85)","-0.17(-1.29,1.00)","-0.37(-1.64,0.93)"
C25,2006_2010,2011_2015,5,Cluster1_EQI_Air,0.0,"0.26(-0.89,1.35)","0.36(-0.74,1.47)","0.55(-0.65,1.73)","0.46(-0.77,1.66)"
C25,2006_2010,2011_2015,5,Cluster1_EQI_Built,0.0,"-1.01(-2.08,0.08)","-1.11(-2.31,0.06)","-1.41(-2.52,-0.32)*","-1.15(-2.41,0.11)"
C25,2006_2010,2011_2015,5,Cluster1_EQI_Land,0.0,"-0.39(-1.42,0.62)","0.19(-0.82,1.22)","0.01(-1.04,1.05)","-0.08(-1.12,1.02)"
C25,2006_2010,2011_2015,5,Cluster1_EQI_Social,0.0,"-0.43(-1.35,0.50)","-0.38(-1.39,0.66)","-0.37(-1.52,0.75)","-1.48(-2.70,-0.21)*"
C25,2006_2010,2011_2015,5,Cluster1_EQI_Water,0.0,"0.06(-0.75,0.86)","0.39(-2.23,3.04)","1.07(-1.48,3.72)","0.05(-9.99,9.78)"
C25,2006_2010,2011_2015,5,Cluster2_EQI,0.0,"1.65(1.01,2.28)***","1.71(1.09,2.33)***","1.59(0.96,2.21)***","1.87(1.25,2.48)***"
