ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C30_C39,2000_2005,2006_2010,5,Cluster0_EQI,0.0,"4.30(1.82,6.75)***","3.93(1.31,6.64)**","3.75(-0.91,8.21)","-0.20(-10.06,9.79)"
C30_C39,2000_2005,2006_2010,5,Cluster0_EQI_Air,0.0,"3.08(0.05,6.17)*","6.30(3.04,9.60)***","5.91(2.35,9.46)**","3.88(-0.75,8.40)"
C30_C39,2000_2005,2006_2010,5,Cluster0_EQI_Built,0.0,"0.20(-2.17,2.66)","1.49(-1.50,4.47)","1.34(-2.04,4.71)","2.76(-2.44,8.06)"
C30_C39,2000_2005,2006_2010,5,Cluster0_EQI_Land,0.0,"-1.72(-4.24,0.72)","-4.26(-7.38,-1.39)**","-2.26(-6.74,2.29)","-2.70(-7.92,2.72)"
C30_C39,2000_2005,2006_2010,5,Cluster0_EQI_Social,0.0,"0.33(-2.09,2.75)","2.08(-0.85,5.13)","2.33(-1.50,6.22)","0.48(-4.15,5.00)"
C30_C39,2000_2005,2006_2010,5,Cluster0_EQI_Water,0.0,"-0.48(-4.24,3.43)","1.66(-2.31,5.83)","0.19(-3.94,4.26)","-1.43(-5.73,3.10)"
C30_C39,2000_2005,2006_2010,5,Cluster1_EQI,0.0,"1.08(-1.11,3.26)","1.59(-0.55,3.73)","2.58(0.22,4.84)*","5.61(2.87,8.41)***"
C30_C39,2000_2005,2006_2010,5,Cluster1_EQI_Air,0.0,"4.22(1.45,6.96)**","4.08(1.32,6.79)**","7.25(4.58,9.99)***","7.92(4.99,10.94)***"
C30_C39,2000_2005,2006_2010,5,Cluster1_EQI_Built,0.0,"0.82(-1.68,3.29)","-1.83(-4.31,0.63)","-0.78(-3.23,1.70)","-1.50(-4.10,1.10)"
C30_C39,2000_2005,2006_2010,5,Cluster1_EQI_Land,0.0,"0.20(-1.93,2.33)","0.78(-1.50,3.03)","0.14(-2.23,2.54)","0.70(-2.09,3.44)"
C30_C39,2000_2005,2006_2010,5,Cluster1_EQI_Social,0.0,"0.23(-2.07,2.43)","-2.62(-4.96,-0.31)*","-1.88(-4.31,0.53)","-0.97(-3.69,1.68)"
C30_C39,2000_2005,2006_2010,5,Cluster1_EQI_Water,0.0,"-1.54(-3.75,0.61)","2.05(-5.13,9.10)","0.01(-9.77,9.83)","-0.02(-10.02,10.17)"
C30_C39,2000_2005,2006_2010,5,Cluster2_EQI,0.0,"-0.50(-3.65,2.68)","-1.55(-4.57,1.51)","-0.85(-3.73,2.10)","0.80(-2.16,3.78)"
C30_C39,2000_2005,2006_2010,5,Cluster2_EQI_Air,0.0,"1.70(-0.03,3.45)","3.69(1.96,5.41)***","5.36(3.58,7.16)***","7.65(5.81,9.49)***"
C30_C39,2000_2005,2006_2010,5,Cluster2_EQI_Built,0.0,"0.86(-1.14,2.87)","0.24(-1.61,2.11)","0.12(-1.84,2.04)","-0.09(-2.04,1.85)"
C30_C39,2000_2005,2006_2010,5,Cluster2_EQI_Land,0.0,"-0.50(-2.32,1.19)","0.66(-1.16,2.39)","-1.48(-3.41,0.32)","-2.24(-4.21,-0.39)*"
C30_C39,2000_2005,2006_2010,5,Cluster2_EQI_Social,0.0,"-4.43(-6.43,-2.38)***","-5.39(-7.36,-3.36)***","-5.01(-7.04,-3.00)***","-4.42(-6.58,-2.25)***"
C30_C39,2000_2005,2006_2010,5,Cluster2_EQI_Water,0.0,"1.75(-3.02,6.51)","1.60(-3.08,6.23)","1.38(-3.27,6.07)","1.52(-3.13,6.08)"
C30_C39,2000_2005,2011_2015,10,Cluster0_EQI,0.0,"3.91(1.64,6.13)***","3.35(0.80,5.84)**","4.38(-0.19,8.94)","-0.05(-10.15,9.90)"
C30_C39,2000_2005,2011_2015,10,Cluster0_EQI_Air,0.0,"3.70(0.79,6.65)*","6.20(3.21,9.17)***","5.53(2.17,8.83)**","2.52(-1.71,6.99)"
C30_C39,2000_2005,2011_2015,10,Cluster0_EQI_Built,0.0,"1.39(-0.86,3.64)","2.65(-0.12,5.45)","1.29(-2.02,4.48)","3.25(-1.58,8.21)"
C30_C39,2000_2005,2011_2015,10,Cluster0_EQI_Land,0.0,"-2.07(-4.29,0.22)","-3.59(-6.23,-0.90)**","-0.03(-4.16,4.27)","1.83(-3.01,6.76)"
C30_C39,2000_2005,2011_2015,10,Cluster0_EQI_Social,0.0,"0.61(-1.66,2.80)","2.50(-0.37,5.24)","2.27(-1.19,5.68)","2.28(-1.83,6.57)"
C30_C39,2000_2005,2011_2015,10,Cluster0_EQI_Water,0.0,"1.21(-2.71,5.11)","1.21(-2.85,5.23)","0.76(-3.37,4.80)","0.26(-4.18,4.84)"
C30_C39,2000_2005,2011_2015,10,Cluster1_EQI,0.0,"1.67(-0.33,3.59)","1.78(-0.20,3.66)","1.75(-0.33,3.81)","3.52(0.91,6.12)**"
C30_C39,2000_2005,2011_2015,10,Cluster1_EQI_Air,0.0,"3.15(0.56,5.73)*","3.79(1.23,6.36)**","4.68(2.12,7.23)***","5.37(2.60,8.13)***"
C30_C39,2000_2005,2011_2015,10,Cluster1_EQI_Built,0.0,"1.75(-0.52,4.04)","2.00(-0.28,4.31)","2.40(0.21,4.70)*","1.25(-1.10,3.74)"
C30_C39,2000_2005,2011_2015,10,Cluster1_EQI_Land,0.0,"1.44(-0.63,3.44)","1.27(-0.99,3.50)","1.22(-1.05,3.49)","0.63(-1.98,3.09)"
C30_C39,2000_2005,2011_2015,10,Cluster1_EQI_Social,0.0,"0.80(-1.22,2.85)","-2.91(-5.05,-0.81)**","-2.48(-4.64,-0.25)*","-1.45(-3.74,0.83)"
C30_C39,2000_2005,2011_2015,10,Cluster1_EQI_Water,0.0,"-1.43(-3.30,0.47)","1.34(-5.28,8.11)","-0.06(-9.80,9.63)","-0.03(-9.90,9.91)"
C30_C39,2000_2005,2011_2015,10,Cluster2_EQI,0.0,"2.69(0.09,5.42)*","-0.38(-2.95,2.26)","1.19(-1.31,3.76)","1.12(-1.33,3.69)"
