"ICD_Code","Model","Lag","MRD_Q_Improved","MRD_Q_Worsened","Intercept_Baseline_Change","Control_delta_Smoking_Rate","N_Counties","Rhat_max"
"C61","EQI",5,"0.26(-0.29,0.81)","0.43(-0.17,1.06)","-1.46(-2.03,-0.88)***","-0.15(-0.35,0.05)",3137,1.0025
"C61","Air",5,"-0.18(-0.70,0.34)","-0.04(-0.70,0.59)","-1.16(-1.73,-0.60)***","-0.15(-0.35,0.06)",3137,1.0015
"C61","Water",5,"-0.61(-1.41,0.21)","0.27(-0.48,0.99)","-1.20(-1.69,-0.71)***","-0.14(-0.34,0.07)",3137,1.002
"C61","Land",5,"-0.46(-1.03,0.10)","0.13(-0.46,0.73)","-1.07(-1.69,-0.44)**","-0.14(-0.35,0.07)",3137,1.0018
"C61","Built",5,"0.03(-0.64,0.70)","0.10(-0.61,0.79)","-1.29(-2.00,-0.56)***","-0.14(-0.35,0.06)",3137,1.001
"C61","Social",5,"-0.24(-1.12,0.57)","0.07(-0.89,0.92)","-1.16(-2.01,-0.26)*","-0.18(-0.39,0.03)",3137,1.0018
"C61","Air_Multi",5,"-0.13(-0.66,0.41)","-0.07(-0.72,0.61)","-0.99(-2.12,0.09)","-0.17(-0.39,0.05)",3137,1.0049
"C61","Water_Multi",5,"-0.61(-1.44,0.20)","0.23(-0.53,1.04)","-0.99(-2.12,0.09)","-0.17(-0.39,0.05)",3137,1.0049
"C61","Land_Multi",5,"-0.41(-1.02,0.17)","0.17(-0.45,0.81)","-0.99(-2.12,0.09)","-0.17(-0.39,0.05)",3137,1.0049
"C61","Built_Multi",5,"0.14(-0.54,0.81)","0.09(-0.63,0.81)","-0.99(-2.12,0.09)","-0.17(-0.39,0.05)",3137,1.0049
"C61","Social_Multi",5,"-0.21(-1.07,0.60)","-0.01(-1.00,0.91)","-0.99(-2.12,0.09)","-0.17(-0.39,0.05)",3137,1.0049
"C61","RUCC1_EQI",5,"-0.16(-0.60,0.28)","-0.26(-0.87,0.35)","-1.12(-1.62,-0.64)***","-0.00(-0.19,0.15)",1166,1.0025
"C61","RUCC1_Air",5,"0.02(-0.40,0.44)","-0.81(-1.66,0.01)","-1.24(-1.79,-0.72)***","-0.03(-0.23,0.15)",1166,1.0047
"C61","RUCC1_Water",5,"-0.24(-0.99,0.51)","-0.04(-0.68,0.60)","-1.21(-1.62,-0.85)***","-0.00(-0.17,0.15)",1166,1.0029
"C61","RUCC1_Land",5,"-0.36(-0.85,0.13)","0.03(-0.54,0.62)","-1.05(-1.60,-0.55)***","-0.00(-0.17,0.15)",1166,1.0007
"C61","RUCC1_Built",5,"-0.00(-0.59,0.60)","0.16(-0.52,0.81)","-1.29(-1.93,-0.63)***","-0.00(-0.16,0.15)",1166,1.0037
"C61","RUCC1_Social",5,"0.13(-0.68,0.89)","-0.75(-1.76,0.23)","-1.25(-2.03,-0.45)**","0.01(-0.17,0.18)",1166,1.0013
"C61","RUCC1_Air_Multi",5,"-0.03(-0.47,0.42)","-0.74(-1.54,0.11)","-1.20(-2.25,-0.12)*","-0.02(-0.21,0.17)",1166,1.0021
"C61","RUCC1_Water_Multi",5,"-0.24(-1.00,0.51)","-0.04(-0.68,0.61)","-1.20(-2.25,-0.12)*","-0.02(-0.21,0.17)",1166,1.0021
"C61","RUCC1_Land_Multi",5,"-0.39(-0.88,0.08)","0.10(-0.48,0.67)","-1.20(-2.25,-0.12)*","-0.02(-0.21,0.17)",1166,1.0021
"C61","RUCC1_Built_Multi",5,"0.01(-0.59,0.58)","0.24(-0.44,0.89)","-1.20(-2.25,-0.12)*","-0.02(-0.21,0.17)",1166,1.0021
"C61","RUCC1_Social_Multi",5,"0.23(-0.62,1.04)","-0.68(-1.75,0.37)","-1.20(-2.25,-0.12)*","-0.02(-0.21,0.17)",1166,1.0021
"C61","RUCC2_EQI",5,"0.79(-0.40,1.99)","-0.34(-1.89,1.30)","-1.03(-2.36,0.44)","-0.16(-0.74,0.51)",306,1.0057
"C61","RUCC2_Air",5,"1.71(0.58,2.64)**","0.38(-0.86,1.54)","-1.28(-2.24,-0.05)*","-0.06(-0.53,0.49)",306,1.0006
"C61","RUCC2_Water",5,"-0.32(-2.95,2.19)","-0.50(-1.75,0.83)","-0.25(-1.49,0.96)","0.02(-0.51,0.63)",306,1.0025
"C61","RUCC2_Land",5,"0.64(-0.84,2.07)","0.22(-1.28,1.73)","-0.61(-2.00,0.89)","0.10(-0.45,0.67)",306,1.0021
"C61","RUCC2_Built",5,"0.09(-1.17,1.42)","-0.15(-2.13,1.84)","-0.43(-1.91,1.01)","0.02(-0.52,0.61)",306,1.0016
"C61","RUCC2_Social",5,"0.37(-1.16,1.73)","0.04(-1.83,1.71)","-0.57(-2.11,1.16)","0.06(-0.51,0.64)",306,1.0179
"C61","RUCC2_Air_Multi",5,"1.61(0.34,2.60)*","0.44(-0.87,1.78)","-1.03(-2.73,0.93)","-0.10(-0.54,0.47)",306,1.075
"C61","RUCC2_Water_Multi",5,"-0.10(-3.25,2.90)","-0.40(-2.12,0.83)","-1.03(-2.73,0.93)","-0.10(-0.54,0.47)",306,1.075
"C61","RUCC2_Land_Multi",5,"-0.17(-1.42,1.35)","-0.03(-1.15,1.29)","-1.03(-2.73,0.93)","-0.10(-0.54,0.47)",306,1.075
