"ICD_Code","Model","Lag","MRD_Q_Improved","MRD_Q_Worsened","Intercept_Baseline_Change","Control_delta_Smoking_Rate","N_Counties","Rhat_max"
"C76_C80","EQI",5,"-0.59(-1.20,0.03)","-0.05(-0.75,0.64)","-0.08(-0.78,0.62)","0.05(-0.18,0.29)",3137,1.0009
"C76_C80","Air",5,"-0.41(-1.00,0.19)","1.07(0.32,1.78)**","-0.40(-1.11,0.25)","0.01(-0.22,0.24)",3137,1.001
"C76_C80","Water",5,"0.93(0.02,1.85)*","0.44(-0.40,1.27)","-0.47(-1.02,0.13)","0.07(-0.15,0.29)",3137,1.0019
"C76_C80","Land",5,"-0.48(-1.14,0.17)","-0.89(-1.57,-0.22)**","0.14(-0.57,0.83)","0.07(-0.16,0.29)",3137,1.0015
"C76_C80","Built",5,"-0.53(-1.26,0.22)","-0.22(-0.97,0.54)","0.02(-0.81,0.80)","0.07(-0.16,0.30)",3137,1.0018
"C76_C80","Social",5,"-0.63(-1.50,0.25)","0.36(-0.55,1.27)","-0.15(-1.09,0.76)","-0.02(-0.25,0.21)",3137,1.0009
"C76_C80","Air_Multi",5,"-0.25(-0.85,0.33)","0.97(0.22,1.67)*","0.27(-0.95,1.52)","0.00(-0.23,0.24)",3137,1.0023
"C76_C80","Water_Multi",5,"0.97(0.03,1.90)*","0.39(-0.39,1.18)","0.27(-0.95,1.52)","0.00(-0.23,0.24)",3137,1.0023
"C76_C80","Land_Multi",5,"-0.40(-1.01,0.21)","-0.93(-1.59,-0.28)**","0.27(-0.95,1.52)","0.00(-0.23,0.24)",3137,1.0023
"C76_C80","Built_Multi",5,"-0.38(-1.11,0.38)","-0.36(-1.11,0.39)","0.27(-0.95,1.52)","0.00(-0.23,0.24)",3137,1.0023
"C76_C80","Social_Multi",5,"-0.31(-1.22,0.60)","0.28(-0.69,1.24)","0.27(-0.95,1.52)","0.00(-0.23,0.24)",3137,1.0023
"C76_C80","RUCC1_EQI",5,"-0.15(-0.57,0.29)","0.03(-0.54,0.60)","-1.05(-1.58,-0.53)***","-0.07(-0.24,0.10)",1166,1.0009
"C76_C80","RUCC1_Air",5,"0.08(-0.36,0.52)","-0.29(-1.02,0.45)","-1.15(-1.68,-0.62)***","-0.07(-0.24,0.09)",1166,1.0027
"C76_C80","RUCC1_Water",5,"0.42(-0.35,1.18)","-0.00(-0.55,0.57)","-1.17(-1.60,-0.75)***","-0.08(-0.25,0.09)",1166,1.0019
"C76_C80","RUCC1_Land",5,"-0.26(-0.71,0.20)","0.09(-0.48,0.63)","-1.03(-1.54,-0.50)***","-0.08(-0.24,0.08)",1166,1.0017
