"Model","ICD_Code","Lag","MRD_Q_Improved","MRD_Q_Worsened","Intercept_Baseline_Change","Control_delta_Smoking_Rate","N_Counties","Rhat_max"
"Overall_EQI","C00_C97",5,"-0.19(-1.80,1.59)","1.43(-0.08,3.20)","-12.56(-14.23,-11.23)***","-0.07(-0.43,0.30)",3137,1.0265
"Air","C00_C97",5,"-1.15(-2.45,0.32)","0.65(-1.59,3.06)","-11.85(-13.85,-10.21)***","-0.03(-0.79,0.53)",3137,1.0484
"Water","C00_C97",5,"-1.14(-3.43,1.18)","1.46(-1.10,3.66)","-12.32(-13.58,-11.19)***","-0.02(-0.59,0.62)",3137,1.065
"Land","C00_C97",5,"-2.15(-3.62,-0.43)***","-0.51(-1.96,1.25)","-11.40(-12.80,-10.06)***","-0.16(-0.63,0.28)",3137,1.0209
"Built","C00_C97",5,"-1.66(-3.91,0.39)","0.06(-2.00,1.92)","-11.39(-13.24,-9.47)***","0.00(-0.46,0.41)",3137,1.0474
"Social","C00_C97",5,"-2.25(-5.09,0.15)","2.39(-1.11,5.40)","-11.85(-14.22,-9.39)***","-0.51(-1.07,-0.00)",3137,1.0371
"Air_Multi","C00_C97",5,"-0.53(-1.71,0.88)","-0.74(-2.73,1.76)","-10.39(-13.73,-7.46)***","-0.42(-0.93,0.01)",3137,1.4484
"Water_Multi","C00_C97",5,"-1.28(-2.99,0.65)","1.17(-0.82,3.29)","-10.39(-13.73,-7.46)***","-0.42(-0.93,0.01)",3137,1.4484
"Land_Multi","C00_C97",5,"-1.69(-3.38,0.00)","-1.04(-2.66,0.88)","-10.39(-13.73,-7.46)***","-0.42(-0.93,0.01)",3137,1.4484
"Built_Multi","C00_C97",5,"-0.74(-3.03,0.99)","0.24(-1.67,2.25)","-10.39(-13.73,-7.46)***","-0.42(-0.93,0.01)",3137,1.4484
"Social_Multi","C00_C97",5,"-1.67(-3.43,0.70)","2.64(0.21,5.45)*","-10.39(-13.73,-7.46)***","-0.42(-0.93,0.01)",3137,1.4484
"RUCC1_EQI","C00_C97",5,"-0.67(-2.23,0.60)","2.39(0.30,4.27)","-12.88(-14.49,-11.30)***","-0.09(-0.63,0.34)",1166,1.0073
"RUCC1_Air","C00_C97",5,"-0.33(-1.53,1.21)","-0.43(-4.20,3.27)","-12.65(-14.60,-10.56)***","-0.14(-0.65,0.27)",1166,1.1357
"RUCC1_Water","C00_C97",5,"-0.75(-2.98,1.61)","-0.24(-3.06,2.05)","-12.86(-14.50,-11.83)***","-0.21(-0.89,0.37)",1166,1.0077
"RUCC1_Land","C00_C97",5,"-1.72(-3.17,-0.01)","0.32(-1.50,2.35)","-12.14(-13.55,-10.61)***","-0.25(-0.77,0.36)",1166,1.019
"RUCC1_Built","C00_C97",5,"-1.99(-4.20,0.00)","0.84(-1.57,3.04)","-11.72(-13.77,-9.37)***","-0.05(-0.59,0.60)",1166,1.0429
"RUCC1_Social","C00_C97",5,"-3.00(-5.53,0.19)","2.28(-0.63,4.96)","-10.76(-14.02,-8.53)***","-0.40(-0.90,0.24)",1166,1.1218
"RUCC1_Air_Multi","C00_C97",5,"0.06(-1.00,1.13)","-2.68(-5.50,1.39)","-9.91(-12.01,-7.49)***","-0.29(-0.91,0.20)",1166,1.0838
"RUCC1_Water_Multi","C00_C97",5,"-0.71(-3.16,1.67)","0.19(-2.18,2.56)","-9.91(-12.01,-7.49)***","-0.29(-0.91,0.20)",1166,1.0838
"RUCC1_Land_Multi","C00_C97",5,"-1.48(-2.78,0.52)","0.02(-1.62,2.23)","-9.91(-12.01,-7.49)***","-0.29(-0.91,0.20)",1166,1.0838
"RUCC1_Built_Multi","C00_C97",5,"-1.53(-3.27,0.13)","0.64(-0.89,2.45)","-9.91(-12.01,-7.49)***","-0.29(-0.91,0.20)",1166,1.0838
"RUCC1_Social_Multi","C00_C97",5,"-2.01(-4.92,-0.05)","2.72(-0.04,4.72)","-9.91(-12.01,-7.49)***","-0.29(-0.91,0.20)",1166,1.0838
"RUCC2_EQI","C00_C97",5,"-0.33(-4.62,3.92)","-1.65(-9.61,3.72)","-9.70(-13.85,-5.21)***","-0.30(-2.27,2.06)",306,1.1833
"RUCC2_Air","C00_C97",5,"-3.88(-8.99,0.72)","-0.15(-5.63,5.67)","-9.60(-14.21,-4.68)***","-0.80(-3.07,1.57)",306,1.4781
"RUCC2_Water","C00_C97",5,"-1.76(-8.27,4.03)","-0.99(-5.00,3.99)","-9.92(-13.92,-6.11)***","-0.28(-2.58,1.81)",306,1.0371
"RUCC2_Land","C00_C97",5,"-1.96(-6.40,4.11)","-1.76(-5.84,4.98)","-8.18(-13.91,-1.90)***","0.14(-2.43,2.11)",306,1.159
"RUCC2_Built","C00_C97",5,"-1.42(-5.52,2.54)","-1.96(-5.30,2.27)","-8.78(-13.29,-5.30)***","-0.15(-2.39,2.00)",306,1.5203
"RUCC2_Social","C00_C97",5,"-6.66(-10.35,-2.35)***","-0.31(-3.66,3.29)","-8.04(-11.03,-4.55)***","-1.18(-3.19,0.68)",306,1.2222
"RUCC2_Air_Multi","C00_C97",5,"-3.15(-7.27,0.45)","-0.22(-5.02,4.34)","-7.15(-13.74,-1.24)*","-1.19(-2.95,0.57)",306,1.2989
"RUCC2_Water_Multi","C00_C97",5,"-1.26(-5.57,5.74)","-0.90(-6.29,3.90)","-7.15(-13.74,-1.24)*","-1.19(-2.95,0.57)",306,1.2989
"RUCC2_Land_Multi","C00_C97",5,"0.16(-6.05,5.64)","-1.45(-6.92,4.35)","-7.15(-13.74,-1.24)*","-1.19(-2.95,0.57)",306,1.2989
"RUCC2_Built_Multi","C00_C97",5,"2.06(-0.55,5.71)","-0.40(-4.26,6.68)","-7.15(-13.74,-1.24)*","-1.19(-2.95,0.57)",306,1.2989
"RUCC2_Social_Multi","C00_C97",5,"-6.14(-10.93,-1.48)*","-1.09(-6.00,2.40)","-7.15(-13.74,-1.24)*","-1.19(-2.95,0.57)",306,1.2989
"RUCC3_EQI","C00_C97",5,"1.76(1.10,2.38)***","-6.82(-8.02,-5.76)***","-9.99(-10.83,-8.84)***","0.21(-0.40,0.81)",1026,1.7272
"RUCC3_Air","C00_C97",5,"-4.82(-9.71,2.38)","-3.35(-7.15,0.85)","-9.96(-13.20,-6.49)***","-0.86(-2.79,1.10)",1026,1.229
"RUCC3_Water","C00_C97",5,"-0.79(-2.93,1.78)","2.88(1.38,4.24)***","-12.87(-14.53,-11.46)***","-0.40(-1.24,0.44)",1026,2.0782
"RUCC3_Land","C00_C97",5,"-1.08(-5.42,4.53)","-2.59(-6.56,2.33)","-10.64(-14.00,-7.18)***","-0.82(-2.52,1.07)",1026,1.2023
"RUCC3_Built","C00_C97",5,"-0.96(-5.15,3.86)","-3.90(-7.19,0.49)","-10.38(-14.33,-6.01)***","-0.56(-2.22,1.22)",1026,1.1496
"RUCC3_Social","C00_C97",5,"-1.06(-6.35,5.61)","-2.66(-7.18,1.08)","-10.67(-14.60,-6.48)***","-0.86(-2.40,0.86)",1026,1.0472
"RUCC3_Air_Multi","C00_C97",5,"-2.03(-6.84,3.27)","-0.39(-5.19,3.88)","-6.95(-12.29,-0.87)","-0.96(-3.37,0.88)",1026,1.3505
"RUCC3_Water_Multi","C00_C97",5,"-1.55(-5.95,3.23)","0.26(-3.41,4.16)","-6.95(-12.29,-0.87)","-0.96(-3.37,0.88)",1026,1.3505
"RUCC3_Land_Multi","C00_C97",5,"-1.61(-6.27,3.79)","-3.43(-8.13,1.30)","-6.95(-12.29,-0.87)","-0.96(-3.37,0.88)",1026,1.3505
"RUCC3_Built_Multi","C00_C97",5,"-0.25(-4.23,3.79)","-2.32(-6.04,1.29)","-6.95(-12.29,-0.87)","-0.96(-3.37,0.88)",1026,1.3505
"RUCC3_Social_Multi","C00_C97",5,"-2.45(-8.98,2.60)","-1.15(-5.26,4.21)","-6.95(-12.29,-0.87)","-0.96(-3.37,0.88)",1026,1.3505
