ICD_Code,Model,Lag,MRD_Q_Improved,MRD_Q_Worsened,Intercept_Baseline_Change,Control_delta_Smoking_Rate,N_Counties,Rhat_max
C00_C97,EQI,5,"-0.21(-1.50,1.21)","1.41(-0.56,3.34)","-12.56(-14.06,-11.22)***","-0.06(-0.57,0.47)",3137,1.0105
C00_C97,Air,5,"-1.15(-2.67,0.27)","0.75(-1.44,2.89)","-11.88(-13.41,-10.26)***","-0.07(-0.63,0.46)",3137,1.006
C00_C97,Water,5,"-1.30(-3.55,1.17)","1.40(-0.63,3.38)","-12.32(-13.56,-11.08)***","-0.03(-0.51,0.50)",3137,1.0117
C00_C97,Land,5,"-2.13(-3.97,-0.49)**","-0.61(-2.33,1.14)","-11.28(-12.96,-9.71)***","-0.11(-0.67,0.52)",3137,1.0092
C00_C97,Built,5,"-1.66(-3.66,0.61)","0.03(-1.91,2.35)","-11.45(-13.57,-9.30)***","-0.04(-0.58,0.50)",3137,1.0126
C00_C97,Social,5,"-2.58(-5.21,-0.11)*","2.10(-1.00,4.95)","-11.39(-13.86,-8.79)***","-0.43(-1.00,0.13)",3137,1.0087
C00_C97,EQI,10,"-1.26(-2.61,0.16)","2.41(0.72,4.04)*","-12.00(-13.49,-10.61)***","0.40(-0.10,0.90)",3136,1.0048
C00_C97,Air,10,"-0.28(-1.65,1.32)","1.37(-1.16,3.84)","-11.91(-13.37,-10.45)***","0.52(-0.11,1.06)",3136,1.0118
C00_C97,Water,10,"0.21(-2.20,2.53)","2.50(0.32,4.67)*","-12.20(-13.48,-10.93)***","0.54(-0.02,1.11)",3136,1.004
C00_C97,Land,10,"-0.41(-1.88,1.08)","1.57(-0.27,3.35)","-12.28(-13.83,-10.81)***","0.45(-0.07,0.97)",3136,1.013
C00_C97,Built,10,"-1.71(-3.66,0.16)","1.12(-0.98,2.91)","-11.37(-13.34,-9.31)***","0.49(-0.03,0.95)",3136,1.0045
C00_C97,Social,10,"-0.78(-2.78,1.20)","2.52(0.01,5.00)","-11.94(-13.97,-9.97)***","0.39(-0.10,0.92)",3136,1.0056
C00_C97,EQI,5,"-0.21(-1.50,1.21)","1.81(0.16,3.74)*","-12.56(-14.06,-11.22)***","-0.06(-0.57,0.47)",3137,1.0105
C00_C97,Air,5,"-1.15(-2.67,0.27)","0.75(-1.44,2.89)","-11.88(-13.41,-10.26)***","-0.07(-0.63,0.46)",3137,1.006
C00_C97,Water,5,"-1.30(-3.55,1.17)","1.40(-0.63,3.38)","-12.32(-13.56,-11.08)***","-0.03(-0.51,0.50)",3137,1.0117
C00_C97,Land,5,"-2.13(-3.97,-0.49)**","-0.61(-2.33,1.14)","-11.28(-12.96,-9.71)***","-0.11(-0.67,0.52)",3137,1.0092
C00_C97,Built,5,"-1.66(-3.66,0.61)","0.03(-1.91,2.35)","-11.45(-13.57,-9.30)***","-0.04(-0.58,0.50)",3137,1.0126
C00_C97,Social,5,"-2.58(-5.21,-0.11)*","2.10(-1.00,4.95)","-11.39(-13.86,-8.79)***","-0.43(-1.00,0.13)",3137,1.0087
C00_C97,EQI,10,"-1.26(-2.61,0.16)","2.41(0.72,4.04)*","-12.00(-13.49,-10.61)***","0.40(-0.10,0.90)",3136,1.0048
C00_C97,Air,10,"-0.28(-1.65,1.32)","1.37(-1.16,3.84)","-11.91(-13.37,-10.45)***","0.52(-0.11,1.06)",3136,1.0118
C00_C97,Water,10,"0.21(-2.20,2.53)","2.50(0.32,4.67)*","-12.20(-13.48,-10.93)***","0.54(-0.02,1.11)",3136,1.004
C00_C97,Land,10,"-0.41(-1.88,1.08)","1.57(-0.27,3.35)","-12.28(-13.83,-10.81)***","0.45(-0.07,0.97)",3136,1.013
C00_C97,Built,10,"-1.71(-3.66,0.16)","1.12(-0.98,2.91)","-11.37(-13.34,-9.31)***","0.49(-0.03,0.95)",3136,1.0045
C00_C97,Social,10,"-0.78(-2.78,1.20)","2.52(0.01,5.00)","-11.94(-13.97,-9.97)***","0.39(-0.10,0.92)",3136,1.0056
