"ICD_Code","Model","Lag","MRD_Q_Improved","MRD_Q_Worsened","Intercept_Baseline_Change","Control_delta_Smoking_Rate","N_Counties","Rhat_max"
"C00_C97","Cluster0_EQI",5,"-0.44(-9.29,8.71)","-4.04(-10.60,2.40)","-7.08(-13.38,-0.89)*","1.87(-1.41,5.10)",457,1.0021
"C00_C97","Cluster0_Air",5,"-0.94(-7.94,6.38)","1.42(-5.12,7.94)","-9.77(-15.04,-4.27)***","2.05(-1.18,5.22)",457,1.0016
"C00_C97","Cluster0_Water",5,"-0.11(-8.41,8.25)","1.45(-6.62,9.31)","-9.67(-14.30,-5.15)***","2.12(-1.07,5.15)",457,1.0038
"C00_C97","Cluster0_Land",5,"-9.16(-17.29,-0.89)*","-2.51(-8.67,3.66)","-7.61(-13.49,-1.94)*","2.06(-1.11,5.09)",457,1.0013
"C00_C97","Cluster0_Built",5,"-3.48(-10.87,4.24)","-4.94(-11.49,1.55)","-6.19(-12.37,0.04)","1.92(-1.35,5.06)",457,1.0017
"C00_C97","Cluster0_Social",5,"-0.08(-7.50,6.99)","1.22(-5.41,7.62)","-10.20(-16.55,-3.92)**","2.12(-1.05,5.22)",457,1.0037
"C00_C97","Cluster1_EQI",5,"0.67(-4.53,6.09)","-4.19(-7.99,-0.17)*","-12.73(-16.14,-9.16)***","-3.31(-4.81,-1.59)***",964,1.0019
"C00_C97","Cluster1_Air",5,"-5.97(-9.72,-1.70)**","-5.27(-8.89,-1.27)*","-9.77(-13.76,-5.63)***","-1.96(-3.53,-0.23)*",964,1.0013
"C00_C97","Cluster1_Water",5,"-1.38(-9.28,5.70)","0.62(-4.99,6.30)","-14.18(-16.97,-11.00)***","-2.46(-3.97,-0.82)**",964,1.0014
"C00_C97","Cluster1_Land",5,"-0.47(-4.97,4.31)","-3.58(-7.53,0.64)","-12.12(-16.30,-7.88)***","-2.38(-3.83,-0.79)**",964,1.0009
"C00_C97","Cluster1_Built",5,"-3.69(-8.08,0.89)","-2.90(-6.92,1.38)","-11.60(-15.48,-7.66)***","-2.54(-4.10,-0.97)***",964,1.0014
"C00_C97","Cluster1_Social",5,"-1.74(-6.77,3.84)","-2.27(-6.39,2.16)","-12.38(-16.57,-8.20)***","-2.53(-4.02,-0.91)**",964,1.002
"C00_C97","Cluster2_EQI",5,"-2.00(-4.92,0.96)","-0.13(-3.86,3.51)","-10.64(-13.65,-7.70)***","0.41(-0.51,1.35)",663,1.0006
"C00_C97","Cluster2_Air",5,"-2.15(-4.77,0.55)","-1.04(-5.82,3.77)","-10.54(-13.10,-8.06)***","0.40(-0.47,1.31)",663,1.0006
"C00_C97","Cluster2_Water",5,"-2.87(-7.09,1.21)","-0.25(-3.84,3.35)","-11.44(-13.46,-9.37)***","0.41(-0.53,1.35)",663,1.0021
"C00_C97","Cluster2_Land",5,"0.83(-2.50,4.01)","1.12(-2.13,4.22)","-12.49(-15.15,-9.77)***","0.40(-0.51,1.32)",663,1.0005
"C00_C97","Cluster2_Built",5,"-1.17(-4.45,2.08)","1.71(-2.17,5.60)","-11.44(-14.76,-8.12)***","0.43(-0.45,1.35)",663,1.0013
"C00_C97","Cluster2_Social",5,"-4.42(-8.06,-0.86)*","3.60(-0.86,7.82)","-10.37(-13.57,-7.09)***","-0.34(-1.28,0.59)",663,1.0006
"C00_C97","Cluster3_EQI",5,"0.21(-1.61,2.02)","2.72(-0.72,6.32)","-12.83(-14.94,-10.80)***","-0.06(-0.89,0.76)",1053,1.001
"C00_C97","Cluster3_Air",5,"0.10(-1.91,1.95)","2.07(-1.02,5.20)","-12.82(-14.81,-10.69)***","-0.06(-0.83,0.70)",1053,1.0035
"C00_C97","Cluster3_Water",5,"-0.68(-3.53,2.31)","2.16(-1.02,5.16)","-12.51(-14.22,-10.75)***","0.04(-0.79,0.81)",1053,1.0013
"C00_C97","Cluster3_Land",5,"-4.17(-6.09,-2.25)***","-1.50(-4.05,1.18)","-9.83(-12.05,-7.63)***","-0.04(-0.83,0.75)",1053,1.0005
"C00_C97","Cluster3_Built",5,"-1.78(-4.56,0.99)","-1.04(-3.96,1.94)","-11.15(-14.07,-8.30)***","-0.04(-0.81,0.75)",1053,1.0011
"C00_C97","Cluster3_Social",5,"-4.09(-7.83,-0.47)*","-0.58(-5.90,4.97)","-9.01(-12.72,-5.32)***","-0.20(-1.01,0.58)",1053,1.0008
"C00_C97","Cluster0_EQI",10,"-2.66(-11.39,6.30)","-0.70(-7.11,5.74)","-6.37(-12.48,-0.26)*","0.20(-3.26,3.54)",457,1.005
"C00_C97","Cluster0_Air",10,"-2.43(-9.44,4.53)","-6.87(-13.71,-0.24)*","-4.47(-9.82,0.93)","-0.15(-3.63,3.42)",457,1.0072
"C00_C97","Cluster0_Water",10,"-0.78(-8.55,6.96)","0.43(-7.64,8.26)","-7.03(-11.69,-2.14)**","0.35(-3.16,3.80)",457,1.0035
"C00_C97","Cluster0_Land",10,"8.59(-0.02,16.49)","-2.87(-9.06,3.44)","-6.32(-11.92,-0.84)*","-0.26(-3.44,3.07)",457,1.0014
"C00_C97","Cluster0_Built",10,"-2.10(-9.89,5.71)","-1.22(-7.84,5.22)","-6.02(-12.40,0.17)","0.18(-3.38,3.67)",457,1.0067
"C00_C97","Cluster0_Social",10,"-4.81(-12.12,2.52)","-5.76(-12.27,0.77)","-2.95(-9.40,3.21)","-0.10(-3.58,3.29)",457,1.0055
"C00_C97","Cluster1_EQI",10,"1.70(-3.31,6.71)","1.76(-2.22,5.74)","-10.52(-14.27,-6.75)***","0.15(-1.54,1.95)",964,1.0021
"C00_C97","Cluster1_Air",10,"2.14(-2.20,6.58)","-0.15(-4.63,4.16)","-9.97(-13.76,-6.07)***","0.23(-1.49,1.97)",964,1.0022
"C00_C97","Cluster1_Water",10,"3.04(-3.77,9.48)","4.34(-1.18,9.61)","-9.83(-12.75,-6.96)***","0.16(-1.47,1.90)",964,1.0017
"C00_C97","Cluster1_Land",10,"1.98(-2.70,6.40)","2.38(-1.63,6.42)","-10.92(-14.52,-7.12)***","0.05(-1.54,1.68)",964,1.0007
"C00_C97","Cluster1_Built",10,"-0.57(-5.32,4.27)","2.11(-2.59,6.63)","-10.25(-14.46,-5.99)***","0.15(-1.57,1.96)",964,1.0024
"C00_C97","Cluster1_Social",10,"0.52(-5.43,6.37)","-0.56(-4.60,3.57)","-9.14(-13.40,-4.95)***","0.06(-1.71,1.86)",964,1.0015
"C00_C97","Cluster2_EQI",10,"-2.15(-4.80,0.61)","-0.41(-3.85,3.03)","-12.50(-15.31,-9.74)***","0.27(-0.61,1.15)",662,1.0024
"C00_C97","Cluster2_Air",10,"-0.77(-3.42,1.89)","1.57(-5.47,7.84)","-12.81(-15.66,-9.84)***","0.43(-0.52,1.41)",662,1.0421
"C00_C97","Cluster2_Water",10,"0.57(-3.63,4.78)","2.71(-0.86,6.08)","-13.94(-16.17,-11.47)***","0.41(-0.47,1.33)",662,1.0049
"C00_C97","Cluster2_Land",10,"-2.99(-5.68,-0.28)*","0.53(-2.49,3.62)","-12.90(-15.38,-10.34)***","0.16(-0.70,1.03)",662,1.0013
"C00_C97","Cluster2_Built",10,"-2.62(-5.62,0.52)","-2.03(-5.55,1.56)","-11.56(-14.91,-8.27)***","0.34(-0.56,1.21)",662,1.0014
"C00_C97","Cluster2_Social",10,"1.21(-2.46,4.68)","3.51(-1.90,8.99)","-14.49(-17.87,-10.72)***","0.41(-0.51,1.37)",662,1.0068
"C00_C97","Cluster3_EQI",10,"-1.06(-2.64,0.48)","2.29(-0.95,5.47)","-11.82(-13.63,-9.97)***","0.58(-0.06,1.20)",1053,1.0008
"C00_C97","Cluster3_Air",10,"-0.42(-2.05,1.18)","2.59(-0.36,5.45)","-12.43(-14.27,-10.59)***","0.45(-0.19,1.08)",1053,1.0012
"C00_C97","Cluster3_Water",10,"-1.14(-3.89,1.82)","-0.01(-2.72,2.67)","-12.49(-13.93,-11.04)***","0.42(-0.20,1.02)",1053,1.0013
"C00_C97","Cluster3_Land",10,"-0.58(-2.32,1.21)","0.14(-2.46,2.79)","-12.18(-14.17,-10.23)***","0.45(-0.17,1.06)",1053,1.0022
"C00_C97","Cluster3_Built",10,"-2.22(-4.54,0.13)","-0.15(-2.75,2.42)","-10.85(-13.36,-8.39)***","0.53(-0.11,1.15)",1053,1.0019
"C00_C97","Cluster3_Social",10,"-3.61(-6.08,-1.05)**","-1.14(-6.94,4.65)","-9.31(-12.04,-6.74)***","0.40(-0.22,1.02)",1053,1.0019
