ICD_Code,Model,Lag,MRD_Q_Improved,MRD_Q_Worsened,Intercept_Baseline_Change,Control_delta_Smoking_Rate,N_Counties,Rhat_max
C00_C97,EQI,5,"-2.20(-3.67,-0.33)*","1.45(-0.50,3.32)","-12.55(-14.08,-11.03)***","-0.06(-0.59,0.48)",3137,1.0012
C00_C97,Air,5,"-1.17(-2.59,0.25)","0.66(-1.62,2.94)","-11.84(-13.32,-10.35)***","-0.06(-0.60,0.49)",3137,1.0024
C00_C97,Water,5,"-1.30(-3.74,1.09)","1.42(-0.80,3.56)","-12.34(-13.52,-11.13)***","-0.01(-0.54,0.51)",3137,1.0009
C00_C97,Land,5,"-2.10(-3.77,-0.40)*","-0.58(-2.48,1.36)","-11.29(-12.94,-9.72)***","-0.10(-0.64,0.43)",3137,1.0014
C00_C97,Built,5,"-1.64(-3.75,0.48)","0.04(-2.25,2.27)","-11.42(-13.50,-9.28)***","-0.05(-0.56,0.48)",3137,1.0017
C00_C97,Social,5,"-2.59(-4.99,-0.16)*","2.13(-0.66,4.84)","-11.37(-13.75,-9.02)***","-0.42(-0.99,0.15)",3137,1.0039
C00_C97,EQI,10,"-1.22(-2.68,0.22)","2.44(0.68,4.29)**","-12.00(-13.55,-10.38)***","0.43(-0.11,0.95)",3136,1.0025
C00_C97,Air,10,"-0.36(-1.83,1.13)","1.27(-1.23,3.72)","-11.85(-13.40,-10.21)***","0.52(-0.03,1.05)",3136,1.0024
C00_C97,Water,10,"0.20(-2.25,2.62)","2.47(0.34,4.54)*","-12.18(-13.41,-10.92)***","0.57(0.03,1.11)*",3136,1.0011
C00_C97,Land,10,"-0.32(-1.89,1.27)","1.67(-0.08,3.50)","-12.32(-13.90,-10.74)***","0.47(-0.08,1.02)",3136,1.0008
C00_C97,Built,10,"-1.68(-3.67,0.23)","1.13(-1.02,3.24)","-11.40(-13.41,-9.25)***","0.49(-0.05,1.02)",3136,1.0016
C00_C97,Social,10,"-0.82(-2.95,1.34)","2.52(-0.08,5.17)","-11.92(-14.11,-9.72)***","0.38(-0.16,0.91)",3136,1.0016
C00_C97,EQI,5,"-0.19(-1.71,1.26)","1.46(-0.47,3.35)","-12.57(-14.07,-11.00)***","-0.07(-0.59,0.47)",3137,1.0031
C00_C97,Air,5,"-1.16(-2.63,0.27)","0.66(-1.66,2.92)","-11.84(-13.31,-10.31)***","-0.05(-0.59,0.47)",3137,1.0022
C00_C97,Water,5,"-1.30(-3.62,0.99)","1.41(-0.86,3.63)","-12.34(-13.51,-11.12)***","-0.01(-0.55,0.52)",3137,1.0021
C00_C97,Land,5,"-2.10(-3.79,-0.42)*","-0.57(-2.38,1.29)","-11.29(-12.90,-9.66)***","-0.10(-0.64,0.43)",3137,1.002
C00_C97,Built,5,"-1.65(-3.68,0.38)","0.04(-2.17,2.17)","-11.40(-13.37,-9.33)***","-0.03(-0.58,0.49)",3137,1.0018
C00_C97,Social,5,"-2.57(-4.94,-0.20)*","2.16(-0.56,5.02)","-11.40(-13.73,-9.07)***","-0.43(-0.97,0.11)",3137,1.0007
C00_C97,EQI,10,"-1.25(-2.70,0.19)","2.41(0.57,4.23)**","-11.95(-13.47,-10.40)***","0.43(-0.10,0.96)",3136,1.0013
C00_C97,Air,10,"-0.36(-1.86,1.09)","1.25(-1.36,3.76)","-11.85(-13.41,-10.23)***","0.52(-0.04,1.09)",3136,1.0021
C00_C97,Water,10,"0.23(-2.14,2.63)","2.48(0.34,4.52)*","-12.21(-13.45,-10.95)***","0.55(0.02,1.08)*",3136,1.0014
C00_C97,Land,10,"-0.35(-1.93,1.21)","1.65(-0.20,3.44)","-12.31(-13.86,-10.78)***","0.46(-0.10,1.00)",3136,1.0012
C00_C97,Built,10,"-1.70(-3.59,0.14)","1.11(-0.96,3.15)","-11.37(-13.33,-9.41)***","0.49(-0.04,1.00)",3136,1.0003
C00_C97,Social,10,"-0.82(-2.93,1.25)","2.54(-0.06,5.08)","-11.94(-14.08,-9.75)***","0.37(-0.19,0.92)",3136,1.0012
