"ICD_Code","Model","Lag","MRD_Q_Improved","MRD_Q_Worsened","Intercept_Baseline_Change","Control_delta_Smoking_Rate","N_Counties","Rhat_max"
"C50","Cluster0_EQI",5,"0.36(-2.68,3.58)","-0.26(-2.25,1.76)","-0.09(-1.86,1.66)","-0.21(-0.96,0.53)",1010,1.0007
"C50","Cluster0_Air",5,"-0.01(-2.53,2.48)","0.05(-1.88,1.97)","-0.23(-1.85,1.39)","-0.21(-0.95,0.52)",1010,1.0002
"C50","Cluster0_Water",5,"-1.11(-4.13,1.84)","-0.39(-3.44,2.70)","-0.07(-1.37,1.25)","-0.20(-0.95,0.56)",1010,1.002
"C50","Cluster0_Land",5,"-1.23(-3.57,1.09)","-1.52(-3.61,0.60)","0.73(-1.08,2.54)","-0.22(-0.97,0.49)",1010,1.0005
"C50","Cluster0_Built",5,"0.91(-2.00,3.76)","0.49(-1.82,2.87)","-0.70(-3.09,1.55)","-0.21(-0.97,0.55)",1010,1.0004
"C50","Cluster0_Social",5,"-4.43(-9.04,-0.04)*","-4.66(-7.49,-1.80)**","3.98(1.04,6.77)**","-0.22(-0.96,0.52)",1010,1.0023
"C50","Cluster1_EQI",5,"0.07(-0.91,1.04)","1.03(-0.01,2.14)","-0.88(-1.84,0.06)","0.16(-0.13,0.44)",747,1.0004
"C50","Cluster1_Air",5,"-0.01(-0.85,0.83)","2.74(1.56,3.87)***","-1.02(-1.89,-0.18)*","0.10(-0.17,0.36)",747,1.0028
"C50","Cluster1_Water",5,"-0.00(-1.15,1.23)","0.71(-0.35,1.74)","-0.65(-1.35,0.01)","0.17(-0.10,0.43)",747,1.0011
"C50","Cluster1_Land",5,"0.45(-0.57,1.47)","0.56(-0.42,1.57)","-0.94(-1.89,-0.03)*","0.17(-0.11,0.44)",747,1.0007
"C50","Cluster1_Built",5,"-0.41(-1.48,0.66)","0.15(-1.04,1.37)","-0.33(-1.41,0.78)","0.18(-0.10,0.44)",747,1.0015
"C50","Cluster1_Social",5,"-0.29(-1.58,1.00)","1.17(-0.33,2.72)","-0.66(-1.97,0.54)","0.08(-0.21,0.36)",747,1.0014
"C50","Cluster2_EQI",5,"0.26(-0.25,0.77)","-0.15(-0.90,0.66)","-0.76(-1.32,-0.17)*","0.23(0.04,0.43)*",1380,1.0009
"C50","Cluster2_Air",5,"-0.33(-0.85,0.20)","-0.56(-1.26,0.16)","-0.32(-0.89,0.27)","0.26(0.07,0.47)**",1380,1.0019
"C50","Cluster2_Water",5,"-0.17(-1.24,0.88)","0.13(-0.65,0.92)","-0.60(-1.05,-0.16)**","0.25(0.06,0.45)*",1380,1.0018
"C50","Cluster2_Land",5,"-0.22(-0.76,0.34)","-0.22(-0.97,0.51)","-0.42(-1.00,0.20)","0.26(0.06,0.45)*",1380,1.003
"C50","Cluster2_Built",5,"0.36(-0.48,1.15)","-0.05(-0.99,0.83)","-0.85(-1.68,0.03)","0.24(0.06,0.43)*",1380,1.0009
"C50","Cluster2_Social",5,"0.01(-0.66,0.67)","0.12(-1.26,1.59)","-0.61(-1.34,0.08)","0.25(0.05,0.45)*",1380,1.0017
"C50","Cluster0_EQI",10,"-2.81(-5.87,0.46)","-1.05(-3.02,0.92)","1.15(-0.68,2.98)","0.32(-0.41,1.09)",1010,1.0011
"C50","Cluster0_Air",10,"-1.16(-3.60,1.30)","-1.36(-3.21,0.48)","0.99(-0.60,2.54)","0.29(-0.48,1.03)",1010,1.0019
"C50","Cluster0_Water",10,"-2.52(-5.30,0.26)","-2.15(-4.88,0.65)","0.72(-0.55,2.03)","0.32(-0.40,1.04)",1010,1.0015
"C50","Cluster0_Land",10,"1.44(-0.93,3.69)","0.42(-1.59,2.51)","-0.31(-2.12,1.46)","0.35(-0.43,1.09)",1010,1.0007
"C50","Cluster0_Built",10,"-1.85(-4.85,1.05)","-1.49(-3.85,0.81)","1.58(-0.76,3.85)","0.34(-0.38,1.05)",1010,1.0015
"C50","Cluster0_Social",10,"1.90(-2.36,6.12)","3.73(0.78,6.68)*","-3.04(-5.95,-0.11)*","0.35(-0.39,1.10)",1010,1.0019
"C50","Cluster1_EQI",10,"-0.23(-1.15,0.66)","0.67(-0.43,1.76)","-0.76(-1.84,0.35)","0.14(-0.17,0.43)",746,1.0008
"C50","Cluster1_Air",10,"0.10(-0.79,0.97)","0.14(-1.12,1.45)","-0.83(-1.87,0.25)","0.11(-0.18,0.39)",746,1.0016
"C50","Cluster1_Water",10,"-0.21(-1.85,1.46)","-1.15(-2.20,-0.07)*","-0.55(-1.46,0.38)","0.10(-0.18,0.38)",746,1.0009
"C50","Cluster1_Land",10,"-0.24(-1.21,0.75)","0.04(-0.99,1.08)","-0.66(-1.73,0.41)","0.11(-0.18,0.41)",746,1.0013
"C50","Cluster1_Built",10,"0.13(-0.84,1.10)","0.91(-0.30,2.04)","-0.97(-2.24,0.29)","0.13(-0.16,0.42)",746,1.0012
"C50","Cluster1_Social",10,"1.99(0.97,3.00)***","2.53(1.17,3.81)***","-2.37(-3.50,-1.20)***","0.22(-0.07,0.50)",746,1.0035
"C50","Cluster2_EQI",10,"0.18(-0.33,0.65)","0.73(-0.06,1.50)","-0.86(-1.43,-0.31)**","-0.05(-0.24,0.14)",1380,1.0032
"C50","Cluster2_Air",10,"0.28(-0.24,0.78)","0.69(-0.10,1.44)","-0.95(-1.51,-0.35)**","-0.05(-0.24,0.14)",1380,1.0018
"C50","Cluster2_Water",10,"-0.11(-0.96,0.75)","0.01(-0.75,0.79)","-0.64(-1.09,-0.20)**","-0.02(-0.21,0.17)",1380,1.0017
"C50","Cluster2_Land",10,"-0.24(-0.77,0.29)","-0.01(-0.68,0.69)","-0.50(-1.10,0.10)","-0.01(-0.20,0.17)",1380,1.0007
"C50","Cluster2_Built",10,"-0.14(-0.90,0.63)","0.48(-0.33,1.29)","-0.66(-1.47,0.17)","-0.01(-0.20,0.18)",1380,1.002
"C50","Cluster2_Social",10,"-0.75(-1.53,0.07)","0.71(-0.47,1.86)","-0.16(-1.01,0.65)","-0.09(-0.28,0.10)",1380,1.0032
