"ICD_Code","Model","Lag","MRD_Q_Improved","MRD_Q_Worsened","Intercept_Baseline_Change","Control_delta_Smoking_Rate","N_Counties","Rhat_max"
"C50","EQI",5,"-0.02(-0.69,0.63)","0.61(-0.17,1.36)","-0.72(-1.37,-0.06)*","0.09(-0.15,0.33)",3137,1.0005
"C50","Air",5,"-0.28(-0.93,0.39)","0.38(-0.44,1.22)","-0.53(-1.17,0.10)","0.09(-0.16,0.34)",3137,1.0018
"C50","Water",5,"-0.40(-1.33,0.59)","0.02(-0.86,0.93)","-0.51(-1.03,-0.02)*","0.11(-0.13,0.34)",3137,1.0015
"C50","Land",5,"-0.35(-1.04,0.35)","-0.07(-0.81,0.66)","-0.38(-1.05,0.26)","0.11(-0.12,0.34)",3137,1.0007
"C50","Built",5,"-0.16(-0.99,0.72)","0.10(-0.76,0.97)","-0.51(-1.37,0.33)","0.11(-0.13,0.34)",3137,1.001
"C50","Social",5,"-1.51(-2.42,-0.57)**","-0.83(-1.82,0.15)","0.46(-0.46,1.39)","0.02(-0.22,0.26)",3137,1.0027
"C50","EQI",10,"-0.60(-1.23,0.03)","-0.17(-0.91,0.55)","-0.06(-0.71,0.59)","0.15(-0.08,0.39)",3136,1.0013
"C50","Air",10,"-0.21(-0.84,0.39)","-0.64(-1.43,0.11)","-0.14(-0.76,0.53)","0.15(-0.08,0.40)",3136,1.0015
"C50","Water",10,"-1.00(-1.89,-0.05)*","-1.05(-1.94,-0.18)*","-0.19(-0.69,0.32)","0.12(-0.10,0.35)",3136,1.0026
"C50","Land",10,"0.09(-0.59,0.75)","0.03(-0.70,0.76)","-0.41(-1.08,0.30)","0.15(-0.09,0.39)",3136,1.0019
"C50","Built",10,"-0.59(-1.38,0.18)","-0.28(-1.12,0.58)","0.05(-0.75,0.85)","0.16(-0.07,0.40)",3136,1.0025
"C50","Social",10,"0.89(-0.01,1.79)","1.62(0.63,2.58)***","-1.36(-2.27,-0.42)**","0.12(-0.11,0.38)",3136,1.0019
"C50","EQI",5,"-0.04(-0.70,0.61)","0.59(-0.16,1.34)","-0.70(-1.35,-0.08)*","0.09(-0.15,0.33)",3137,1.0026
"C50","Air",5,"-0.28(-0.92,0.39)","0.38(-0.40,1.17)","-0.53(-1.18,0.10)","0.09(-0.14,0.32)",3137,1.0017
"C50","Water",5,"-0.40(-1.46,0.63)","0.01(-0.91,0.98)","-0.51(-1.04,-0.01)*","0.11(-0.13,0.35)",3137,1.0005
"C50","Land",5,"-0.34(-1.04,0.36)","-0.07(-0.86,0.68)","-0.39(-1.05,0.32)","0.11(-0.13,0.34)",3137,1.0022
"C50","Built",5,"-0.17(-0.99,0.71)","0.08(-0.79,0.98)","-0.50(-1.35,0.36)","0.11(-0.13,0.35)",3137,1.0017
"C50","Social",5,"-1.51(-2.45,-0.58)**","-0.82(-1.82,0.21)","0.46(-0.47,1.39)","0.01(-0.23,0.27)",3137,1.0018
"C50","EQI",10,"-0.60(-1.27,0.06)","-0.16(-0.91,0.58)","-0.06(-0.73,0.63)","0.16(-0.08,0.40)",3136,1.0014
"C50","Air",10,"-0.21(-0.82,0.40)","-0.65(-1.43,0.13)","-0.12(-0.73,0.54)","0.16(-0.06,0.41)",3136,1.001
"C50","Water",10,"-0.99(-1.85,-0.10)*","-1.02(-1.89,-0.16)*","-0.19(-0.70,0.32)","0.12(-0.11,0.35)",3136,1.0013
"C50","Land",10,"0.08(-0.58,0.75)","0.03(-0.75,0.76)","-0.40(-1.10,0.32)","0.15(-0.08,0.41)",3136,1.003
"C50","Built",10,"-0.56(-1.35,0.21)","-0.26(-1.12,0.56)","0.02(-0.80,0.85)","0.15(-0.08,0.40)",3136,1.0047
"C50","Social",10,"0.88(0.02,1.76)*","1.62(0.65,2.63)**","-1.37(-2.26,-0.48)**","0.12(-0.13,0.37)",3136,1.0009
