"ICD_Code","Model","Lag","MRD_Q_Improved","MRD_Q_Worsened","Intercept_Baseline_Change","Control_delta_Smoking_Rate","N_Counties","Rhat_max"
"C81_C96","EQI",5,"0.04(-0.60,0.67)","0.39(-0.39,1.16)","-1.69(-2.41,-0.97)***","-0.17(-0.42,0.07)",3137,1.0042
"C81_C96","Air",5,"0.38(-0.27,1.02)","1.12(0.26,2.01)**","-2.04(-2.78,-1.33)***","-0.21(-0.46,0.03)",3137,1.0031
"C81_C96","Water",5,"-0.53(-1.53,0.45)","-0.65(-1.49,0.23)","-1.46(-2.08,-0.89)***","-0.17(-0.43,0.07)",3137,1.0042
"C81_C96","Land",5,"-0.17(-0.84,0.53)","0.43(-0.36,1.20)","-1.62(-2.41,-0.91)***","-0.18(-0.42,0.06)",3137,1.0025
"C81_C96","Built",5,"0.22(-0.60,1.01)","0.37(-0.51,1.24)","-1.81(-2.69,-0.94)***","-0.16(-0.41,0.09)",3137,1.0044
"C81_C96","Social",5,"-0.52(-1.51,0.42)","-0.62(-1.71,0.45)","-1.12(-2.12,-0.12)*","-0.18(-0.43,0.08)",3137,1.0022
"C81_C96","EQI",10,"0.47(-0.12,1.07)","0.57(-0.20,1.32)","-1.48(-2.07,-0.91)***","0.05(-0.15,0.25)",3136,1.0021
"C81_C96","Air",10,"-0.42(-1.00,0.19)","-0.02(-0.94,0.86)","-0.92(-1.54,-0.33)**","0.06(-0.14,0.28)",3136,1.0033
"C81_C96","Water",10,"0.11(-0.79,1.00)","-0.30(-1.14,0.51)","-1.12(-1.61,-0.65)***","0.06(-0.16,0.28)",3136,1.0013
"C81_C96","Land",10,"0.15(-0.52,0.86)","-0.13(-0.88,0.62)","-1.16(-1.82,-0.50)***","0.07(-0.13,0.28)",3136,1.0003
"C81_C96","Built",10,"0.44(-0.38,1.24)","0.17(-0.77,1.02)","-1.43(-2.24,-0.58)**","0.07(-0.14,0.28)",3136,1.0018
"C81_C96","Social",10,"-0.75(-1.65,0.18)","0.39(-0.61,1.42)","-0.82(-1.70,0.06)","-0.03(-0.25,0.19)",3136,1.0025
"C81_C96","EQI",5,"0.03(-0.61,0.65)","0.39(-0.37,1.17)","-1.67(-2.42,-0.96)***","-0.17(-0.42,0.07)",3137,1.0029
"C81_C96","Air",5,"0.37(-0.27,1.03)","1.12(0.25,2.00)*","-2.02(-2.74,-1.30)***","-0.20(-0.45,0.04)",3137,1.0026
"C81_C96","Water",5,"-0.52(-1.49,0.51)","-0.65(-1.49,0.20)","-1.47(-2.09,-0.90)***","-0.17(-0.42,0.07)",3137,1.0065
"C81_C96","Land",5,"-0.17(-0.88,0.51)","0.42(-0.37,1.20)","-1.63(-2.35,-0.90)***","-0.18(-0.42,0.06)",3137,1.0036
"C81_C96","Built",5,"0.21(-0.62,1.02)","0.37(-0.53,1.26)","-1.79(-2.67,-0.96)***","-0.16(-0.40,0.07)",3137,1.005
"C81_C96","Social",5,"-0.51(-1.52,0.49)","-0.61(-1.71,0.53)","-1.13(-2.16,-0.10)*","-0.18(-0.44,0.06)",3137,1.004
"C81_C96","EQI",10,"0.46(-0.13,1.05)","0.57(-0.20,1.32)","-1.47(-2.04,-0.88)***","0.05(-0.16,0.26)",3136,1.0016
"C81_C96","Air",10,"-0.42(-1.04,0.17)","-0.02(-0.95,0.85)","-0.93(-1.52,-0.32)**","0.06(-0.14,0.28)",3136,1.0011
"C81_C96","Water",10,"0.11(-0.86,1.06)","-0.29(-1.13,0.55)","-1.12(-1.59,-0.63)***","0.06(-0.15,0.28)",3136,1.0029
"C81_C96","Land",10,"0.15(-0.53,0.81)","-0.14(-0.85,0.58)","-1.16(-1.80,-0.52)***","0.07(-0.13,0.27)",3136,1.0013
"C81_C96","Built",10,"0.44(-0.37,1.30)","0.17(-0.72,1.04)","-1.43(-2.27,-0.59)**","0.07(-0.14,0.28)",3136,1.0019
"C81_C96","Social",10,"-0.75(-1.65,0.17)","0.39(-0.64,1.46)","-0.83(-1.70,0.06)","-0.03(-0.26,0.20)",3136,1.0016
