ICD_Code,Outcome,EQI_Period,Lag,Q1,Q2,Q3,Q4,Q5
C00_C97,All Malignant Neoplasms,2006_2010,5,0.0,"4.53(2.27,6.77)***","5.25(2.79,7.63)***","5.16(2.61,7.77)***","5.42(2.78,8.03)***"
C00_C97,All Malignant Neoplasms,2006_2010,10,0.0,"4.98(2.73,6.96)***","3.53(1.21,5.76)**","2.88(0.53,5.13)*","3.76(1.22,5.97)**"
C15_C26,Digestive System,2006_2010,5,0.0,"-0.07(-1.18,1.00)","0.16(-0.98,1.28)","-0.16(-1.32,0.97)","0.02(-1.19,1.22)"
C15_C26,Digestive System,2006_2010,10,0.0,"0.92(-0.09,1.98)","0.40(-0.69,1.46)","0.17(-0.89,1.22)","-0.03(-1.12,1.06)"
C18_C21,Colorectal Cancer,2006_2010,5,0.0,"-0.02(-0.71,0.68)","-0.06(-0.78,0.64)","-0.41(-1.13,0.31)","-0.34(-1.08,0.40)"
C18_C21,Colorectal Cancer,2006_2010,10,0.0,"-0.64(-1.29,0.02)","-0.65(-1.31,0.02)","-0.93(-1.62,-0.26)**","-1.07(-1.80,-0.39)**"
C25,Pancreatic Cancer,2006_2010,5,0.0,"-0.12(-0.70,0.44)","0.34(-0.25,0.93)","0.02(-0.55,0.60)","0.33(-0.27,0.92)"
C25,Pancreatic Cancer,2006_2010,10,0.0,"0.18(-0.39,0.76)","0.05(-0.57,0.65)","0.02(-0.60,0.65)","0.10(-0.52,0.74)"
C30_C39,Respiratory System and Intrathoracic Organs,2006_2010,5,0.0,"1.81(0.51,3.09)**","1.11(-0.24,2.46)","1.45(0.01,2.85)*","1.36(-0.09,2.80)"
C30_C39,Respiratory System and Intrathoracic Organs,2006_2010,10,0.0,"1.83(0.76,2.90)**","1.50(0.40,2.65)*","1.80(0.60,2.98)**","2.01(0.75,3.20)***"
C34,Lung and Bronchus Cancer,2006_2010,5,0.0,"1.66(0.40,2.95)*","1.11(-0.22,2.48)","1.47(0.04,2.89)*","1.40(-0.10,2.89)"
C34,Lung and Bronchus Cancer,2006_2010,10,0.0,"2.10(1.04,3.18)***","1.83(0.73,2.95)**","2.08(0.90,3.26)***","2.25(1.05,3.50)***"
C50,Breast Cancer,2006_2010,5,0.0,"0.38(-0.22,0.97)","0.64(0.03,1.22)*","0.52(-0.12,1.11)","0.21(-0.42,0.83)"
C50,Breast Cancer,2006_2010,10,0.0,"-0.09(-0.69,0.50)","0.10(-0.51,0.69)","0.00(-0.62,0.62)","-0.04(-0.67,0.59)"
C51_C58,Female Genital Organs,2006_2010,5,0.0,"-0.12(-0.66,0.42)","-0.01(-0.59,0.56)","0.07(-0.57,0.66)","0.09(-0.54,0.70)"
C51_C58,Female Genital Organs,2006_2010,10,0.0,"-0.16(-0.63,0.32)","-0.10(-0.62,0.39)","-0.07(-0.60,0.44)","-0.19(-0.76,0.34)"
C60_C63,Male Genital Organs,2006_2010,5,0.0,"0.26(-0.27,0.78)","-0.10(-0.63,0.42)","-0.48(-1.02,0.06)","-0.58(-1.14,-0.04)*"
C60_C63,Male Genital Organs,2006_2010,10,0.0,"-0.33(-0.84,0.17)","-0.91(-1.43,-0.39)**","-1.04(-1.56,-0.50)***","-1.23(-1.78,-0.69)***"
C61,Prostate Cancer,2006_2010,5,0.0,"0.15(-0.37,0.63)","-0.24(-0.75,0.27)","-0.54(-1.06,-0.02)*","-0.69(-1.22,-0.16)*"
C61,Prostate Cancer,2006_2010,10,0.0,"-0.38(-0.89,0.11)","-0.97(-1.49,-0.47)***","-1.09(-1.61,-0.57)***","-1.30(-1.83,-0.76)***"
C64_C68,Urinary Tract,2006_2010,5,0.0,"0.19(-0.35,0.70)","0.05(-0.48,0.57)","0.12(-0.43,0.64)","0.17(-0.39,0.69)"
C64_C68,Urinary Tract,2006_2010,10,0.0,"0.16(-0.36,0.66)","-0.18(-0.69,0.32)","-0.10(-0.62,0.41)","-0.04(-0.57,0.47)"
C76_C80,"Ill-defined, Secondary and Unspecified Sites",2006_2010,5,0.0,"-0.51(-1.08,0.05)","-0.63(-1.24,-0.05)*","-0.91(-1.52,-0.28)**","-1.25(-1.90,-0.60)***"
C76_C80,"Ill-defined, Secondary and Unspecified Sites",2006_2010,10,0.0,"-0.67(-1.27,-0.07)*","-0.84(-1.44,-0.22)**","-1.18(-1.79,-0.55)***","-1.08(-1.73,-0.44)***"
C81_C96,"Lymphoid, Hematopoietic and Related Tissue",2006_2010,5,0.0,"1.36(0.67,2.07)***","1.43(0.68,2.15)***","1.40(0.63,2.15)***","1.34(0.57,2.09)***"
C81_C96,"Lymphoid, Hematopoietic and Related Tissue",2006_2010,10,0.0,"0.76(0.07,1.42)*","0.54(-0.18,1.22)","0.39(-0.35,1.11)","0.42(-0.34,1.14)"
