ICD_Code,Outcome,EQI_Period,Lag,Q1,Q2,Q3,Q4,Q5
C00_C97,All Malignant Neoplasms,2000_2005,5,0.0,"4.66(2.24,7.11)***","4.91(2.62,7.21)***","6.51(4.26,8.59)***","12.12(9.80,14.58)***"
C00_C97,All Malignant Neoplasms,2000_2005,10,0.0,"6.02(3.78,8.15)***","6.20(4.07,8.36)***","7.80(5.55,10.02)***","10.74(8.30,13.10)***"
C00_C97,All Malignant Neoplasms,2006_2010,5,0.0,"4.53(2.27,6.77)***","5.25(2.79,7.63)***","5.16(2.61,7.77)***","5.42(2.78,8.03)***"
C00_C97,All Malignant Neoplasms,2006_2010,10,0.0,"4.98(2.73,6.96)***","3.53(1.21,5.76)**","2.88(0.53,5.13)*","3.76(1.22,5.97)**"
C15_C26,Digestive System,2000_2005,5,0.0,"1.53(0.41,2.62)**","1.88(0.76,2.92)***","2.21(1.08,3.31)***","3.19(2.00,4.35)***"
C15_C26,Digestive System,2000_2005,10,0.0,"2.81(1.74,3.86)***","2.71(1.66,3.75)***","2.94(1.87,3.97)***","3.67(2.50,4.75)***"
C15_C26,Digestive System,2006_2010,5,0.0,"-0.07(-1.18,1.00)","0.16(-0.98,1.28)","-0.16(-1.32,0.97)","0.02(-1.19,1.22)"
C15_C26,Digestive System,2006_2010,10,0.0,"0.92(-0.09,1.98)","0.40(-0.69,1.46)","0.17(-0.89,1.22)","-0.03(-1.12,1.06)"
C18_C21,Colorectal Cancer,2000_2005,5,0.0,"1.42(0.71,2.12)***","1.89(1.20,2.57)***","1.76(1.05,2.48)***","1.29(0.55,2.03)***"
C18_C21,Colorectal Cancer,2000_2005,10,0.0,"0.60(-0.06,1.27)","0.39(-0.27,1.02)","0.32(-0.33,0.96)","0.03(-0.63,0.73)"
C18_C21,Colorectal Cancer,2006_2010,5,0.0,"-0.02(-0.71,0.68)","-0.06(-0.78,0.64)","-0.41(-1.13,0.31)","-0.34(-1.08,0.40)"
C18_C21,Colorectal Cancer,2006_2010,10,0.0,"-0.64(-1.29,0.02)","-0.65(-1.31,0.02)","-0.93(-1.62,-0.26)**","-1.07(-1.80,-0.39)**"
C25,Pancreatic Cancer,2000_2005,5,0.0,"0.64(0.08,1.19)*","0.79(0.24,1.32)**","1.06(0.51,1.61)***","1.31(0.71,1.89)***"
C25,Pancreatic Cancer,2000_2005,10,0.0,"0.40(-0.15,0.95)","0.59(0.04,1.13)*","0.67(0.14,1.19)*","0.78(0.22,1.34)**"
C25,Pancreatic Cancer,2006_2010,5,0.0,"-0.12(-0.70,0.44)","0.34(-0.25,0.93)","0.02(-0.55,0.60)","0.33(-0.27,0.92)"
C25,Pancreatic Cancer,2006_2010,10,0.0,"0.18(-0.39,0.76)","0.05(-0.57,0.65)","0.02(-0.60,0.65)","0.10(-0.52,0.74)"
