ICD_Code,Outcome,EQI_Period,Lag,Q1,Q2,Q3,Q4,Q5
C00_C97,All Malignant Neoplasms,2000_2005,5,0.0,"4.66(2.24,7.11)***","4.91(2.62,7.21)***","6.51(4.26,8.59)***","12.12(9.80,14.58)***"
C00_C97,All Malignant Neoplasms,2000_2005,10,0.0,"6.02(3.78,8.15)***","6.20(4.07,8.36)***","7.80(5.55,10.02)***","10.74(8.30,13.10)***"
C00_C97,All Malignant Neoplasms,2006_2010,5,0.0,"4.53(2.27,6.77)***","5.25(2.79,7.63)***","5.16(2.61,7.77)***","5.42(2.78,8.03)***"
C00_C97,All Malignant Neoplasms,2006_2010,10,0.0,"4.98(2.73,6.96)***","3.53(1.21,5.76)**","2.88(0.53,5.13)*","3.76(1.22,5.97)**"
C18_C21,Colorectal Cancer,2000_2005,5,0.0,"1.42(0.71,2.12)***","1.89(1.20,2.57)***","1.76(1.05,2.48)***","1.29(0.55,2.03)***"
C18_C21,Colorectal Cancer,2000_2005,10,0.0,"0.60(-0.06,1.27)","0.39(-0.27,1.02)","0.32(-0.33,0.96)","0.03(-0.63,0.73)"
C18_C21,Colorectal Cancer,2006_2010,5,0.0,"-0.02(-0.71,0.68)","-0.06(-0.78,0.64)","-0.41(-1.13,0.31)","-0.34(-1.08,0.40)"
C18_C21,Colorectal Cancer,2006_2010,10,0.0,"-0.64(-1.29,0.02)","-0.65(-1.31,0.02)","-0.93(-1.62,-0.26)**","-1.07(-1.80,-0.39)**"
C34,Lung and Bronchus Cancer,2000_2005,5,0.0,"3.92(2.61,5.23)***","3.33(2.02,4.62)***","3.96(2.65,5.28)***","5.73(4.31,7.17)***"
C34,Lung and Bronchus Cancer,2000_2005,10,0.0,"4.09(2.85,5.30)***","3.03(1.85,4.25)***","3.62(2.44,4.82)***","3.84(2.49,5.12)***"
C34,Lung and Bronchus Cancer,2006_2010,5,0.0,"1.66(0.40,2.95)*","1.11(-0.22,2.48)","1.47(0.04,2.89)*","1.40(-0.10,2.89)"
C34,Lung and Bronchus Cancer,2006_2010,10,0.0,"2.10(1.04,3.18)***","1.83(0.73,2.95)**","2.08(0.90,3.26)***","2.25(1.05,3.50)***"
C50,Breast Cancer,2000_2005,5,0.0,"1.51(0.93,2.12)***","1.84(1.24,2.40)***","2.18(1.56,2.78)***","2.73(2.10,3.38)***"
C50,Breast Cancer,2000_2005,10,0.0,"0.92(0.32,1.50)**","0.95(0.40,1.51)**","1.06(0.50,1.61)***","1.46(0.88,2.02)***"
C50,Breast Cancer,2006_2010,5,0.0,"0.38(-0.22,0.97)","0.64(0.03,1.22)*","0.52(-0.12,1.11)","0.21(-0.42,0.83)"
C50,Breast Cancer,2006_2010,10,0.0,"-0.09(-0.69,0.50)","0.10(-0.51,0.69)","0.00(-0.62,0.62)","-0.04(-0.67,0.59)"
C61,Prostate Cancer,2000_2005,5,0.0,"0.19(-0.34,0.73)","0.35(-0.20,0.87)","-0.01(-0.54,0.50)","-0.35(-0.92,0.21)"
C61,Prostate Cancer,2000_2005,10,0.0,"0.71(0.20,1.20)**","0.21(-0.29,0.68)","-0.05(-0.53,0.43)","-0.28(-0.79,0.24)"
C61,Prostate Cancer,2006_2010,5,0.0,"0.15(-0.37,0.63)","-0.24(-0.75,0.27)","-0.54(-1.06,-0.02)*","-0.69(-1.22,-0.16)*"
C61,Prostate Cancer,2006_2010,10,0.0,"-0.38(-0.89,0.11)","-0.97(-1.49,-0.47)***","-1.09(-1.61,-0.57)***","-1.30(-1.83,-0.76)***"
