Model,Lag,Q1,Q2,Q3,Q4,Q5
NDD,,,,,,
EQI,5,0,"9.04(7.04,11.08)***","13.95(11.97,15.96)***","18.70(16.60,20.84)***","24.72(22.43,27.06)***"
EQI,10,0,"9.87(7.83,11.98)***","13.89(11.81,16.00)***","19.28(17.09,21.61)***","26.74(24.34,29.21)***"
EQI,15,0,"8.51(6.35,10.61)***","11.02(8.99,13.05)***","15.94(13.80,18.18)***","22.74(20.49,25.13)***"
Air,5,0,"5.90(3.74,8.09)***","8.83(6.60,10.97)***","13.46(11.18,15.85)***","14.21(11.76,16.70)***"
Air,10,0,"7.77(5.55,10.03)***","12.04(9.79,14.34)***","15.89(13.41,18.38)***","16.83(14.06,19.48)***"
Air,15,0,"7.76(5.48,10.08)***","10.83(8.50,13.23)***","14.31(11.87,16.78)***","14.04(11.33,16.80)***"
Water,5,0,"0.69(-1.96,3.32)","2.08(-0.68,4.81)","3.81(1.18,6.41)**","4.20(1.53,7.02)**"
Water,10,0,"1.55(-1.25,4.43)","2.84(-0.09,5.78)","5.13(2.20,8.18)**","5.47(2.43,8.60)**"
Water,15,0,"1.39(-1.46,4.19)","2.41(-0.58,5.40)","3.82(0.97,6.64)**","5.49(2.35,8.63)***"
Land,5,0,"1.37(-0.59,3.47)","2.49(0.38,4.75)*","1.93(-0.43,4.43)","2.36(-0.22,4.89)"
Land,10,0,"0.58(-1.49,2.61)","2.29(0.04,4.43)*","1.80(-0.69,4.36)","2.89(0.21,5.46)*"
Land,15,0,"0.84(-1.23,2.95)","2.70(0.44,4.97)*","4.04(1.43,6.53)**","5.16(2.40,7.89)***"
Built,5,0,"3.43(1.57,5.43)**","4.22(2.18,6.30)***","5.34(3.30,7.38)***","4.51(2.35,6.67)***"
Built,10,0,"4.64(2.61,6.60)***","4.65(2.56,6.65)***","5.44(3.27,7.58)***","4.72(2.49,6.97)***"
Built,15,0,"5.00(2.94,7.00)***","5.20(3.13,7.40)***","5.66(3.50,7.78)***","5.04(2.83,7.23)***"
Social,5,0,"5.73(3.88,7.65)***","7.06(4.98,9.13)***","8.38(6.18,10.60)***","12.82(10.37,15.28)***"
Social,10,0,"3.82(1.90,5.77)***","6.17(4.04,8.21)***","7.81(5.57,10.03)***","12.27(9.70,14.90)***"
Social,15,0,"1.93(-0.09,3.96)","3.22(1.09,5.44)**","4.65(2.32,6.99)***","8.30(5.63,10.85)***"
Dementia,,,,,,
EQI,5,0,"7.98(6.18,9.80)***","11.90(10.12,13.67)***","15.84(13.94,17.74)***","21.00(18.95,23.07)***"
EQI,10,0,"8.75(6.83,10.62)***","12.09(10.12,14.01)***","16.60(14.53,18.68)***","22.86(20.70,25.12)***"
EQI,15,0,"7.32(5.34,9.32)***","9.28(7.31,11.28)***","13.43(11.34,15.45)***","18.57(16.27,20.80)***"
Air,5,0,"5.30(3.34,7.31)***","8.07(6.06,10.12)***","12.41(10.23,14.55)***","13.21(10.84,15.55)***"
Air,10,0,"7.33(5.31,9.37)***","11.01(8.88,13.08)***","14.78(12.55,17.08)***","15.95(13.45,18.37)***"
Air,15,0,"6.73(4.67,8.83)***","9.31(7.07,11.53)***","12.51(10.13,14.85)***","12.79(10.23,15.37)***"
Water,5,0,"0.55(-1.80,2.94)","1.61(-0.89,3.94)","3.14(0.73,5.57)**","3.55(1.00,6.14)*"
Water,10,0,"0.68(-1.79,3.13)","1.92(-0.77,4.52)","3.87(1.16,6.47)**","4.01(1.22,6.82)**"
Water,15,0,"-0.94(-3.52,1.71)","0.00(-2.61,2.76)","1.76(-0.98,4.57)","3.02(0.18,5.91)*"
Land,5,0,"1.15(-0.67,2.97)","1.96(0.09,3.93)*","1.61(-0.52,3.81)","1.82(-0.58,4.19)"
Land,10,0,"0.29(-1.49,2.18)","1.85(-0.13,3.83)","1.26(-0.94,3.51)","2.18(-0.26,4.66)"
Land,15,0,"1.20(-0.74,3.16)","2.26(0.16,4.26)*","3.32(0.96,5.67)**","4.19(1.59,6.72)**"
Built,5,0,"2.87(1.05,4.65)***","3.42(1.60,5.23)***","4.12(2.27,6.00)***","3.28(1.28,5.31)**"
Built,10,0,"3.80(1.88,5.64)***","3.87(1.98,5.72)***","4.32(2.43,6.16)***","3.71(1.62,5.74)**"
Built,15,0,"4.42(2.50,6.35)***","4.55(2.65,6.56)***","4.84(2.85,6.87)***","4.70(2.66,6.79)***"
Social,5,0,"4.76(2.97,6.58)***","5.85(3.98,7.74)***","6.85(4.85,8.95)***","10.34(8.07,12.71)***"
Social,10,0,"3.10(1.23,4.95)**","5.03(3.01,7.05)***","6.14(4.00,8.24)***","9.64(7.26,12.01)***"
Social,15,0,"1.16(-0.72,3.05)","2.05(0.01,4.13)*","2.72(0.52,4.94)*","5.36(2.89,7.88)***"
AD,,,,,,
EQI,5,0,"4.38(3.11,5.65)***","5.39(4.13,6.73)***","7.49(6.13,8.83)***","8.54(7.02,10.09)***"
EQI,10,0,"3.67(2.31,4.99)***","4.43(3.08,5.76)***","6.15(4.72,7.60)***","7.43(5.86,8.91)***"
EQI,15,0,"4.05(2.59,5.49)***","4.57(3.12,6.04)***","7.15(5.55,8.71)***","9.69(7.96,11.45)***"
Air,5,0,"2.77(1.32,4.28)***","4.25(2.72,5.81)***","5.73(4.18,7.34)***","4.72(3.01,6.49)***"
Air,10,0,"3.28(1.81,4.71)***","5.66(4.14,7.16)***","6.50(4.84,8.11)***","5.34(3.54,7.12)***"
Air,15,0,"3.77(2.16,5.48)***","7.70(5.99,9.44)***","8.97(7.13,10.75)***","8.83(6.82,10.86)***"
Water,5,0,"0.69(-1.16,2.60)","0.10(-1.87,2.09)","1.87(-0.12,3.88)","0.23(-1.83,2.30)"
Water,10,0,"1.09(-0.91,3.19)","0.28(-1.78,2.31)","1.95(-0.03,4.03)","0.84(-1.28,2.95)"
Water,15,0,"0.79(-1.32,2.84)","-0.76(-2.89,1.41)","0.69(-1.50,2.91)","0.44(-1.90,2.75)"
Land,5,0,"-0.61(-2.00,0.72)","0.19(-1.26,1.70)","0.80(-0.81,2.36)","1.76(0.00,3.41)"
Land,10,0,"-1.42(-2.77,-0.07)*","-0.41(-1.93,1.13)","-0.18(-1.86,1.48)","0.97(-0.75,2.69)"
Land,15,0,"-0.23(-1.72,1.26)","1.03(-0.57,2.66)","1.15(-0.66,2.98)","2.19(0.24,4.20)*"
Built,5,0,"2.17(0.81,3.44)**","2.42(1.11,3.73)***","2.33(0.91,3.66)***","2.51(1.01,3.94)***"
Built,10,0,"1.93(0.62,3.25)**","2.66(1.31,3.97)***","2.13(0.77,3.53)**","2.40(0.88,3.88)**"
Built,15,0,"3.15(1.72,4.62)***","3.39(1.90,4.91)***","2.39(0.87,3.94)**","2.23(0.65,3.92)**"
Social,5,0,"2.50(1.19,3.78)***","2.40(1.03,3.81)***","2.12(0.63,3.64)**","3.18(1.47,4.81)***"
Social,10,0,"0.62(-0.74,1.94)","1.53(0.10,2.91)*","1.03(-0.53,2.53)","1.60(-0.07,3.30)"
Social,15,0,"-1.06(-2.47,0.43)","0.52(-1.00,2.07)","-0.43(-2.13,1.20)","0.72(-1.17,2.65)"
PD,,,,,,
EQI,5,0,"2.35(2.03,2.67)***","3.43(3.11,3.75)***","4.10(3.77,4.42)***","4.72(4.37,5.09)***"
EQI,10,0,"2.44(2.08,2.80)***","3.35(3.00,3.69)***","4.25(3.89,4.61)***","4.87(4.49,5.25)***"
EQI,15,0,"2.80(2.38,3.17)***","3.46(3.07,3.86)***","4.33(3.93,4.73)***","5.19(4.76,5.63)***"
Air,5,0,"2.16(1.80,2.52)***","2.72(2.35,3.10)***","2.87(2.48,3.26)***","2.76(2.34,3.18)***"
Air,10,0,"2.14(1.75,2.53)***","2.84(2.44,3.24)***","2.93(2.51,3.32)***","2.63(2.20,3.07)***"
Air,15,0,"2.80(2.33,3.24)***","3.28(2.82,3.72)***","3.62(3.15,4.07)***","3.28(2.79,3.76)***"
