Model,ICD_Code,Outcome,EQI_Period,Lag,Q1,Q2,Q3,Q4,Q5
EQI,C00_C97,All-site Cancer,2000_2005,5,0.0,"4.86(2.63,7.20)***","5.30(3.09,7.55)***","6.51(4.16,8.87)***","11.19(8.75,13.66)***"
EQI,C00_C97,All-site Cancer,2000_2005,10,0.0,"6.41(4.26,8.64)***","7.06(4.78,9.34)***","8.13(5.85,10.51)***","9.94(7.54,12.48)***"
EQI,C00_C97,All-site Cancer,2000_2005,15,0.0,"4.23(2.01,6.47)**","3.25(1.04,5.46)**","3.89(1.69,6.19)***","4.90(2.48,7.29)***"
EQI,C34,Lung Cancer,2000_2005,5,0.0,"7.65(6.23,9.00)***","7.88(6.45,9.27)***","9.14(7.68,10.60)***","11.50(9.89,13.06)***"
EQI,C34,Lung Cancer,2000_2005,10,0.0,"6.24(4.96,7.53)***","6.10(4.81,7.38)***","7.07(5.72,8.38)***","8.07(6.62,9.46)***"
EQI,C34,Lung Cancer,2000_2005,15,0.0,"4.92(3.81,6.03)***","4.58(3.47,5.69)***","4.99(3.87,6.11)***","5.98(4.80,7.18)***"
EQI,C18_C21,Colorectal Cancer,2000_2005,5,0.0,"3.79(3.11,4.42)***","4.51(3.83,5.15)***","4.81(4.14,5.47)***","4.86(4.12,5.56)***"
EQI,C18_C21,Colorectal Cancer,2000_2005,10,0.0,"3.15(2.53,3.80)***","3.14(2.56,3.72)***","3.51(2.92,4.10)***","3.68(3.04,4.31)***"
EQI,C18_C21,Colorectal Cancer,2000_2005,15,0.0,"3.45(2.85,4.05)***","3.08(2.52,3.66)***","3.22(2.62,3.78)***","3.22(2.56,3.83)***"
EQI,C50,Breast Cancer,2000_2005,5,0.0,"3.23(2.74,3.71)***","3.90(3.42,4.39)***","4.96(4.47,5.46)***","5.83(5.30,6.35)***"
EQI,C50,Breast Cancer,2000_2005,10,0.0,"3.52(3.08,3.97)***","3.93(3.46,4.36)***","4.63(4.19,5.09)***","5.62(5.13,6.11)***"
EQI,C50,Breast Cancer,2000_2005,15,0.0,"2.64(2.19,3.09)***","3.06(2.62,3.52)***","3.94(3.48,4.41)***","4.67(4.17,5.17)***"
EQI,C25,Pancreatic Cancer,2000_2005,5,0.0,"3.16(2.70,3.61)***","3.58(3.13,4.01)***","4.25(3.79,4.71)***","4.94(4.45,5.44)***"
EQI,C25,Pancreatic Cancer,2000_2005,10,0.0,"2.97(2.53,3.42)***","3.43(2.99,3.85)***","3.92(3.49,4.35)***","4.51(4.05,4.96)***"
EQI,C25,Pancreatic Cancer,2000_2005,15,0.0,"2.77(2.32,3.21)***","3.35(2.92,3.77)***","3.70(3.26,4.11)***","4.40(3.92,4.85)***"
EQI,C61,Prostate Cancer,2000_2005,5,0.0,"2.10(1.62,2.57)***","2.31(1.84,2.76)***","2.13(1.67,2.60)***","2.10(1.62,2.60)***"
EQI,C61,Prostate Cancer,2000_2005,10,0.0,"2.31(1.90,2.71)***","2.53(2.15,2.93)***","2.41(2.02,2.79)***","2.65(2.23,3.11)***"
EQI,C61,Prostate Cancer,2000_2005,15,0.0,"1.49(1.09,1.88)***","1.96(1.57,2.34)***","2.19(1.79,2.58)***","2.26(1.84,2.68)***"
EQI,C00_C97,All-site Cancer,2006_2010,5,0.0,"3.07(0.71,5.34)*","3.36(0.94,5.77)**","2.57(0.05,5.09)*","1.98(-0.69,4.59)"
EQI,C00_C97,All-site Cancer,2006_2010,10,0.0,"3.62(1.34,5.73)**","1.69(-0.68,3.89)","0.38(-1.98,2.66)","0.59(-1.77,2.96)"
EQI,C34,Lung Cancer,2006_2010,5,0.0,"2.34(0.95,3.73)***","2.11(0.67,3.56)**","1.95(0.44,3.45)*","2.24(0.64,3.80)**"
EQI,C34,Lung Cancer,2006_2010,10,0.0,"2.12(0.91,3.28)***","2.20(0.90,3.43)**","2.24(0.89,3.52)**","2.29(0.89,3.62)**"
EQI,C18_C21,Colorectal Cancer,2006_2010,5,0.0,"1.80(1.16,2.45)***","1.83(1.16,2.52)***","1.38(0.66,2.07)***","1.40(0.66,2.14)***"
EQI,C18_C21,Colorectal Cancer,2006_2010,10,0.0,"1.51(0.86,2.15)***","1.80(1.10,2.44)***","1.51(0.81,2.18)***","1.56(0.85,2.26)***"
EQI,C50,Breast Cancer,2006_2010,5,0.0,"1.33(0.76,1.90)***","1.60(0.99,2.23)***","1.41(0.75,2.04)***","1.24(0.56,1.89)***"
EQI,C50,Breast Cancer,2006_2010,10,0.0,"1.67(1.15,2.18)***","1.82(1.25,2.36)***","1.82(1.24,2.39)***","1.67(1.08,2.25)***"
EQI,C25,Pancreatic Cancer,2006_2010,5,0.0,"1.36(0.84,1.90)***","1.70(1.16,2.24)***","1.59(1.02,2.15)***","1.73(1.16,2.32)***"
EQI,C25,Pancreatic Cancer,2006_2010,10,0.0,"1.40(0.88,1.91)***","1.60(1.06,2.14)***","1.42(0.82,1.97)***","1.67(1.05,2.24)***"
EQI,C61,Prostate Cancer,2006_2010,5,0.0,"1.19(0.73,1.63)***","1.18(0.70,1.64)***","0.94(0.45,1.40)***","0.82(0.31,1.30)**"
EQI,C61,Prostate Cancer,2006_2010,10,0.0,"0.65(0.21,1.08)**","0.54(0.10,1.01)*","0.40(-0.05,0.85)","0.31(-0.18,0.80)"
EQI_Air,C00_C97,All-site Cancer,2000_2005,5,0.0,"4.82(2.33,7.44)***","7.36(4.78,9.88)***","9.48(6.90,12.12)***","13.47(10.72,16.23)***"
EQI_Air,C00_C97,All-site Cancer,2000_2005,10,0.0,"6.97(4.48,9.50)***","9.48(7.07,11.92)***","10.63(8.10,13.16)***","12.30(9.57,14.96)***"
EQI_Air,C00_C97,All-site Cancer,2000_2005,15,0.0,"4.17(1.82,6.55)**","6.01(3.59,8.41)***","8.12(5.59,10.63)***","7.89(5.19,10.61)***"
EQI_Air,C34,Lung Cancer,2000_2005,5,0.0,"7.26(5.73,8.74)***","9.12(7.58,10.67)***","9.99(8.34,11.64)***","10.79(9.01,12.60)***"
EQI_Air,C34,Lung Cancer,2000_2005,10,0.0,"7.09(5.69,8.47)***","8.49(7.06,9.89)***","8.73(7.21,10.20)***","8.28(6.66,9.85)***"
EQI_Air,C34,Lung Cancer,2000_2005,15,0.0,"5.82(4.68,6.95)***","6.54(5.41,7.68)***","6.77(5.56,8.00)***","5.73(4.44,7.06)***"
EQI_Air,C18_C21,Colorectal Cancer,2000_2005,5,0.0,"4.77(4.05,5.49)***","4.82(4.09,5.54)***","4.61(3.88,5.33)***","4.36(3.57,5.13)***"
EQI_Air,C18_C21,Colorectal Cancer,2000_2005,10,0.0,"3.91(3.27,4.57)***","4.04(3.38,4.68)***","3.68(2.99,4.34)***","3.42(2.71,4.15)***"
EQI_Air,C18_C21,Colorectal Cancer,2000_2005,15,0.0,"3.99(3.35,4.64)***","3.83(3.18,4.47)***","3.38(2.71,4.02)***","2.83(2.12,3.54)***"
EQI_Air,C50,Breast Cancer,2000_2005,5,0.0,"4.33(3.77,4.88)***","4.72(4.15,5.27)***","4.76(4.18,5.32)***","5.19(4.59,5.80)***"
EQI_Air,C50,Breast Cancer,2000_2005,10,0.0,"3.12(2.61,3.64)***","3.74(3.21,4.27)***","3.56(3.02,4.11)***","3.95(3.36,4.54)***"
EQI_Air,C50,Breast Cancer,2000_2005,15,0.0,"2.97(2.51,3.43)***","3.72(3.23,4.22)***","3.76(3.26,4.24)***","3.92(3.40,4.44)***"
EQI_Air,C25,Pancreatic Cancer,2000_2005,5,0.0,"3.69(3.20,4.17)***","3.81(3.31,4.29)***","3.49(2.98,3.98)***","3.70(3.17,4.21)***"
EQI_Air,C25,Pancreatic Cancer,2000_2005,10,0.0,"3.62(3.12,4.11)***","3.92(3.43,4.41)***","3.67(3.17,4.17)***","3.84(3.31,4.37)***"
EQI_Air,C25,Pancreatic Cancer,2000_2005,15,0.0,"3.31(2.80,3.83)***","3.25(2.73,3.78)***","3.08(2.57,3.61)***","3.06(2.48,3.62)***"
EQI_Air,C61,Prostate Cancer,2000_2005,5,0.0,"2.59(2.05,3.13)***","2.45(1.95,3.00)***","2.03(1.48,2.56)***","1.67(1.10,2.25)***"
EQI_Air,C61,Prostate Cancer,2000_2005,10,0.0,"2.62(2.17,3.07)***","2.23(1.78,2.67)***","2.10(1.65,2.54)***","1.61(1.14,2.09)***"
EQI_Air,C61,Prostate Cancer,2000_2005,15,0.0,"2.13(1.69,2.55)***","2.00(1.56,2.43)***","1.83(1.38,2.25)***","1.42(0.95,1.88)***"
EQI_Air,C00_C97,All-site Cancer,2006_2010,5,0.0,"4.07(1.67,6.44)**","4.07(1.56,6.56)**","6.54(3.94,9.06)***","5.64(3.00,8.24)***"
EQI_Air,C00_C97,All-site Cancer,2006_2010,10,0.0,"2.26(0.03,4.44)*","2.20(-0.16,4.50)","2.98(0.57,5.31)*","3.94(1.51,6.36)**"
EQI_Air,C34,Lung Cancer,2006_2010,5,0.0,"1.44(0.11,2.76)*","1.32(-0.13,2.73)","2.11(0.58,3.65)**","1.83(0.25,3.35)*"
EQI_Air,C34,Lung Cancer,2006_2010,10,0.0,"0.87(-0.20,1.96)","0.81(-0.35,2.01)","1.09(-0.15,2.34)","1.33(0.08,2.60)*"
EQI_Air,C18_C21,Colorectal Cancer,2006_2010,5,0.0,"-0.03(-0.64,0.58)","0.08(-0.55,0.73)","0.53(-0.12,1.22)","0.41(-0.27,1.10)"
EQI_Air,C18_C21,Colorectal Cancer,2006_2010,10,0.0,"0.32(-0.29,0.91)","0.22(-0.40,0.84)","0.49(-0.17,1.15)","0.73(0.05,1.43)*"
EQI_Air,C50,Breast Cancer,2006_2010,5,0.0,"0.52(0.02,1.01)*","0.43(-0.11,0.96)","0.98(0.41,1.56)***","0.83(0.25,1.40)**"
EQI_Air,C50,Breast Cancer,2006_2010,10,0.0,"0.05(-0.43,0.50)","0.41(-0.09,0.91)","0.34(-0.18,0.85)","0.41(-0.13,0.94)"
EQI_Air,C25,Pancreatic Cancer,2006_2010,5,0.0,"0.43(-0.03,0.89)","0.78(0.29,1.26)**","1.01(0.51,1.51)***","1.05(0.51,1.55)***"
EQI_Air,C25,Pancreatic Cancer,2006_2010,10,0.0,"0.23(-0.23,0.71)","0.59(0.10,1.09)*","0.69(0.15,1.21)*","0.63(0.09,1.16)*"
EQI_Air,C61,Prostate Cancer,2006_2010,5,0.0,"0.52(0.11,0.94)*","0.53(0.10,0.99)*","0.66(0.23,1.10)**","0.54(0.10,1.01)*"
EQI_Air,C61,Prostate Cancer,2006_2010,10,0.0,"0.23(-0.17,0.63)","0.26(-0.17,0.69)","0.39(-0.05,0.84)","0.22(-0.25,0.70)"
EQI_Water,C00_C97,All-site Cancer,2000_2005,5,0.0,"2.75(-0.07,5.58)","1.19(-1.59,4.06)","1.54(-1.27,4.39)","1.90(-1.00,4.84)"
EQI_Water,C00_C97,All-site Cancer,2000_2005,10,0.0,"0.57(-2.35,3.42)","-1.19(-4.14,1.72)","0.80(-2.12,3.66)","1.50(-1.50,4.51)"
EQI_Water,C00_C97,All-site Cancer,2000_2005,15,0.0,"-0.12(-2.81,2.57)","-0.62(-3.37,2.05)","-0.00(-2.74,2.60)","0.70(-2.26,3.60)"
