ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Interaction_Q5,Interaction_P_Value,Q1,Q2,Q3,Q4,Q5
C34,2000_2005,2006_2010,5,EQI_Unbalanced,"2.03(-1.28,5.38)",0.236,0.00,"1.30(-1.06,3.65)","1.72(-0.64,4.04)","2.79(0.35,5.20)*","5.49(2.55,8.46)***"
"C34","2000_2005","2006_2010",5,"EQI_Disadvantaged","0.02(-9.66,9.56)","0.993","0.00","5.99(4.17,7.80)***","5.02(3.08,6.95)***","5.10(1.63,8.56)**","3.48(-6.34,13.37)"
"C34","2000_2005","2006_2010",5,"Air_Unbalanced","-0.70(-3.43,1.99)","0.616","0.00","3.82(1.05,6.58)**","2.66(0.04,5.26)*","5.34(2.85,7.82)***","5.93(3.42,8.40)***"
"C34","2000_2005","2006_2010",5,"Air_Disadvantaged","1.97(-1.38,5.35)","0.239","0.00","6.61(4.44,8.80)***","9.86(7.77,11.93)***","9.81(7.42,12.22)***","8.60(5.47,11.73)***"
"C34","2000_2005","2006_2010",5,"Built_Unbalanced","-0.85(-3.74,2.07)","0.562","0.00","1.91(-0.78,4.66)","-0.12(-2.77,2.51)","1.59(-0.91,4.17)","1.33(-1.27,3.95)"
"C34","2000_2005","2006_2010",5,"Built_Disadvantaged","3.73(-0.58,7.99)","0.091","0.00","2.97(1.10,4.76)**","4.16(1.96,6.34)***","3.08(0.48,5.71)*","5.92(1.86,10.00)**"
"C34","2000_2005","2006_2010",5,"Water_Unbalanced","-0.06(-9.83,9.74)","0.990","0.00","0.13(-2.03,2.26)","1.65(-5.85,9.32)","1.15(-9.19,11.68)","1.38(-9.25,11.55)"
"C34","2000_2005","2006_2010",5,"Water_Disadvantaged","0.20(-3.37,3.99)","0.927","0.00","-0.89(-3.94,2.15)","2.45(-0.70,5.54)","0.62(-2.49,3.80)","1.64(-1.75,4.98)"
"C34","2000_2005","2006_2010",5,"Land_Unbalanced","1.80(-1.29,4.80)","0.245","0.00","-0.61(-2.99,1.72)","0.33(-2.11,2.75)","-0.55(-3.04,1.91)","0.55(-2.20,3.30)"
"C34","2000_2005","2006_2010",5,"Land_Disadvantaged","-1.63(-5.42,2.29)","0.406","0.00","-2.18(-4.00,-0.39)*","-4.44(-6.60,-2.27)***","-1.62(-4.97,1.74)","-2.88(-6.68,0.96)"
"C34","2000_2005","2006_2010",5,"Social_Unbalanced","1.94(-0.94,4.83)","0.174","0.00","1.21(-1.15,3.65)","-0.44(-2.74,1.94)","0.72(-1.73,3.13)","2.58(0.05,5.13)*"
"C34","2000_2005","2006_2010",5,"Social_Disadvantaged","0.02(-3.50,3.63)","0.985","0.00","1.54(-0.32,3.40)","1.42(-0.77,3.64)","2.59(-0.28,5.48)","0.66(-2.51,3.95)"
"C34","2000_2005","2011_2015",10,"EQI_Unbalanced","0.77(-2.37,3.95)","0.651","0.00","1.51(-0.73,3.73)","1.75(-0.41,3.88)","1.70(-0.59,3.95)","3.09(0.40,5.84)*"
"C34","2000_2005","2011_2015",10,"EQI_Disadvantaged","0.02(-9.85,9.84)","0.997","0.00","5.28(3.61,6.97)***","4.41(2.66,6.21)***","5.87(2.57,9.15)***","2.33(-7.82,12.46)"
"C34","2000_2005","2011_2015",10,"Air_Unbalanced","-1.19(-3.85,1.47)","0.384","0.00","3.43(0.76,6.12)*","4.02(1.47,6.55)**","4.34(1.85,6.81)**","4.19(1.66,6.69)**"
"C34","2000_2005","2011_2015",10,"Air_Disadvantaged","2.90(-0.25,6.13)","0.069","0.00","7.74(5.74,9.71)***","10.82(8.87,12.76)***","10.13(7.90,12.25)***","8.27(5.29,11.22)***"
"C34","2000_2005","2011_2015",10,"Built_Unbalanced","-0.10(-2.82,2.66)","0.941","0.00","2.72(0.26,5.31)*","2.99(0.54,5.43)*","3.30(1.01,5.59)**","2.60(0.17,5.02)*"
"C34","2000_2005","2011_2015",10,"Built_Disadvantaged","4.18(0.29,8.13)*","0.034","0.00","3.23(1.58,4.89)***","4.99(3.02,6.98)***","3.50(1.11,5.90)**","6.88(3.22,10.55)***"
"C34","2000_2005","2011_2015",10,"Water_Unbalanced","-0.05(-10.04,9.54)","0.998","0.00","-0.45(-2.46,1.50)","1.30(-5.69,8.47)","0.87(-9.47,11.18)","0.86(-9.38,11.09)"
"C34","2000_2005","2011_2015",10,"Water_Disadvantaged","0.72(-2.92,4.27)","0.687","0.00","0.73(-2.02,3.49)","2.49(-0.44,5.29)","1.13(-1.82,4.01)","1.63(-1.53,4.77)"
"C34","2000_2005","2011_2015",10,"Land_Unbalanced","3.12(0.38,5.81)*","0.025","0.00","1.37(-0.74,3.49)","1.15(-1.07,3.36)","1.18(-1.13,3.46)","1.39(-1.06,3.86)"
"C34","2000_2005","2011_2015",10,"Land_Disadvantaged","1.89(-1.56,5.43)","0.295","0.00","-2.05(-3.74,-0.37)*","-4.40(-6.37,-2.41)***","-0.62(-3.82,2.55)","0.16(-3.20,3.60)"
"C34","2000_2005","2011_2015",10,"Social_Unbalanced","0.86(-1.83,3.55)","0.525","0.00","1.72(-0.48,3.93)","-1.31(-3.54,0.97)","-0.98(-3.23,1.25)","0.25(-2.06,2.62)"
"C34","2000_2005","2011_2015",10,"Social_Disadvantaged","4.39(0.94,7.78)*","0.014","0.00","2.35(0.67,4.02)**","3.19(1.18,5.21)**","2.85(0.37,5.31)*","3.77(0.70,6.83)*"
"C34","2006_2010","2011_2015",5,"EQI_Unbalanced","-0.81(-3.74,2.22)","0.578","0.00","0.52(-1.59,2.64)","0.09(-2.11,2.31)","0.23(-2.24,2.72)","0.83(-1.96,3.63)"
"C34","2006_2010","2011_2015",5,"EQI_Disadvantaged","0.41(-2.26,3.09)","0.765","0.00","2.38(0.04,4.77)*","2.16(-0.16,4.54)","1.80(-0.56,4.20)","2.05(-0.45,4.52)"
"C34","2006_2010","2011_2015",5,"Air_Unbalanced","-0.73(-3.48,2.04)","0.607","0.00","0.71(-1.68,3.12)","-0.68(-3.00,1.71)","0.76(-1.67,3.23)","-0.28(-2.89,2.31)"
"C34","2006_2010","2011_2015",5,"Air_Disadvantaged","5.03(2.25,7.91)***","0.001","0.00","1.17(-0.90,3.24)","3.47(1.22,5.69)**","3.53(1.29,5.78)**","5.47(2.86,8.14)***"
