ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Interaction_Q5,Interaction_P_Value,Q1,Q2,Q3,Q4,Q5
C64_C68,2000_2005,2006_2010,5,EQI_Unbalanced,"-1.16(-2.82,0.64)",0.199,0.00,"-1.01(-1.93,-0.07)*","-0.59(-1.51,0.32)","-0.43(-1.40,0.53)","-0.59(-1.76,0.61)"
"C64_C68","2000_2005","2006_2010",5,"EQI_Disadvantaged","-0.02(-9.73,9.66)","0.992","0.00","0.07(-0.69,0.81)","0.64(-0.18,1.46)","0.67(-0.89,2.24)","0.55(-9.26,10.40)"
"C64_C68","2000_2005","2006_2010",5,"Air_Unbalanced","-1.75(-2.95,-0.53)**","0.006","0.00","-0.81(-2.04,0.36)","-0.80(-1.90,0.33)","-0.25(-1.27,0.79)","-0.48(-1.51,0.57)"
"C64_C68","2000_2005","2006_2010",5,"Air_Disadvantaged","-1.02(-2.55,0.49)","0.193","0.00","0.03(-0.92,1.01)","0.24(-0.66,1.17)","-0.07(-1.08,0.95)","0.25(-1.14,1.65)"
"C64_C68","2000_2005","2006_2010",5,"Built_Unbalanced","-1.60(-2.90,-0.24)*","0.017","0.00","0.32(-0.78,1.43)","-0.43(-1.49,0.65)","-0.47(-1.46,0.55)","-0.65(-1.69,0.39)"
"C64_C68","2000_2005","2006_2010",5,"Built_Disadvantaged","-0.10(-2.06,1.82)","0.921","0.00","0.42(-0.32,1.20)","1.11(0.18,2.04)*","0.47(-0.65,1.60)","0.85(-0.88,2.59)"
"C64_C68","2000_2005","2006_2010",5,"Water_Unbalanced","-0.06(-9.88,9.75)","0.993","0.00","-0.24(-1.01,0.51)","0.38(-3.43,4.22)","0.49(-9.53,10.61)","0.28(-9.79,10.40)"
"C64_C68","2000_2005","2006_2010",5,"Water_Disadvantaged","-0.66(-3.51,2.28)","0.642","0.00","-0.55(-1.69,0.62)","0.69(-0.51,1.92)","-0.19(-1.41,1.04)","-0.32(-1.63,1.02)"
"C64_C68","2000_2005","2006_2010",5,"Land_Unbalanced","0.22(-1.09,1.52)","0.736","0.00","0.45(-0.50,1.41)","0.94(-0.09,1.93)","0.67(-0.28,1.62)","0.69(-0.34,1.70)"
"C64_C68","2000_2005","2006_2010",5,"Land_Disadvantaged","-0.13(-1.81,1.61)","0.874","0.00","0.73(-0.00,1.49)","1.07(0.14,2.01)*","3.53(2.33,4.74)***","0.33(-1.19,1.86)"
"C64_C68","2000_2005","2006_2010",5,"Social_Unbalanced","-0.41(-1.78,0.99)","0.567","0.00","-0.77(-1.83,0.28)","1.11(0.09,2.15)*","0.21(-0.84,1.25)","0.17(-0.93,1.25)"
"C64_C68","2000_2005","2006_2010",5,"Social_Disadvantaged","-1.16(-2.80,0.51)","0.172","0.00","0.35(-0.39,1.09)","0.57(-0.35,1.52)","1.84(0.60,3.06)**","-0.58(-1.98,0.80)"
"C64_C68","2000_2005","2011_2015",10,"EQI_Unbalanced","1.06(-0.54,2.66)","0.191","0.00","0.62(-0.24,1.49)","0.47(-0.36,1.30)","0.17(-0.68,1.01)","0.26(-0.78,1.29)"
"C64_C68","2000_2005","2011_2015",10,"EQI_Disadvantaged","0.05(-9.68,9.82)","0.998","0.00","0.27(-0.48,1.01)","0.75(-0.03,1.50)","0.41(-1.10,1.89)","-0.75(-10.50,9.23)"
"C64_C68","2000_2005","2011_2015",10,"Air_Unbalanced","-1.56(-2.72,-0.41)**","0.007","0.00","-0.19(-1.36,0.95)","-1.18(-2.23,-0.17)*","-0.67(-1.62,0.26)","-0.94(-1.89,-0.02)*"
"C64_C68","2000_2005","2011_2015",10,"Air_Disadvantaged","-0.69(-2.18,0.79)","0.364","0.00","-0.60(-1.53,0.30)","-0.07(-0.98,0.80)","-0.00(-0.99,0.94)","-0.06(-1.43,1.29)"
"C64_C68","2000_2005","2011_2015",10,"Built_Unbalanced","0.76(-0.55,2.06)","0.252","0.00","0.53(-0.49,1.56)","0.52(-0.48,1.52)","0.05(-0.87,0.95)","0.20(-0.78,1.14)"
"C64_C68","2000_2005","2011_2015",10,"Built_Disadvantaged","0.57(-1.28,2.43)","0.556","0.00","0.30(-0.45,1.05)","-0.00(-0.91,0.89)","-0.21(-1.29,0.88)","0.02(-1.61,1.64)"
"C64_C68","2000_2005","2011_2015",10,"Water_Unbalanced","0.04(-9.83,9.72)","0.990","0.00","-0.05(-0.70,0.61)","-0.14(-3.72,3.50)","0.65(-9.58,10.64)","0.54(-9.88,10.58)"
"C64_C68","2000_2005","2011_2015",10,"Water_Disadvantaged","0.26(-2.53,3.16)","0.875","0.00","0.54(-0.52,1.62)","0.27(-0.84,1.36)","0.79(-0.40,1.93)","0.76(-0.46,1.97)"
"C64_C68","2000_2005","2011_2015",10,"Land_Unbalanced","1.15(-0.04,2.32)","0.056","0.00","0.19(-0.70,1.09)","0.45(-0.43,1.32)","0.74(-0.14,1.59)","1.50(0.57,2.41)**"
"C64_C68","2000_2005","2011_2015",10,"Land_Disadvantaged","0.84(-0.91,2.63)","0.351","0.00","0.41(-0.35,1.18)","0.17(-0.69,1.05)","-0.12(-1.16,0.93)","1.19(-0.40,2.80)"
"C64_C68","2000_2005","2011_2015",10,"Social_Unbalanced","-0.01(-1.30,1.32)","0.977","0.00","0.00(-0.96,0.96)","0.79(-0.16,1.74)","0.72(-0.26,1.68)","0.52(-0.51,1.52)"
"C64_C68","2000_2005","2011_2015",10,"Social_Disadvantaged","0.58(-1.08,2.22)","0.488","0.00","0.29(-0.42,1.01)","1.00(0.01,1.94)*","1.27(0.12,2.41)*","1.10(-0.28,2.49)"
"C64_C68","2006_2010","2011_2015",5,"EQI_Unbalanced","-0.69(-1.91,0.54)","0.280","0.00","-0.10(-0.95,0.74)","-0.07(-0.94,0.82)","-0.14(-1.08,0.83)","-0.20(-1.25,0.83)"
"C64_C68","2006_2010","2011_2015",5,"EQI_Disadvantaged","-0.66(-1.89,0.56)","0.296","0.00","0.19(-0.88,1.23)","-0.42(-1.48,0.61)","0.06(-1.05,1.09)","-0.17(-1.28,0.87)"
"C64_C68","2006_2010","2011_2015",5,"Air_Unbalanced","0.20(-0.91,1.34)","0.728","0.00","0.53(-0.40,1.47)","0.29(-0.62,1.22)","0.50(-0.46,1.46)","0.56(-0.40,1.54)"
"C64_C68","2006_2010","2011_2015",5,"Air_Disadvantaged","0.53(-0.74,1.80)","0.404","0.00","0.32(-0.55,1.18)","0.38(-0.56,1.30)","0.42(-0.52,1.36)","0.89(-0.24,2.02)"
"C64_C68","2006_2010","2011_2015",5,"Built_Unbalanced","-0.39(-1.60,0.80)","0.521","0.00","-0.28(-1.16,0.62)","-0.37(-1.27,0.55)","-0.24(-1.10,0.66)","-0.34(-1.35,0.68)"
"C64_C68","2006_2010","2011_2015",5,"Built_Disadvantaged","-0.99(-2.37,0.61)","0.208","0.00","-0.42(-1.85,1.15)","-0.67(-1.97,0.79)","-1.33(-2.62,0.13)","-0.95(-2.17,0.48)"
"C64_C68","2006_2010","2011_2015",5,"Water_Unbalanced","-0.02(-10.08,9.67)","0.996","0.00","0.93(0.34,1.54)**","0.06(-2.33,2.48)","-0.11(-2.52,2.40)","-0.63(-10.73,9.26)"
"C64_C68","2006_2010","2011_2015",5,"Water_Disadvantaged","0.99(-0.74,2.70)","0.258","0.00","0.79(-0.28,1.88)","0.62(-0.42,1.63)","0.73(-0.32,1.78)","0.38(-0.75,1.53)"
"C64_C68","2006_2010","2011_2015",5,"Land_Unbalanced","-0.18(-1.30,0.93)","0.757","0.00","0.19(-0.72,1.10)","0.50(-0.36,1.38)","0.89(-0.01,1.82)","0.47(-0.46,1.42)"
"C64_C68","2006_2010","2011_2015",5,"Land_Disadvantaged","0.06(-1.13,1.30)","0.924","0.00","1.81(1.02,2.62)***","0.57(-0.26,1.40)","0.75(-0.26,1.75)","0.72(-0.30,1.76)"
"C64_C68","2006_2010","2011_2015",5,"Social_Unbalanced","-0.67(-1.99,0.66)","0.323","0.00","0.00(-0.77,0.79)","0.80(-0.03,1.64)","1.09(0.19,1.99)*","-0.29(-1.23,0.66)"
"C64_C68","2006_2010","2011_2015",5,"Social_Disadvantaged","-0.31(-1.93,1.27)","0.709","0.00","1.06(-0.44,2.58)","1.09(-0.38,2.54)","0.83(-0.58,2.26)","0.07(-1.26,1.45)"
"C64_C68","2006_2010","2016_2020",10,"EQI_Unbalanced","-0.91(-2.12,0.33)","0.153","0.00","-0.15(-0.98,0.70)","-0.58(-1.41,0.28)","-0.42(-1.34,0.50)","-1.18(-2.20,-0.11)*"
"C64_C68","2006_2010","2016_2020",10,"EQI_Disadvantaged","1.38(0.21,2.53)*","0.021","0.00","1.69(0.79,2.61)***","0.92(-0.01,1.83)","0.87(-0.04,1.78)","1.11(0.15,2.06)*"
"C64_C68","2006_2010","2016_2020",10,"Air_Unbalanced","0.41(-0.75,1.58)","0.482","0.00","0.81(-0.14,1.71)","0.72(-0.20,1.63)","0.42(-0.54,1.35)","0.44(-0.57,1.39)"
"C64_C68","2006_2010","2016_2020",10,"Air_Disadvantaged","1.58(0.31,2.79)*","0.015","0.00","1.29(0.43,2.12)**","0.40(-0.46,1.24)","0.94(0.04,1.82)*","1.61(0.50,2.68)**"
"C64_C68","2006_2010","2016_2020",10,"Built_Unbalanced","-1.36(-2.49,-0.21)*","0.019","0.00","-1.15(-1.98,-0.28)**","-0.72(-1.61,0.20)","-1.01(-1.86,-0.16)*","-1.34(-2.29,-0.37)**"
