ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
C00_C97_Asian,2000_2005,2006_2010,5,Stratified_EQI,0.00,"1.04(-0.77,2.94)","2.86(1.00,4.79)**","4.66(2.66,6.70)***","17.73(15.51,20.01)***",0.2702,0.0027,0.0002,0.0002,1.0008,1.0007,1.0011,1.0017,2612,2466,2057,1871,2712,2728,2736,2556
"C00_C97_Asian","2000_2005","2006_2010",5,"Stratified_Air","0.00","2.30(0.29,4.28)*","4.80(2.65,7.00)***","7.98(5.70,10.26)***","23.18(20.66,25.75)***","0.0202","0.0002","0.0002","0.0002","1.0001","1.0002","1.0005","0.9998",2470,2187,1767,1732,2911,2593,2768,2995
"C00_C97_Asian","2000_2005","2006_2010",5,"Stratified_Water","0.00","-1.17(-3.61,1.35)","0.22(-2.42,2.92)","-1.79(-4.51,0.93)","1.04(-1.84,3.96)","0.3547","0.8675","0.1962","0.4856","1.0018","1.0013","1.0023","1.0014",1925,1781,1854,1785,2242,2491,2408,2677
"C00_C97_Asian","2000_2005","2006_2010",5,"Stratified_Land","0.00","-0.22(-2.18,1.66)","0.22(-1.90,2.35)","-2.35(-4.69,0.07)","0.02(-2.58,2.61)","0.8195","0.8415","0.0557","0.9905","1.0000","1.0001","1.0004","1.0002",2767,2393,2222,2258,3096,2838,2433,2750
"C00_C97_Asian","2000_2005","2006_2010",5,"Stratified_Built","0.00","-1.40(-3.18,0.43)","-1.02(-2.86,0.84)","0.21(-1.74,2.14)","2.50(0.46,4.60)*","0.1222","0.2872","0.8190","0.0127","1.0004","1.0005","1.0004","1.0006",3565,3366,2997,2575,3242,3481,3291,3163
"C00_C97_Asian","2000_2005","2006_2010",5,"Stratified_Social","0.00","-2.19(-3.94,-0.42)*","-2.26(-4.16,-0.26)*","-2.40(-4.59,-0.25)*","-0.23(-2.65,2.19)","0.0147","0.0232","0.0292","0.8625","1.0008","1.0004","1.0017","1.0018",3117,2421,2339,2230,3357,2930,3117,3004
"C00_C97_Asian","2000_2005","2006_2010",5,"Stratified_EQI","0.00","-1.24(-6.72,4.14)","2.32(-2.71,7.25)","5.13(0.10,10.03)*","20.78(15.98,25.54)***","0.6706","0.3742","0.0447","0.0002","1.0003","1.0004","1.0004","1.0008",3803,3123,2671,2254,3385,3246,2939,2905
"C00_C97_Asian","2000_2005","2006_2010",5,"Stratified_Air","0.00","-3.55(-9.82,2.78)","0.48(-4.87,5.80)","3.10(-2.04,8.12)","19.59(14.37,24.93)***","0.2632","0.8735","0.2337","0.0002","1.0007","1.0002","0.9999","1.0000",3088,2892,2318,2206,2687,2881,2555,2730
"C00_C97_Asian","2000_2005","2006_2010",5,"Stratified_Water","0.00","-2.03(-7.20,3.23)","3.54(-1.65,8.74)","-1.95(-7.23,3.21)","0.43(-5.19,6.18)","0.4376","0.1727","0.4576","0.9045","1.0016","1.0011","1.0009","1.0007",2738,2640,2721,2408,2917,2994,2762,2406
"C00_C97_Asian","2000_2005","2006_2010",5,"Stratified_Land","0.00","-0.68(-5.37,3.88)","2.89(-1.52,7.53)","-0.37(-5.33,4.56)","4.83(-0.47,10.17)","0.7676","0.2087","0.8900","0.0682","1.0007","1.0010","1.0014","1.0003",3868,3152,2625,2639,3159,3306,2816,2686
"C00_C97_Asian","2000_2005","2006_2010",5,"Stratified_Built","0.00","-3.12(-7.36,1.31)","-1.33(-5.90,3.27)","5.53(0.82,10.44)*","10.00(5.33,14.81)***","0.1662","0.5901","0.0192","0.0002","0.9997","1.0001","0.9999","1.0001",3599,3224,3027,2870,2873,2876,2619,2742
"C00_C97_Asian","2000_2005","2006_2010",5,"Stratified_Social","0.00","-0.61(-6.23,4.96)","0.16(-4.86,5.22)","-1.27(-6.34,3.72)","1.92(-2.90,6.73)","0.8370","0.9565","0.6111","0.4326","1.0005","0.9998","1.0004","1.0008",3095,2768,2751,2417,2843,2691,2944,2670
"C00_C97_Asian","2000_2005","2006_2010",5,"Stratified_EQI","0.00","0.00(-0.00,0.00)","0.00(-0.00,0.00)","0.00(-0.00,0.00)","0.00(-0.00,0.00)","0.9560","0.9740","0.9915","0.9890","1.0152","1.0124","1.0118","1.0157",3514,3541,3455,3510,3307,2750,2447,2297
"C00_C97_Asian","2000_2005","2006_2010",5,"Stratified_Air","0.00","-0.00(-0.00,0.00)","-0.00(-0.00,0.00)","-0.00(-0.00,0.00)","-0.00(-0.00,0.00)","0.9945","0.9810","0.9880","0.9950","1.0439","1.0420","1.0413","1.0438",908,884,881,888,899,834,1100,916
"C00_C97_Asian","2000_2005","2006_2010",5,"Stratified_Water","0.00","-0.00(-0.00,0.00)","0.00(-0.00,0.00)","0.00(-0.00,0.00)","0.00(-0.00,0.00)","0.9870","0.9995","0.9960","0.9980","1.0281","1.0347","1.0356","1.0455",4639,4323,4385,4576,1212,1677,2284,931
"C00_C97_Asian","2000_2005","2006_2010",5,"Stratified_Land","0.00","-0.00(-0.00,0.00)","-0.00(-0.00,0.00)","-0.00(-0.00,0.00)","-0.00(-0.00,0.00)","0.9885","0.9920","0.9870","0.9860","1.0341","1.0371","1.0336","1.0360",4366,4652,4417,4616,2192,2027,877,652
"C00_C97_Asian","2000_2005","2006_2010",5,"Stratified_Built","0.00","0.00(-0.00,0.00)","0.00(-0.00,0.00)","0.00(-0.00,0.00)","0.00(-0.00,0.00)","0.9800","0.9935","0.9935","0.9960","1.0362","1.0359","1.0394","1.0382",4217,4172,4135,4208,933,1644,1565,1518
