ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
C00_C97_Black,2000_2005,2006_2010,5,Stratified_EQI,0.00,"-1.86(-7.59,3.97)","5.62(0.07,11.29)*","16.83(10.98,22.76)***","47.00(40.74,53.38)***",0.5151,0.0472,0.0002,0.0002,1.0006,1.0002,1.0000,1.0009,3436,3467,3265,2766,3291,3036,3274,2959
"C00_C97_Black","2000_2005","2006_2010",5,"Stratified_Air","0.00","-7.84(-13.06,-2.56)**","2.77(-3.34,8.30)","19.34(13.59,25.26)***","61.32(54.88,67.62)***","0.0047","0.3512","0.0002","0.0002","1.0003","1.0004","1.0026","1.0006",3151,2730,2629,2582,3187,2648,2593,2431
"C00_C97_Black","2000_2005","2006_2010",5,"Stratified_Water","0.00","-3.58(-9.77,2.49)","1.57(-4.72,7.99)","-1.85(-8.34,4.57)","3.43(-3.47,10.28)","0.2592","0.6236","0.5846","0.3157","1.0008","1.0001","0.9998","1.0003",2873,2860,2798,2453,2641,2649,3088,2615
"C00_C97_Black","2000_2005","2006_2010",5,"Stratified_Land","0.00","-8.42(-14.04,-2.92)**","-6.99(-12.65,-1.50)*","-3.44(-9.57,2.73)","2.27(-4.15,8.49)","0.0067","0.0197","0.2747","0.4791","1.0004","0.9999","1.0004","1.0019",3245,3029,2772,2718,2987,3157,2870,3107
"C00_C97_Black","2000_2005","2006_2010",5,"Stratified_Built","0.00","0.98(-4.57,6.38)","10.42(5.02,15.74)***","17.66(12.13,23.20)***","18.57(12.81,24.34)***","0.7286","0.0002","0.0002","0.0002","1.0016","1.0005","1.0008","1.0029",2981,3392,3151,2957,2938,3187,3542,2944
"C00_C97_Black","2000_2005","2006_2010",5,"Stratified_Social","0.00","3.10(-2.51,8.78)","-2.71(-8.40,3.13)","7.34(1.73,12.79)**","2.01(-4.25,8.28)","0.2797","0.3552","0.0092","0.5286","1.0025","1.0013","1.0012","1.0017",2609,2469,2109,1852,3055,3003,2767,2094
"C00_C97_Black","2000_2005","2006_2010",5,"Stratified_EQI","0.00","-8.45(-17.23,0.27)","-3.83(-12.25,4.27)","4.66(-3.12,12.34)","23.94(16.01,31.78)***","0.0572","0.3642","0.2462","0.0002","1.0015","0.9997","1.0014","1.0003",6096,5835,5214,4629,2933,2957,3274,3143
"C00_C97_Black","2000_2005","2006_2010",5,"Stratified_Air","0.00","-13.24(-21.81,-4.58)**","-10.34(-18.44,-1.99)*","-0.22(-7.71,7.33)","37.30(29.85,44.95)***","0.0027","0.0142","0.9500","0.0002","1.0001","1.0027","1.0014","1.0010",9946,7496,7783,6586,2800,3140,3550,3409
"C00_C97_Black","2000_2005","2006_2010",5,"Stratified_Water","0.00","-2.32(-10.95,6.43)","-0.28(-8.38,7.79)","-0.06(-8.24,8.08)","0.58(-7.70,9.14)","0.6056","0.9385","0.9940","0.8990","0.9997","1.0002","1.0004","1.0015",8124,7825,8852,6597,2984,3406,3491,3299
"C00_C97_Black","2000_2005","2006_2010",5,"Stratified_Land","0.00","1.16(-6.60,8.95)","-3.94(-11.40,3.91)","-0.99(-9.07,7.25)","2.53(-5.40,10.61)","0.7851","0.3132","0.8035","0.5316","1.0004","1.0001","1.0003","1.0002",9798,7711,7727,8037,3048,2721,3408,3041
